# _root_ Měl jsem pocit , že je motor obsahem handicapován a nasadil dvojité zapalování , ale se zvýšením výkonu mi nedošly jiné souvislosti .
#goldHeads=15,1,1,5,3,10,6,9,6,5,10,13,11,15,0,20,16,17,20,15,22,20,0,
#predictedHeads=15,1,1,5,3,5,6,9,10,15,10,13,11,15,0,20,16,17,20,15,22,20,0,
(0,1),0.0160593 # DEPENDENCYPART_ARC
(0,2),-0.816219 # DEPENDENCYPART_ARC
(0,3),-1.7904 # DEPENDENCYPART_ARC
(0,4),-0.831142 # DEPENDENCYPART_ARC
(0,5),-1.76213 # DEPENDENCYPART_ARC
(0,6),-1.66852 # DEPENDENCYPART_ARC
(0,10),-0.283121 # DEPENDENCYPART_ARC
(0,11),-2.21121 # DEPENDENCYPART_ARC
(0,14),-1.34593 # DEPENDENCYPART_ARC
(0,15),-0.327975 # DEPENDENCYPART_ARC
(0,20),-2.3661 # DEPENDENCYPART_ARC
(0,23),1.90057 # DEPENDENCYPART_ARC
(1,2),2.43217 # DEPENDENCYPART_ARC
(1,3),1.60935 # DEPENDENCYPART_ARC
(1,4),-0.312281 # DEPENDENCYPART_ARC
(1,5),-0.0777426 # DEPENDENCYPART_ARC
(1,6),-1.22172 # DEPENDENCYPART_ARC
(1,7),-1.29201 # DEPENDENCYPART_ARC
(1,8),-1.5746 # DEPENDENCYPART_ARC
(1,9),-1.71035 # DEPENDENCYPART_ARC
(1,10),-0.587622 # DEPENDENCYPART_ARC
(1,11),-4.53587 # DEPENDENCYPART_ARC
(1,14),-0.777782 # DEPENDENCYPART_ARC
(1,15),-1.39097 # DEPENDENCYPART_ARC
(2,1),-1.21696 # DEPENDENCYPART_ARC
(2,3),0.30171 # DEPENDENCYPART_ARC
(2,4),-1.26859 # DEPENDENCYPART_ARC
(2,5),-1.08202 # DEPENDENCYPART_ARC
(3,2),-1.6139 # DEPENDENCYPART_ARC
(3,4),-0.957494 # DEPENDENCYPART_ARC
(3,5),-0.433639 # DEPENDENCYPART_ARC
(3,6),-1.70863 # DEPENDENCYPART_ARC
(3,7),-2.23251 # DEPENDENCYPART_ARC
(3,8),-2.42601 # DEPENDENCYPART_ARC
(3,10),-1.10552 # DEPENDENCYPART_ARC
(4,1),-0.84973 # DEPENDENCYPART_ARC
(4,2),-0.936241 # DEPENDENCYPART_ARC
(4,3),-1.02837 # DEPENDENCYPART_ARC
(4,5),-0.750199 # DEPENDENCYPART_ARC
(4,6),-1.36799 # DEPENDENCYPART_ARC
(5,1),-0.951958 # DEPENDENCYPART_ARC
(5,2),-0.516453 # DEPENDENCYPART_ARC
(5,3),-1.56773 # DEPENDENCYPART_ARC
(5,4),1.29881 # DEPENDENCYPART_ARC
(5,6),1.71932 # DEPENDENCYPART_ARC
(5,7),-1.58364 # DEPENDENCYPART_ARC
(5,8),-2.6436 # DEPENDENCYPART_ARC
(5,9),0.020942 # DEPENDENCYPART_ARC
(5,10),0.0882572 # DEPENDENCYPART_ARC
(5,11),-1.13444 # DEPENDENCYPART_ARC
(5,14),-0.314593 # DEPENDENCYPART_ARC
(5,15),-0.682819 # DEPENDENCYPART_ARC
(5,20),-1.68454 # DEPENDENCYPART_ARC
(6,1),-2.34801 # DEPENDENCYPART_ARC
(6,2),-1.75621 # DEPENDENCYPART_ARC
(6,3),-1.88256 # DEPENDENCYPART_ARC
(6,4),-1.18884 # DEPENDENCYPART_ARC
(6,5),-1.27461 # DEPENDENCYPART_ARC
(6,7),1.63816 # DEPENDENCYPART_ARC
(6,8),0.461114 # DEPENDENCYPART_ARC
(6,9),0.841245 # DEPENDENCYPART_ARC
(6,10),-0.349473 # DEPENDENCYPART_ARC
(6,11),-2.55083 # DEPENDENCYPART_ARC
(6,12),-2.66127 # DEPENDENCYPART_ARC
(6,13),-1.68597 # DEPENDENCYPART_ARC
(6,14),-0.803874 # DEPENDENCYPART_ARC
(6,15),-0.969543 # DEPENDENCYPART_ARC
(6,16),-1.78572 # DEPENDENCYPART_ARC
(6,20),-4.9865 # DEPENDENCYPART_ARC
(6,21),-3.12788 # DEPENDENCYPART_ARC
(7,8),0.165993 # DEPENDENCYPART_ARC
(7,9),-0.950158 # DEPENDENCYPART_ARC
(7,10),-0.713915 # DEPENDENCYPART_ARC
(7,11),-2.42441 # DEPENDENCYPART_ARC
(7,12),-3.15598 # DEPENDENCYPART_ARC
(7,13),-4.35089 # DEPENDENCYPART_ARC
(8,3),-3.80231 # DEPENDENCYPART_ARC
(8,7),-1.29664 # DEPENDENCYPART_ARC
(8,9),-0.823606 # DEPENDENCYPART_ARC
(9,1),-0.0271093 # DEPENDENCYPART_ARC
(9,2),-0.687035 # DEPENDENCYPART_ARC
(9,3),-1.98067 # DEPENDENCYPART_ARC
(9,4),-1.68168 # DEPENDENCYPART_ARC
(9,5),-1.68886 # DEPENDENCYPART_ARC
(9,6),1.44887 # DEPENDENCYPART_ARC
(9,7),0.149126 # DEPENDENCYPART_ARC
(9,8),1.1068 # DEPENDENCYPART_ARC
(9,11),-1.37308 # DEPENDENCYPART_ARC
(9,12),-4.0203 # DEPENDENCYPART_ARC
(9,13),-1.53239 # DEPENDENCYPART_ARC
(9,15),-1.59775 # DEPENDENCYPART_ARC
(9,16),-1.82344 # DEPENDENCYPART_ARC
(9,18),-3.06181 # DEPENDENCYPART_ARC
(9,22),-3.92499 # DEPENDENCYPART_ARC
(10,1),-1.04958 # DEPENDENCYPART_ARC
(10,2),0.12581 # DEPENDENCYPART_ARC
(10,3),-0.815732 # DEPENDENCYPART_ARC
(10,4),-0.249221 # DEPENDENCYPART_ARC
(10,5),-0.316739 # DEPENDENCYPART_ARC
(10,6),0.675377 # DEPENDENCYPART_ARC
