# _root_ The offer , which also includes common and preferred stock purchase rights , was to expire last night at midnight .
#goldHeads=2,14,2,6,6,2,12,7,8,12,12,6,2,0,14,15,18,16,16,19,14,
#predictedHeads=2,14,2,6,6,2,12,7,8,12,12,2,2,0,14,15,18,16,16,19,14,
(0,1),-6.22455 # DEPENDENCYPART_ARC
(0,2),-6.29665 # DEPENDENCYPART_ARC
(0,3),-6.37549 # DEPENDENCYPART_ARC
(0,4),-6.86666 # DEPENDENCYPART_ARC
(0,5),-6.34078 # DEPENDENCYPART_ARC
(0,6),-3.49094 # DEPENDENCYPART_ARC
(0,7),-6.71144 # DEPENDENCYPART_ARC
(0,8),-7.50119 # DEPENDENCYPART_ARC
(0,9),-4.78626 # DEPENDENCYPART_ARC
(0,10),-6.99508 # DEPENDENCYPART_ARC
(0,11),-6.7279 # DEPENDENCYPART_ARC
(0,12),-6.12828 # DEPENDENCYPART_ARC
(0,13),-7.51685 # DEPENDENCYPART_ARC
(0,14),-2.49018 # DEPENDENCYPART_ARC
(0,15),-7.64093 # DEPENDENCYPART_ARC
(0,16),-4.82071 # DEPENDENCYPART_ARC
(0,17),-6.61539 # DEPENDENCYPART_ARC
(0,18),-7.85262 # DEPENDENCYPART_ARC
(0,19),-8.05473 # DEPENDENCYPART_ARC
(0,20),-7.23552 # DEPENDENCYPART_ARC
(0,21),-6.23735 # DEPENDENCYPART_ARC
(1,2),-0.808978 # DEPENDENCYPART_ARC
(1,3),-1.47355 # DEPENDENCYPART_ARC
(1,4),-2.59531 # DEPENDENCYPART_ARC
(1,5),-2.12163 # DEPENDENCYPART_ARC
(1,6),-1.83938 # DEPENDENCYPART_ARC
(1,7),-2.46498 # DEPENDENCYPART_ARC
(1,8),-1.87419 # DEPENDENCYPART_ARC
(1,9),-2.4043 # DEPENDENCYPART_ARC
(1,10),-2.74934 # DEPENDENCYPART_ARC
(1,11),-2.70799 # DEPENDENCYPART_ARC
(1,12),-3.1178 # DEPENDENCYPART_ARC
(1,13),-2.04232 # DEPENDENCYPART_ARC
(1,14),-3.67891 # DEPENDENCYPART_ARC
(1,15),-3.60978 # DEPENDENCYPART_ARC
(1,16),-3.81355 # DEPENDENCYPART_ARC
(1,17),-3.74078 # DEPENDENCYPART_ARC
(1,18),-3.76671 # DEPENDENCYPART_ARC
(1,19),-4.41336 # DEPENDENCYPART_ARC
(1,20),-3.91684 # DEPENDENCYPART_ARC
(1,21),-2.40546 # DEPENDENCYPART_ARC
(2,1),4.84058 # DEPENDENCYPART_ARC
(2,3),3.27834 # DEPENDENCYPART_ARC
(2,4),0.606357 # DEPENDENCYPART_ARC
(2,5),0.557616 # DEPENDENCYPART_ARC
(2,6),2.7103 # DEPENDENCYPART_ARC
(2,7),0.683393 # DEPENDENCYPART_ARC
(2,8),1.2335 # DEPENDENCYPART_ARC
(2,9),0.673815 # DEPENDENCYPART_ARC
(2,10),0.224065 # DEPENDENCYPART_ARC
(2,11),0.237473 # DEPENDENCYPART_ARC
(2,12),1.16127 # DEPENDENCYPART_ARC
(2,13),4.03911 # DEPENDENCYPART_ARC
(2,14),1.53766 # DEPENDENCYPART_ARC
(2,15),-0.716283 # DEPENDENCYPART_ARC
(2,16),-0.118794 # DEPENDENCYPART_ARC
(2,17),-0.933517 # DEPENDENCYPART_ARC
(2,18),-0.55523 # DEPENDENCYPART_ARC
(2,19),-1.42068 # DEPENDENCYPART_ARC
(2,20),-1.59429 # DEPENDENCYPART_ARC
(2,21),1.62973 # DEPENDENCYPART_ARC
(3,1),-0.860052 # DEPENDENCYPART_ARC
(3,2),-1.25827 # DEPENDENCYPART_ARC
(3,4),-0.707251 # DEPENDENCYPART_ARC
(3,5),-1.0298 # DEPENDENCYPART_ARC
(3,6),-0.759413 # DEPENDENCYPART_ARC
(3,7),-1.49234 # DEPENDENCYPART_ARC
(3,8),-1.55397 # DEPENDENCYPART_ARC
(3,9),-1.64123 # DEPENDENCYPART_ARC
(3,10),-2.17818 # DEPENDENCYPART_ARC
(3,11),-2.31805 # DEPENDENCYPART_ARC
(3,12),-2.35255 # DEPENDENCYPART_ARC
(3,13),-0.0284904 # DEPENDENCYPART_ARC
(3,14),-1.83078 # DEPENDENCYPART_ARC
(3,15),-2.30986 # DEPENDENCYPART_ARC
(3,16),-2.13246 # DEPENDENCYPART_ARC
(3,17),-2.82776 # DEPENDENCYPART_ARC
(3,18),-3.09271 # DEPENDENCYPART_ARC
(3,19),-2.20553 # DEPENDENCYPART_ARC
(3,20),-3.23355 # DEPENDENCYPART_ARC
(3,21),-2.35875 # DEPENDENCYPART_ARC
(4,1),0.114594 # DEPENDENCYPART_ARC
(4,2),-0.770329 # DEPENDENCYPART_ARC
(4,3),0.245358 # DEPENDENCYPART_ARC
(4,5),0.302609 # DEPENDENCYPART_ARC
(4,6),0.545791 # DEPENDENCYPART_ARC
(4,7),-0.326829 # DEPENDENCYPART_ARC
(4,8),-0.318558 # DEPENDENCYPART_ARC
(4,9),-0.691265 # DEPENDENCYPART_ARC
(4,10),-0.638702 # DEPENDENCYPART_ARC
(4,11),-0.752938 # DEPENDENCYPART_ARC
(4,12),-1.39142 # DEPENDENCYPART_ARC
(4,13),-0.607561 # DEPENDENCYPART_ARC
(4,14),-1.39164 # DEPENDENCYPART_ARC
(4,15),-1.36302 # DEPENDENCYPART_ARC
(4,16),-1.82198 # DEPENDENCYPART_ARC
(4,17),-1.96353 # DEPENDENCYPART_ARC
(4,18),-1.48187 # DEPENDENCYPART_ARC
(4,19),-1.85791 # DEPENDENCYPART_ARC
(4,20),-1.69228 # DEPENDENCYPART_ARC
(4,21),-1.42768 # DEPENDENCYPART_ARC
(5,1),-1.08263 # DEPENDENCYPART_ARC
(5,2),-1.48895 # DEPENDENCYPART_ARC
(5,3),-0.817517 # DEPENDENCYPART_ARC
(5,4),0.0535158 # DEPENDENCYPART_ARC
(5,6),0.48003 # DEPENDENCYPART_ARC
(5,7),-0.346608 # DEPENDENCYPART_ARC
(5,8),-0.443091 # DEPENDENCYPART_ARC
(5,9),-1.12015 # DEPENDENCYPART_ARC
(5,10),-1.24348 # DEPENDENCYPART_ARC
(5,11),-1.84434 # DEPENDENCYPART_ARC
(5,12),-2.10922 # DEPENDENCYPART_ARC
(5,13),-0.512031 # DEPENDENCYPART_ARC
(5,14),-1.46696 # DEPENDENCYPART_ARC
(5,15),-1.948 # DEPENDENCYPART_ARC
(5,16),-2.06647 # DEPENDENCYPART_ARC
(5,17),-2.031 # DEPENDENCYPART_ARC
(5,18),-3.08729 # DEPENDENCYPART_ARC
(5,19),-2.42307 # DEPENDENCYPART_ARC
(5,20),-3.42701 # DEPENDENCYPART_ARC
(5,21),0.491192 # DEPENDENCYPART_ARC
(6,1),-0.539398 # DEPENDENCYPART_ARC
(6,2),0.875816 # DEPENDENCYPART_ARC
(6,3),1.02362 # DEPENDENCYPART_ARC
(6,4),2.36969 # DEPENDENCYPART_ARC
(6,5),2.522 # DEPENDENCYPART_ARC
(6,7),1.45801 # DEPENDENCYPART_ARC
(6,8),1.62196 # DEPENDENCYPART_ARC
(6,9),0.566083 # DEPENDENCYPART_ARC
(6,10),1.08368 # DEPENDENCYPART_ARC
(6,11),0.893614 # DEPENDENCYPART_ARC
(6,12),0.620797 # DEPENDENCYPART_ARC
(6,13),-0.016718 # DEPENDENCYPART_ARC
(6,14),0.260356 # DEPENDENCYPART_ARC
(6,15),-0.282343 # DEPENDENCYPART_ARC
(6,16),-0.190339 # DEPENDENCYPART_ARC
(6,17),-1.78453 # DEPENDENCYPART_ARC
(6,18),-1.15606 # DEPENDENCYPART_ARC
(6,19),-0.274995 # DEPENDENCYPART_ARC
(6,20),-2.07732 # DEPENDENCYPART_ARC
(6,21),4.29177 # DEPENDENCYPART_ARC
(7,1),0.15852 # DEPENDENCYPART_ARC
(7,2),-0.295389 # DEPENDENCYPART_ARC
(7,3),-0.351283 # DEPENDENCYPART_ARC
(7,4),0.867902 # DEPENDENCYPART_ARC
(7,5),0.140786 # DEPENDENCYPART_ARC
(7,6),0.455518 # DEPENDENCYPART_ARC
(7,8),2.6268 # DEPENDENCYPART_ARC
(7,9),1.37476 # DEPENDENCYPART_ARC
(7,10),0.702796 # DEPENDENCYPART_ARC
(7,11),0.220296 # DEPENDENCYPART_ARC
(7,12),0.409192 # DEPENDENCYPART_ARC
(7,13),1.03296 # DEPENDENCYPART_ARC
(7,14),0.309197 # DEPENDENCYPART_ARC
(7,15),0.0611874 # DEPENDENCYPART_ARC
(7,16),-0.6036 # DEPENDENCYPART_ARC
(7,17),-0.308737 # DEPENDENCYPART_ARC
(7,18),-0.35824 # DEPENDENCYPART_ARC
(7,19),-0.730304 # DEPENDENCYPART_ARC
(7,20),-1.01656 # DEPENDENCYPART_ARC
(7,21),0.410233 # DEPENDENCYPART_ARC
(8,1),-0.991377 # DEPENDENCYPART_ARC
(8,2),-0.798737 # DEPENDENCYPART_ARC
(8,3),-1.29697 # DEPENDENCYPART_ARC
(8,4),-0.277577 # DEPENDENCYPART_ARC
(8,5),-0.8154 # DEPENDENCYPART_ARC
(8,6),-0.470048 # DEPENDENCYPART_ARC
(8,7),0.023853 # DEPENDENCYPART_ARC
(8,9),3.57939 # DEPENDENCYPART_ARC
(8,10),1.74354 # DEPENDENCYPART_ARC
(8,11),1.63429 # DEPENDENCYPART_ARC
(8,12),0.928852 # DEPENDENCYPART_ARC
(8,13),0.563265 # DEPENDENCYPART_ARC
(8,14),1.11042 # DEPENDENCYPART_ARC
(8,15),0.127645 # DEPENDENCYPART_ARC
(8,16),-0.68308 # DEPENDENCYPART_ARC
(8,17),-0.0580293 # DEPENDENCYPART_ARC
(8,18),-2.28296 # DEPENDENCYPART_ARC
(8,19),-0.829575 # DEPENDENCYPART_ARC
(8,20),-3.16674 # DEPENDENCYPART_ARC
(8,21),0.208395 # DEPENDENCYPART_ARC
(9,1),-1.44453 # DEPENDENCYPART_ARC
(9,2),-1.97703 # DEPENDENCYPART_ARC
(9,3),-1.68528 # DEPENDENCYPART_ARC
(9,4),-0.429878 # DEPENDENCYPART_ARC
(9,5),-1.59809 # DEPENDENCYPART_ARC
(9,6),-1.17724 # DEPENDENCYPART_ARC
(9,7),-1.01499 # DEPENDENCYPART_ARC
(9,8),-0.57677 # DEPENDENCYPART_ARC
(9,10),1.5798 # DEPENDENCYPART_ARC
(9,11),1.33092 # DEPENDENCYPART_ARC
(9,12),1.05029 # DEPENDENCYPART_ARC
(9,13),0.431534 # DEPENDENCYPART_ARC
(9,14),0.0810305 # DEPENDENCYPART_ARC
(9,15),0.505697 # DEPENDENCYPART_ARC
(9,16),-0.486365 # DEPENDENCYPART_ARC
(9,17),-0.679533 # DEPENDENCYPART_ARC
(9,18),-0.432466 # DEPENDENCYPART_ARC
(9,19),-0.599479 # DEPENDENCYPART_ARC
