# _root_ By the market 's close , volume on the New York exchange totaled more than 416 million , the fourth highest on record .
#goldHeads=13,3,5,3,1,13,13,7,12,12,12,8,0,17,17,17,13,17,20,17,20,20,22,13,
#predictedHeads=13,3,5,3,1,13,13,7,12,12,12,8,0,17,17,17,13,13,20,15,20,20,22,13,
(0,1),-7.03247 # DEPENDENCYPART_ARC
(0,2),-6.88443 # DEPENDENCYPART_ARC
(0,3),-5.77739 # DEPENDENCYPART_ARC
(0,4),-6.56418 # DEPENDENCYPART_ARC
(0,5),-6.02774 # DEPENDENCYPART_ARC
(0,6),-6.81987 # DEPENDENCYPART_ARC
(0,7),-6.21068 # DEPENDENCYPART_ARC
(0,8),-7.33773 # DEPENDENCYPART_ARC
(0,9),-7.90648 # DEPENDENCYPART_ARC
(0,10),-6.30372 # DEPENDENCYPART_ARC
(0,11),-6.05018 # DEPENDENCYPART_ARC
(0,12),-6.35615 # DEPENDENCYPART_ARC
(0,13),-2.41197 # DEPENDENCYPART_ARC
(0,14),-7.97454 # DEPENDENCYPART_ARC
(0,15),-8.45189 # DEPENDENCYPART_ARC
(0,16),-8.83739 # DEPENDENCYPART_ARC
(0,17),-8.95436 # DEPENDENCYPART_ARC
(0,18),-8.44338 # DEPENDENCYPART_ARC
(0,19),-9.07022 # DEPENDENCYPART_ARC
(0,20),-6.98853 # DEPENDENCYPART_ARC
(0,21),-8.81016 # DEPENDENCYPART_ARC
(0,22),-9.55203 # DEPENDENCYPART_ARC
(0,23),-7.24425 # DEPENDENCYPART_ARC
(0,24),-5.6427 # DEPENDENCYPART_ARC
(1,2),0.625076 # DEPENDENCYPART_ARC
(1,3),1.58052 # DEPENDENCYPART_ARC
(1,4),0.567684 # DEPENDENCYPART_ARC
(1,5),3.00278 # DEPENDENCYPART_ARC
(1,6),0.879189 # DEPENDENCYPART_ARC
(1,7),1.02473 # DEPENDENCYPART_ARC
(1,8),-0.124422 # DEPENDENCYPART_ARC
(1,9),-1.89592 # DEPENDENCYPART_ARC
(1,10),-2.31761 # DEPENDENCYPART_ARC
(1,11),-2.10463 # DEPENDENCYPART_ARC
(1,12),-1.31819 # DEPENDENCYPART_ARC
(1,13),-1.39925 # DEPENDENCYPART_ARC
(1,14),-0.777741 # DEPENDENCYPART_ARC
(1,15),0.0696675 # DEPENDENCYPART_ARC
(1,16),-3.35993 # DEPENDENCYPART_ARC
(1,17),-3.12035 # DEPENDENCYPART_ARC
(1,18),-0.215004 # DEPENDENCYPART_ARC
(1,19),-3.72936 # DEPENDENCYPART_ARC
(1,20),-2.48151 # DEPENDENCYPART_ARC
(1,21),-2.57798 # DEPENDENCYPART_ARC
(1,22),-1.93284 # DEPENDENCYPART_ARC
(1,23),-6.81626 # DEPENDENCYPART_ARC
(1,24),-1.77619 # DEPENDENCYPART_ARC
(2,1),-1.32122 # DEPENDENCYPART_ARC
(2,3),0.0341271 # DEPENDENCYPART_ARC
(2,4),-1.33192 # DEPENDENCYPART_ARC
(2,5),-1.32158 # DEPENDENCYPART_ARC
(2,6),-1.65786 # DEPENDENCYPART_ARC
(2,7),-1.77573 # DEPENDENCYPART_ARC
(2,8),-2.32762 # DEPENDENCYPART_ARC
(2,9),-2.90917 # DEPENDENCYPART_ARC
(2,10),-2.98642 # DEPENDENCYPART_ARC
(2,11),-2.86787 # DEPENDENCYPART_ARC
