# _root_ Dataproducts , which had been seeking a buyer for several months , announced a restructuring plan in September and took itself off the auction block .
#goldHeads=13,1,4,1,4,5,8,6,6,11,9,1,0,16,16,13,13,17,13,19,20,20,25,25,22,13,
#predictedHeads=13,1,4,1,4,5,8,6,8,11,9,1,0,16,16,13,16,17,13,19,20,20,25,25,22,13,
(0,1),-6.47189 # DEPENDENCYPART_ARC
(0,2),-6.89854 # DEPENDENCYPART_ARC
(0,3),-7.0009 # DEPENDENCYPART_ARC
(0,4),-5.27569 # DEPENDENCYPART_ARC
(0,5),-4.76474 # DEPENDENCYPART_ARC
(0,6),-6.70629 # DEPENDENCYPART_ARC
(0,7),-7.41949 # DEPENDENCYPART_ARC
(0,8),-7.34544 # DEPENDENCYPART_ARC
(0,9),-7.11106 # DEPENDENCYPART_ARC
(0,10),-6.863 # DEPENDENCYPART_ARC
(0,11),-6.57081 # DEPENDENCYPART_ARC
(0,12),-7.56564 # DEPENDENCYPART_ARC
(0,13),-1.85823 # DEPENDENCYPART_ARC
(0,14),-8.16691 # DEPENDENCYPART_ARC
(0,15),-6.90018 # DEPENDENCYPART_ARC
(0,16),-6.77851 # DEPENDENCYPART_ARC
(0,17),-8.83944 # DEPENDENCYPART_ARC
(0,18),-7.94903 # DEPENDENCYPART_ARC
(0,19),-9.09377 # DEPENDENCYPART_ARC
(0,20),-4.75663 # DEPENDENCYPART_ARC
(0,21),-7.56825 # DEPENDENCYPART_ARC
(0,22),-9.07179 # DEPENDENCYPART_ARC
(0,23),-9.63117 # DEPENDENCYPART_ARC
(0,24),-7.56227 # DEPENDENCYPART_ARC
(0,25),-7.2891 # DEPENDENCYPART_ARC
(0,26),-5.82996 # DEPENDENCYPART_ARC
(1,2),3.27257 # DEPENDENCYPART_ARC
(1,3),0.335236 # DEPENDENCYPART_ARC
(1,4),2.79289 # DEPENDENCYPART_ARC
(1,5),1.0048 # DEPENDENCYPART_ARC
(1,6),0.614091 # DEPENDENCYPART_ARC
(1,7),0.304296 # DEPENDENCYPART_ARC
(1,8),0.431232 # DEPENDENCYPART_ARC
(1,9),-0.193809 # DEPENDENCYPART_ARC
(1,10),-0.0514162 # DEPENDENCYPART_ARC
(1,11),0.105845 # DEPENDENCYPART_ARC
(1,12),3.52815 # DEPENDENCYPART_ARC
(1,13),0.612129 # DEPENDENCYPART_ARC
(1,14),-0.745154 # DEPENDENCYPART_ARC
(1,15),-2.38309 # DEPENDENCYPART_ARC
(1,16),-2.30053 # DEPENDENCYPART_ARC
(1,17),-1.66542 # DEPENDENCYPART_ARC
(1,18),-1.83353 # DEPENDENCYPART_ARC
(1,19),0.366844 # DEPENDENCYPART_ARC
(1,20),-0.508331 # DEPENDENCYPART_ARC
(1,21),-0.750643 # DEPENDENCYPART_ARC
(1,22),-2.33125 # DEPENDENCYPART_ARC
(1,23),-1.43298 # DEPENDENCYPART_ARC
(1,24),-6.10973 # DEPENDENCYPART_ARC
(1,25),-6.17512 # DEPENDENCYPART_ARC
(1,26),0.3509 # DEPENDENCYPART_ARC
(2,1),-1.03044 # DEPENDENCYPART_ARC
(2,3),-0.85477 # DEPENDENCYPART_ARC
(2,4),-0.570717 # DEPENDENCYPART_ARC
(2,5),-1.29193 # DEPENDENCYPART_ARC
(2,6),-1.45582 # DEPENDENCYPART_ARC
(2,7),-2.00318 # DEPENDENCYPART_ARC
(2,8),-2.37659 # DEPENDENCYPART_ARC
(2,9),-1.64761 # DEPENDENCYPART_ARC
(2,10),-2.31224 # DEPENDENCYPART_ARC
(2,11),-2.55635 # DEPENDENCYPART_ARC
(2,12),-0.551627 # DEPENDENCYPART_ARC
(2,13),-2.00016 # DEPENDENCYPART_ARC
(2,14),-2.71347 # DEPENDENCYPART_ARC
(2,15),-3.12652 # DEPENDENCYPART_ARC
(2,16),-3.30149 # DEPENDENCYPART_ARC
(2,17),-2.39434 # DEPENDENCYPART_ARC
(2,18),-3.07921 # DEPENDENCYPART_ARC
(2,19),-2.75512 # DEPENDENCYPART_ARC
(2,20),-2.73314 # DEPENDENCYPART_ARC
(2,21),-3.18453 # DEPENDENCYPART_ARC
(2,22),-2.77775 # DEPENDENCYPART_ARC
(2,23),-3.52398 # DEPENDENCYPART_ARC
(2,24),-4.08887 # DEPENDENCYPART_ARC
(2,25),-4.19294 # DEPENDENCYPART_ARC
(2,26),-3.09921 # DEPENDENCYPART_ARC
(3,1),-0.681942 # DEPENDENCYPART_ARC
(3,2),0.141947 # DEPENDENCYPART_ARC
(3,4),0.833508 # DEPENDENCYPART_ARC
(3,5),-0.267756 # DEPENDENCYPART_ARC
(3,6),-0.717327 # DEPENDENCYPART_ARC
(3,7),-1.48996 # DEPENDENCYPART_ARC
(3,8),-0.76586 # DEPENDENCYPART_ARC
(3,9),-1.27497 # DEPENDENCYPART_ARC
(3,10),-1.70709 # DEPENDENCYPART_ARC
(3,11),-1.91055 # DEPENDENCYPART_ARC
(3,12),-1.11668 # DEPENDENCYPART_ARC
(3,13),-1.81035 # DEPENDENCYPART_ARC
(3,14),-2.37862 # DEPENDENCYPART_ARC
(3,15),-1.86265 # DEPENDENCYPART_ARC
(3,16),-1.89991 # DEPENDENCYPART_ARC
(3,17),-2.32772 # DEPENDENCYPART_ARC
(3,18),-2.65453 # DEPENDENCYPART_ARC
(3,19),-2.15157 # DEPENDENCYPART_ARC
(3,20),-2.88366 # DEPENDENCYPART_ARC
(3,21),-2.94279 # DEPENDENCYPART_ARC
(3,22),-2.69447 # DEPENDENCYPART_ARC
(3,23),-3.28809 # DEPENDENCYPART_ARC
(3,24),-2.71627 # DEPENDENCYPART_ARC
(3,25),-2.87883 # DEPENDENCYPART_ARC
(3,26),-2.41156 # DEPENDENCYPART_ARC
(4,1),0.262675 # DEPENDENCYPART_ARC
(4,2),0.272291 # DEPENDENCYPART_ARC
(4,3),3.21757 # DEPENDENCYPART_ARC
(4,5),4.62938 # DEPENDENCYPART_ARC
(4,6),0.745878 # DEPENDENCYPART_ARC
(4,7),-0.430662 # DEPENDENCYPART_ARC
(4,8),0.0169681 # DEPENDENCYPART_ARC
(4,9),0.245113 # DEPENDENCYPART_ARC
(4,10),-1.2705 # DEPENDENCYPART_ARC
(4,11),-0.0824754 # DEPENDENCYPART_ARC
(4,12),0.991779 # DEPENDENCYPART_ARC
(4,13),0.511042 # DEPENDENCYPART_ARC
(4,14),-1.36557 # DEPENDENCYPART_ARC
(4,15),-2.47254 # DEPENDENCYPART_ARC
(4,16),-2.97811 # DEPENDENCYPART_ARC
(4,17),-0.993431 # DEPENDENCYPART_ARC
(4,18),-1.9821 # DEPENDENCYPART_ARC
(4,19),1.48609 # DEPENDENCYPART_ARC
(4,20),-0.89709 # DEPENDENCYPART_ARC
(4,21),-0.682376 # DEPENDENCYPART_ARC
(4,22),-2.64841 # DEPENDENCYPART_ARC
(4,23),-2.68186 # DEPENDENCYPART_ARC
(4,24),-5.19989 # DEPENDENCYPART_ARC
(4,25),-5.10319 # DEPENDENCYPART_ARC
(4,26),3.35034 # DEPENDENCYPART_ARC
(5,1),-0.393349 # DEPENDENCYPART_ARC
(5,2),0.26666 # DEPENDENCYPART_ARC
(5,3),1.06281 # DEPENDENCYPART_ARC
(5,4),0.497931 # DEPENDENCYPART_ARC
(5,6),3.71767 # DEPENDENCYPART_ARC
(5,7),0.586824 # DEPENDENCYPART_ARC
(5,8),0.944302 # DEPENDENCYPART_ARC
(5,9),1.76826 # DEPENDENCYPART_ARC
(5,10),0.489939 # DEPENDENCYPART_ARC
(5,11),0.602828 # DEPENDENCYPART_ARC
(5,12),0.867107 # DEPENDENCYPART_ARC
(5,13),0.274946 # DEPENDENCYPART_ARC
(5,14),-0.439455 # DEPENDENCYPART_ARC
(5,15),-1.20089 # DEPENDENCYPART_ARC
(5,16),-1.0686 # DEPENDENCYPART_ARC
(5,17),-0.607397 # DEPENDENCYPART_ARC
(5,18),-1.08896 # DEPENDENCYPART_ARC
(5,19),0.133476 # DEPENDENCYPART_ARC
