# _root_ In the year-earlier quarter , Morgan earned $ 233.6 million , or $ 1.25 a share .
#goldHeads=7,4,4,1,7,7,0,7,8,8,8,8,12,13,16,13,7,
#predictedHeads=7,4,4,1,7,7,0,7,8,8,8,8,12,13,16,13,7,
(0,1),-6.7136 # DEPENDENCYPART_ARC
(0,2),-6.82059 # DEPENDENCYPART_ARC
(0,3),-6.23021 # DEPENDENCYPART_ARC
(0,4),-6.11069 # DEPENDENCYPART_ARC
(0,5),-7.04932 # DEPENDENCYPART_ARC
(0,6),-5.63985 # DEPENDENCYPART_ARC
(0,7),-2.6197 # DEPENDENCYPART_ARC
(0,8),-7.95659 # DEPENDENCYPART_ARC
(0,9),-8.15942 # DEPENDENCYPART_ARC
(0,10),-8.30975 # DEPENDENCYPART_ARC
(0,11),-7.09729 # DEPENDENCYPART_ARC
(0,12),-7.73851 # DEPENDENCYPART_ARC
(0,13),-8.28412 # DEPENDENCYPART_ARC
(0,14),-8.50062 # DEPENDENCYPART_ARC
(0,15),-7.96222 # DEPENDENCYPART_ARC
(0,16),-6.55977 # DEPENDENCYPART_ARC
(0,17),-6.06714 # DEPENDENCYPART_ARC
(1,2),0.708436 # DEPENDENCYPART_ARC
(1,3),1.48162 # DEPENDENCYPART_ARC
(1,4),4.19678 # DEPENDENCYPART_ARC
(1,5),0.574721 # DEPENDENCYPART_ARC
(1,6),0.254177 # DEPENDENCYPART_ARC
(1,7),0.0511475 # DEPENDENCYPART_ARC
(1,8),-1.95928 # DEPENDENCYPART_ARC
(1,9),-0.872824 # DEPENDENCYPART_ARC
(1,10),-0.515906 # DEPENDENCYPART_ARC
(1,11),0.454979 # DEPENDENCYPART_ARC
(1,12),-0.944406 # DEPENDENCYPART_ARC
(1,13),-3.79326 # DEPENDENCYPART_ARC
(1,14),-0.797389 # DEPENDENCYPART_ARC
(1,15),-2.73921 # DEPENDENCYPART_ARC
(1,16),-4.18174 # DEPENDENCYPART_ARC
(1,17),1.32059 # DEPENDENCYPART_ARC
(2,1),-1.65637 # DEPENDENCYPART_ARC
(2,3),-0.22947 # DEPENDENCYPART_ARC
(2,4),-0.894444 # DEPENDENCYPART_ARC
(2,5),-1.56134 # DEPENDENCYPART_ARC
(2,6),-1.75374 # DEPENDENCYPART_ARC
(2,7),-1.56802 # DEPENDENCYPART_ARC
(2,8),-3.03969 # DEPENDENCYPART_ARC
(2,9),-2.05041 # DEPENDENCYPART_ARC
(2,10),-2.05453 # DEPENDENCYPART_ARC
(2,11),-1.81433 # DEPENDENCYPART_ARC
(2,12),-2.20925 # DEPENDENCYPART_ARC
(2,13),-3.67182 # DEPENDENCYPART_ARC
(2,14),-2.83111 # DEPENDENCYPART_ARC
(2,15),-3.55749 # DEPENDENCYPART_ARC
(2,16),-2.89429 # DEPENDENCYPART_ARC
(2,17),-2.52527 # DEPENDENCYPART_ARC
(3,1),-0.601246 # DEPENDENCYPART_ARC
(3,2),1.77299 # DEPENDENCYPART_ARC
(3,4),0.934132 # DEPENDENCYPART_ARC
(3,5),0.0533467 # DEPENDENCYPART_ARC
(3,6),-0.245408 # DEPENDENCYPART_ARC
(3,7),-0.256703 # DEPENDENCYPART_ARC
(3,8),-1.03206 # DEPENDENCYPART_ARC
(3,9),-1.55613 # DEPENDENCYPART_ARC
(3,10),-1.38112 # DEPENDENCYPART_ARC
(3,11),-0.469592 # DEPENDENCYPART_ARC
(3,12),-0.629953 # DEPENDENCYPART_ARC
(3,13),-1.88091 # DEPENDENCYPART_ARC
(3,14),-2.11409 # DEPENDENCYPART_ARC
(3,15),-2.02795 # DEPENDENCYPART_ARC
(3,16),-2.00092 # DEPENDENCYPART_ARC
(3,17),-0.661427 # DEPENDENCYPART_ARC
(4,1),0.249937 # DEPENDENCYPART_ARC
(4,2),4.87059 # DEPENDENCYPART_ARC
(4,3),4.63441 # DEPENDENCYPART_ARC
(4,5),1.79179 # DEPENDENCYPART_ARC
(4,6),0.43145 # DEPENDENCYPART_ARC
(4,7),1.02731 # DEPENDENCYPART_ARC
(4,8),-0.267127 # DEPENDENCYPART_ARC
(4,9),0.391729 # DEPENDENCYPART_ARC
(4,10),-0.314448 # DEPENDENCYPART_ARC
(4,11),1.04222 # DEPENDENCYPART_ARC
(4,12),0.688448 # DEPENDENCYPART_ARC
(4,13),-1.01753 # DEPENDENCYPART_ARC
(4,14),-0.253078 # DEPENDENCYPART_ARC
(4,15),-0.836369 # DEPENDENCYPART_ARC
(4,16),-1.03071 # DEPENDENCYPART_ARC
(4,17),0.0666163 # DEPENDENCYPART_ARC
(5,1),-1.6473 # DEPENDENCYPART_ARC
(5,2),-0.785578 # DEPENDENCYPART_ARC
(5,3),-1.39701 # DEPENDENCYPART_ARC
(5,4),-0.989778 # DEPENDENCYPART_ARC
(5,6),0.142359 # DEPENDENCYPART_ARC
(5,7),-0.241027 # DEPENDENCYPART_ARC
(5,8),-1.22442 # DEPENDENCYPART_ARC
(5,9),-1.4888 # DEPENDENCYPART_ARC
(5,10),-1.66034 # DEPENDENCYPART_ARC
(5,11),0.248554 # DEPENDENCYPART_ARC
(5,12),-1.46369 # DEPENDENCYPART_ARC
(5,13),-2.27835 # DEPENDENCYPART_ARC
(5,14),-2.37171 # DEPENDENCYPART_ARC
(5,15),-2.0754 # DEPENDENCYPART_ARC
(5,16),-2.42172 # DEPENDENCYPART_ARC
(5,17),-1.52945 # DEPENDENCYPART_ARC
(6,1),-1.37713 # DEPENDENCYPART_ARC
(6,2),1.0124 # DEPENDENCYPART_ARC
(6,3),0.744259 # DEPENDENCYPART_ARC
(6,4),-0.985693 # DEPENDENCYPART_ARC
(6,5),1.56715 # DEPENDENCYPART_ARC
(6,7),0.635796 # DEPENDENCYPART_ARC
(6,8),-0.196363 # DEPENDENCYPART_ARC
(6,9),0.34925 # DEPENDENCYPART_ARC
(6,10),-0.0519152 # DEPENDENCYPART_ARC
(6,11),0.127783 # DEPENDENCYPART_ARC
(6,12),-0.491439 # DEPENDENCYPART_ARC
(6,13),-1.74953 # DEPENDENCYPART_ARC
(6,14),-1.21013 # DEPENDENCYPART_ARC
(6,15),-1.20677 # DEPENDENCYPART_ARC
(6,16),-2.13673 # DEPENDENCYPART_ARC
(6,17),0.0709625 # DEPENDENCYPART_ARC
(7,1),3.89043 # DEPENDENCYPART_ARC
(7,2),0.302555 # DEPENDENCYPART_ARC
(7,3),1.39992 # DEPENDENCYPART_ARC
(7,4),1.55349 # DEPENDENCYPART_ARC
(7,5),4.35001 # DEPENDENCYPART_ARC
(7,6),3.7908 # DEPENDENCYPART_ARC
(7,8),2.10475 # DEPENDENCYPART_ARC
(7,9),1.21711 # DEPENDENCYPART_ARC
(7,10),1.05176 # DEPENDENCYPART_ARC
(7,11),1.66567 # DEPENDENCYPART_ARC
(7,12),0.488036 # DEPENDENCYPART_ARC
(7,13),-0.347184 # DEPENDENCYPART_ARC
(7,14),-0.407244 # DEPENDENCYPART_ARC
(7,15),-0.199432 # DEPENDENCYPART_ARC
(7,16),0.136153 # DEPENDENCYPART_ARC
(7,17),5.05381 # DEPENDENCYPART_ARC
(8,1),-1.27217 # DEPENDENCYPART_ARC
(8,2),0.551764 # DEPENDENCYPART_ARC
(8,3),-0.211931 # DEPENDENCYPART_ARC
(8,4),0.00974569 # DEPENDENCYPART_ARC
(8,5),0.05679 # DEPENDENCYPART_ARC
(8,6),0.279968 # DEPENDENCYPART_ARC
(8,7),1.28221 # DEPENDENCYPART_ARC
(8,9),4.14943 # DEPENDENCYPART_ARC
(8,10),3.73548 # DEPENDENCYPART_ARC
(8,11),3.59441 # DEPENDENCYPART_ARC
(8,12),2.98317 # DEPENDENCYPART_ARC
(8,13),-0.136905 # DEPENDENCYPART_ARC
(8,14),-0.24197 # DEPENDENCYPART_ARC
(8,15),0.656578 # DEPENDENCYPART_ARC
(8,16),0.386793 # DEPENDENCYPART_ARC
(8,17),-0.197583 # DEPENDENCYPART_ARC
(9,1),-3.62274 # DEPENDENCYPART_ARC
(9,2),-1.59788 # DEPENDENCYPART_ARC
(9,3),-2.00904 # DEPENDENCYPART_ARC
