# _root_ Mr. Freund , former chief economist of the New York Stock Exchange , is a professor of economics at Pace University 's business school in New York .
#goldHeads=2,14,2,6,6,2,6,12,12,12,12,7,2,0,16,14,16,17,16,21,24,21,24,19,24,27,25,14,
#predictedHeads=2,14,2,6,6,2,6,12,12,12,12,7,2,0,16,14,16,17,16,21,24,21,24,19,24,27,25,14,
(0,1),-5.94768 # DEPENDENCYPART_ARC
(0,2),-6.60067 # DEPENDENCYPART_ARC
(0,3),-6.56142 # DEPENDENCYPART_ARC
(0,4),-6.76722 # DEPENDENCYPART_ARC
(0,5),-6.41904 # DEPENDENCYPART_ARC
(0,6),-7.73674 # DEPENDENCYPART_ARC
(0,7),-7.57115 # DEPENDENCYPART_ARC
(0,8),-7.82953 # DEPENDENCYPART_ARC
(0,9),-7.01768 # DEPENDENCYPART_ARC
(0,10),-7.33674 # DEPENDENCYPART_ARC
(0,11),-7.04991 # DEPENDENCYPART_ARC
(0,12),-8.27106 # DEPENDENCYPART_ARC
(0,13),-7.8829 # DEPENDENCYPART_ARC
(0,14),-1.78452 # DEPENDENCYPART_ARC
(0,15),-8.18021 # DEPENDENCYPART_ARC
(0,16),-9.28881 # DEPENDENCYPART_ARC
(0,17),-9.7956 # DEPENDENCYPART_ARC
(0,18),-6.50301 # DEPENDENCYPART_ARC
(0,19),-10.3709 # DEPENDENCYPART_ARC
(0,20),-8.44967 # DEPENDENCYPART_ARC
(0,21),-10.2198 # DEPENDENCYPART_ARC
(0,22),-12.6559 # DEPENDENCYPART_ARC
(0,23),-9.14393 # DEPENDENCYPART_ARC
(0,24),-9.31535 # DEPENDENCYPART_ARC
(0,25),-11.9544 # DEPENDENCYPART_ARC
(0,26),-9.4863 # DEPENDENCYPART_ARC
(0,27),-9.88438 # DEPENDENCYPART_ARC
(0,28),-6.25739 # DEPENDENCYPART_ARC
(1,2),0.73463 # DEPENDENCYPART_ARC
(1,3),0.857222 # DEPENDENCYPART_ARC
(1,4),-0.0880814 # DEPENDENCYPART_ARC
(1,5),-0.147213 # DEPENDENCYPART_ARC
(1,6),0.858418 # DEPENDENCYPART_ARC
(1,7),-0.616139 # DEPENDENCYPART_ARC
(1,8),-0.960209 # DEPENDENCYPART_ARC
(1,9),-1.90011 # DEPENDENCYPART_ARC
(1,10),-1.1417 # DEPENDENCYPART_ARC
(1,11),-1.54979 # DEPENDENCYPART_ARC
(1,12),-0.951145 # DEPENDENCYPART_ARC
(1,13),1.34476 # DEPENDENCYPART_ARC
(1,14),-1.51104 # DEPENDENCYPART_ARC
(1,15),-1.77105 # DEPENDENCYPART_ARC
(1,16),-0.704182 # DEPENDENCYPART_ARC
(1,17),-1.8689 # DEPENDENCYPART_ARC
(1,18),-1.74548 # DEPENDENCYPART_ARC
(1,19),-1.93158 # DEPENDENCYPART_ARC
(1,20),-3.76688 # DEPENDENCYPART_ARC
(1,21),-3.75906 # DEPENDENCYPART_ARC
(1,22),-4.15482 # DEPENDENCYPART_ARC
(1,23),-4.05944 # DEPENDENCYPART_ARC
(1,24),-3.37221 # DEPENDENCYPART_ARC
(1,25),-2.65249 # DEPENDENCYPART_ARC
(1,26),-4.74139 # DEPENDENCYPART_ARC
(1,27),-3.25534 # DEPENDENCYPART_ARC
(1,28),-0.908268 # DEPENDENCYPART_ARC
(2,1),5.3632 # DEPENDENCYPART_ARC
(2,3),3.13503 # DEPENDENCYPART_ARC
(2,4),1.56092 # DEPENDENCYPART_ARC
(2,5),1.27336 # DEPENDENCYPART_ARC
(2,6),2.61294 # DEPENDENCYPART_ARC
(2,7),0.997533 # DEPENDENCYPART_ARC
(2,8),0.181174 # DEPENDENCYPART_ARC
(2,9),-0.363463 # DEPENDENCYPART_ARC
(2,10),0.180444 # DEPENDENCYPART_ARC
(2,11),-0.0120375 # DEPENDENCYPART_ARC
(2,12),0.958143 # DEPENDENCYPART_ARC
(2,13),3.4805 # DEPENDENCYPART_ARC
(2,14),-0.192041 # DEPENDENCYPART_ARC
(2,15),-0.54597 # DEPENDENCYPART_ARC
(2,16),0.522679 # DEPENDENCYPART_ARC
(2,17),-1.63471 # DEPENDENCYPART_ARC
(2,18),-0.555577 # DEPENDENCYPART_ARC
(2,19),-1.19694 # DEPENDENCYPART_ARC
(2,20),-2.49821 # DEPENDENCYPART_ARC
(2,21),-1.80758 # DEPENDENCYPART_ARC
(2,22),-2.02182 # DEPENDENCYPART_ARC
