# _root_ Many employers have already begun moving to southern countries such as Spain and Italy , where wages are low and unions are weaker ; demand for trained labor and managers will rise there , FMC says .
#goldHeads=2,3,36,3,3,5,6,9,7,11,9,11,12,13,9,18,18,9,18,18,22,20,22,3,31,25,28,26,28,29,3,31,32,3,36,0,36,
#predictedHeads=2,3,0,3,3,5,6,9,7,11,9,11,12,13,14,18,18,12,18,18,22,20,22,22,31,25,28,26,28,29,22,31,32,36,36,32,3,
(0,1),-6.31804 # DEPENDENCYPART_ARC
(0,2),-6.34158 # DEPENDENCYPART_ARC
(0,3),-2.65374 # DEPENDENCYPART_ARC
(0,4),-7.0339 # DEPENDENCYPART_ARC
(0,5),-5.54412 # DEPENDENCYPART_ARC
(0,6),-6.58412 # DEPENDENCYPART_ARC
(0,7),-6.66006 # DEPENDENCYPART_ARC
(0,8),-6.60806 # DEPENDENCYPART_ARC
(0,9),-6.54939 # DEPENDENCYPART_ARC
(0,10),-6.55609 # DEPENDENCYPART_ARC
(0,11),-7.10489 # DEPENDENCYPART_ARC
(0,12),-6.66667 # DEPENDENCYPART_ARC
(0,13),-8.19499 # DEPENDENCYPART_ARC
(0,14),-7.09064 # DEPENDENCYPART_ARC
(0,15),-7.8692 # DEPENDENCYPART_ARC
(0,16),-6.39157 # DEPENDENCYPART_ARC
(0,17),-6.49093 # DEPENDENCYPART_ARC
(0,18),-3.87766 # DEPENDENCYPART_ARC
(0,19),-6.90923 # DEPENDENCYPART_ARC
(0,20),-9.02015 # DEPENDENCYPART_ARC
(0,21),-7.20767 # DEPENDENCYPART_ARC
(0,22),-4.05051 # DEPENDENCYPART_ARC
(0,23),-8.37384 # DEPENDENCYPART_ARC
(0,24),-8.45963 # DEPENDENCYPART_ARC
(0,25),-8.93902 # DEPENDENCYPART_ARC
(0,26),-9.9489 # DEPENDENCYPART_ARC
(0,27),-6.81845 # DEPENDENCYPART_ARC
(0,28),-8.80711 # DEPENDENCYPART_ARC
(0,29),-10.2527 # DEPENDENCYPART_ARC
(0,30),-8.54421 # DEPENDENCYPART_ARC
(0,31),-5.22861 # DEPENDENCYPART_ARC
(0,32),-7.62419 # DEPENDENCYPART_ARC
(0,33),-10.2675 # DEPENDENCYPART_ARC
(0,34),-11.0389 # DEPENDENCYPART_ARC
(0,35),-9.13089 # DEPENDENCYPART_ARC
(0,36),-2.37924 # DEPENDENCYPART_ARC
(0,37),-7.47503 # DEPENDENCYPART_ARC
(1,2),0.991912 # DEPENDENCYPART_ARC
(1,3),1.07789 # DEPENDENCYPART_ARC
(1,4),-0.207505 # DEPENDENCYPART_ARC
(1,5),0.00106607 # DEPENDENCYPART_ARC
(1,6),-0.213351 # DEPENDENCYPART_ARC
(1,7),-0.542707 # DEPENDENCYPART_ARC
(1,8),-0.707522 # DEPENDENCYPART_ARC
(1,9),-0.774346 # DEPENDENCYPART_ARC
(1,10),-1.19881 # DEPENDENCYPART_ARC
(1,11),-0.0515155 # DEPENDENCYPART_ARC
(1,12),-1.58653 # DEPENDENCYPART_ARC
(1,13),-1.34919 # DEPENDENCYPART_ARC
(1,14),-1.74799 # DEPENDENCYPART_ARC
(1,15),-0.667977 # DEPENDENCYPART_ARC
(1,16),-1.74581 # DEPENDENCYPART_ARC
(1,17),-1.28662 # DEPENDENCYPART_ARC
(1,18),-1.39288 # DEPENDENCYPART_ARC
(1,19),-1.88475 # DEPENDENCYPART_ARC
(1,20),-2.67952 # DEPENDENCYPART_ARC
(1,21),-1.67006 # DEPENDENCYPART_ARC
(1,22),-1.79359 # DEPENDENCYPART_ARC
(1,23),-2.20896 # DEPENDENCYPART_ARC
(1,24),-1.76394 # DEPENDENCYPART_ARC
(1,25),-2.65801 # DEPENDENCYPART_ARC
(1,26),-3.30455 # DEPENDENCYPART_ARC
(1,27),-2.2313 # DEPENDENCYPART_ARC
(1,28),-2.99283 # DEPENDENCYPART_ARC
(1,29),-4.35511 # DEPENDENCYPART_ARC
(1,30),-2.87345 # DEPENDENCYPART_ARC
(1,31),-2.26564 # DEPENDENCYPART_ARC
(1,32),-3.28437 # DEPENDENCYPART_ARC
(1,33),-3.66821 # DEPENDENCYPART_ARC
(1,34),-3.29552 # DEPENDENCYPART_ARC
(1,35),-3.79752 # DEPENDENCYPART_ARC
(1,36),-3.7079 # DEPENDENCYPART_ARC
(1,37),-0.132957 # DEPENDENCYPART_ARC
(2,1),4.50731 # DEPENDENCYPART_ARC
(2,3),0.73588 # DEPENDENCYPART_ARC
(2,4),-0.098367 # DEPENDENCYPART_ARC
(2,5),0.192912 # DEPENDENCYPART_ARC
(2,6),0.155513 # DEPENDENCYPART_ARC
(2,7),-0.186352 # DEPENDENCYPART_ARC
(2,8),-0.282895 # DEPENDENCYPART_ARC
(2,9),0.30734 # DEPENDENCYPART_ARC
(2,10),-0.532378 # DEPENDENCYPART_ARC
(2,11),1.45 # DEPENDENCYPART_ARC
(2,12),-0.889373 # DEPENDENCYPART_ARC
(2,13),0.149969 # DEPENDENCYPART_ARC
(2,14),-0.927138 # DEPENDENCYPART_ARC
(2,15),0.547119 # DEPENDENCYPART_ARC
(2,16),-1.86068 # DEPENDENCYPART_ARC
(2,17),-1.27977 # DEPENDENCYPART_ARC
(2,18),-2.37684 # DEPENDENCYPART_ARC
(2,19),-1.18921 # DEPENDENCYPART_ARC
(2,20),-0.636844 # DEPENDENCYPART_ARC
(2,21),-2.15944 # DEPENDENCYPART_ARC
(2,22),-3.06559 # DEPENDENCYPART_ARC
(2,23),-2.29795 # DEPENDENCYPART_ARC
(2,24),-1.44002 # DEPENDENCYPART_ARC
(2,25),-2.46669 # DEPENDENCYPART_ARC
(2,26),-2.27446 # DEPENDENCYPART_ARC
(2,27),-2.52132 # DEPENDENCYPART_ARC
(2,28),-2.90381 # DEPENDENCYPART_ARC
(2,29),-2.02681 # DEPENDENCYPART_ARC
(2,30),-3.15564 # DEPENDENCYPART_ARC
(2,31),-2.81296 # DEPENDENCYPART_ARC
(2,32),-2.21321 # DEPENDENCYPART_ARC
(2,33),-1.43619 # DEPENDENCYPART_ARC
(2,34),-2.98075 # DEPENDENCYPART_ARC
(2,35),-2.85883 # DEPENDENCYPART_ARC
(2,36),-2.8388 # DEPENDENCYPART_ARC
(2,37),-0.580872 # DEPENDENCYPART_ARC
(3,1),2.22479 # DEPENDENCYPART_ARC
(3,2),2.77845 # DEPENDENCYPART_ARC
(3,4),4.14673 # DEPENDENCYPART_ARC
(3,5),4.72713 # DEPENDENCYPART_ARC
(3,6),1.57662 # DEPENDENCYPART_ARC
(3,7),1.43319 # DEPENDENCYPART_ARC
(3,8),0.0625759 # DEPENDENCYPART_ARC
(3,9),0.589614 # DEPENDENCYPART_ARC
(3,10),0.216268 # DEPENDENCYPART_ARC
(3,11),0.889409 # DEPENDENCYPART_ARC
(3,12),-0.0387646 # DEPENDENCYPART_ARC
(3,13),2.50539 # DEPENDENCYPART_ARC
(3,14),-0.0429698 # DEPENDENCYPART_ARC
(3,15),1.75401 # DEPENDENCYPART_ARC
(3,16),-0.669294 # DEPENDENCYPART_ARC
(3,17),-1.83766 # DEPENDENCYPART_ARC
(3,18),1.11951 # DEPENDENCYPART_ARC
(3,19),-0.330837 # DEPENDENCYPART_ARC
(3,20),1.49432 # DEPENDENCYPART_ARC
(3,21),-2.37746 # DEPENDENCYPART_ARC
(3,22),0.668004 # DEPENDENCYPART_ARC
(3,23),-1.16267 # DEPENDENCYPART_ARC
(3,24),2.56804 # DEPENDENCYPART_ARC
(3,25),-2.2657 # DEPENDENCYPART_ARC
(3,26),-1.32563 # DEPENDENCYPART_ARC
(3,27),-0.963061 # DEPENDENCYPART_ARC
(3,28),-3.41922 # DEPENDENCYPART_ARC
(3,29),-0.732439 # DEPENDENCYPART_ARC
(3,30),-4.73725 # DEPENDENCYPART_ARC
(3,31),-2.65746 # DEPENDENCYPART_ARC
(3,32),-0.846628 # DEPENDENCYPART_ARC
(3,33),-1.15828 # DEPENDENCYPART_ARC
(3,34),-1.03283 # DEPENDENCYPART_ARC
(3,35),-2.86283 # DEPENDENCYPART_ARC
(3,36),-0.0853533 # DEPENDENCYPART_ARC
(3,37),8.24554 # DEPENDENCYPART_ARC
(4,1),-0.30357 # DEPENDENCYPART_ARC
(4,2),-0.74267 # DEPENDENCYPART_ARC
(4,3),-0.288523 # DEPENDENCYPART_ARC
(4,5),0.666793 # DEPENDENCYPART_ARC
(4,6),0.165166 # DEPENDENCYPART_ARC
(4,7),0.993348 # DEPENDENCYPART_ARC
(4,8),-0.0377156 # DEPENDENCYPART_ARC
(4,9),-0.449474 # DEPENDENCYPART_ARC
