# _root_ `` They 've been laggard , '' he says , `` but they 'll have to become more aggressive . ''
#goldHeads=3,3,9,3,4,3,3,9,0,3,3,3,14,12,14,15,16,19,17,3,3,
#predictedHeads=3,3,9,3,4,9,9,9,0,9,4,3,14,12,14,15,16,19,17,14,14,
(0,1),-6.38143 # DEPENDENCYPART_ARC
(0,2),-5.73808 # DEPENDENCYPART_ARC
(0,3),-3.93576 # DEPENDENCYPART_ARC
(0,4),-4.94925 # DEPENDENCYPART_ARC
(0,5),-6.65033 # DEPENDENCYPART_ARC
(0,6),-6.39896 # DEPENDENCYPART_ARC
(0,7),-6.24266 # DEPENDENCYPART_ARC
(0,8),-3.91803 # DEPENDENCYPART_ARC
(0,9),-0.473862 # DEPENDENCYPART_ARC
(0,10),-6.845 # DEPENDENCYPART_ARC
(0,11),-7.21632 # DEPENDENCYPART_ARC
(0,12),-8.41592 # DEPENDENCYPART_ARC
(0,13),-5.72282 # DEPENDENCYPART_ARC
(0,14),-5.17521 # DEPENDENCYPART_ARC
(0,15),-4.76177 # DEPENDENCYPART_ARC
(0,16),-7.61812 # DEPENDENCYPART_ARC
(0,17),-5.52716 # DEPENDENCYPART_ARC
(0,18),-7.57255 # DEPENDENCYPART_ARC
(0,19),-8.13398 # DEPENDENCYPART_ARC
(0,20),-5.675 # DEPENDENCYPART_ARC
(0,21),-7.27539 # DEPENDENCYPART_ARC
(1,2),-1.39888 # DEPENDENCYPART_ARC
(1,3),-2.02485 # DEPENDENCYPART_ARC
(1,4),-1.97831 # DEPENDENCYPART_ARC
(1,5),-2.01639 # DEPENDENCYPART_ARC
(1,6),-2.09243 # DEPENDENCYPART_ARC
(1,7),-1.1786 # DEPENDENCYPART_ARC
(1,8),-2.83212 # DEPENDENCYPART_ARC
(1,9),-2.85952 # DEPENDENCYPART_ARC
(1,10),-2.25824 # DEPENDENCYPART_ARC
(1,11),-2.81352 # DEPENDENCYPART_ARC
(1,12),-3.43529 # DEPENDENCYPART_ARC
(1,13),-3.30585 # DEPENDENCYPART_ARC
(1,14),-3.67704 # DEPENDENCYPART_ARC
(1,15),-3.54043 # DEPENDENCYPART_ARC
(1,16),-3.62545 # DEPENDENCYPART_ARC
(1,17),-3.71487 # DEPENDENCYPART_ARC
(1,18),-3.76551 # DEPENDENCYPART_ARC
(1,19),-3.73938 # DEPENDENCYPART_ARC
(1,20),-3.09509 # DEPENDENCYPART_ARC
(1,21),-2.04006 # DEPENDENCYPART_ARC
(2,1),-0.347455 # DEPENDENCYPART_ARC
(2,3),0.842675 # DEPENDENCYPART_ARC
(2,4),-0.0868906 # DEPENDENCYPART_ARC
(2,5),-0.559759 # DEPENDENCYPART_ARC
(2,6),0.579896 # DEPENDENCYPART_ARC
(2,7),-0.382151 # DEPENDENCYPART_ARC
(2,8),-0.416987 # DEPENDENCYPART_ARC
(2,9),-0.249146 # DEPENDENCYPART_ARC
(2,10),0.686606 # DEPENDENCYPART_ARC
(2,11),-1.04241 # DEPENDENCYPART_ARC
(2,12),-0.498157 # DEPENDENCYPART_ARC
(2,13),-0.952725 # DEPENDENCYPART_ARC
(2,14),-1.17905 # DEPENDENCYPART_ARC
(2,15),-2.19709 # DEPENDENCYPART_ARC
(2,16),-1.15937 # DEPENDENCYPART_ARC
(2,17),-2.30519 # DEPENDENCYPART_ARC
(2,18),-2.13226 # DEPENDENCYPART_ARC
(2,19),-2.49121 # DEPENDENCYPART_ARC
(2,20),-1.28668 # DEPENDENCYPART_ARC
(2,21),-1.50082 # DEPENDENCYPART_ARC
(3,1),2.01121 # DEPENDENCYPART_ARC
(3,2),4.48376 # DEPENDENCYPART_ARC
(3,4),3.91014 # DEPENDENCYPART_ARC
(3,5),1.10035 # DEPENDENCYPART_ARC
(3,6),1.94093 # DEPENDENCYPART_ARC
(3,7),1.0651 # DEPENDENCYPART_ARC
(3,8),-0.312023 # DEPENDENCYPART_ARC
(3,9),0.265877 # DEPENDENCYPART_ARC
(3,10),0.386957 # DEPENDENCYPART_ARC
(3,11),1.11283 # DEPENDENCYPART_ARC
(3,12),1.8762 # DEPENDENCYPART_ARC
(3,13),-0.926151 # DEPENDENCYPART_ARC
(3,14),0.252168 # DEPENDENCYPART_ARC
(3,15),0.0846311 # DEPENDENCYPART_ARC
(3,16),-1.10976 # DEPENDENCYPART_ARC
(3,17),-0.645147 # DEPENDENCYPART_ARC
(3,18),-1.24562 # DEPENDENCYPART_ARC
(3,19),-1.97446 # DEPENDENCYPART_ARC
(3,20),2.12495 # DEPENDENCYPART_ARC
(3,21),2.30799 # DEPENDENCYPART_ARC
(4,1),0.0286258 # DEPENDENCYPART_ARC
(4,2),0.419823 # DEPENDENCYPART_ARC
(4,3),0.405637 # DEPENDENCYPART_ARC
(4,5),3.33195 # DEPENDENCYPART_ARC
(4,6),1.88234 # DEPENDENCYPART_ARC
(4,7),2.06989 # DEPENDENCYPART_ARC
(4,8),1.09279 # DEPENDENCYPART_ARC
(4,9),1.16989 # DEPENDENCYPART_ARC
(4,10),0.947434 # DEPENDENCYPART_ARC
(4,11),1.43967 # DEPENDENCYPART_ARC
(4,12),0.328463 # DEPENDENCYPART_ARC
(4,13),0.480164 # DEPENDENCYPART_ARC
(4,14),0.589992 # DEPENDENCYPART_ARC
(4,15),0.215323 # DEPENDENCYPART_ARC
(4,16),-0.718884 # DEPENDENCYPART_ARC
(4,17),0.0463765 # DEPENDENCYPART_ARC
(4,18),-0.359703 # DEPENDENCYPART_ARC
(4,19),-0.210928 # DEPENDENCYPART_ARC
(4,20),1.1506 # DEPENDENCYPART_ARC
(4,21),0.492705 # DEPENDENCYPART_ARC
(5,1),0.163188 # DEPENDENCYPART_ARC
(5,2),-0.0872715 # DEPENDENCYPART_ARC
(5,3),-0.00874989 # DEPENDENCYPART_ARC
(5,4),1.02287 # DEPENDENCYPART_ARC
(5,6),1.16092 # DEPENDENCYPART_ARC
(5,7),1.39988 # DEPENDENCYPART_ARC
(5,8),0.514144 # DEPENDENCYPART_ARC
(5,9),0.491557 # DEPENDENCYPART_ARC
(5,10),0.702021 # DEPENDENCYPART_ARC
(5,11),0.37125 # DEPENDENCYPART_ARC
(5,12),0.247414 # DEPENDENCYPART_ARC
(5,13),-0.16725 # DEPENDENCYPART_ARC
(5,14),0.0233156 # DEPENDENCYPART_ARC
(5,15),-0.509478 # DEPENDENCYPART_ARC
(5,16),-0.0636235 # DEPENDENCYPART_ARC
(5,17),-0.804617 # DEPENDENCYPART_ARC
(5,18),-1.13608 # DEPENDENCYPART_ARC
(5,19),-0.455578 # DEPENDENCYPART_ARC
