# _root_ Nobuto Yasuda , a director at Yamaichi Investment Trust & Management Co. , called yesterday 's session `` a good scenario '' for Japan .
#goldHeads=2,14,2,5,2,5,9,9,6,9,10,11,2,0,17,15,14,21,21,21,14,21,21,23,14,
#predictedHeads=2,14,2,5,2,5,9,9,6,9,10,11,2,0,17,15,14,21,21,21,14,21,14,23,14,
(0,1),-6.03779 # DEPENDENCYPART_ARC
(0,2),-6.70792 # DEPENDENCYPART_ARC
(0,3),-6.68191 # DEPENDENCYPART_ARC
(0,4),-7.37016 # DEPENDENCYPART_ARC
(0,5),-7.47981 # DEPENDENCYPART_ARC
(0,6),-8.0807 # DEPENDENCYPART_ARC
(0,7),-7.30892 # DEPENDENCYPART_ARC
(0,8),-6.95994 # DEPENDENCYPART_ARC
(0,9),-6.88175 # DEPENDENCYPART_ARC
(0,10),-8.02202 # DEPENDENCYPART_ARC
(0,11),-8.13144 # DEPENDENCYPART_ARC
(0,12),-8.76647 # DEPENDENCYPART_ARC
(0,13),-7.87652 # DEPENDENCYPART_ARC
(0,14),-1.00369 # DEPENDENCYPART_ARC
(0,15),-8.0559 # DEPENDENCYPART_ARC
(0,16),-11.6549 # DEPENDENCYPART_ARC
(0,17),-8.74816 # DEPENDENCYPART_ARC
(0,18),-8.2948 # DEPENDENCYPART_ARC
(0,19),-8.88592 # DEPENDENCYPART_ARC
(0,20),-6.58733 # DEPENDENCYPART_ARC
(0,21),-9.13795 # DEPENDENCYPART_ARC
(0,22),-7.70179 # DEPENDENCYPART_ARC
(0,23),-9.55224 # DEPENDENCYPART_ARC
(0,24),-9.73955 # DEPENDENCYPART_ARC
(0,25),-6.27464 # DEPENDENCYPART_ARC
(1,2),1.40651 # DEPENDENCYPART_ARC
(1,3),2.04274 # DEPENDENCYPART_ARC
(1,4),-0.198416 # DEPENDENCYPART_ARC
(1,5),1.40977 # DEPENDENCYPART_ARC
(1,6),-0.286459 # DEPENDENCYPART_ARC
(1,7),-1.06351 # DEPENDENCYPART_ARC
(1,8),-0.801365 # DEPENDENCYPART_ARC
(1,9),-0.413261 # DEPENDENCYPART_ARC
(1,10),0.949087 # DEPENDENCYPART_ARC
