# _root_ Federal National Mortgage Association , a recently hot stock , climbed 4 to 124 on nearly 1.6 million shares .
#goldHeads=4,4,4,11,4,9,8,9,4,4,0,11,11,13,11,19,16,16,15,11,
#predictedHeads=4,4,4,11,4,9,8,9,4,4,0,11,11,13,11,19,16,16,15,11,
(0,1),-6.08414 # DEPENDENCYPART_ARC
(0,2),-6.57487 # DEPENDENCYPART_ARC
(0,3),-5.87097 # DEPENDENCYPART_ARC
(0,4),-6.85617 # DEPENDENCYPART_ARC
(0,5),-7.24773 # DEPENDENCYPART_ARC
(0,6),-7.3381 # DEPENDENCYPART_ARC
(0,7),-6.98008 # DEPENDENCYPART_ARC
(0,8),-6.61384 # DEPENDENCYPART_ARC
(0,9),-8.14232 # DEPENDENCYPART_ARC
(0,10),-7.761 # DEPENDENCYPART_ARC
(0,11),-1.0066 # DEPENDENCYPART_ARC
(0,12),-8.61285 # DEPENDENCYPART_ARC
(0,13),-7.44768 # DEPENDENCYPART_ARC
(0,14),-8.9687 # DEPENDENCYPART_ARC
(0,15),-8.88483 # DEPENDENCYPART_ARC
(0,16),-8.19118 # DEPENDENCYPART_ARC
(0,17),-9.26515 # DEPENDENCYPART_ARC
(0,18),-9.46367 # DEPENDENCYPART_ARC
(0,19),-8.46562 # DEPENDENCYPART_ARC
(0,20),-6.59257 # DEPENDENCYPART_ARC
(1,2),0.172047 # DEPENDENCYPART_ARC
(1,3),0.388643 # DEPENDENCYPART_ARC
(1,4),0.144817 # DEPENDENCYPART_ARC
(1,5),1.012 # DEPENDENCYPART_ARC
(1,6),-1.3293 # DEPENDENCYPART_ARC
(1,7),-1.74677 # DEPENDENCYPART_ARC
(1,8),-1.43637 # DEPENDENCYPART_ARC
(1,9),0.723296 # DEPENDENCYPART_ARC
(1,10),0.603996 # DEPENDENCYPART_ARC
(1,11),-1.80176 # DEPENDENCYPART_ARC
(1,12),-2.23546 # DEPENDENCYPART_ARC
(1,13),-2.39212 # DEPENDENCYPART_ARC
(1,14),-2.64488 # DEPENDENCYPART_ARC
(1,15),-3.05956 # DEPENDENCYPART_ARC
(1,16),-2.40257 # DEPENDENCYPART_ARC
(1,17),-3.17012 # DEPENDENCYPART_ARC
(1,18),-3.99004 # DEPENDENCYPART_ARC
(1,19),-2.32858 # DEPENDENCYPART_ARC
(1,20),-0.135041 # DEPENDENCYPART_ARC
(2,1),1.93412 # DEPENDENCYPART_ARC
(2,3),0.784301 # DEPENDENCYPART_ARC
(2,4),1.22772 # DEPENDENCYPART_ARC
(2,5),1.78688 # DEPENDENCYPART_ARC
(2,6),-1.33798 # DEPENDENCYPART_ARC
(2,7),-1.43742 # DEPENDENCYPART_ARC
(2,8),-1.42665 # DEPENDENCYPART_ARC
(2,9),1.24389 # DEPENDENCYPART_ARC
(2,10),1.44293 # DEPENDENCYPART_ARC
(2,11),-1.7688 # DEPENDENCYPART_ARC
(2,12),-2.04015 # DEPENDENCYPART_ARC
(2,13),-2.19386 # DEPENDENCYPART_ARC
(2,14),-2.48428 # DEPENDENCYPART_ARC
(2,15),-2.95486 # DEPENDENCYPART_ARC
(2,16),-2.05251 # DEPENDENCYPART_ARC
(2,17),-2.9997 # DEPENDENCYPART_ARC
(2,18),-3.91895 # DEPENDENCYPART_ARC
(2,19),-2.28803 # DEPENDENCYPART_ARC
(2,20),0.0703038 # DEPENDENCYPART_ARC
(3,1),2.73982 # DEPENDENCYPART_ARC
(3,2),2.75444 # DEPENDENCYPART_ARC
(3,4),1.84131 # DEPENDENCYPART_ARC
(3,5),2.25129 # DEPENDENCYPART_ARC
(3,6),-0.620982 # DEPENDENCYPART_ARC
(3,7),-0.72195 # DEPENDENCYPART_ARC
(3,8),-0.584311 # DEPENDENCYPART_ARC
(3,9),1.50742 # DEPENDENCYPART_ARC
(3,10),2.1453 # DEPENDENCYPART_ARC
(3,11),-1.11449 # DEPENDENCYPART_ARC
(3,12),-1.36521 # DEPENDENCYPART_ARC
(3,13),-1.37347 # DEPENDENCYPART_ARC
(3,14),-1.77686 # DEPENDENCYPART_ARC
(3,15),-2.29356 # DEPENDENCYPART_ARC
(3,16),-1.42418 # DEPENDENCYPART_ARC
(3,17),-2.36589 # DEPENDENCYPART_ARC
(3,18),-3.22924 # DEPENDENCYPART_ARC
(3,19),-1.54503 # DEPENDENCYPART_ARC
(3,20),1.0125 # DEPENDENCYPART_ARC
(4,1),3.87797 # DEPENDENCYPART_ARC
(4,2),4.23446 # DEPENDENCYPART_ARC
(4,3),4.15832 # DEPENDENCYPART_ARC
(4,5),3.22505 # DEPENDENCYPART_ARC
(4,6),0.561956 # DEPENDENCYPART_ARC
(4,7),0.705199 # DEPENDENCYPART_ARC
(4,8),0.614009 # DEPENDENCYPART_ARC
(4,9),2.67749 # DEPENDENCYPART_ARC
(4,10),3.32115 # DEPENDENCYPART_ARC
(4,11),0.178413 # DEPENDENCYPART_ARC
(4,12),-0.499723 # DEPENDENCYPART_ARC
(4,13),-0.284173 # DEPENDENCYPART_ARC
(4,14),-0.921589 # DEPENDENCYPART_ARC
(4,15),-0.777031 # DEPENDENCYPART_ARC
(4,16),-0.214525 # DEPENDENCYPART_ARC
(4,17),-1.4025 # DEPENDENCYPART_ARC
(4,18),-2.42759 # DEPENDENCYPART_ARC
(4,19),-0.943695 # DEPENDENCYPART_ARC
(4,20),2.1335 # DEPENDENCYPART_ARC
(5,1),-2.04483 # DEPENDENCYPART_ARC
(5,2),-1.73124 # DEPENDENCYPART_ARC
(5,3),-1.83767 # DEPENDENCYPART_ARC
(5,4),-1.24664 # DEPENDENCYPART_ARC
(5,6),-0.336756 # DEPENDENCYPART_ARC
(5,7),-0.94489 # DEPENDENCYPART_ARC
(5,8),-1.13659 # DEPENDENCYPART_ARC
(5,9),-1.75633 # DEPENDENCYPART_ARC
(5,10),0.127823 # DEPENDENCYPART_ARC
(5,11),-1.25222 # DEPENDENCYPART_ARC
(5,12),-2.20687 # DEPENDENCYPART_ARC
(5,13),-1.73153 # DEPENDENCYPART_ARC
(5,14),-2.43879 # DEPENDENCYPART_ARC
(5,15),-1.60298 # DEPENDENCYPART_ARC
(5,16),-2.17603 # DEPENDENCYPART_ARC
(5,17),-2.7455 # DEPENDENCYPART_ARC
(5,18),-2.81664 # DEPENDENCYPART_ARC
(5,19),-2.84919 # DEPENDENCYPART_ARC
(5,20),-1.82783 # DEPENDENCYPART_ARC
(6,1),-1.25459 # DEPENDENCYPART_ARC
(6,2),-1.11086 # DEPENDENCYPART_ARC
(6,3),-0.867159 # DEPENDENCYPART_ARC
(6,4),-0.833218 # DEPENDENCYPART_ARC
(6,5),0.076669 # DEPENDENCYPART_ARC
(6,7),0.382577 # DEPENDENCYPART_ARC
(6,8),0.115676 # DEPENDENCYPART_ARC
(6,9),-0.167275 # DEPENDENCYPART_ARC
(6,10),-0.380666 # DEPENDENCYPART_ARC
(6,11),-0.101942 # DEPENDENCYPART_ARC
(6,12),-0.64579 # DEPENDENCYPART_ARC
(6,13),-0.286923 # DEPENDENCYPART_ARC
(6,14),-1.09329 # DEPENDENCYPART_ARC
(6,15),-0.991859 # DEPENDENCYPART_ARC
(6,16),-1.05129 # DEPENDENCYPART_ARC
(6,17),-1.17475 # DEPENDENCYPART_ARC
(6,18),-0.818864 # DEPENDENCYPART_ARC
(6,19),-1.78055 # DEPENDENCYPART_ARC
(6,20),-0.788134 # DEPENDENCYPART_ARC
(7,1),-1.67684 # DEPENDENCYPART_ARC
(7,2),-1.73563 # DEPENDENCYPART_ARC
(7,3),-1.50169 # DEPENDENCYPART_ARC
(7,4),-1.12418 # DEPENDENCYPART_ARC
(7,5),-0.348549 # DEPENDENCYPART_ARC
(7,6),1.2502 # DEPENDENCYPART_ARC
(7,8),1.88926 # DEPENDENCYPART_ARC
(7,9),0.631993 # DEPENDENCYPART_ARC
(7,10),0.473235 # DEPENDENCYPART_ARC
(7,11),0.300551 # DEPENDENCYPART_ARC
(7,12),-0.421224 # DEPENDENCYPART_ARC
(7,13),-0.0221429 # DEPENDENCYPART_ARC
(7,14),-1.26346 # DEPENDENCYPART_ARC
(7,15),-0.828906 # DEPENDENCYPART_ARC
(7,16),-1.43078 # DEPENDENCYPART_ARC
(7,17),-1.49202 # DEPENDENCYPART_ARC
(7,18),-0.610576 # DEPENDENCYPART_ARC
(7,19),-1.92344 # DEPENDENCYPART_ARC
(7,20),1.09423 # DEPENDENCYPART_ARC
(8,1),-0.876858 # DEPENDENCYPART_ARC
(8,2),-1.01602 # DEPENDENCYPART_ARC
(8,3),-0.736207 # DEPENDENCYPART_ARC
(8,4),-0.974434 # DEPENDENCYPART_ARC
(8,5),-0.238972 # DEPENDENCYPART_ARC
(8,6),0.445063 # DEPENDENCYPART_ARC
(8,7),2.82426 # DEPENDENCYPART_ARC
(8,9),0.517516 # DEPENDENCYPART_ARC
(8,10),-0.66224 # DEPENDENCYPART_ARC
(8,11),-0.680183 # DEPENDENCYPART_ARC
(8,12),-1.13135 # DEPENDENCYPART_ARC
(8,13),-1.00998 # DEPENDENCYPART_ARC
(8,14),-1.6126 # DEPENDENCYPART_ARC
(8,15),-1.29816 # DEPENDENCYPART_ARC
(8,16),-1.52759 # DEPENDENCYPART_ARC
(8,17),-1.80194 # DEPENDENCYPART_ARC
(8,18),-0.933348 # DEPENDENCYPART_ARC
(8,19),-1.93435 # DEPENDENCYPART_ARC
(8,20),0.126764 # DEPENDENCYPART_ARC
(9,1),0.914947 # DEPENDENCYPART_ARC
(9,2),1.27242 # DEPENDENCYPART_ARC
(9,3),1.04085 # DEPENDENCYPART_ARC
(9,4),0.204024 # DEPENDENCYPART_ARC
(9,5),1.30715 # DEPENDENCYPART_ARC
(9,6),4.24569 # DEPENDENCYPART_ARC
(9,7),2.64659 # DEPENDENCYPART_ARC
(9,8),3.8929 # DEPENDENCYPART_ARC
(9,10),0.895383 # DEPENDENCYPART_ARC
(9,11),0.379447 # DEPENDENCYPART_ARC
(9,12),-0.146192 # DEPENDENCYPART_ARC
(9,13),-0.980883 # DEPENDENCYPART_ARC
(9,14),-0.629064 # DEPENDENCYPART_ARC
(9,15),-1.38737 # DEPENDENCYPART_ARC
(9,16),-1.32419 # DEPENDENCYPART_ARC
(9,17),-1.302 # DEPENDENCYPART_ARC
