# _root_ In savings activity , Mr. Sandler said consumer deposits have enjoyed a steady increase throughout 1989 , and topped $ 11 billion at quarter 's end for the first time in the company 's history .
#goldHeads=7,3,1,7,6,7,0,9,10,7,10,14,14,11,11,15,10,10,18,19,20,20,19,26,24,23,19,30,30,27,30,33,35,33,31,7,
#predictedHeads=7,3,1,7,6,7,0,9,10,7,10,14,14,11,11,15,11,11,18,19,20,20,19,26,24,23,19,30,30,27,30,33,35,33,31,7,
(0,1),-1.16815 # DEPENDENCYPART_ARC
(0,7),-0.225025 # DEPENDENCYPART_ARC
(0,10),-0.785887 # DEPENDENCYPART_ARC
(1,2),1.02377 # DEPENDENCYPART_ARC
(1,3),0.386768 # DEPENDENCYPART_ARC
(1,4),-1.21866 # DEPENDENCYPART_ARC
(1,6),-1.84932 # DEPENDENCYPART_ARC
(1,7),-0.995806 # DEPENDENCYPART_ARC
(1,9),-1.98364 # DEPENDENCYPART_ARC
(1,10),-1.0948 # DEPENDENCYPART_ARC
(1,18),-1.6418 # DEPENDENCYPART_ARC
(2,3),-0.642573 # DEPENDENCYPART_ARC
(2,6),-2.04826 # DEPENDENCYPART_ARC
(2,10),-1.94206 # DEPENDENCYPART_ARC
(3,1),-0.766018 # DEPENDENCYPART_ARC
(3,2),1.75928 # DEPENDENCYPART_ARC
(3,4),-0.0108657 # DEPENDENCYPART_ARC
(3,5),-1.31192 # DEPENDENCYPART_ARC
(3,6),-1.45135 # DEPENDENCYPART_ARC
(3,7),-1.59254 # DEPENDENCYPART_ARC
(3,8),-1.74205 # DEPENDENCYPART_ARC
(3,9),-1.82552 # DEPENDENCYPART_ARC
(3,10),-1.6095 # DEPENDENCYPART_ARC
(3,11),-1.98598 # DEPENDENCYPART_ARC
(3,14),-2.18084 # DEPENDENCYPART_ARC
(3,17),-1.67339 # DEPENDENCYPART_ARC
(3,18),-2.64225 # DEPENDENCYPART_ARC
(3,19),-2.42126 # DEPENDENCYPART_ARC
(5,1),-2.56928 # DEPENDENCYPART_ARC
