# _root_ `` The MMI has gone better , '' shouted one trader at about 3:15 London time , as the U.S. Major Markets Index contract suddenly indicated a turnabout .
#goldHeads=9,3,4,9,4,5,9,9,0,11,9,9,16,16,16,12,9,9,24,24,24,24,24,26,26,18,28,26,9,
#predictedHeads=9,3,4,9,4,5,9,9,0,11,9,9,16,13,16,12,9,9,24,24,24,24,24,26,26,18,28,26,9,
(0,3),-1.74794 # DEPENDENCYPART_ARC
(0,4),-0.594185 # DEPENDENCYPART_ARC
(0,5),-1.85381 # DEPENDENCYPART_ARC
(0,9),-0.700397 # DEPENDENCYPART_ARC
(0,26),-1.06581 # DEPENDENCYPART_ARC
(1,2),-0.671175 # DEPENDENCYPART_ARC
(1,3),-1.57567 # DEPENDENCYPART_ARC
(1,4),-1.46245 # DEPENDENCYPART_ARC
(2,1),-0.820074 # DEPENDENCYPART_ARC
(2,3),-0.462717 # DEPENDENCYPART_ARC
(2,4),-0.931392 # DEPENDENCYPART_ARC
(2,5),-1.40911 # DEPENDENCYPART_ARC
(2,9),-1.62229 # DEPENDENCYPART_ARC
(3,1),-1.00437 # DEPENDENCYPART_ARC
(3,2),0.7102 # DEPENDENCYPART_ARC
(3,4),-0.150515 # DEPENDENCYPART_ARC
(3,5),-1.36353 # DEPENDENCYPART_ARC
(3,7),-1.82592 # DEPENDENCYPART_ARC
(3,8),-1.77359 # DEPENDENCYPART_ARC
(3,9),-2.00277 # DEPENDENCYPART_ARC
(4,1),-0.828806 # DEPENDENCYPART_ARC
(4,2),-1.0796 # DEPENDENCYPART_ARC
(4,3),0.463178 # DEPENDENCYPART_ARC
(4,5),1.08462 # DEPENDENCYPART_ARC
(4,6),-0.636253 # DEPENDENCYPART_ARC
(4,7),-1.13302 # DEPENDENCYPART_ARC
(4,8),-1.09394 # DEPENDENCYPART_ARC
(4,9),-1.14616 # DEPENDENCYPART_ARC
(4,11),-1.50614 # DEPENDENCYPART_ARC
(4,12),-1.54651 # DEPENDENCYPART_ARC
(4,13),-1.92283 # DEPENDENCYPART_ARC
(4,17),-1.44765 # DEPENDENCYPART_ARC
(4,18),-1.93021 # DEPENDENCYPART_ARC
(4,26),-2.19676 # DEPENDENCYPART_ARC
(4,29),-0.471277 # DEPENDENCYPART_ARC
(5,1),-1.51759 # DEPENDENCYPART_ARC
(5,2),-1.45103 # DEPENDENCYPART_ARC
(5,3),-1.34213 # DEPENDENCYPART_ARC
(5,4),-0.265002 # DEPENDENCYPART_ARC
(5,6),0.144693 # DEPENDENCYPART_ARC
(5,7),-0.928904 # DEPENDENCYPART_ARC
(5,8),-0.727105 # DEPENDENCYPART_ARC
(5,9),-1.16725 # DEPENDENCYPART_ARC
(5,10),-1.52031 # DEPENDENCYPART_ARC
(5,11),-1.10309 # DEPENDENCYPART_ARC
(5,12),-1.03988 # DEPENDENCYPART_ARC
(5,13),-1.62538 # DEPENDENCYPART_ARC
(5,14),-1.83143 # DEPENDENCYPART_ARC
(5,16),-1.42034 # DEPENDENCYPART_ARC
(5,17),-1.26693 # DEPENDENCYPART_ARC
(5,18),-1.27087 # DEPENDENCYPART_ARC
(5,24),-1.58112 # DEPENDENCYPART_ARC
(5,25),-2.17412 # DEPENDENCYPART_ARC
(5,26),-2.0401 # DEPENDENCYPART_ARC
(5,28),-1.67256 # DEPENDENCYPART_ARC
(5,29),-1.61348 # DEPENDENCYPART_ARC
(6,1),-1.49534 # DEPENDENCYPART_ARC
(6,2),-1.38083 # DEPENDENCYPART_ARC
(6,3),-1.37185 # DEPENDENCYPART_ARC
(6,4),-1.06601 # DEPENDENCYPART_ARC
(6,5),-0.073005 # DEPENDENCYPART_ARC
(6,7),-0.278276 # DEPENDENCYPART_ARC
(6,8),-1.02239 # DEPENDENCYPART_ARC
(6,9),-1.05169 # DEPENDENCYPART_ARC
