# _root_ Institutional investors and bankers , many of whom spent the night before in their offices watching Far Eastern markets , were cautiously optimistic after the mild 1.8 % decline in Tokyo stock prices .
#goldHeads=2,21,2,3,2,9,6,7,2,11,9,11,9,15,13,9,19,19,16,2,0,23,21,21,29,29,28,29,24,29,33,33,30,21,
#predictedHeads=2,21,2,3,2,9,6,7,2,11,9,9,12,15,13,9,19,19,16,2,0,23,21,21,29,29,28,29,24,29,33,33,30,21,
(0,2),-1.60282 # DEPENDENCYPART_ARC
(0,9),-1.63177 # DEPENDENCYPART_ARC
(0,21),-1.85831 # DEPENDENCYPART_ARC
(1,2),-0.198123 # DEPENDENCYPART_ARC
(1,3),-1.15678 # DEPENDENCYPART_ARC
(1,4),-1.33801 # DEPENDENCYPART_ARC
(1,5),-1.29322 # DEPENDENCYPART_ARC
(1,7),-1.58195 # DEPENDENCYPART_ARC
(1,9),-1.72047 # DEPENDENCYPART_ARC
(2,1),1.28811 # DEPENDENCYPART_ARC
(2,3),0.642411 # DEPENDENCYPART_ARC
(2,4),-0.791927 # DEPENDENCYPART_ARC
(2,5),-0.943717 # DEPENDENCYPART_ARC
(2,6),-1.46169 # DEPENDENCYPART_ARC
(2,7),-1.49932 # DEPENDENCYPART_ARC
(2,8),-1.61784 # DEPENDENCYPART_ARC
(2,9),-1.12394 # DEPENDENCYPART_ARC
(2,11),-1.70057 # DEPENDENCYPART_ARC
(2,12),-1.59993 # DEPENDENCYPART_ARC
(2,13),-1.89957 # DEPENDENCYPART_ARC
(2,16),-1.48125 # DEPENDENCYPART_ARC
(2,20),-1.53336 # DEPENDENCYPART_ARC
(2,34),-2.94314 # DEPENDENCYPART_ARC
(3,4),1.03948 # DEPENDENCYPART_ARC
(3,5),-0.700093 # DEPENDENCYPART_ARC
(3,6),-1.53669 # DEPENDENCYPART_ARC
(3,7),-1.55207 # DEPENDENCYPART_ARC
(3,9),-1.59234 # DEPENDENCYPART_ARC
(4,1),-1.33613 # DEPENDENCYPART_ARC
(4,2),-1.19025 # DEPENDENCYPART_ARC
(4,5),0.0255858 # DEPENDENCYPART_ARC
(4,6),-1.49663 # DEPENDENCYPART_ARC
(4,7),-1.41985 # DEPENDENCYPART_ARC
(4,8),-1.77561 # DEPENDENCYPART_ARC
(4,9),-1.30716 # DEPENDENCYPART_ARC
(4,20),-1.56589 # DEPENDENCYPART_ARC
(4,34),-3.19664 # DEPENDENCYPART_ARC
(6,2),-1.86489 # DEPENDENCYPART_ARC
(6,5),-0.659959 # DEPENDENCYPART_ARC
(6,7),0.420268 # DEPENDENCYPART_ARC
(6,8),-0.89339 # DEPENDENCYPART_ARC
(6,9),-0.659664 # DEPENDENCYPART_ARC
(6,11),-1.11301 # DEPENDENCYPART_ARC
(6,12),-1.34234 # DEPENDENCYPART_ARC
(6,13),-1.19838 # DEPENDENCYPART_ARC
(6,15),-1.51201 # DEPENDENCYPART_ARC
(6,21),-1.45865 # DEPENDENCYPART_ARC
(7,2),-1.83791 # DEPENDENCYPART_ARC
(7,5),-1.8113 # DEPENDENCYPART_ARC
(7,6),-0.476726 # DEPENDENCYPART_ARC
(7,8),0.703658 # DEPENDENCYPART_ARC
(7,9),-0.264495 # DEPENDENCYPART_ARC
(7,11),-1.23482 # DEPENDENCYPART_ARC
(7,12),-1.5489 # DEPENDENCYPART_ARC
(7,13),-1.32536 # DEPENDENCYPART_ARC
(7,15),-2.02423 # DEPENDENCYPART_ARC
(7,16),-1.53366 # DEPENDENCYPART_ARC
(7,19),-2.35055 # DEPENDENCYPART_ARC
(7,34),-1.29227 # DEPENDENCYPART_ARC
(8,5),-1.9183 # DEPENDENCYPART_ARC
(8,7),-0.631001 # DEPENDENCYPART_ARC
(8,9),-0.322567 # DEPENDENCYPART_ARC
(9,1),-1.69053 # DEPENDENCYPART_ARC
(9,2),-1.26601 # DEPENDENCYPART_ARC
(9,3),-1.63329 # DEPENDENCYPART_ARC
(9,4),-1.39899 # DEPENDENCYPART_ARC
(9,5),-1.2703 # DEPENDENCYPART_ARC
(9,6),-1.28617 # DEPENDENCYPART_ARC
(9,7),-0.897212 # DEPENDENCYPART_ARC
(9,8),0.570147 # DEPENDENCYPART_ARC
(9,10),0.435475 # DEPENDENCYPART_ARC
(9,11),0.537915 # DEPENDENCYPART_ARC
(9,12),-0.442074 # DEPENDENCYPART_ARC
(9,13),-0.447349 # DEPENDENCYPART_ARC
(9,14),-1.0668 # DEPENDENCYPART_ARC
(9,15),-1.08116 # DEPENDENCYPART_ARC
(9,16),-0.710932 # DEPENDENCYPART_ARC
(9,17),-1.48413 # DEPENDENCYPART_ARC
(9,19),-1.35884 # DEPENDENCYPART_ARC
(9,20),-1.32763 # DEPENDENCYPART_ARC
(9,21),-1.17587 # DEPENDENCYPART_ARC
(9,22),-1.42883 # DEPENDENCYPART_ARC
(9,23),-1.73337 # DEPENDENCYPART_ARC
(9,24),-1.45788 # DEPENDENCYPART_ARC
(9,29),-0.95083 # DEPENDENCYPART_ARC
(9,30),-1.9421 # DEPENDENCYPART_ARC
(9,34),0.589644 # DEPENDENCYPART_ARC
(11,6),-2.11696 # DEPENDENCYPART_ARC
(11,8),-1.41463 # DEPENDENCYPART_ARC
(11,10),1.02738 # DEPENDENCYPART_ARC
(11,12),-0.363114 # DEPENDENCYPART_ARC
(11,13),-1.009 # DEPENDENCYPART_ARC
(11,15),-1.42674 # DEPENDENCYPART_ARC
(11,16),-1.4634 # DEPENDENCYPART_ARC
(11,19),-1.65995 # DEPENDENCYPART_ARC
(11,20),-1.8403 # DEPENDENCYPART_ARC
(11,21),-1.82063 # DEPENDENCYPART_ARC
(11,29),-2.45077 # DEPENDENCYPART_ARC
(11,34),-2.24627 # DEPENDENCYPART_ARC
(12,2),-1.71518 # DEPENDENCYPART_ARC
(12,6),-2.04539 # DEPENDENCYPART_ARC
(12,7),-1.62411 # DEPENDENCYPART_ARC
(12,8),-1.60736 # DEPENDENCYPART_ARC
(12,10),-1.34807 # DEPENDENCYPART_ARC
(12,11),-0.214373 # DEPENDENCYPART_ARC
(12,13),0.0560448 # DEPENDENCYPART_ARC
(12,14),-1.01498 # DEPENDENCYPART_ARC
(12,15),-1.13226 # DEPENDENCYPART_ARC
(12,16),-1.37152 # DEPENDENCYPART_ARC
(12,17),-1.43222 # DEPENDENCYPART_ARC
(12,19),-1.79098 # DEPENDENCYPART_ARC
(12,21),-1.52232 # DEPENDENCYPART_ARC
(12,34),-1.50407 # DEPENDENCYPART_ARC
(13,5),-2.23277 # DEPENDENCYPART_ARC
(13,8),-1.59933 # DEPENDENCYPART_ARC
(13,11),-1.63446 # DEPENDENCYPART_ARC
(13,12),-0.306548 # DEPENDENCYPART_ARC
(13,14),0.17892 # DEPENDENCYPART_ARC
(13,15),0.0787358 # DEPENDENCYPART_ARC
