# _root_ Like its parent that year , `` Bluefield was not having a good year , '' the judge said .
#goldHeads=9,3,1,5,3,9,9,9,19,9,9,14,14,11,19,19,18,19,0,19,
#predictedHeads=9,3,1,5,3,9,9,9,19,9,9,14,14,11,19,19,18,19,0,19,
(0,9),-1.38502 # DEPENDENCYPART_ARC
(0,19),0.509647 # DEPENDENCYPART_ARC
(1,2),0.352454 # DEPENDENCYPART_ARC
(1,3),0.392348 # DEPENDENCYPART_ARC
(1,4),-1.13223 # DEPENDENCYPART_ARC
(1,5),-0.668164 # DEPENDENCYPART_ARC
(1,6),-1.13492 # DEPENDENCYPART_ARC
(1,7),-1.28916 # DEPENDENCYPART_ARC
(1,8),-2.11228 # DEPENDENCYPART_ARC
(1,9),-0.893893 # DEPENDENCYPART_ARC
(1,10),-1.52792 # DEPENDENCYPART_ARC
(1,11),-1.32833 # DEPENDENCYPART_ARC
(1,15),-1.42007 # DEPENDENCYPART_ARC
(1,16),-0.933141 # DEPENDENCYPART_ARC
(1,19),-1.77723 # DEPENDENCYPART_ARC
(2,1),-0.867149 # DEPENDENCYPART_ARC
(2,5),-1.53825 # DEPENDENCYPART_ARC
(2,6),-1.78026 # DEPENDENCYPART_ARC
(3,1),-1.02185 # DEPENDENCYPART_ARC
(3,2),1.0126 # DEPENDENCYPART_ARC
(3,4),-0.187916 # DEPENDENCYPART_ARC
(3,5),-0.747835 # DEPENDENCYPART_ARC
(3,6),-0.857503 # DEPENDENCYPART_ARC
(3,7),-1.15767 # DEPENDENCYPART_ARC
(3,8),-1.38997 # DEPENDENCYPART_ARC
(3,9),-1.15588 # DEPENDENCYPART_ARC
(3,10),-1.40594 # DEPENDENCYPART_ARC
(3,11),-1.53878 # DEPENDENCYPART_ARC
(3,14),-1.75192 # DEPENDENCYPART_ARC
(3,15),-1.40245 # DEPENDENCYPART_ARC
(3,16),-0.987074 # DEPENDENCYPART_ARC
(3,18),-1.83412 # DEPENDENCYPART_ARC
(3,19),-2.11363 # DEPENDENCYPART_ARC
(4,1),-1.42924 # DEPENDENCYPART_ARC
(4,3),-0.512783 # DEPENDENCYPART_ARC
(4,5),-0.337534 # DEPENDENCYPART_ARC
(4,6),-1.44852 # DEPENDENCYPART_ARC
(4,7),-1.59088 # DEPENDENCYPART_ARC
(4,9),-1.12994 # DEPENDENCYPART_ARC
(4,19),-1.34761 # DEPENDENCYPART_ARC
(5,1),-1.67505 # DEPENDENCYPART_ARC
(5,2),-1.03959 # DEPENDENCYPART_ARC
(5,3),-1.02088 # DEPENDENCYPART_ARC
(5,4),0.625838 # DEPENDENCYPART_ARC
(5,6),-0.325958 # DEPENDENCYPART_ARC
(5,7),-1.16133 # DEPENDENCYPART_ARC
(5,8),-1.53363 # DEPENDENCYPART_ARC
(5,9),-1.48271 # DEPENDENCYPART_ARC
(5,10),-1.79658 # DEPENDENCYPART_ARC
(5,11),-1.74945 # DEPENDENCYPART_ARC
(5,14),-1.8568 # DEPENDENCYPART_ARC
(5,15),-1.74692 # DEPENDENCYPART_ARC
(5,16),-1.24364 # DEPENDENCYPART_ARC
(5,18),-2.21712 # DEPENDENCYPART_ARC
(7,1),-2.25322 # DEPENDENCYPART_ARC
(7,4),-2.1589 # DEPENDENCYPART_ARC
(7,5),-1.96617 # DEPENDENCYPART_ARC
(7,6),-0.875069 # DEPENDENCYPART_ARC
(7,8),-0.597437 # DEPENDENCYPART_ARC
(7,9),-1.36646 # DEPENDENCYPART_ARC
(8,1),-2.08859 # DEPENDENCYPART_ARC
