# _root_ The multibillion-dollar prospects , where the bidder must line up a consortium of banks and / or issue billions in high-yield debt , were where the damage was concentrated .
#goldHeads=3,3,24,3,9,7,8,3,8,9,12,9,12,13,9,15,15,15,18,19,22,20,3,0,29,27,28,24,28,24,
#predictedHeads=3,3,24,3,9,7,8,3,8,9,12,9,12,13,8,15,16,19,15,12,22,20,3,0,29,27,28,24,28,24,
(0,3),-1.53686 # DEPENDENCYPART_ARC
(0,8),-1.50782 # DEPENDENCYPART_ARC
(0,9),-2.20844 # DEPENDENCYPART_ARC
(0,24),-1.84327 # DEPENDENCYPART_ARC
(0,28),-2.59618 # DEPENDENCYPART_ARC
(1,4),-1.34978 # DEPENDENCYPART_ARC
(2,1),-0.236212 # DEPENDENCYPART_ARC
(2,4),-1.24894 # DEPENDENCYPART_ARC
(2,7),-1.76009 # DEPENDENCYPART_ARC
(2,8),-1.51575 # DEPENDENCYPART_ARC
(3,1),0.48441 # DEPENDENCYPART_ARC
(3,2),1.35494 # DEPENDENCYPART_ARC
(3,4),0.30594 # DEPENDENCYPART_ARC
(3,5),-1.25258 # DEPENDENCYPART_ARC
(3,6),-1.45566 # DEPENDENCYPART_ARC
(3,7),-1.44534 # DEPENDENCYPART_ARC
(3,8),-1.34376 # DEPENDENCYPART_ARC
(3,9),-1.87626 # DEPENDENCYPART_ARC
(3,10),-1.70988 # DEPENDENCYPART_ARC
(3,12),-1.90749 # DEPENDENCYPART_ARC
(3,13),-1.83376 # DEPENDENCYPART_ARC
(3,14),-1.6571 # DEPENDENCYPART_ARC
(3,15),-2.10159 # DEPENDENCYPART_ARC
(3,16),-2.11454 # DEPENDENCYPART_ARC
(3,17),-2.14964 # DEPENDENCYPART_ARC
(3,23),-1.32065 # DEPENDENCYPART_ARC
(3,30),-2.75526 # DEPENDENCYPART_ARC
(4,3),-0.492167 # DEPENDENCYPART_ARC
(4,5),-0.332355 # DEPENDENCYPART_ARC
(5,3),-1.62624 # DEPENDENCYPART_ARC
(5,4),-0.403248 # DEPENDENCYPART_ARC
(5,6),-0.0981363 # DEPENDENCYPART_ARC
(5,7),-0.621723 # DEPENDENCYPART_ARC
(5,8),-0.996157 # DEPENDENCYPART_ARC
