# _root_ `` Markets in this region are n't so geared to leveraged buy-outs , and their economies generally are in good shape , but there 's no doubt that Asia is still following America 's lead . ''
#goldHeads=6,6,2,5,3,0,6,9,6,9,12,10,6,6,16,18,18,14,18,21,19,18,18,25,23,27,25,27,30,28,30,30,35,33,32,6,6,
#predictedHeads=6,6,2,5,3,0,6,9,6,9,12,10,6,6,16,18,18,14,18,21,19,18,18,25,23,27,25,27,30,28,30,30,35,33,32,6,6,
(0,2),-1.59448 # DEPENDENCYPART_ARC
(0,6),-1.27646 # DEPENDENCYPART_ARC
(0,9),-2.09933 # DEPENDENCYPART_ARC
(0,18),-1.71798 # DEPENDENCYPART_ARC
(0,25),-2.07099 # DEPENDENCYPART_ARC
(0,30),-2.38569 # DEPENDENCYPART_ARC
(1,2),-0.694704 # DEPENDENCYPART_ARC
(2,1),0.279401 # DEPENDENCYPART_ARC
(2,3),0.3678 # DEPENDENCYPART_ARC
(2,4),-1.20885 # DEPENDENCYPART_ARC
(2,5),-0.952896 # DEPENDENCYPART_ARC
(2,6),-1.19412 # DEPENDENCYPART_ARC
(2,7),-1.33518 # DEPENDENCYPART_ARC
(2,8),-1.26814 # DEPENDENCYPART_ARC
(2,9),-1.57487 # DEPENDENCYPART_ARC
(2,10),-1.36546 # DEPENDENCYPART_ARC
(2,11),-1.70454 # DEPENDENCYPART_ARC
(2,12),-1.40512 # DEPENDENCYPART_ARC
(2,13),-1.23668 # DEPENDENCYPART_ARC
(2,14),-1.79785 # DEPENDENCYPART_ARC
(2,18),-2.27982 # DEPENDENCYPART_ARC
(2,22),-1.37634 # DEPENDENCYPART_ARC
(2,36),-2.74052 # DEPENDENCYPART_ARC
(3,1),-1.80007 # DEPENDENCYPART_ARC
(3,2),-0.902039 # DEPENDENCYPART_ARC
(3,4),-0.028216 # DEPENDENCYPART_ARC
(3,5),0.428605 # DEPENDENCYPART_ARC
(3,6),-0.899876 # DEPENDENCYPART_ARC
(3,7),-1.60688 # DEPENDENCYPART_ARC
(3,9),-1.63415 # DEPENDENCYPART_ARC
(3,12),-1.46473 # DEPENDENCYPART_ARC
(3,13),-1.8883 # DEPENDENCYPART_ARC
(3,14),-1.6112 # DEPENDENCYPART_ARC
(3,36),-0.492639 # DEPENDENCYPART_ARC
(4,6),-1.03674 # DEPENDENCYPART_ARC
(5,1),-1.56265 # DEPENDENCYPART_ARC
(5,2),-1.11121 # DEPENDENCYPART_ARC
(5,3),-0.862473 # DEPENDENCYPART_ARC
(5,4),1.15188 # DEPENDENCYPART_ARC
(5,6),-0.549742 # DEPENDENCYPART_ARC
(6,1),-0.959308 # DEPENDENCYPART_ARC
(6,2),-0.0777148 # DEPENDENCYPART_ARC
(6,3),-0.677805 # DEPENDENCYPART_ARC
(6,4),-0.682256 # DEPENDENCYPART_ARC
(6,5),0.00940067 # DEPENDENCYPART_ARC
(6,7),0.981514 # DEPENDENCYPART_ARC
(6,8),-0.0544522 # DEPENDENCYPART_ARC
(6,9),-0.43771 # DEPENDENCYPART_ARC
(6,10),-0.726344 # DEPENDENCYPART_ARC
(6,11),-0.879023 # DEPENDENCYPART_ARC
(6,12),-0.910729 # DEPENDENCYPART_ARC
(6,13),-0.825777 # DEPENDENCYPART_ARC
(6,14),-1.13389 # DEPENDENCYPART_ARC
(6,15),-1.24939 # DEPENDENCYPART_ARC
(6,16),-1.25613 # DEPENDENCYPART_ARC
(6,17),-1.29071 # DEPENDENCYPART_ARC
(6,18),-1.07666 # DEPENDENCYPART_ARC
(6,19),-1.13966 # DEPENDENCYPART_ARC
(6,20),-1.41254 # DEPENDENCYPART_ARC
(6,21),-1.52297 # DEPENDENCYPART_ARC
(6,22),-1.1906 # DEPENDENCYPART_ARC
(6,23),-1.49463 # DEPENDENCYPART_ARC
(6,24),-1.64546 # DEPENDENCYPART_ARC
(6,25),-1.64305 # DEPENDENCYPART_ARC
(6,30),-1.86475 # DEPENDENCYPART_ARC
(6,31),-1.75544 # DEPENDENCYPART_ARC
(6,32),-1.6003 # DEPENDENCYPART_ARC
(6,36),0.407038 # DEPENDENCYPART_ARC
(6,37),-0.175024 # DEPENDENCYPART_ARC
(7,3),-1.70364 # DEPENDENCYPART_ARC
(7,5),-1.55806 # DEPENDENCYPART_ARC
(7,8),0.0566095 # DEPENDENCYPART_ARC
(7,9),-1.10255 # DEPENDENCYPART_ARC
(7,10),-1.00192 # DEPENDENCYPART_ARC
(7,12),-1.51146 # DEPENDENCYPART_ARC
(8,6),-1.8313 # DEPENDENCYPART_ARC
(8,7),-0.785571 # DEPENDENCYPART_ARC
(8,9),-0.283664 # DEPENDENCYPART_ARC
(8,10),-0.840949 # DEPENDENCYPART_ARC
(8,11),-1.53352 # DEPENDENCYPART_ARC
(8,12),-1.60575 # DEPENDENCYPART_ARC
(9,1),-1.73423 # DEPENDENCYPART_ARC
(9,2),-1.38109 # DEPENDENCYPART_ARC
