# _root_ Federal National Mortgage Association , a recently hot stock , climbed 4 to 124 on nearly 1.6 million shares .
#goldHeads=4,4,4,11,4,9,8,9,4,4,0,11,11,13,11,19,16,16,15,11,
#predictedHeads=4,4,4,11,4,9,8,9,4,4,0,11,11,13,11,19,16,16,15,11,
(0,3),-2.22962 # DEPENDENCYPART_ARC
(0,4),-2.61745 # DEPENDENCYPART_ARC
(0,11),-0.572835 # DEPENDENCYPART_ARC
(1,2),-0.726594 # DEPENDENCYPART_ARC
(1,3),-1.65671 # DEPENDENCYPART_ARC
(1,5),-1.63035 # DEPENDENCYPART_ARC
(1,9),-2.2209 # DEPENDENCYPART_ARC
(1,10),-2.08982 # DEPENDENCYPART_ARC
(2,1),-0.257897 # DEPENDENCYPART_ARC
(2,3),-0.639964 # DEPENDENCYPART_ARC
(2,4),-1.5548 # DEPENDENCYPART_ARC
(2,5),-1.46351 # DEPENDENCYPART_ARC
(2,9),-2.02383 # DEPENDENCYPART_ARC
(2,10),-2.0289 # DEPENDENCYPART_ARC
(3,1),-0.871981 # DEPENDENCYPART_ARC
(3,2),0.116432 # DEPENDENCYPART_ARC
(3,4),-0.34312 # DEPENDENCYPART_ARC
(3,5),-1.28343 # DEPENDENCYPART_ARC
(3,7),-2.03979 # DEPENDENCYPART_ARC
(3,8),-2.10437 # DEPENDENCYPART_ARC
(3,9),-1.87581 # DEPENDENCYPART_ARC
(3,10),-1.96139 # DEPENDENCYPART_ARC
(3,20),-2.13048 # DEPENDENCYPART_ARC
(4,1),-0.482484 # DEPENDENCYPART_ARC
(4,2),0.0174882 # DEPENDENCYPART_ARC
(4,3),1.14991 # DEPENDENCYPART_ARC
(4,5),0.420778 # DEPENDENCYPART_ARC
(4,6),-1.33427 # DEPENDENCYPART_ARC
(4,7),-1.48748 # DEPENDENCYPART_ARC
(4,8),-1.62311 # DEPENDENCYPART_ARC
(4,9),-1.22758 # DEPENDENCYPART_ARC
(4,10),-1.15177 # DEPENDENCYPART_ARC
(4,11),-1.9515 # DEPENDENCYPART_ARC
(4,12),-2.39441 # DEPENDENCYPART_ARC
(4,13),-2.12209 # DEPENDENCYPART_ARC
(4,14),-2.57481 # DEPENDENCYPART_ARC
(4,15),-2.15955 # DEPENDENCYPART_ARC
(4,16),-2.17624 # DEPENDENCYPART_ARC
(4,18),-3.06304 # DEPENDENCYPART_ARC
(4,19),-2.40003 # DEPENDENCYPART_ARC
(4,20),-1.54188 # DEPENDENCYPART_ARC
(6,4),-1.53457 # DEPENDENCYPART_ARC
(6,5),-0.564153 # DEPENDENCYPART_ARC
(6,7),-0.235994 # DEPENDENCYPART_ARC
(6,8),-1.21978 # DEPENDENCYPART_ARC
(7,5),-1.7018 # DEPENDENCYPART_ARC
(7,6),-0.555996 # DEPENDENCYPART_ARC
(7,8),-0.149693 # DEPENDENCYPART_ARC
(7,9),-1.01376 # DEPENDENCYPART_ARC
(7,10),-1.56387 # DEPENDENCYPART_ARC
(7,11),-1.39469 # DEPENDENCYPART_ARC
(7,12),-1.77681 # DEPENDENCYPART_ARC
(7,13),-1.56549 # DEPENDENCYPART_ARC
(7,14),-2.10978 # DEPENDENCYPART_ARC
(7,15),-1.97135 # DEPENDENCYPART_ARC
(7,18),-2.07446 # DEPENDENCYPART_ARC
(8,3),-1.71502 # DEPENDENCYPART_ARC
(8,4),-1.59763 # DEPENDENCYPART_ARC
(8,5),-1.62867 # DEPENDENCYPART_ARC
(8,6),-1.37433 # DEPENDENCYPART_ARC
(8,7),0.321589 # DEPENDENCYPART_ARC
(8,10),-1.43802 # DEPENDENCYPART_ARC
(8,12),-1.95273 # DEPENDENCYPART_ARC
(8,13),-1.8479 # DEPENDENCYPART_ARC
(9,1),-1.73028 # DEPENDENCYPART_ARC
(9,2),-1.60636 # DEPENDENCYPART_ARC
(9,3),-1.54647 # DEPENDENCYPART_ARC
(9,4),-1.24103 # DEPENDENCYPART_ARC
(9,5),-1.39743 # DEPENDENCYPART_ARC
(9,6),0.0379419 # DEPENDENCYPART_ARC
(9,7),-0.120916 # DEPENDENCYPART_ARC
(9,8),1.32548 # DEPENDENCYPART_ARC
(9,10),-0.109897 # DEPENDENCYPART_ARC
(9,11),-1.34004 # DEPENDENCYPART_ARC
(9,12),-1.54934 # DEPENDENCYPART_ARC
(9,13),-1.6883 # DEPENDENCYPART_ARC
(9,14),-1.86974 # DEPENDENCYPART_ARC
(9,15),-1.75777 # DEPENDENCYPART_ARC
(9,16),-1.99127 # DEPENDENCYPART_ARC
(9,19),-1.97904 # DEPENDENCYPART_ARC
(9,20),-1.93769 # DEPENDENCYPART_ARC
(10,9),-0.26418 # DEPENDENCYPART_ARC
(11,1),-1.34118 # DEPENDENCYPART_ARC
(11,2),-1.45082 # DEPENDENCYPART_ARC
(11,3),-1.42359 # DEPENDENCYPART_ARC
(11,4),-1.18469 # DEPENDENCYPART_ARC
(11,5),-1.37047 # DEPENDENCYPART_ARC
(11,6),-1.50123 # DEPENDENCYPART_ARC
(11,7),-1.25968 # DEPENDENCYPART_ARC
(11,8),-1.17597 # DEPENDENCYPART_ARC
(11,9),-0.86301 # DEPENDENCYPART_ARC
(11,10),0.383649 # DEPENDENCYPART_ARC
(11,12),0.904222 # DEPENDENCYPART_ARC
