# _root_ Ο κ. Γιούνκερ εκτίμησε ωστόσο ότι στις συνομιλίες , που διήρκεσαν σχεδόν δέκα ώρες , επιτεύχθηκε πρόοδος .
#goldHeads=3,3,4,5,0,4,16,7,11,11,8,13,14,11,11,6,16,0,
#predictedHeads=3,3,4,0,4,4,4,7,11,11,6,13,14,11,16,6,16,0,
(0,2),-1.1567 # DEPENDENCYPART_ARC
(0,3),-0.95185 # DEPENDENCYPART_ARC
(0,4),0.760217 # DEPENDENCYPART_ARC
(0,5),-0.171675 # DEPENDENCYPART_ARC
(0,6),-1.36773 # DEPENDENCYPART_ARC
(0,7),-1.99472 # DEPENDENCYPART_ARC
(0,8),-1.45392 # DEPENDENCYPART_ARC
(0,9),-0.826047 # DEPENDENCYPART_ARC
(0,11),-1.13668 # DEPENDENCYPART_ARC
(0,14),-1.16377 # DEPENDENCYPART_ARC
(0,15),-1.02897 # DEPENDENCYPART_ARC
(0,16),-0.38606 # DEPENDENCYPART_ARC
(0,17),-1.47408 # DEPENDENCYPART_ARC
(0,18),2.59299 # DEPENDENCYPART_ARC
(1,3),-0.0516542 # DEPENDENCYPART_ARC
(2,1),1.13353 # DEPENDENCYPART_ARC
(2,3),0.730976 # DEPENDENCYPART_ARC
(3,1),2.8032 # DEPENDENCYPART_ARC
(3,2),1.7542 # DEPENDENCYPART_ARC
(3,4),-1.17971 # DEPENDENCYPART_ARC
(3,5),-0.891389 # DEPENDENCYPART_ARC
(3,6),-0.905309 # DEPENDENCYPART_ARC
(3,7),-2.53686 # DEPENDENCYPART_ARC
(4,1),-1.53048 # DEPENDENCYPART_ARC
(4,2),0.147672 # DEPENDENCYPART_ARC
(4,3),1.84384 # DEPENDENCYPART_ARC
(4,5),1.10496 # DEPENDENCYPART_ARC
(4,6),1.08155 # DEPENDENCYPART_ARC
(4,7),1.15674 # DEPENDENCYPART_ARC
(4,8),-1.17135 # DEPENDENCYPART_ARC
(4,9),0.330984 # DEPENDENCYPART_ARC
(4,11),-3.81667 # DEPENDENCYPART_ARC
(4,12),-1.17068 # DEPENDENCYPART_ARC
(4,14),-2.54672 # DEPENDENCYPART_ARC
(4,15),0.0167994 # DEPENDENCYPART_ARC
(4,17),-1.88671 # DEPENDENCYPART_ARC
(4,18),-0.0367448 # DEPENDENCYPART_ARC
(5,1),-0.0305558 # DEPENDENCYPART_ARC
(5,3),0.193433 # DEPENDENCYPART_ARC
(5,4),2.01984 # DEPENDENCYPART_ARC
(5,6),0.0782845 # DEPENDENCYPART_ARC
(5,7),-0.317113 # DEPENDENCYPART_ARC
(5,8),-0.674088 # DEPENDENCYPART_ARC
(5,9),-0.152674 # DEPENDENCYPART_ARC
(5,11),0.203561 # DEPENDENCYPART_ARC
(5,12),-1.20531 # DEPENDENCYPART_ARC
(5,14),-2.26127 # DEPENDENCYPART_ARC
(5,15),-0.444721 # DEPENDENCYPART_ARC
(5,16),-0.966524 # DEPENDENCYPART_ARC
(5,18),-1.09984 # DEPENDENCYPART_ARC
(6,5),0.0647091 # DEPENDENCYPART_ARC
(6,9),0.631348 # DEPENDENCYPART_ARC
(6,11),1.57141 # DEPENDENCYPART_ARC
(6,15),0.131231 # DEPENDENCYPART_ARC
(6,16),0.215858 # DEPENDENCYPART_ARC
(6,18),-0.325693 # DEPENDENCYPART_ARC
(7,8),3.27507 # DEPENDENCYPART_ARC
(7,9),0.439536 # DEPENDENCYPART_ARC
(8,1),-3.6277 # DEPENDENCYPART_ARC
(8,3),-3.52177 # DEPENDENCYPART_ARC
(8,4),-3.52855 # DEPENDENCYPART_ARC
(8,5),-0.880916 # DEPENDENCYPART_ARC
(8,7),0.161139 # DEPENDENCYPART_ARC
(8,9),0.196587 # DEPENDENCYPART_ARC
(8,10),-1.55122 # DEPENDENCYPART_ARC
(8,11),0.870252 # DEPENDENCYPART_ARC
(8,12),-0.771006 # DEPENDENCYPART_ARC
(8,13),-2.3489 # DEPENDENCYPART_ARC
(8,14),-2.53621 # DEPENDENCYPART_ARC
(8,17),-2.8398 # DEPENDENCYPART_ARC
(9,3),-0.931879 # DEPENDENCYPART_ARC
(9,4),-0.997618 # DEPENDENCYPART_ARC
(9,5),-0.438311 # DEPENDENCYPART_ARC
(9,6),-0.27247 # DEPENDENCYPART_ARC
(9,7),-0.512519 # DEPENDENCYPART_ARC
(9,8),-0.0601461 # DEPENDENCYPART_ARC
(9,10),-0.610327 # DEPENDENCYPART_ARC
(9,11),-0.35115 # DEPENDENCYPART_ARC
(9,12),-0.520559 # DEPENDENCYPART_ARC
(9,14),-0.656023 # DEPENDENCYPART_ARC
(9,15),0.281621 # DEPENDENCYPART_ARC
(9,17),-1.11519 # DEPENDENCYPART_ARC
(9,18),-0.154102 # DEPENDENCYPART_ARC
(10,9),-0.115428 # DEPENDENCYPART_ARC
(10,11),-0.103299 # DEPENDENCYPART_ARC
(10,16),-2.41402 # DEPENDENCYPART_ARC
(11,3),-1.7967 # DEPENDENCYPART_ARC
(11,4),-3.64015 # DEPENDENCYPART_ARC
(11,5),-0.719973 # DEPENDENCYPART_ARC
(11,6),-0.737585 # DEPENDENCYPART_ARC
(11,7),0.206608 # DEPENDENCYPART_ARC
(11,8),-1.03096 # DEPENDENCYPART_ARC
(11,9),0.87309 # DEPENDENCYPART_ARC
(11,10),3.43214 # DEPENDENCYPART_ARC
(11,12),1.44513 # DEPENDENCYPART_ARC
(11,13),-0.956678 # DEPENDENCYPART_ARC
(11,14),1.25538 # DEPENDENCYPART_ARC
(11,15),0.809774 # DEPENDENCYPART_ARC
(11,16),-2.51892 # DEPENDENCYPART_ARC
(11,17),-0.57211 # DEPENDENCYPART_ARC
(11,18),-0.20476 # DEPENDENCYPART_ARC
(12,3),-1.0955 # DEPENDENCYPART_ARC
(12,4),-1.52081 # DEPENDENCYPART_ARC
(12,5),-0.550974 # DEPENDENCYPART_ARC
(12,7),-0.653069 # DEPENDENCYPART_ARC
(12,8),-0.957472 # DEPENDENCYPART_ARC
(12,9),-0.498489 # DEPENDENCYPART_ARC
(12,10),-1.40118 # DEPENDENCYPART_ARC
(12,11),-0.582097 # DEPENDENCYPART_ARC
(12,14),-0.229986 # DEPENDENCYPART_ARC
(12,15),-0.259398 # DEPENDENCYPART_ARC
(12,16),-1.00136 # DEPENDENCYPART_ARC
(12,17),-1.48192 # DEPENDENCYPART_ARC
(12,18),-1.09924 # DEPENDENCYPART_ARC
(13,12),1.46361 # DEPENDENCYPART_ARC
(13,16),-0.96883 # DEPENDENCYPART_ARC
(14,4),-2.96323 # DEPENDENCYPART_ARC
(14,5),-0.28337 # DEPENDENCYPART_ARC
(14,8),-0.775603 # DEPENDENCYPART_ARC
(14,10),0.0701555 # DEPENDENCYPART_ARC
(14,11),-2.36802 # DEPENDENCYPART_ARC
(14,12),0.647867 # DEPENDENCYPART_ARC
(14,13),2.78586 # DEPENDENCYPART_ARC
(14,15),-0.0568958 # DEPENDENCYPART_ARC
(14,16),-0.873853 # DEPENDENCYPART_ARC
(14,17),-1.95095 # DEPENDENCYPART_ARC
(15,4),-0.867016 # DEPENDENCYPART_ARC
(15,7),-0.811126 # DEPENDENCYPART_ARC
(15,8),-0.977685 # DEPENDENCYPART_ARC
(15,12),-0.350456 # DEPENDENCYPART_ARC
(15,13),-0.198709 # DEPENDENCYPART_ARC
(15,14),-0.207326 # DEPENDENCYPART_ARC
(15,16),-0.731286 # DEPENDENCYPART_ARC
(15,17),-0.735262 # DEPENDENCYPART_ARC
(15,18),-0.534246 # DEPENDENCYPART_ARC
(16,3),-0.561087 # DEPENDENCYPART_ARC
(16,4),-2.60836 # DEPENDENCYPART_ARC
(16,5),0.112216 # DEPENDENCYPART_ARC
(16,6),-0.194876 # DEPENDENCYPART_ARC
(16,7),-0.400916 # DEPENDENCYPART_ARC
(16,8),-1.90956 # DEPENDENCYPART_ARC
(16,9),0.313373 # DEPENDENCYPART_ARC
(16,10),1.63083 # DEPENDENCYPART_ARC
(16,11),-0.486148 # DEPENDENCYPART_ARC
(16,12),0.431031 # DEPENDENCYPART_ARC
(16,13),-1.36051 # DEPENDENCYPART_ARC
(16,14),-0.833738 # DEPENDENCYPART_ARC
(16,15),1.13139 # DEPENDENCYPART_ARC
(16,17),2.54555 # DEPENDENCYPART_ARC
(16,18),0.161567 # DEPENDENCYPART_ARC
(17,10),-1.71895 # DEPENDENCYPART_ARC
(17,12),-0.991119 # DEPENDENCYPART_ARC
(17,14),-2.29986 # DEPENDENCYPART_ARC
(17,15),-0.1824 # DEPENDENCYPART_ARC
(17,16),-0.0978425 # DEPENDENCYPART_ARC
(17,18),0.666945 # DEPENDENCYPART_ARC
(18,13),-2.07498 # DEPENDENCYPART_ARC
(18,17),-2.05156 # DEPENDENCYPART_ARC
