# _root_ 2580/2001 , χωρίς να υπάρχει προηγούμενη διαβούλευση με το Ευρωπαϊκό Κοινοβούλιο , το οποίο είχε εκφράσει την επιθυμία του να αποφανθεί σχετικά με αυτό το ζήτημα .
#goldHeads=0,3,0,5,3,7,5,7,11,11,8,5,14,16,16,11,18,16,18,21,18,21,22,26,26,23,0,
#predictedHeads=2,3,5,5,0,7,5,7,11,11,8,16,14,16,16,11,18,16,18,21,18,21,22,26,26,23,0,
(0,1),-0.296327 # DEPENDENCYPART_ARC
(0,2),-0.270128 # DEPENDENCYPART_ARC
(0,3),-0.575963 # DEPENDENCYPART_ARC
(0,5),0.691899 # DEPENDENCYPART_ARC
(0,6),-1.29494 # DEPENDENCYPART_ARC
(0,12),-0.49281 # DEPENDENCYPART_ARC
(0,15),-1.13473 # DEPENDENCYPART_ARC
(0,16),-1.32712 # DEPENDENCYPART_ARC
(0,18),-1.79476 # DEPENDENCYPART_ARC
(0,21),-1.25732 # DEPENDENCYPART_ARC
(0,22),-1.40151 # DEPENDENCYPART_ARC
(0,24),-2.09956 # DEPENDENCYPART_ARC
(0,26),-1.76439 # DEPENDENCYPART_ARC
(0,27),3.65436 # DEPENDENCYPART_ARC
(1,2),0.157265 # DEPENDENCYPART_ARC
(1,3),-0.390965 # DEPENDENCYPART_ARC
(2,1),0.0344834 # DEPENDENCYPART_ARC
(2,3),-0.452759 # DEPENDENCYPART_ARC
(2,5),-1.04861 # DEPENDENCYPART_ARC
(2,6),-1.21631 # DEPENDENCYPART_ARC
(2,16),-1.31451 # DEPENDENCYPART_ARC
(3,2),0.76476 # DEPENDENCYPART_ARC
(3,4),0.681396 # DEPENDENCYPART_ARC
(3,5),1.78897 # DEPENDENCYPART_ARC
(3,6),0.212178 # DEPENDENCYPART_ARC
(3,7),0.471502 # DEPENDENCYPART_ARC
(3,11),-0.94165 # DEPENDENCYPART_ARC
(3,12),0.544868 # DEPENDENCYPART_ARC
(4,5),0.227686 # DEPENDENCYPART_ARC
(4,7),-0.768957 # DEPENDENCYPART_ARC
(5,1),-1.01487 # DEPENDENCYPART_ARC
(5,2),0.541194 # DEPENDENCYPART_ARC
(5,3),0.695583 # DEPENDENCYPART_ARC
(5,4),2.09271 # DEPENDENCYPART_ARC
(5,6),0.520873 # DEPENDENCYPART_ARC
(5,7),3.06794 # DEPENDENCYPART_ARC
(5,8),0.57049 # DEPENDENCYPART_ARC
(5,10),-2.0011 # DEPENDENCYPART_ARC
(5,11),-0.261577 # DEPENDENCYPART_ARC
(5,12),-0.00826108 # DEPENDENCYPART_ARC
(5,15),-3.28662 # DEPENDENCYPART_ARC
(5,16),-4.50724 # DEPENDENCYPART_ARC
(5,18),-0.867358 # DEPENDENCYPART_ARC
(5,21),-3.15302 # DEPENDENCYPART_ARC
(5,22),-1.78992 # DEPENDENCYPART_ARC
(5,23),-1.27232 # DEPENDENCYPART_ARC
(5,26),-2.14056 # DEPENDENCYPART_ARC
(5,27),0.00898857 # DEPENDENCYPART_ARC
(6,3),-0.576715 # DEPENDENCYPART_ARC
(6,5),-1.85537 # DEPENDENCYPART_ARC
(6,7),-0.509081 # DEPENDENCYPART_ARC
(6,8),-0.152215 # DEPENDENCYPART_ARC
(6,11),-2.27052 # DEPENDENCYPART_ARC
(7,2),-0.605453 # DEPENDENCYPART_ARC
(7,5),-1.76412 # DEPENDENCYPART_ARC
(7,6),3.22492 # DEPENDENCYPART_ARC
(7,8),0.838666 # DEPENDENCYPART_ARC
(7,9),-1.12742 # DEPENDENCYPART_ARC
(7,10),-1.65272 # DEPENDENCYPART_ARC
(7,11),-1.25029 # DEPENDENCYPART_ARC
(7,12),-0.230754 # DEPENDENCYPART_ARC
(7,15),-0.489498 # DEPENDENCYPART_ARC
(7,16),-0.722004 # DEPENDENCYPART_ARC
(7,21),-1.66525 # DEPENDENCYPART_ARC
(7,22),-1.01791 # DEPENDENCYPART_ARC
(7,23),-1.79457 # DEPENDENCYPART_ARC
(8,7),-1.15542 # DEPENDENCYPART_ARC
(8,9),-0.142401 # DEPENDENCYPART_ARC
(8,10),0.901264 # DEPENDENCYPART_ARC
(8,11),1.92609 # DEPENDENCYPART_ARC
(8,12),0.11214 # DEPENDENCYPART_ARC
(8,15),-1.27397 # DEPENDENCYPART_ARC
(10,8),-0.357519 # DEPENDENCYPART_ARC
(10,9),0.883286 # DEPENDENCYPART_ARC
(10,11),0.0737411 # DEPENDENCYPART_ARC
(10,15),-1.02757 # DEPENDENCYPART_ARC
(10,16),-2.46462 # DEPENDENCYPART_ARC
(10,18),-2.70648 # DEPENDENCYPART_ARC
(11,2),-0.346344 # DEPENDENCYPART_ARC
(11,6),-0.384839 # DEPENDENCYPART_ARC
(11,7),-1.45218 # DEPENDENCYPART_ARC
(11,8),-0.153121 # DEPENDENCYPART_ARC
(11,9),3.35989 # DEPENDENCYPART_ARC
(11,10),3.75481 # DEPENDENCYPART_ARC
(11,12),-0.444948 # DEPENDENCYPART_ARC
(11,13),-1.21967 # DEPENDENCYPART_ARC
(11,14),-1.25971 # DEPENDENCYPART_ARC
(11,15),-0.320201 # DEPENDENCYPART_ARC
(11,16),-0.490346 # DEPENDENCYPART_ARC
(11,18),-2.80828 # DEPENDENCYPART_ARC
(11,21),-2.14866 # DEPENDENCYPART_ARC
(12,2),-0.787773 # DEPENDENCYPART_ARC
(12,3),-0.548681 # DEPENDENCYPART_ARC
(12,5),-0.640254 # DEPENDENCYPART_ARC
(12,6),-0.489425 # DEPENDENCYPART_ARC
(12,7),-0.147505 # DEPENDENCYPART_ARC
(12,8),-0.152083 # DEPENDENCYPART_ARC
(12,10),-0.309459 # DEPENDENCYPART_ARC
(12,11),0.399431 # DEPENDENCYPART_ARC
(12,15),-0.581411 # DEPENDENCYPART_ARC
(12,16),-1.25343 # DEPENDENCYPART_ARC
(12,18),-1.4338 # DEPENDENCYPART_ARC
(12,22),-1.06362 # DEPENDENCYPART_ARC
(12,23),-1.38884 # DEPENDENCYPART_ARC
(14,12),0.319383 # DEPENDENCYPART_ARC
(14,13),2.84058 # DEPENDENCYPART_ARC
(14,15),-0.854284 # DEPENDENCYPART_ARC
(14,21),-2.41471 # DEPENDENCYPART_ARC
(15,1),-1.66081 # DEPENDENCYPART_ARC
(15,2),-1.39777 # DEPENDENCYPART_ARC
(15,3),-1.25725 # DEPENDENCYPART_ARC
(15,5),-3.12418 # DEPENDENCYPART_ARC
(15,6),-2.39595 # DEPENDENCYPART_ARC
(15,7),-1.17393 # DEPENDENCYPART_ARC
(15,8),-0.775585 # DEPENDENCYPART_ARC
(15,10),-2.93571 # DEPENDENCYPART_ARC
(15,11),-2.5899 # DEPENDENCYPART_ARC
(15,12),0.00805953 # DEPENDENCYPART_ARC
(15,13),-1.61386 # DEPENDENCYPART_ARC
(15,14),0.379596 # DEPENDENCYPART_ARC
(15,16),-1.78687 # DEPENDENCYPART_ARC
(15,17),-1.90167 # DEPENDENCYPART_ARC
(15,18),0.140852 # DEPENDENCYPART_ARC
(15,21),-2.72452 # DEPENDENCYPART_ARC
(15,22),-1.70747 # DEPENDENCYPART_ARC
(15,23),-1.79501 # DEPENDENCYPART_ARC
(15,26),-2.28849 # DEPENDENCYPART_ARC
(16,1),-0.252179 # DEPENDENCYPART_ARC
(16,2),0.137804 # DEPENDENCYPART_ARC
(16,3),0.149184 # DEPENDENCYPART_ARC
(16,5),0.760785 # DEPENDENCYPART_ARC
(16,6),-3.10931 # DEPENDENCYPART_ARC
(16,7),0.529454 # DEPENDENCYPART_ARC
(16,8),0.136812 # DEPENDENCYPART_ARC
(16,10),-2.61629 # DEPENDENCYPART_ARC
(16,11),-0.581182 # DEPENDENCYPART_ARC
(16,12),0.963849 # DEPENDENCYPART_ARC
(16,13),-0.0795413 # DEPENDENCYPART_ARC
(16,14),3.13308 # DEPENDENCYPART_ARC
(16,15),4.09921 # DEPENDENCYPART_ARC
(16,17),-0.855191 # DEPENDENCYPART_ARC
(16,18),2.69524 # DEPENDENCYPART_ARC
(16,20),-0.27716 # DEPENDENCYPART_ARC
(16,21),-0.93509 # DEPENDENCYPART_ARC
(16,22),-0.456833 # DEPENDENCYPART_ARC
(16,23),-0.664911 # DEPENDENCYPART_ARC
(16,26),-0.665776 # DEPENDENCYPART_ARC
(16,27),0.174604 # DEPENDENCYPART_ARC
(18,9),-1.94641 # DEPENDENCYPART_ARC
(18,13),-1.45271 # DEPENDENCYPART_ARC
(18,14),-0.921303 # DEPENDENCYPART_ARC
(18,16),-2.21165 # DEPENDENCYPART_ARC
(18,17),3.14298 # DEPENDENCYPART_ARC
(18,19),2.84098 # DEPENDENCYPART_ARC
(18,20),0.0149079 # DEPENDENCYPART_ARC
(18,21),1.01928 # DEPENDENCYPART_ARC
(18,22),0.131995 # DEPENDENCYPART_ARC
(18,23),-0.482323 # DEPENDENCYPART_ARC
(18,26),-1.67206 # DEPENDENCYPART_ARC
(20,21),0.0713517 # DEPENDENCYPART_ARC
(21,1),-1.10931 # DEPENDENCYPART_ARC
(21,2),-1.05156 # DEPENDENCYPART_ARC
(21,3),-0.876802 # DEPENDENCYPART_ARC
(21,5),-3.81609 # DEPENDENCYPART_ARC
(21,6),-3.47536 # DEPENDENCYPART_ARC
(21,7),-0.302457 # DEPENDENCYPART_ARC
(21,8),-0.98961 # DEPENDENCYPART_ARC
(21,10),-2.60237 # DEPENDENCYPART_ARC
(21,11),-2.21111 # DEPENDENCYPART_ARC
(21,12),-0.766147 # DEPENDENCYPART_ARC
(21,14),-0.582361 # DEPENDENCYPART_ARC
(21,15),-2.66955 # DEPENDENCYPART_ARC
(21,16),-4.12872 # DEPENDENCYPART_ARC
(21,17),-1.88041 # DEPENDENCYPART_ARC
(21,18),-0.584973 # DEPENDENCYPART_ARC
(21,20),1.89128 # DEPENDENCYPART_ARC
(21,22),1.55035 # DEPENDENCYPART_ARC
(21,23),0.978152 # DEPENDENCYPART_ARC
(21,24),-0.60541 # DEPENDENCYPART_ARC
(21,26),0.269809 # DEPENDENCYPART_ARC
(21,27),0.145745 # DEPENDENCYPART_ARC
(22,3),-1.012 # DEPENDENCYPART_ARC
(22,8),-1.1203 # DEPENDENCYPART_ARC
(22,14),-1.63993 # DEPENDENCYPART_ARC
(22,18),-1.30249 # DEPENDENCYPART_ARC
(22,21),-0.868916 # DEPENDENCYPART_ARC
(22,23),1.50492 # DEPENDENCYPART_ARC
(22,26),-0.709738 # DEPENDENCYPART_ARC
(23,22),-0.0200479 # DEPENDENCYPART_ARC
(23,24),1.55562 # DEPENDENCYPART_ARC
(23,26),1.32284 # DEPENDENCYPART_ARC
(23,27),-0.135153 # DEPENDENCYPART_ARC
(24,26),0.110868 # DEPENDENCYPART_ARC
(24,27),0.286678 # DEPENDENCYPART_ARC
(25,24),1.19564 # DEPENDENCYPART_ARC
(26,17),-1.08621 # DEPENDENCYPART_ARC
(26,22),-0.299651 # DEPENDENCYPART_ARC
(26,23),-0.197492 # DEPENDENCYPART_ARC
(26,24),3.50226 # DEPENDENCYPART_ARC
(26,25),3.47279 # DEPENDENCYPART_ARC
(27,18),-2.83604 # DEPENDENCYPART_ARC
(27,23),-2.10521 # DEPENDENCYPART_ARC
(27,26),-2.11464 # DEPENDENCYPART_ARC
