# _root_ Η Παροικιά , στην δυτική ακτή του νησιού , είναι η πρωτεύουσα και μεγαλύτερη πόλη της Πάρου .
#goldHeads=2,10,4,10,6,4,8,6,4,0,12,13,10,15,13,17,15,0,
#predictedHeads=2,13,4,10,6,4,8,6,10,0,12,10,10,15,13,17,15,0,
(0,2),-0.966487 # DEPENDENCYPART_ARC
(0,3),-0.0805234 # DEPENDENCYPART_ARC
(0,4),-1.03044 # DEPENDENCYPART_ARC
(0,5),-1.14679 # DEPENDENCYPART_ARC
(0,6),-1.2939 # DEPENDENCYPART_ARC
(0,8),-1.78216 # DEPENDENCYPART_ARC
(0,9),-0.556104 # DEPENDENCYPART_ARC
(0,10),1.24007 # DEPENDENCYPART_ARC
(0,13),-1.11244 # DEPENDENCYPART_ARC
(0,14),-1.71968 # DEPENDENCYPART_ARC
(0,15),-2.01626 # DEPENDENCYPART_ARC
(0,17),-2.34134 # DEPENDENCYPART_ARC
(0,18),2.94561 # DEPENDENCYPART_ARC
(2,1),1.64572 # DEPENDENCYPART_ARC
(2,3),0.0934178 # DEPENDENCYPART_ARC
(2,4),-0.426848 # DEPENDENCYPART_ARC
(2,5),-1.82298 # DEPENDENCYPART_ARC
(2,6),-1.38482 # DEPENDENCYPART_ARC
(2,8),-1.50798 # DEPENDENCYPART_ARC
(2,9),-0.4037 # DEPENDENCYPART_ARC
(2,10),-2.21518 # DEPENDENCYPART_ARC
(3,2),-0.290135 # DEPENDENCYPART_ARC
(3,4),-0.133125 # DEPENDENCYPART_ARC
(3,5),-0.00702408 # DEPENDENCYPART_ARC
(3,6),-0.307762 # DEPENDENCYPART_ARC
(3,8),-0.487837 # DEPENDENCYPART_ARC
(3,9),0.0755518 # DEPENDENCYPART_ARC
(3,10),-0.779377 # DEPENDENCYPART_ARC
(3,12),-1.38008 # DEPENDENCYPART_ARC
(3,13),-0.287262 # DEPENDENCYPART_ARC
(3,14),-1.02256 # DEPENDENCYPART_ARC
(3,17),-1.15767 # DEPENDENCYPART_ARC
(4,2),-0.891955 # DEPENDENCYPART_ARC
(4,3),0.624387 # DEPENDENCYPART_ARC
(4,5),0.805532 # DEPENDENCYPART_ARC
(4,6),2.74818 # DEPENDENCYPART_ARC
(4,8),-0.681763 # DEPENDENCYPART_ARC
(4,9),0.197365 # DEPENDENCYPART_ARC
(5,3),-1.10635 # DEPENDENCYPART_ARC
(5,6),0.201622 # DEPENDENCYPART_ARC
(5,8),-0.64273 # DEPENDENCYPART_ARC
(5,9),-0.470742 # DEPENDENCYPART_ARC
(6,1),1.42616 # DEPENDENCYPART_ARC
(6,2),-0.44269 # DEPENDENCYPART_ARC
(6,3),0.0574891 # DEPENDENCYPART_ARC
(6,4),0.813182 # DEPENDENCYPART_ARC
(6,5),3.23737 # DEPENDENCYPART_ARC
(6,7),-0.133434 # DEPENDENCYPART_ARC
