# _root_ Το πάρτυ διαρκεί μέχρι τις 10 ή 11 το βράδυ , όταν οι περισσότεροι πάνε για ντουζ , ένα εσπρέσο και μετά δείπνο και περισσότερη διασκέδαση.Μέχρι πρωίας .
#goldHeads=2,3,0,3,7,7,10,7,10,4,3,10,14,15,12,15,18,21,20,18,16,21,24,21,26,24,26,0,
#predictedHeads=2,3,0,3,6,7,4,7,10,7,12,3,14,15,12,15,16,21,20,24,15,21,22,22,24,25,26,0,
(0,2),-1.03662 # DEPENDENCYPART_ARC
(0,3),0.663611 # DEPENDENCYPART_ARC
(0,4),-1.42976 # DEPENDENCYPART_ARC
(0,6),-1.23259 # DEPENDENCYPART_ARC
(0,7),-0.768887 # DEPENDENCYPART_ARC
(0,8),-1.4257 # DEPENDENCYPART_ARC
(0,11),-0.508617 # DEPENDENCYPART_ARC
(0,12),-0.432828 # DEPENDENCYPART_ARC
(0,14),-2.13213 # DEPENDENCYPART_ARC
(0,15),-0.583027 # DEPENDENCYPART_ARC
(0,18),-0.788298 # DEPENDENCYPART_ARC
(0,21),-1.0652 # DEPENDENCYPART_ARC
(0,24),-1.60473 # DEPENDENCYPART_ARC
(0,28),4.06443 # DEPENDENCYPART_ARC
(1,2),0.499522 # DEPENDENCYPART_ARC
(2,1),3.14466 # DEPENDENCYPART_ARC
(2,3),-0.743726 # DEPENDENCYPART_ARC
(2,4),-0.619277 # DEPENDENCYPART_ARC
(2,6),-0.581053 # DEPENDENCYPART_ARC
(2,8),-0.791682 # DEPENDENCYPART_ARC
(3,1),0.336961 # DEPENDENCYPART_ARC
(3,2),2.35776 # DEPENDENCYPART_ARC
(3,4),1.18489 # DEPENDENCYPART_ARC
(3,5),-1.17834 # DEPENDENCYPART_ARC
(3,6),-0.1039 # DEPENDENCYPART_ARC
(3,7),0.190751 # DEPENDENCYPART_ARC
(3,8),-0.589288 # DEPENDENCYPART_ARC
(3,10),-1.28176 # DEPENDENCYPART_ARC
(3,11),-0.0281844 # DEPENDENCYPART_ARC
(3,12),0.206988 # DEPENDENCYPART_ARC
(3,15),-3.51931 # DEPENDENCYPART_ARC
(3,16),-1.01406 # DEPENDENCYPART_ARC
(3,18),-0.896307 # DEPENDENCYPART_ARC
(3,22),-1.70597 # DEPENDENCYPART_ARC
(3,26),-2.38078 # DEPENDENCYPART_ARC
(3,28),-0.920716 # DEPENDENCYPART_ARC
(4,2),-1.04273 # DEPENDENCYPART_ARC
(4,3),-0.232555 # DEPENDENCYPART_ARC
(4,5),0.0124151 # DEPENDENCYPART_ARC
(4,6),1.14999 # DEPENDENCYPART_ARC
(4,7),0.43464 # DEPENDENCYPART_ARC
(4,10),0.0076154 # DEPENDENCYPART_ARC
(4,11),-0.0666614 # DEPENDENCYPART_ARC
(4,12),0.0690509 # DEPENDENCYPART_ARC
(4,21),-0.654276 # DEPENDENCYPART_ARC
(5,7),0.0629567 # DEPENDENCYPART_ARC
(6,5),1.51352 # DEPENDENCYPART_ARC
(6,10),-0.519322 # DEPENDENCYPART_ARC
(7,1),0.00631958 # DEPENDENCYPART_ARC
(7,2),0.283263 # DEPENDENCYPART_ARC
(7,3),0.767603 # DEPENDENCYPART_ARC
(7,4),0.995444 # DEPENDENCYPART_ARC
(7,5),0.629859 # DEPENDENCYPART_ARC
(7,6),1.62316 # DEPENDENCYPART_ARC
(7,8),1.57988 # DEPENDENCYPART_ARC
(7,10),0.710579 # DEPENDENCYPART_ARC
(7,11),0.791904 # DEPENDENCYPART_ARC
(7,12),0.113671 # DEPENDENCYPART_ARC
(7,14),0.177392 # DEPENDENCYPART_ARC
(7,15),0.660923 # DEPENDENCYPART_ARC
(7,16),0.0258328 # DEPENDENCYPART_ARC
(7,17),-0.958041 # DEPENDENCYPART_ARC
(7,18),0.318563 # DEPENDENCYPART_ARC
(8,7),0.385418 # DEPENDENCYPART_ARC
(8,10),0.576024 # DEPENDENCYPART_ARC
(10,1),-1.3414 # DEPENDENCYPART_ARC
(10,3),-3.15271 # DEPENDENCYPART_ARC
(10,4),-0.834786 # DEPENDENCYPART_ARC
(10,5),-0.77183 # DEPENDENCYPART_ARC
(10,7),-0.123636 # DEPENDENCYPART_ARC
(10,8),0.437827 # DEPENDENCYPART_ARC
(10,9),3.16217 # DEPENDENCYPART_ARC
(10,11),-0.0690047 # DEPENDENCYPART_ARC
(10,12),-0.275282 # DEPENDENCYPART_ARC
(10,14),-0.519671 # DEPENDENCYPART_ARC
(10,15),-1.46909 # DEPENDENCYPART_ARC
(11,2),-1.23096 # DEPENDENCYPART_ARC
(11,3),-0.738853 # DEPENDENCYPART_ARC
(11,4),-0.275554 # DEPENDENCYPART_ARC
(11,6),-0.22739 # DEPENDENCYPART_ARC
(11,7),0.0290945 # DEPENDENCYPART_ARC
(11,8),-0.0507567 # DEPENDENCYPART_ARC
(11,10),-0.1336 # DEPENDENCYPART_ARC
(11,12),-0.211608 # DEPENDENCYPART_ARC
(11,14),-0.690472 # DEPENDENCYPART_ARC
(11,15),-0.949569 # DEPENDENCYPART_ARC
(11,25),-1.56378 # DEPENDENCYPART_ARC
(12,11),1.66045 # DEPENDENCYPART_ARC
(12,13),0.309684 # DEPENDENCYPART_ARC
(12,15),1.96251 # DEPENDENCYPART_ARC
(12,18),0.703101 # DEPENDENCYPART_ARC
(12,21),-0.0236213 # DEPENDENCYPART_ARC
(12,24),-0.0253367 # DEPENDENCYPART_ARC
(12,28),-0.110802 # DEPENDENCYPART_ARC
(14,10),-1.53733 # DEPENDENCYPART_ARC
(14,11),-0.280661 # DEPENDENCYPART_ARC
(14,12),-0.0780146 # DEPENDENCYPART_ARC
