# _root_ Αφού έλαβαν υπόψη και άλλους παράγοντες επικινδυνότητας για την ασθένεια , όπως η ηλικία και το φύλο , οι επιστήμονες βρήκαν ότι ο διαβήτης αυξάνει τις πιθανότητες ανάπτυξης καρκίνου του ήπατος .
#goldHeads=21,1,2,6,6,2,6,7,10,8,6,6,14,15,6,17,15,6,20,21,0,21,24,25,22,27,25,27,28,29,29,0,
#predictedHeads=25,1,2,2,6,4,6,7,10,8,1,21,14,15,8,17,15,21,20,21,0,21,24,25,22,27,25,27,28,31,29,0,
(0,1),0.0285151 # DEPENDENCYPART_ARC
(0,2),-0.26263 # DEPENDENCYPART_ARC
(0,3),-1.20104 # DEPENDENCYPART_ARC
(0,4),-0.998183 # DEPENDENCYPART_ARC
(0,5),-1.69583 # DEPENDENCYPART_ARC
(0,11),-0.990317 # DEPENDENCYPART_ARC
(0,15),-1.11445 # DEPENDENCYPART_ARC
(0,21),-0.614892 # DEPENDENCYPART_ARC
(0,22),-4.65058 # DEPENDENCYPART_ARC
(0,25),-0.262092 # DEPENDENCYPART_ARC
(0,28),-2.33198 # DEPENDENCYPART_ARC
(0,29),-2.57689 # DEPENDENCYPART_ARC
(0,31),-2.58986 # DEPENDENCYPART_ARC
(0,32),4.28257 # DEPENDENCYPART_ARC
(1,2),2.51655 # DEPENDENCYPART_ARC
(1,3),-0.0811463 # DEPENDENCYPART_ARC
(1,4),0.161814 # DEPENDENCYPART_ARC
(1,5),-0.834664 # DEPENDENCYPART_ARC
(1,11),0.928983 # DEPENDENCYPART_ARC
(1,18),1.11621 # DEPENDENCYPART_ARC
(1,21),-0.150956 # DEPENDENCYPART_ARC
(1,25),-0.612054 # DEPENDENCYPART_ARC
(2,1),0.292785 # DEPENDENCYPART_ARC
(2,3),1.64062 # DEPENDENCYPART_ARC
(2,4),0.843517 # DEPENDENCYPART_ARC
(2,5),0.25848 # DEPENDENCYPART_ARC
(2,6),0.852952 # DEPENDENCYPART_ARC
(2,7),-0.599992 # DEPENDENCYPART_ARC
(2,8),0.994871 # DEPENDENCYPART_ARC
(2,10),-0.976281 # DEPENDENCYPART_ARC
(2,11),0.548885 # DEPENDENCYPART_ARC
(2,12),0.255433 # DEPENDENCYPART_ARC
(2,15),0.226929 # DEPENDENCYPART_ARC
(2,17),-1.77562 # DEPENDENCYPART_ARC
(2,18),0.046452 # DEPENDENCYPART_ARC
(2,20),-2.32697 # DEPENDENCYPART_ARC
(2,21),-5.43943 # DEPENDENCYPART_ARC
(2,22),-1.88031 # DEPENDENCYPART_ARC
(3,2),-0.706852 # DEPENDENCYPART_ARC
(3,4),-0.164033 # DEPENDENCYPART_ARC
(3,6),-1.32267 # DEPENDENCYPART_ARC
(4,1),0.345551 # DEPENDENCYPART_ARC
(4,2),0.834914 # DEPENDENCYPART_ARC
(4,3),0.767181 # DEPENDENCYPART_ARC
(4,5),0.20264 # DEPENDENCYPART_ARC
(4,6),0.997864 # DEPENDENCYPART_ARC
(4,7),0.152369 # DEPENDENCYPART_ARC
