# _root_ Τελικά , το 1576 μετά από αίτημα της Κέρκυρας , το νησί περιήλθε υπό την προστασία της Βενετίας .
#goldHeads=13,13,4,13,13,5,6,9,7,13,12,13,0,13,16,14,18,16,0,
#predictedHeads=13,13,4,13,13,5,6,9,7,13,12,13,0,13,16,14,18,16,0,
(0,1),-0.396112 # DEPENDENCYPART_ARC
(0,2),-0.377011 # DEPENDENCYPART_ARC
(0,4),-0.71277 # DEPENDENCYPART_ARC
(0,5),-1.46325 # DEPENDENCYPART_ARC
(0,6),-1.11809 # DEPENDENCYPART_ARC
(0,7),-0.794096 # DEPENDENCYPART_ARC
(0,9),-1.08451 # DEPENDENCYPART_ARC
(0,10),-0.177219 # DEPENDENCYPART_ARC
(0,12),-1.06049 # DEPENDENCYPART_ARC
(0,13),0.767526 # DEPENDENCYPART_ARC
(0,14),-1.58802 # DEPENDENCYPART_ARC
(0,19),3.01339 # DEPENDENCYPART_ARC
(1,2),0.324989 # DEPENDENCYPART_ARC
(1,5),-0.944901 # DEPENDENCYPART_ARC
(1,6),-0.531075 # DEPENDENCYPART_ARC
(1,7),-1.30658 # DEPENDENCYPART_ARC
(1,10),-0.520735 # DEPENDENCYPART_ARC
(1,13),-0.964049 # DEPENDENCYPART_ARC
(2,1),-0.254551 # DEPENDENCYPART_ARC
(2,4),-0.253478 # DEPENDENCYPART_ARC
(2,5),-0.583218 # DEPENDENCYPART_ARC
(2,6),-0.521159 # DEPENDENCYPART_ARC
(2,7),-0.70936 # DEPENDENCYPART_ARC
(2,9),-0.936738 # DEPENDENCYPART_ARC
(2,10),-0.567433 # DEPENDENCYPART_ARC
(2,12),-0.983683 # DEPENDENCYPART_ARC
(2,13),-0.682793 # DEPENDENCYPART_ARC
(2,14),-1.01008 # DEPENDENCYPART_ARC
(2,19),-0.970522 # DEPENDENCYPART_ARC
(3,5),-0.0660661 # DEPENDENCYPART_ARC
(4,2),0.166701 # DEPENDENCYPART_ARC
(4,3),2.12443 # DEPENDENCYPART_ARC
(4,5),0.820504 # DEPENDENCYPART_ARC
(4,6),0.15353 # DEPENDENCYPART_ARC
(4,7),0.122442 # DEPENDENCYPART_ARC
(5,1),-0.0536254 # DEPENDENCYPART_ARC
(5,2),-0.0870892 # DEPENDENCYPART_ARC
(5,3),0.497204 # DEPENDENCYPART_ARC
(5,4),0.192824 # DEPENDENCYPART_ARC
(5,6),1.38549 # DEPENDENCYPART_ARC
(5,7),0.560168 # DEPENDENCYPART_ARC
(5,10),0.238585 # DEPENDENCYPART_ARC
(5,12),-1.12771 # DEPENDENCYPART_ARC
(5,13),-1.02429 # DEPENDENCYPART_ARC
(5,14),-0.967755 # DEPENDENCYPART_ARC
(5,19),-0.507502 # DEPENDENCYPART_ARC
(6,5),0.0385174 # DEPENDENCYPART_ARC
(6,7),3.09167 # DEPENDENCYPART_ARC
(6,9),0.0422558 # DEPENDENCYPART_ARC
(6,10),0.0138417 # DEPENDENCYPART_ARC
(6,12),-2.0708 # DEPENDENCYPART_ARC
(6,13),-1.51696 # DEPENDENCYPART_ARC
(6,19),-1.56673 # DEPENDENCYPART_ARC
(7,1),-1.79702 # DEPENDENCYPART_ARC
(7,2),-1.31516 # DEPENDENCYPART_ARC
(7,3),0.254694 # DEPENDENCYPART_ARC
(7,5),-0.475278 # DEPENDENCYPART_ARC
(7,6),-0.216998 # DEPENDENCYPART_ARC
(7,8),0.400996 # DEPENDENCYPART_ARC
(7,9),2.55486 # DEPENDENCYPART_ARC
(7,10),0.156749 # DEPENDENCYPART_ARC
(7,12),-0.640168 # DEPENDENCYPART_ARC
(7,13),-0.625334 # DEPENDENCYPART_ARC
(7,14),-0.813695 # DEPENDENCYPART_ARC
(7,16),-2.3386 # DEPENDENCYPART_ARC
(7,19),0.0361375 # DEPENDENCYPART_ARC
(9,7),-1.50796 # DEPENDENCYPART_ARC
(9,8),3.04048 # DEPENDENCYPART_ARC
(9,10),-0.768463 # DEPENDENCYPART_ARC
(9,12),-1.67513 # DEPENDENCYPART_ARC
(9,13),-1.8993 # DEPENDENCYPART_ARC
(10,1),-0.135139 # DEPENDENCYPART_ARC
(10,2),-0.70347 # DEPENDENCYPART_ARC
(10,4),-0.229999 # DEPENDENCYPART_ARC
(10,5),-0.130906 # DEPENDENCYPART_ARC
(10,6),-0.0377496 # DEPENDENCYPART_ARC
(10,7),0.345119 # DEPENDENCYPART_ARC
(10,9),0.572142 # DEPENDENCYPART_ARC
(10,12),0.0605839 # DEPENDENCYPART_ARC
(10,13),-0.506518 # DEPENDENCYPART_ARC
(10,14),-0.824099 # DEPENDENCYPART_ARC
(10,16),-1.08528 # DEPENDENCYPART_ARC
(10,18),-1.01402 # DEPENDENCYPART_ARC
(10,19),-0.48363 # DEPENDENCYPART_ARC
(12,1),-1.26799 # DEPENDENCYPART_ARC
(12,2),-1.07737 # DEPENDENCYPART_ARC
(12,3),-1.87523 # DEPENDENCYPART_ARC
(12,5),-1.11015 # DEPENDENCYPART_ARC
(12,6),-1.09301 # DEPENDENCYPART_ARC
(12,7),-1.49392 # DEPENDENCYPART_ARC
(12,8),-0.861886 # DEPENDENCYPART_ARC
(12,9),-1.56834 # DEPENDENCYPART_ARC
(12,10),-0.313833 # DEPENDENCYPART_ARC
(12,11),3.22428 # DEPENDENCYPART_ARC
(12,13),-0.616983 # DEPENDENCYPART_ARC
(12,14),-0.875972 # DEPENDENCYPART_ARC
(12,16),-1.44544 # DEPENDENCYPART_ARC
(12,18),-1.04914 # DEPENDENCYPART_ARC
(13,1),1.02791 # DEPENDENCYPART_ARC
(13,2),0.993281 # DEPENDENCYPART_ARC
(13,4),0.597336 # DEPENDENCYPART_ARC
(13,5),1.0514 # DEPENDENCYPART_ARC
(13,6),-0.393305 # DEPENDENCYPART_ARC
(13,7),-0.571835 # DEPENDENCYPART_ARC
(13,8),-2.06447 # DEPENDENCYPART_ARC
(13,9),-1.2644 # DEPENDENCYPART_ARC
