# _root_ Υποστήριξη στις ΗΠΑ ως προς την πρόταση παραπομπής του Ιράν στο Συμβούλιο Ασφαλείας , εφόσον επαναληφθεί ο εμπλουτισμός ουρανίου ή παραβιαστούν καίριες δεσμεύσεις , πρόκειται να παράσχει η ΕΕ.
#goldHeads=27,1,2,1,4,7,5,7,10,8,8,11,12,15,27,20,18,16,18,15,20,23,21,25,0,27,25,29,27,
#predictedHeads=0,1,2,1,4,7,5,7,10,8,8,11,12,15,0,15,18,16,18,18,20,23,21,25,15,27,25,29,27,
(0,1),0.0656746 # DEPENDENCYPART_ARC
(0,2),-0.493244 # DEPENDENCYPART_ARC
(0,3),-0.45047 # DEPENDENCYPART_ARC
(0,4),-0.879328 # DEPENDENCYPART_ARC
(0,5),-0.758308 # DEPENDENCYPART_ARC
(0,8),-0.920786 # DEPENDENCYPART_ARC
(0,10),-1.31928 # DEPENDENCYPART_ARC
(0,13),-0.522985 # DEPENDENCYPART_ARC
(0,14),-0.119169 # DEPENDENCYPART_ARC
(0,15),0.324219 # DEPENDENCYPART_ARC
(0,16),0.182707 # DEPENDENCYPART_ARC
(0,18),-1.42969 # DEPENDENCYPART_ARC
(0,20),-0.729239 # DEPENDENCYPART_ARC
(0,21),-0.382989 # DEPENDENCYPART_ARC
(0,23),-1.14938 # DEPENDENCYPART_ARC
(0,25),-0.66237 # DEPENDENCYPART_ARC
(0,27),-1.3454 # DEPENDENCYPART_ARC
(0,29),-1.78338 # DEPENDENCYPART_ARC
(1,2),0.805415 # DEPENDENCYPART_ARC
(1,3),0.559537 # DEPENDENCYPART_ARC
(1,4),0.177045 # DEPENDENCYPART_ARC
(1,5),0.465928 # DEPENDENCYPART_ARC
(1,11),-0.0335429 # DEPENDENCYPART_ARC
(1,20),-0.36984 # DEPENDENCYPART_ARC
(2,3),1.43092 # DEPENDENCYPART_ARC
(2,5),-0.276143 # DEPENDENCYPART_ARC
(3,1),-0.485197 # DEPENDENCYPART_ARC
(3,7),-0.141091 # DEPENDENCYPART_ARC
(4,1),-0.560907 # DEPENDENCYPART_ARC
(4,2),0.305538 # DEPENDENCYPART_ARC
(4,3),0.405665 # DEPENDENCYPART_ARC
(4,5),1.63508 # DEPENDENCYPART_ARC
(4,7),0.568159 # DEPENDENCYPART_ARC
(4,8),0.788794 # DEPENDENCYPART_ARC
(4,12),-0.515016 # DEPENDENCYPART_ARC
(4,14),0.274443 # DEPENDENCYPART_ARC
(4,16),-0.483137 # DEPENDENCYPART_ARC
(4,27),-1.54135 # DEPENDENCYPART_ARC
(5,4),-0.182154 # DEPENDENCYPART_ARC
(5,6),0.131613 # DEPENDENCYPART_ARC
(5,7),2.08026 # DEPENDENCYPART_ARC
(5,8),0.815272 # DEPENDENCYPART_ARC
(5,12),-1.37521 # DEPENDENCYPART_ARC
(5,14),-0.202724 # DEPENDENCYPART_ARC
(5,15),-0.687354 # DEPENDENCYPART_ARC
(5,24),-0.797425 # DEPENDENCYPART_ARC
(6,8),0.110947 # DEPENDENCYPART_ARC
(7,5),-0.26265 # DEPENDENCYPART_ARC
(7,6),2.67895 # DEPENDENCYPART_ARC
(7,8),2.74167 # DEPENDENCYPART_ARC
(7,9),0.0180733 # DEPENDENCYPART_ARC
(7,10),0.449631 # DEPENDENCYPART_ARC
(7,11),0.50512 # DEPENDENCYPART_ARC
(7,12),-1.2205 # DEPENDENCYPART_ARC
(7,13),0.112297 # DEPENDENCYPART_ARC
(7,15),-0.0528672 # DEPENDENCYPART_ARC
(7,16),-1.0065 # DEPENDENCYPART_ARC
(7,20),-0.0737598 # DEPENDENCYPART_ARC
(8,1),-2.21987 # DEPENDENCYPART_ARC
(8,4),-0.785187 # DEPENDENCYPART_ARC
(8,6),1.08259 # DEPENDENCYPART_ARC
(8,7),0.111422 # DEPENDENCYPART_ARC
(8,9),0.456299 # DEPENDENCYPART_ARC
(8,10),0.891212 # DEPENDENCYPART_ARC
(8,11),0.765521 # DEPENDENCYPART_ARC
(8,12),-0.73313 # DEPENDENCYPART_ARC
(8,13),0.869134 # DEPENDENCYPART_ARC
(8,14),0.238617 # DEPENDENCYPART_ARC
(8,15),-0.269201 # DEPENDENCYPART_ARC
(8,16),-1.66115 # DEPENDENCYPART_ARC
(10,6),0.495395 # DEPENDENCYPART_ARC
(10,7),-0.213711 # DEPENDENCYPART_ARC
(10,8),-0.210169 # DEPENDENCYPART_ARC
(10,9),2.30541 # DEPENDENCYPART_ARC
(10,11),0.600126 # DEPENDENCYPART_ARC
(10,12),0.831248 # DEPENDENCYPART_ARC
(10,13),0.255724 # DEPENDENCYPART_ARC
(11,12),2.80646 # DEPENDENCYPART_ARC
(11,13),0.159139 # DEPENDENCYPART_ARC
(11,14),0.0556108 # DEPENDENCYPART_ARC
(12,6),-2.02361 # DEPENDENCYPART_ARC
(12,9),-1.31091 # DEPENDENCYPART_ARC
(12,10),-0.772107 # DEPENDENCYPART_ARC
(12,13),2.58431 # DEPENDENCYPART_ARC
(12,14),-0.171831 # DEPENDENCYPART_ARC
(12,15),-0.211342 # DEPENDENCYPART_ARC
(12,16),-0.484227 # DEPENDENCYPART_ARC
(12,20),-0.528783 # DEPENDENCYPART_ARC
(13,6),-1.59451 # DEPENDENCYPART_ARC
(13,8),-0.747275 # DEPENDENCYPART_ARC
(13,9),-0.27842 # DEPENDENCYPART_ARC
(13,11),-0.215398 # DEPENDENCYPART_ARC
(13,12),0.523109 # DEPENDENCYPART_ARC
(13,14),-0.198005 # DEPENDENCYPART_ARC
(13,15),-0.495856 # DEPENDENCYPART_ARC
(13,16),-1.40724 # DEPENDENCYPART_ARC
(14,1),-1.32392 # DEPENDENCYPART_ARC
(14,4),-0.573653 # DEPENDENCYPART_ARC
(14,5),-0.52304 # DEPENDENCYPART_ARC
(14,7),-0.616941 # DEPENDENCYPART_ARC
(14,8),-0.526886 # DEPENDENCYPART_ARC
(14,10),-0.6891 # DEPENDENCYPART_ARC
(14,11),-0.148935 # DEPENDENCYPART_ARC
(14,12),-0.236766 # DEPENDENCYPART_ARC
(14,13),-0.0973309 # DEPENDENCYPART_ARC
(14,18),-1.00251 # DEPENDENCYPART_ARC
(15,14),1.7114 # DEPENDENCYPART_ARC
(15,16),2.84895 # DEPENDENCYPART_ARC
(15,20),0.0915307 # DEPENDENCYPART_ARC
(15,21),0.727875 # DEPENDENCYPART_ARC
(15,24),1.59103 # DEPENDENCYPART_ARC
(15,25),-0.101673 # DEPENDENCYPART_ARC
(15,27),-1.05853 # DEPENDENCYPART_ARC
(16,1),-0.414061 # DEPENDENCYPART_ARC
(16,2),-2.0781 # DEPENDENCYPART_ARC
(16,4),-0.895454 # DEPENDENCYPART_ARC
(16,5),-1.57473 # DEPENDENCYPART_ARC
(16,7),-1.78953 # DEPENDENCYPART_ARC
(16,8),-3.19846 # DEPENDENCYPART_ARC
(16,10),-1.2282 # DEPENDENCYPART_ARC
(16,11),-1.54777 # DEPENDENCYPART_ARC
(16,12),-2.15302 # DEPENDENCYPART_ARC
(16,13),-2.99834 # DEPENDENCYPART_ARC
(16,14),0.047941 # DEPENDENCYPART_ARC
(16,15),0.105397 # DEPENDENCYPART_ARC
(16,17),-1.84044 # DEPENDENCYPART_ARC
(16,18),1.67598 # DEPENDENCYPART_ARC
(16,19),-0.586571 # DEPENDENCYPART_ARC
(16,20),0.168634 # DEPENDENCYPART_ARC
(16,21),-1.51994 # DEPENDENCYPART_ARC
(16,22),-1.55671 # DEPENDENCYPART_ARC
(16,23),-1.01465 # DEPENDENCYPART_ARC
(16,24),-0.0397178 # DEPENDENCYPART_ARC
(16,25),-4.75374 # DEPENDENCYPART_ARC
(16,27),-3.53106 # DEPENDENCYPART_ARC
(17,19),-0.0778543 # DEPENDENCYPART_ARC
(18,9),-2.77637 # DEPENDENCYPART_ARC
(18,17),2.91571 # DEPENDENCYPART_ARC
(18,19),2.39716 # DEPENDENCYPART_ARC
(18,20),0.692829 # DEPENDENCYPART_ARC
(18,21),-0.69977 # DEPENDENCYPART_ARC
(18,22),-1.26546 # DEPENDENCYPART_ARC
(18,23),-1.09263 # DEPENDENCYPART_ARC
(18,25),-3.19993 # DEPENDENCYPART_ARC
