# _root_ Τα νέα κτίσματα των τελευταίων ετών , που ανεγέρθηκαν κυρίως κοντά στις παραλίες , είναι μονόροφα ή διώροφα κυκλαδίτικα σπίτια τα περισσότερα με ιδιωτικές πισίνες .
#goldHeads=3,3,15,6,6,3,9,9,3,11,9,11,12,9,0,17,20,17,20,15,22,20,20,25,23,0,
#predictedHeads=3,3,15,6,6,3,9,9,3,11,9,11,12,15,0,17,15,17,20,15,22,20,22,25,23,0,
(0,2),-0.572545 # DEPENDENCYPART_ARC
(0,3),-0.594508 # DEPENDENCYPART_ARC
(0,5),-0.909695 # DEPENDENCYPART_ARC
(0,6),-1.07744 # DEPENDENCYPART_ARC
(0,7),0.0511005 # DEPENDENCYPART_ARC
(0,9),0.195001 # DEPENDENCYPART_ARC
(0,14),-0.341858 # DEPENDENCYPART_ARC
(0,15),0.604512 # DEPENDENCYPART_ARC
(0,16),-1.26834 # DEPENDENCYPART_ARC
(0,17),-1.13479 # DEPENDENCYPART_ARC
(0,18),-1.19674 # DEPENDENCYPART_ARC
(0,19),-1.21154 # DEPENDENCYPART_ARC
(0,26),3.08624 # DEPENDENCYPART_ARC
(2,1),1.28053 # DEPENDENCYPART_ARC
(2,3),-0.975395 # DEPENDENCYPART_ARC
(2,5),-0.922925 # DEPENDENCYPART_ARC
(2,6),-0.731572 # DEPENDENCYPART_ARC
(2,12),-0.973868 # DEPENDENCYPART_ARC
(3,1),2.46787 # DEPENDENCYPART_ARC
(3,2),2.5296 # DEPENDENCYPART_ARC
(3,4),-0.634902 # DEPENDENCYPART_ARC
(3,5),-0.142914 # DEPENDENCYPART_ARC
(3,6),-0.0227265 # DEPENDENCYPART_ARC
(3,7),-0.259205 # DEPENDENCYPART_ARC
(3,9),-1.02269 # DEPENDENCYPART_ARC
(3,10),-0.844335 # DEPENDENCYPART_ARC
(3,11),-0.768816 # DEPENDENCYPART_ARC
(3,12),-1.61932 # DEPENDENCYPART_ARC
(3,13),-2.07401 # DEPENDENCYPART_ARC
(3,15),-1.67757 # DEPENDENCYPART_ARC
(3,17),-0.621708 # DEPENDENCYPART_ARC
(5,3),-0.476483 # DEPENDENCYPART_ARC
(5,4),1.19937 # DEPENDENCYPART_ARC
(5,6),0.0507811 # DEPENDENCYPART_ARC
(5,7),-0.72927 # DEPENDENCYPART_ARC
(5,9),-1.13353 # DEPENDENCYPART_ARC
(6,1),0.275351 # DEPENDENCYPART_ARC
(6,2),-0.438152 # DEPENDENCYPART_ARC
(6,3),-0.648173 # DEPENDENCYPART_ARC
(6,4),2.0789 # DEPENDENCYPART_ARC
(6,5),2.02016 # DEPENDENCYPART_ARC
(6,7),-0.445238 # DEPENDENCYPART_ARC
(6,8),-1.53166 # DEPENDENCYPART_ARC
(6,9),-1.19859 # DEPENDENCYPART_ARC
(6,10),-1.1744 # DEPENDENCYPART_ARC
(7,2),-1.33288 # DEPENDENCYPART_ARC
(7,3),-1.08987 # DEPENDENCYPART_ARC
(7,5),-0.967875 # DEPENDENCYPART_ARC
(7,6),-0.53888 # DEPENDENCYPART_ARC
(7,8),-0.517324 # DEPENDENCYPART_ARC
(7,9),-0.897149 # DEPENDENCYPART_ARC
(7,10),-1.05771 # DEPENDENCYPART_ARC
(7,11),-1.17527 # DEPENDENCYPART_ARC
(7,12),-1.10244 # DEPENDENCYPART_ARC
(7,13),-1.56858 # DEPENDENCYPART_ARC
(7,14),-0.393121 # DEPENDENCYPART_ARC
(7,16),-1.34656 # DEPENDENCYPART_ARC
(7,18),-1.31665 # DEPENDENCYPART_ARC
(7,19),-1.29073 # DEPENDENCYPART_ARC
(7,22),-1.32598 # DEPENDENCYPART_ARC
(8,7),-0.0247981 # DEPENDENCYPART_ARC
(8,9),-0.195004 # DEPENDENCYPART_ARC
(9,2),-1.24951 # DEPENDENCYPART_ARC
(9,3),-0.584363 # DEPENDENCYPART_ARC
(9,4),-1.75251 # DEPENDENCYPART_ARC
(9,5),-2.06856 # DEPENDENCYPART_ARC
(9,6),-1.9903 # DEPENDENCYPART_ARC
(9,7),0.414231 # DEPENDENCYPART_ARC
(9,8),2.81616 # DEPENDENCYPART_ARC
(9,10),1.28389 # DEPENDENCYPART_ARC
(9,11),0.793709 # DEPENDENCYPART_ARC
(9,12),1.0744 # DEPENDENCYPART_ARC
(9,13),-0.366972 # DEPENDENCYPART_ARC
(9,14),0.117462 # DEPENDENCYPART_ARC
(9,15),-1.68741 # DEPENDENCYPART_ARC
(9,16),-0.22871 # DEPENDENCYPART_ARC
(9,17),-0.424205 # DEPENDENCYPART_ARC
(9,20),-1.18158 # DEPENDENCYPART_ARC
(9,23),-0.945835 # DEPENDENCYPART_ARC
(9,25),-1.74668 # DEPENDENCYPART_ARC
(10,6),-1.00798 # DEPENDENCYPART_ARC
(10,7),-0.570877 # DEPENDENCYPART_ARC
(10,8),-1.28881 # DEPENDENCYPART_ARC
(10,9),-0.735625 # DEPENDENCYPART_ARC
(10,11),-0.420159 # DEPENDENCYPART_ARC
(10,12),-0.513193 # DEPENDENCYPART_ARC
(10,13),-1.33257 # DEPENDENCYPART_ARC
(10,14),-0.785919 # DEPENDENCYPART_ARC
(10,15),-1.22544 # DEPENDENCYPART_ARC
(11,3),-0.934471 # DEPENDENCYPART_ARC
(11,6),-0.882524 # DEPENDENCYPART_ARC
(11,7),-0.465252 # DEPENDENCYPART_ARC
(11,8),-1.40068 # DEPENDENCYPART_ARC
(11,9),-1.081 # DEPENDENCYPART_ARC
(11,10),1.06451 # DEPENDENCYPART_ARC
(11,12),0.620364 # DEPENDENCYPART_ARC
(11,13),-0.480254 # DEPENDENCYPART_ARC
(11,14),-0.252121 # DEPENDENCYPART_ARC
(11,15),-0.797677 # DEPENDENCYPART_ARC
(12,10),-0.755742 # DEPENDENCYPART_ARC
(12,11),-0.308543 # DEPENDENCYPART_ARC
(12,13),2.55136 # DEPENDENCYPART_ARC
(12,14),-0.241132 # DEPENDENCYPART_ARC
(12,15),-1.38058 # DEPENDENCYPART_ARC
(12,17),-0.799141 # DEPENDENCYPART_ARC
(13,4),-1.85857 # DEPENDENCYPART_ARC
(13,8),-1.46994 # DEPENDENCYPART_ARC
(13,10),-1.02401 # DEPENDENCYPART_ARC
(13,11),-0.405601 # DEPENDENCYPART_ARC
(13,12),-0.0995793 # DEPENDENCYPART_ARC
(13,14),-0.332806 # DEPENDENCYPART_ARC
(13,15),-0.845616 # DEPENDENCYPART_ARC
(13,16),-1.24449 # DEPENDENCYPART_ARC
(13,18),-1.58206 # DEPENDENCYPART_ARC
(13,19),-1.64811 # DEPENDENCYPART_ARC
(14,3),-1.57346 # DEPENDENCYPART_ARC
(14,10),-0.990756 # DEPENDENCYPART_ARC
(14,11),-0.874487 # DEPENDENCYPART_ARC
(14,12),-0.830707 # DEPENDENCYPART_ARC
(14,13),-0.560877 # DEPENDENCYPART_ARC
(14,15),-0.808529 # DEPENDENCYPART_ARC
(14,16),-1.33149 # DEPENDENCYPART_ARC
(14,18),-1.50985 # DEPENDENCYPART_ARC
(14,19),-1.5478 # DEPENDENCYPART_ARC
(14,22),-1.6662 # DEPENDENCYPART_ARC
(15,2),-1.2214 # DEPENDENCYPART_ARC
(15,3),-0.687595 # DEPENDENCYPART_ARC
(15,5),-2.22562 # DEPENDENCYPART_ARC
(15,6),-2.16835 # DEPENDENCYPART_ARC
(15,7),-0.164825 # DEPENDENCYPART_ARC
(15,8),-0.0294592 # DEPENDENCYPART_ARC
(15,9),-2.96937 # DEPENDENCYPART_ARC
(15,10),-0.191403 # DEPENDENCYPART_ARC
(15,11),-0.0953166 # DEPENDENCYPART_ARC
(15,12),0.357745 # DEPENDENCYPART_ARC
(15,13),-0.349613 # DEPENDENCYPART_ARC
(15,14),0.855395 # DEPENDENCYPART_ARC
(15,16),1.77322 # DEPENDENCYPART_ARC
(15,17),0.504482 # DEPENDENCYPART_ARC
(15,18),-0.270352 # DEPENDENCYPART_ARC
(15,19),-0.554349 # DEPENDENCYPART_ARC
(15,20),0.690753 # DEPENDENCYPART_ARC
(15,22),-0.680309 # DEPENDENCYPART_ARC
(15,23),-0.401037 # DEPENDENCYPART_ARC
(15,25),-0.106774 # DEPENDENCYPART_ARC
(15,26),-0.265197 # DEPENDENCYPART_ARC
(16,11),-0.770609 # DEPENDENCYPART_ARC
(16,13),-1.38653 # DEPENDENCYPART_ARC
(16,14),-0.615837 # DEPENDENCYPART_ARC
(16,15),-1.54333 # DEPENDENCYPART_ARC
(16,17),-0.160152 # DEPENDENCYPART_ARC
(16,18),-1.40374 # DEPENDENCYPART_ARC
(16,19),-1.59236 # DEPENDENCYPART_ARC
(16,20),-1.66217 # DEPENDENCYPART_ARC
(16,23),-0.700871 # DEPENDENCYPART_ARC
(17,2),-0.730268 # DEPENDENCYPART_ARC
(17,3),-0.56505 # DEPENDENCYPART_ARC
(17,5),-0.58489 # DEPENDENCYPART_ARC
(17,6),-0.441117 # DEPENDENCYPART_ARC
(17,7),-0.625264 # DEPENDENCYPART_ARC
(17,8),-0.149026 # DEPENDENCYPART_ARC
(17,9),-0.435064 # DEPENDENCYPART_ARC
(17,10),-0.271509 # DEPENDENCYPART_ARC
(17,11),-0.218198 # DEPENDENCYPART_ARC
(17,12),-0.181081 # DEPENDENCYPART_ARC
(17,13),0.0867552 # DEPENDENCYPART_ARC
(17,14),0.324181 # DEPENDENCYPART_ARC
(17,15),0.62377 # DEPENDENCYPART_ARC
(17,16),1.43976 # DEPENDENCYPART_ARC
(17,18),1.43357 # DEPENDENCYPART_ARC
(17,19),0.750752 # DEPENDENCYPART_ARC
