# _root_ * Τα ρέηβ πάρτυ στο κλαμπ Cavo Paradiso , κοντά στη Χώρα , που τελειώνουν με την ανατολή του ηλίου .
#goldHeads=0,4,4,0,4,5,6,7,10,6,10,11,15,15,4,15,18,16,20,18,0,
#predictedHeads=0,4,4,0,4,5,6,7,10,6,10,11,15,15,12,15,18,16,20,18,0,
(0,1),0.797888 # DEPENDENCYPART_ARC
(0,3),-0.214987 # DEPENDENCYPART_ARC
(0,4),-0.246948 # DEPENDENCYPART_ARC
(0,5),-0.420977 # DEPENDENCYPART_ARC
(0,6),-0.477079 # DEPENDENCYPART_ARC
(0,7),-0.449719 # DEPENDENCYPART_ARC
(0,8),-0.358737 # DEPENDENCYPART_ARC
(0,9),-0.0321153 # DEPENDENCYPART_ARC
(0,10),-0.721617 # DEPENDENCYPART_ARC
(0,11),-0.606607 # DEPENDENCYPART_ARC
(0,12),-0.380207 # DEPENDENCYPART_ARC
(0,13),-0.171782 # DEPENDENCYPART_ARC
(0,15),0.421861 # DEPENDENCYPART_ARC
(0,16),-0.867473 # DEPENDENCYPART_ARC
(0,18),-0.77745 # DEPENDENCYPART_ARC
(0,20),-1.03683 # DEPENDENCYPART_ARC
(0,21),1.94799 # DEPENDENCYPART_ARC
(1,3),-0.85206 # DEPENDENCYPART_ARC
(1,4),-1.27964 # DEPENDENCYPART_ARC
(1,5),-0.994243 # DEPENDENCYPART_ARC
(1,6),-1.41641 # DEPENDENCYPART_ARC
(1,9),-0.586874 # DEPENDENCYPART_ARC
(1,10),-1.16167 # DEPENDENCYPART_ARC
(1,13),-0.687384 # DEPENDENCYPART_ARC
(1,15),-1.09726 # DEPENDENCYPART_ARC
(1,16),-1.26071 # DEPENDENCYPART_ARC
(2,4),-0.95101 # DEPENDENCYPART_ARC
(3,1),-0.160885 # DEPENDENCYPART_ARC
(3,2),1.21361 # DEPENDENCYPART_ARC
(3,4),0.302101 # DEPENDENCYPART_ARC
(3,6),-0.65703 # DEPENDENCYPART_ARC
(4,1),-0.648672 # DEPENDENCYPART_ARC
(4,2),1.23399 # DEPENDENCYPART_ARC
(4,3),0.569911 # DEPENDENCYPART_ARC
(4,5),0.193693 # DEPENDENCYPART_ARC
(4,6),-0.599983 # DEPENDENCYPART_ARC
(4,7),-0.476233 # DEPENDENCYPART_ARC
(4,8),-0.663434 # DEPENDENCYPART_ARC
(4,10),-0.841975 # DEPENDENCYPART_ARC
(4,11),-1.07686 # DEPENDENCYPART_ARC
(4,12),-1.34246 # DEPENDENCYPART_ARC
(4,15),-1.31183 # DEPENDENCYPART_ARC
(4,16),-1.08224 # DEPENDENCYPART_ARC
(4,21),-0.727536 # DEPENDENCYPART_ARC
(5,6),2.30173 # DEPENDENCYPART_ARC
(5,7),0.0943899 # DEPENDENCYPART_ARC
(5,8),-0.190343 # DEPENDENCYPART_ARC
(5,9),-0.582097 # DEPENDENCYPART_ARC
(6,1),-1.30886 # DEPENDENCYPART_ARC
(6,2),-0.562114 # DEPENDENCYPART_ARC
(6,4),-0.842893 # DEPENDENCYPART_ARC
(6,5),-0.999228 # DEPENDENCYPART_ARC
(6,7),0.645388 # DEPENDENCYPART_ARC
(6,8),-0.0447254 # DEPENDENCYPART_ARC
(6,9),-0.0589653 # DEPENDENCYPART_ARC
(6,10),-0.223685 # DEPENDENCYPART_ARC
(6,11),-0.655273 # DEPENDENCYPART_ARC
(6,12),-0.872748 # DEPENDENCYPART_ARC
(6,13),-0.326761 # DEPENDENCYPART_ARC
(6,15),-0.649836 # DEPENDENCYPART_ARC
(6,16),-0.787325 # DEPENDENCYPART_ARC
(6,21),-0.475673 # DEPENDENCYPART_ARC
(7,6),0.0577165 # DEPENDENCYPART_ARC
(7,8),0.408847 # DEPENDENCYPART_ARC
(7,9),-0.0478716 # DEPENDENCYPART_ARC
(8,6),-0.215999 # DEPENDENCYPART_ARC
(8,7),1.20297 # DEPENDENCYPART_ARC
(8,9),-0.248675 # DEPENDENCYPART_ARC
(8,11),-0.640596 # DEPENDENCYPART_ARC
(9,1),-0.871504 # DEPENDENCYPART_ARC
(9,4),-1.0698 # DEPENDENCYPART_ARC
(9,5),-0.80504 # DEPENDENCYPART_ARC
(9,6),-0.908533 # DEPENDENCYPART_ARC
(9,7),-0.832479 # DEPENDENCYPART_ARC
(9,8),-0.348072 # DEPENDENCYPART_ARC
(9,10),-0.461471 # DEPENDENCYPART_ARC
(9,11),-0.768893 # DEPENDENCYPART_ARC
(9,12),-0.969096 # DEPENDENCYPART_ARC
(9,13),-0.262741 # DEPENDENCYPART_ARC
(9,15),-1.06432 # DEPENDENCYPART_ARC
(9,16),-1.18932 # DEPENDENCYPART_ARC
(9,18),-1.78356 # DEPENDENCYPART_ARC
(9,21),-0.839483 # DEPENDENCYPART_ARC
(10,1),-0.712036 # DEPENDENCYPART_ARC
(10,4),-1.03142 # DEPENDENCYPART_ARC
(10,5),-0.651688 # DEPENDENCYPART_ARC
(10,7),-0.465487 # DEPENDENCYPART_ARC
(10,8),-0.352139 # DEPENDENCYPART_ARC
(10,9),0.373049 # DEPENDENCYPART_ARC
(10,11),0.693189 # DEPENDENCYPART_ARC
(10,12),-0.24473 # DEPENDENCYPART_ARC
(10,13),-0.100585 # DEPENDENCYPART_ARC
(10,15),-0.679486 # DEPENDENCYPART_ARC
(10,16),-0.583763 # DEPENDENCYPART_ARC
(10,18),-1.50111 # DEPENDENCYPART_ARC
(10,21),-0.690093 # DEPENDENCYPART_ARC
(11,9),-0.318846 # DEPENDENCYPART_ARC
(11,10),-0.101658 # DEPENDENCYPART_ARC
(11,12),2.74803 # DEPENDENCYPART_ARC
(11,13),-0.211617 # DEPENDENCYPART_ARC
(12,2),-2.92553 # DEPENDENCYPART_ARC
(12,10),-0.533334 # DEPENDENCYPART_ARC
(12,11),-0.139513 # DEPENDENCYPART_ARC
