# _root_ Πιο μακροπρόθεσμα , όταν η νομοθεσία αρχίσει να γίνεται περισσότερο σεβαστή , θα μπορέσει ίσως να αρθεί αυτή η απαγόρευση .
#goldHeads=2,14,4,14,6,9,4,9,7,11,9,14,14,0,14,17,14,20,20,17,0,
#predictedHeads=2,10,4,0,6,7,4,9,7,11,9,14,14,11,14,17,14,20,20,17,0,
(0,1),-0.358145 # DEPENDENCYPART_ARC
(0,2),-0.634657 # DEPENDENCYPART_ARC
(0,3),0.15739 # DEPENDENCYPART_ARC
(0,4),-0.467871 # DEPENDENCYPART_ARC
(0,6),-0.698718 # DEPENDENCYPART_ARC
(0,7),-0.575035 # DEPENDENCYPART_ARC
(0,9),-0.442464 # DEPENDENCYPART_ARC
(0,10),-0.696494 # DEPENDENCYPART_ARC
(0,11),-1.07594 # DEPENDENCYPART_ARC
(0,12),-0.0746551 # DEPENDENCYPART_ARC
(0,14),-1.09429 # DEPENDENCYPART_ARC
(0,15),-0.755251 # DEPENDENCYPART_ARC
(0,17),-1.22774 # DEPENDENCYPART_ARC
(0,18),-1.00807 # DEPENDENCYPART_ARC
(0,20),-0.879095 # DEPENDENCYPART_ARC
(0,21),2.46567 # DEPENDENCYPART_ARC
(1,2),-0.128286 # DEPENDENCYPART_ARC
(1,3),-0.451962 # DEPENDENCYPART_ARC
(1,6),-0.920379 # DEPENDENCYPART_ARC
(1,7),-0.95484 # DEPENDENCYPART_ARC
(1,9),-1.30206 # DEPENDENCYPART_ARC
(1,10),-1.19008 # DEPENDENCYPART_ARC
(1,12),-0.856028 # DEPENDENCYPART_ARC
(1,14),-1.27045 # DEPENDENCYPART_ARC
(1,15),-1.21371 # DEPENDENCYPART_ARC
(1,17),-1.3057 # DEPENDENCYPART_ARC
(2,1),0.890385 # DEPENDENCYPART_ARC
(2,3),-0.254532 # DEPENDENCYPART_ARC
(2,6),-1.13957 # DEPENDENCYPART_ARC
(2,7),-1.15904 # DEPENDENCYPART_ARC
(2,9),-1.62617 # DEPENDENCYPART_ARC
(3,1),-0.699615 # DEPENDENCYPART_ARC
(3,2),-0.157418 # DEPENDENCYPART_ARC
(3,4),-0.465867 # DEPENDENCYPART_ARC
(3,6),-1.28254 # DEPENDENCYPART_ARC
(3,7),-1.13965 # DEPENDENCYPART_ARC
(3,11),-1.60492 # DEPENDENCYPART_ARC
(4,2),-0.587918 # DEPENDENCYPART_ARC
(4,3),0.362757 # DEPENDENCYPART_ARC
(4,5),0.0951466 # DEPENDENCYPART_ARC
(4,7),1.1371 # DEPENDENCYPART_ARC
(4,9),-0.0796078 # DEPENDENCYPART_ARC
(4,12),0.0513423 # DEPENDENCYPART_ARC
(4,14),-0.710594 # DEPENDENCYPART_ARC
(4,17),-1.21555 # DEPENDENCYPART_ARC
(4,21),-0.250424 # DEPENDENCYPART_ARC
(6,1),-1.15621 # DEPENDENCYPART_ARC
(6,2),-1.11541 # DEPENDENCYPART_ARC
(6,3),-0.985563 # DEPENDENCYPART_ARC
(6,5),2.45247 # DEPENDENCYPART_ARC
(6,7),-0.11506 # DEPENDENCYPART_ARC
(6,8),-0.974589 # DEPENDENCYPART_ARC
(6,9),-1.37004 # DEPENDENCYPART_ARC
(6,10),-0.865215 # DEPENDENCYPART_ARC
(6,11),-1.26427 # DEPENDENCYPART_ARC
(7,1),0.15789 # DEPENDENCYPART_ARC
