# _root_ Dustin_Hoffman , Al_Pacino , Gene_Hackman .
#goldHeads=5,5,5,5,0,5,
#predictedHeads=3,3,5,5,0,5,
(0,1),-2.25182 # DEPENDENCYPART_ARC
(0,3),-2.5499 # DEPENDENCYPART_ARC
(0,5),-2.90494 # DEPENDENCYPART_ARC
(1,2),-0.131368 # DEPENDENCYPART_ARC
(1,3),-0.797337 # DEPENDENCYPART_ARC
(1,4),-0.0954188 # DEPENDENCYPART_ARC
(1,5),-1.44995 # DEPENDENCYPART_ARC
(1,6),-0.308628 # DEPENDENCYPART_ARC
(3,1),0.272805 # DEPENDENCYPART_ARC
(3,2),0.638074 # DEPENDENCYPART_ARC
(3,4),0.270569 # DEPENDENCYPART_ARC
(3,5),-0.945013 # DEPENDENCYPART_ARC
(3,6),-0.175511 # DEPENDENCYPART_ARC
(5,1),0.0621169 # DEPENDENCYPART_ARC
(5,2),0.565884 # DEPENDENCYPART_ARC
(5,3),1.2469 # DEPENDENCYPART_ARC
(5,4),0.724594 # DEPENDENCYPART_ARC
(5,6),0.131909 # DEPENDENCYPART_ARC
