# _root_ így becsületünk , amelyre mindenekelőtt tartunk , meg lenne mentve . "
#goldHeads=9,9,9,6,6,9,9,9,0,9,9,9,
#predictedHeads=9,9,9,6,6,0,9,9,6,9,9,6,
(0,1),-2.19197 # DEPENDENCYPART_ARC
(0,2),-2.95446 # DEPENDENCYPART_ARC
(0,5),-2.84763 # DEPENDENCYPART_ARC
(0,6),-2.20352 # DEPENDENCYPART_ARC
(0,8),-2.92173 # DEPENDENCYPART_ARC
(0,9),-2.38981 # DEPENDENCYPART_ARC
(1,2),-0.417248 # DEPENDENCYPART_ARC
(1,3),-0.167935 # DEPENDENCYPART_ARC
(1,5),-0.769876 # DEPENDENCYPART_ARC
(1,6),0.0390332 # DEPENDENCYPART_ARC
(1,7),0.309716 # DEPENDENCYPART_ARC
(1,9),-0.402249 # DEPENDENCYPART_ARC
(1,11),0.692285 # DEPENDENCYPART_ARC
(1,12),0.172542 # DEPENDENCYPART_ARC
(2,1),0.59114 # DEPENDENCYPART_ARC
(2,3),0.456975 # DEPENDENCYPART_ARC
(2,4),-1.37811 # DEPENDENCYPART_ARC
(2,5),-0.249686 # DEPENDENCYPART_ARC
(2,6),-0.512593 # DEPENDENCYPART_ARC
(2,7),0.026481 # DEPENDENCYPART_ARC
(2,9),-0.638389 # DEPENDENCYPART_ARC
(2,10),-0.31111 # DEPENDENCYPART_ARC
(2,11),0.302364 # DEPENDENCYPART_ARC
(2,12),0.962016 # DEPENDENCYPART_ARC
(5,1),-0.912624 # DEPENDENCYPART_ARC
(5,2),-1.6362 # DEPENDENCYPART_ARC
(5,3),-1.33146 # DEPENDENCYPART_ARC
(5,4),-0.475983 # DEPENDENCYPART_ARC
(5,6),-0.144435 # DEPENDENCYPART_ARC
(5,7),-0.74702 # DEPENDENCYPART_ARC
(5,9),-1.02234 # DEPENDENCYPART_ARC
(5,10),-1.0255 # DEPENDENCYPART_ARC
(5,11),-0.689079 # DEPENDENCYPART_ARC
(5,12),-0.690966 # DEPENDENCYPART_ARC
(6,1),1.26795 # DEPENDENCYPART_ARC
(6,2),-1.18916 # DEPENDENCYPART_ARC
(6,3),0.592604 # DEPENDENCYPART_ARC
(6,4),1.98625 # DEPENDENCYPART_ARC
(6,5),2.80467 # DEPENDENCYPART_ARC
(6,7),1.45764 # DEPENDENCYPART_ARC
(6,8),0.398075 # DEPENDENCYPART_ARC
(6,9),2.29395 # DEPENDENCYPART_ARC
(6,10),0.505997 # DEPENDENCYPART_ARC
(6,11),1.01218 # DEPENDENCYPART_ARC
(6,12),1.64818 # DEPENDENCYPART_ARC
(8,1),-0.48418 # DEPENDENCYPART_ARC
(8,2),-1.93361 # DEPENDENCYPART_ARC
(8,3),-1.12149 # DEPENDENCYPART_ARC
(8,5),-0.343172 # DEPENDENCYPART_ARC
(8,6),-0.363081 # DEPENDENCYPART_ARC
(8,7),-0.268845 # DEPENDENCYPART_ARC
(8,9),0.65895 # DEPENDENCYPART_ARC
(8,11),0.127191 # DEPENDENCYPART_ARC
(8,12),-0.00931968 # DEPENDENCYPART_ARC
(9,1),1.77486 # DEPENDENCYPART_ARC
(9,2),0.612647 # DEPENDENCYPART_ARC
(9,3),0.800422 # DEPENDENCYPART_ARC
(9,4),0.881457 # DEPENDENCYPART_ARC
(9,5),1.38919 # DEPENDENCYPART_ARC
(9,6),1.59822 # DEPENDENCYPART_ARC
(9,7),1.48087 # DEPENDENCYPART_ARC
(9,8),2.84042 # DEPENDENCYPART_ARC
(9,10),2.81044 # DEPENDENCYPART_ARC
(9,11),1.44032 # DEPENDENCYPART_ARC
(9,12),1.28621 # DEPENDENCYPART_ARC
(10,2),-0.612053 # DEPENDENCYPART_ARC
(10,3),0.228492 # DEPENDENCYPART_ARC
(10,4),0.447133 # DEPENDENCYPART_ARC
(10,5),0.881504 # DEPENDENCYPART_ARC
(10,7),0.330252 # DEPENDENCYPART_ARC
(10,11),0.411602 # DEPENDENCYPART_ARC
(10,12),0.177159 # DEPENDENCYPART_ARC
