# _root_ Az egység vitathatatlan , ugyanakkor megfigyelők szerint feltűnő , hogy nem került sor ennél határozottabb hangú közös fellépésre .
#goldHeads=2,3,0,3,10,7,10,10,10,3,12,10,12,15,16,18,18,12,3,
#predictedHeads=2,3,10,18,10,7,8,10,18,0,12,10,12,18,16,18,18,12,10,
(0,2),-1.94199 # DEPENDENCYPART_ARC
(0,3),-2.14967 # DEPENDENCYPART_ARC
(0,5),-2.39108 # DEPENDENCYPART_ARC
(0,8),-2.6547 # DEPENDENCYPART_ARC
(0,10),-0.811513 # DEPENDENCYPART_ARC
(0,11),-2.60053 # DEPENDENCYPART_ARC
(0,12),-1.91843 # DEPENDENCYPART_ARC
(0,14),-4.1502 # DEPENDENCYPART_ARC
(0,15),-3.25448 # DEPENDENCYPART_ARC
(0,16),-3.02648 # DEPENDENCYPART_ARC
(1,3),-0.724098 # DEPENDENCYPART_ARC
(2,1),2.74864 # DEPENDENCYPART_ARC
(2,4),0.359856 # DEPENDENCYPART_ARC
(2,5),-0.206213 # DEPENDENCYPART_ARC
(2,6),-0.496703 # DEPENDENCYPART_ARC
(2,12),-0.150341 # DEPENDENCYPART_ARC
(3,1),0.0108193 # DEPENDENCYPART_ARC
(3,2),1.27473 # DEPENDENCYPART_ARC
(3,4),0.356997 # DEPENDENCYPART_ARC
(3,6),-1.01163 # DEPENDENCYPART_ARC
(3,7),-0.103002 # DEPENDENCYPART_ARC
(3,8),-0.701854 # DEPENDENCYPART_ARC
(3,9),-0.0992403 # DEPENDENCYPART_ARC
(3,10),-0.250482 # DEPENDENCYPART_ARC
(3,11),-0.326189 # DEPENDENCYPART_ARC
(3,12),-0.250848 # DEPENDENCYPART_ARC
(3,15),-0.865344 # DEPENDENCYPART_ARC
(3,16),-1.36646 # DEPENDENCYPART_ARC
(3,18),-1.38088 # DEPENDENCYPART_ARC
(3,19),0.465965 # DEPENDENCYPART_ARC
(5,2),-0.305795 # DEPENDENCYPART_ARC
(5,3),-0.434392 # DEPENDENCYPART_ARC
(5,4),0.0863359 # DEPENDENCYPART_ARC
(5,6),-0.201949 # DEPENDENCYPART_ARC
(5,7),0.158519 # DEPENDENCYPART_ARC
(5,8),-0.0743492 # DEPENDENCYPART_ARC
(5,9),-0.0365995 # DEPENDENCYPART_ARC
(5,12),-0.172392 # DEPENDENCYPART_ARC
(5,13),-1.14657 # DEPENDENCYPART_ARC
(5,14),-0.92791 # DEPENDENCYPART_ARC
(5,18),-1.05437 # DEPENDENCYPART_ARC
(5,19),-0.289441 # DEPENDENCYPART_ARC
(6,1),-0.0815934 # DEPENDENCYPART_ARC
(6,2),-0.994985 # DEPENDENCYPART_ARC
