# _root_ Koszovó székhelyének , Pristinának egyik kerületében összegyűjtik az embereket , majd vonatokon és autóbuszokon elindítják őket Macedónia felé .
#goldHeads=2,4,4,7,6,7,11,9,7,11,0,15,15,15,11,15,18,15,11,
#predictedHeads=2,4,7,7,6,7,11,9,7,11,0,15,15,15,11,15,18,15,11,
(0,1),-1.94888 # DEPENDENCYPART_ARC
(0,2),-2.85966 # DEPENDENCYPART_ARC
(0,4),-2.82162 # DEPENDENCYPART_ARC
(0,5),-3.6538 # DEPENDENCYPART_ARC
(0,6),-3.78884 # DEPENDENCYPART_ARC
(0,7),-1.44361 # DEPENDENCYPART_ARC
(0,11),-0.769442 # DEPENDENCYPART_ARC
(0,13),-2.23191 # DEPENDENCYPART_ARC
(0,15),-2.08982 # DEPENDENCYPART_ARC
(0,16),-4.84126 # DEPENDENCYPART_ARC
(1,2),-0.79127 # DEPENDENCYPART_ARC
(1,3),-0.240201 # DEPENDENCYPART_ARC
(1,4),-1.58909 # DEPENDENCYPART_ARC
(1,5),-1.93813 # DEPENDENCYPART_ARC
(1,6),-1.46176 # DEPENDENCYPART_ARC
(1,7),-0.266708 # DEPENDENCYPART_ARC
(1,19),0.298988 # DEPENDENCYPART_ARC
(2,1),4.04296 # DEPENDENCYPART_ARC
(2,3),-0.0174855 # DEPENDENCYPART_ARC
(2,4),-0.701737 # DEPENDENCYPART_ARC
(2,6),-1.58873 # DEPENDENCYPART_ARC
(2,7),-1.37 # DEPENDENCYPART_ARC
(2,11),-0.906157 # DEPENDENCYPART_ARC
(2,15),-2.11995 # DEPENDENCYPART_ARC
(2,18),-1.33763 # DEPENDENCYPART_ARC
(2,19),0.510008 # DEPENDENCYPART_ARC
(4,1),0.148432 # DEPENDENCYPART_ARC
(4,2),0.301556 # DEPENDENCYPART_ARC
(4,3),0.570553 # DEPENDENCYPART_ARC
(4,5),-1.36126 # DEPENDENCYPART_ARC
(4,6),-0.463565 # DEPENDENCYPART_ARC
(4,7),-0.398547 # DEPENDENCYPART_ARC
(4,9),-1.12474 # DEPENDENCYPART_ARC
(4,10),0.114564 # DEPENDENCYPART_ARC
(4,12),-2.0074 # DEPENDENCYPART_ARC
(4,14),-2.13771 # DEPENDENCYPART_ARC
(4,15),-1.20395 # DEPENDENCYPART_ARC
(4,19),0.696253 # DEPENDENCYPART_ARC
(5,6),-0.131028 # DEPENDENCYPART_ARC
(5,7),-0.479136 # DEPENDENCYPART_ARC
(5,9),-0.958521 # DEPENDENCYPART_ARC
(5,10),-0.437385 # DEPENDENCYPART_ARC
(5,11),-0.178623 # DEPENDENCYPART_ARC
(5,12),-1.29209 # DEPENDENCYPART_ARC
(5,13),-0.636382 # DEPENDENCYPART_ARC
(5,14),-1.2909 # DEPENDENCYPART_ARC
(5,15),-0.0304263 # DEPENDENCYPART_ARC
(5,17),-1.17054 # DEPENDENCYPART_ARC
(5,19),-0.236645 # DEPENDENCYPART_ARC
(6,1),0.863687 # DEPENDENCYPART_ARC
(6,2),-1.86131 # DEPENDENCYPART_ARC
(6,3),0.713108 # DEPENDENCYPART_ARC
(6,4),0.607194 # DEPENDENCYPART_ARC
(6,5),2.94539 # DEPENDENCYPART_ARC
(6,9),-1.35816 # DEPENDENCYPART_ARC
(6,15),-2.41592 # DEPENDENCYPART_ARC
(6,18),-1.28261 # DEPENDENCYPART_ARC
(7,1),0.357913 # DEPENDENCYPART_ARC
(7,2),0.171556 # DEPENDENCYPART_ARC
(7,3),0.820144 # DEPENDENCYPART_ARC
(7,4),1.68747 # DEPENDENCYPART_ARC
(7,5),0.137742 # DEPENDENCYPART_ARC
(7,6),3.59385 # DEPENDENCYPART_ARC
(7,8),-0.521126 # DEPENDENCYPART_ARC
(7,9),3.44987 # DEPENDENCYPART_ARC
(7,10),1.46361 # DEPENDENCYPART_ARC
(7,11),0.785904 # DEPENDENCYPART_ARC
(7,12),0.375389 # DEPENDENCYPART_ARC
(7,13),0.54653 # DEPENDENCYPART_ARC
(7,14),-0.872109 # DEPENDENCYPART_ARC
(7,15),0.651448 # DEPENDENCYPART_ARC
(7,16),-1.04791 # DEPENDENCYPART_ARC
(7,17),-2.45535 # DEPENDENCYPART_ARC
(7,18),0.136216 # DEPENDENCYPART_ARC
(7,19),2.15047 # DEPENDENCYPART_ARC
(9,4),-3.49118 # DEPENDENCYPART_ARC
(9,5),-1.0232 # DEPENDENCYPART_ARC
(9,6),-3.87379 # DEPENDENCYPART_ARC
(9,8),2.73641 # DEPENDENCYPART_ARC
(9,10),-0.518471 # DEPENDENCYPART_ARC
(9,11),-1.33452 # DEPENDENCYPART_ARC
(9,12),-1.84806 # DEPENDENCYPART_ARC
(9,13),-1.20872 # DEPENDENCYPART_ARC
(9,14),-2.08391 # DEPENDENCYPART_ARC
(9,15),-1.74902 # DEPENDENCYPART_ARC
(9,18),-1.33135 # DEPENDENCYPART_ARC
(11,1),-0.670651 # DEPENDENCYPART_ARC
(11,2),-1.21168 # DEPENDENCYPART_ARC
(11,3),-0.251195 # DEPENDENCYPART_ARC
(11,4),-0.69398 # DEPENDENCYPART_ARC
(11,5),-1.07269 # DEPENDENCYPART_ARC
(11,6),-0.756781 # DEPENDENCYPART_ARC
(11,7),1.60273 # DEPENDENCYPART_ARC
(11,8),-0.067742 # DEPENDENCYPART_ARC
(11,9),-0.592114 # DEPENDENCYPART_ARC
(11,10),1.53901 # DEPENDENCYPART_ARC
(11,12),-0.656268 # DEPENDENCYPART_ARC
(11,13),0.0889479 # DEPENDENCYPART_ARC
(11,14),-1.15524 # DEPENDENCYPART_ARC
(11,15),1.13861 # DEPENDENCYPART_ARC
(11,17),-0.963533 # DEPENDENCYPART_ARC
(11,18),-0.340298 # DEPENDENCYPART_ARC
(11,19),2.4318 # DEPENDENCYPART_ARC
(12,1),-2.75425 # DEPENDENCYPART_ARC
(12,5),-2.11651 # DEPENDENCYPART_ARC
(12,7),-2.30354 # DEPENDENCYPART_ARC
(12,8),0.57524 # DEPENDENCYPART_ARC
(12,9),-2.03622 # DEPENDENCYPART_ARC
(12,10),0.00714314 # DEPENDENCYPART_ARC
(12,11),0.183948 # DEPENDENCYPART_ARC
(12,13),-1.05594 # DEPENDENCYPART_ARC
(12,14),-1.30828 # DEPENDENCYPART_ARC
(12,18),-1.10235 # DEPENDENCYPART_ARC
(13,2),-1.30689 # DEPENDENCYPART_ARC
(13,3),-0.249566 # DEPENDENCYPART_ARC
(13,5),-1.75007 # DEPENDENCYPART_ARC
(13,7),0.150325 # DEPENDENCYPART_ARC
(13,8),-0.811172 # DEPENDENCYPART_ARC
(13,9),-0.718207 # DEPENDENCYPART_ARC
(13,10),0.715866 # DEPENDENCYPART_ARC
(13,11),0.0897098 # DEPENDENCYPART_ARC
(13,12),-0.0895682 # DEPENDENCYPART_ARC
(13,14),-0.382945 # DEPENDENCYPART_ARC
