# _root_ A menekültek között ugyanis főként nőket és gyermekeket látni , és ez is megerősíteni látszik az atlanti szövetséghez érkezett jelentéseket , miszerint a szerbek a koszovói albánokból állítanak " védőgyűrűt " .
#goldHeads=2,3,9,9,9,9,9,9,11,11,0,14,15,15,11,18,18,19,20,14,15,15,24,28,27,27,28,12,28,28,28,11,
#predictedHeads=2,3,9,9,9,9,9,9,11,11,0,14,14,15,11,18,18,19,20,14,28,15,24,28,27,27,28,9,30,28,30,15,
(0,4),-1.71457 # DEPENDENCYPART_ARC
(0,7),-2.84834 # DEPENDENCYPART_ARC
(0,9),-2.03798 # DEPENDENCYPART_ARC
(0,11),-0.605477 # DEPENDENCYPART_ARC
(0,13),-1.82877 # DEPENDENCYPART_ARC
(0,14),-2.76742 # DEPENDENCYPART_ARC
(0,15),-1.13719 # DEPENDENCYPART_ARC
(0,22),-1.21332 # DEPENDENCYPART_ARC
(0,28),-2.19812 # DEPENDENCYPART_ARC
(2,1),2.75889 # DEPENDENCYPART_ARC
(3,1),0.217193 # DEPENDENCYPART_ARC
(3,2),3.40896 # DEPENDENCYPART_ARC
(3,6),-0.775079 # DEPENDENCYPART_ARC
(4,1),-1.17492 # DEPENDENCYPART_ARC
(4,2),-0.82893 # DEPENDENCYPART_ARC
(4,3),-0.136153 # DEPENDENCYPART_ARC
(4,5),-0.0865824 # DEPENDENCYPART_ARC
(4,6),-0.175166 # DEPENDENCYPART_ARC
(4,7),0.22013 # DEPENDENCYPART_ARC
(4,8),-0.706808 # DEPENDENCYPART_ARC
(4,9),-0.114891 # DEPENDENCYPART_ARC
(4,10),0.347835 # DEPENDENCYPART_ARC
(4,11),0.197988 # DEPENDENCYPART_ARC
(4,13),-0.141528 # DEPENDENCYPART_ARC
(4,14),-1.12494 # DEPENDENCYPART_ARC
(4,15),-0.864194 # DEPENDENCYPART_ARC
(4,21),-0.0977165 # DEPENDENCYPART_ARC
(4,22),-0.108865 # DEPENDENCYPART_ARC
(4,28),-1.74476 # DEPENDENCYPART_ARC
(4,29),-0.115499 # DEPENDENCYPART_ARC
(4,31),-0.292477 # DEPENDENCYPART_ARC
(4,32),1.74701 # DEPENDENCYPART_ARC
(5,2),-0.424383 # DEPENDENCYPART_ARC
(5,3),-0.251474 # DEPENDENCYPART_ARC
(5,4),0.103552 # DEPENDENCYPART_ARC
(5,6),-0.333295 # DEPENDENCYPART_ARC
(5,8),-0.414202 # DEPENDENCYPART_ARC
(6,1),0.129973 # DEPENDENCYPART_ARC
(6,2),-1.16317 # DEPENDENCYPART_ARC
(6,4),0.45237 # DEPENDENCYPART_ARC
(6,5),0.454331 # DEPENDENCYPART_ARC
(6,8),-1.34638 # DEPENDENCYPART_ARC
(7,3),-0.515871 # DEPENDENCYPART_ARC
(7,4),0.084243 # DEPENDENCYPART_ARC
(7,5),-0.280017 # DEPENDENCYPART_ARC
(7,6),-0.379978 # DEPENDENCYPART_ARC
(7,8),-0.246793 # DEPENDENCYPART_ARC
(7,9),0.0973564 # DEPENDENCYPART_ARC
(7,10),0.117614 # DEPENDENCYPART_ARC
(7,14),-1.27444 # DEPENDENCYPART_ARC
(7,15),-1.15392 # DEPENDENCYPART_ARC
(7,32),0.468953 # DEPENDENCYPART_ARC
(8,1),-0.367023 # DEPENDENCYPART_ARC
(8,2),-1.3858 # DEPENDENCYPART_ARC
(8,5),-0.252797 # DEPENDENCYPART_ARC
(8,6),0.244689 # DEPENDENCYPART_ARC
(8,7),0.916675 # DEPENDENCYPART_ARC
(9,1),-0.427863 # DEPENDENCYPART_ARC
(9,2),-0.508803 # DEPENDENCYPART_ARC
(9,3),1.51537 # DEPENDENCYPART_ARC
(9,4),1.0273 # DEPENDENCYPART_ARC
(9,5),1.8295 # DEPENDENCYPART_ARC
(9,6),3.21352 # DEPENDENCYPART_ARC
(9,7),1.52893 # DEPENDENCYPART_ARC
(9,8),4.95124 # DEPENDENCYPART_ARC
(9,10),1.22104 # DEPENDENCYPART_ARC
(9,11),0.69156 # DEPENDENCYPART_ARC
(9,12),-0.412618 # DEPENDENCYPART_ARC
(9,13),0.235784 # DEPENDENCYPART_ARC
(9,14),0.678089 # DEPENDENCYPART_ARC
(9,15),0.438073 # DEPENDENCYPART_ARC
(9,16),-0.543258 # DEPENDENCYPART_ARC
(9,19),-0.0362028 # DEPENDENCYPART_ARC
(9,20),-0.20673 # DEPENDENCYPART_ARC
(9,21),-0.19248 # DEPENDENCYPART_ARC
(9,22),0.0848962 # DEPENDENCYPART_ARC
(9,28),0.861067 # DEPENDENCYPART_ARC
(9,29),-0.740486 # DEPENDENCYPART_ARC
(9,30),-0.902365 # DEPENDENCYPART_ARC
(9,31),-0.664863 # DEPENDENCYPART_ARC
(9,32),1.34136 # DEPENDENCYPART_ARC
(11,2),-0.660892 # DEPENDENCYPART_ARC
(11,3),-0.0484267 # DEPENDENCYPART_ARC
(11,4),0.95953 # DEPENDENCYPART_ARC
(11,5),-0.184939 # DEPENDENCYPART_ARC
(11,6),-0.694919 # DEPENDENCYPART_ARC
(11,7),0.788264 # DEPENDENCYPART_ARC
(11,8),-0.276369 # DEPENDENCYPART_ARC
(11,9),1.21294 # DEPENDENCYPART_ARC
(11,10),2.56503 # DEPENDENCYPART_ARC
(11,12),-0.404263 # DEPENDENCYPART_ARC
(11,13),0.709334 # DEPENDENCYPART_ARC
(11,14),1.59822 # DEPENDENCYPART_ARC
(11,15),1.36652 # DEPENDENCYPART_ARC
(11,17),-0.0897633 # DEPENDENCYPART_ARC
(11,18),-0.221608 # DEPENDENCYPART_ARC
(11,19),-0.188791 # DEPENDENCYPART_ARC
(11,20),-0.166354 # DEPENDENCYPART_ARC
(11,21),0.359333 # DEPENDENCYPART_ARC
(11,22),0.624514 # DEPENDENCYPART_ARC
(11,24),-1.03825 # DEPENDENCYPART_ARC
(11,26),-0.987625 # DEPENDENCYPART_ARC
(11,27),-1.42307 # DEPENDENCYPART_ARC
(11,28),-0.284845 # DEPENDENCYPART_ARC
(11,29),0.110454 # DEPENDENCYPART_ARC
(11,30),-1.53169 # DEPENDENCYPART_ARC
(11,31),0.178385 # DEPENDENCYPART_ARC
(11,32),2.53657 # DEPENDENCYPART_ARC
(12,9),-1.14774 # DEPENDENCYPART_ARC
(12,10),-0.454909 # DEPENDENCYPART_ARC
(12,11),-0.277087 # DEPENDENCYPART_ARC
(12,13),-0.808292 # DEPENDENCYPART_ARC
(12,14),-0.854154 # DEPENDENCYPART_ARC
(12,15),0.738649 # DEPENDENCYPART_ARC
(12,18),-0.610258 # DEPENDENCYPART_ARC
(12,19),-0.520241 # DEPENDENCYPART_ARC
(12,20),-0.885847 # DEPENDENCYPART_ARC
(12,21),0.575194 # DEPENDENCYPART_ARC
(12,22),0.0608071 # DEPENDENCYPART_ARC
(12,24),-0.704653 # DEPENDENCYPART_ARC
(12,26),-0.868145 # DEPENDENCYPART_ARC
(12,27),-1.00264 # DEPENDENCYPART_ARC
(12,28),0.748802 # DEPENDENCYPART_ARC
(12,29),-0.0546228 # DEPENDENCYPART_ARC
(12,30),-1.51564 # DEPENDENCYPART_ARC
(12,31),-0.362049 # DEPENDENCYPART_ARC
(13,9),-1.48438 # DEPENDENCYPART_ARC
(13,10),-0.285756 # DEPENDENCYPART_ARC
(13,11),-0.390852 # DEPENDENCYPART_ARC
(13,12),-0.563916 # DEPENDENCYPART_ARC
(13,14),0.281652 # DEPENDENCYPART_ARC
(13,15),0.106248 # DEPENDENCYPART_ARC
(13,18),-0.557214 # DEPENDENCYPART_ARC
(13,20),-0.466015 # DEPENDENCYPART_ARC
(13,21),0.0908336 # DEPENDENCYPART_ARC
(13,28),-1.17856 # DEPENDENCYPART_ARC
(13,32),0.35349 # DEPENDENCYPART_ARC
(14,2),-2.39027 # DEPENDENCYPART_ARC
(14,3),-0.150716 # DEPENDENCYPART_ARC
(14,4),-0.0340391 # DEPENDENCYPART_ARC
(14,5),0.010404 # DEPENDENCYPART_ARC
(14,6),0.812033 # DEPENDENCYPART_ARC
(14,7),-0.0139282 # DEPENDENCYPART_ARC
(14,8),1.29536 # DEPENDENCYPART_ARC
(14,9),-1.44206 # DEPENDENCYPART_ARC
(14,10),0.81573 # DEPENDENCYPART_ARC
(14,11),-0.291496 # DEPENDENCYPART_ARC
(14,12),0.920888 # DEPENDENCYPART_ARC
(14,13),1.67367 # DEPENDENCYPART_ARC
(14,15),1.95637 # DEPENDENCYPART_ARC
(14,16),-0.104704 # DEPENDENCYPART_ARC
(14,17),0.335245 # DEPENDENCYPART_ARC
(14,18),0.523583 # DEPENDENCYPART_ARC
(14,19),0.283842 # DEPENDENCYPART_ARC
(14,20),1.94481 # DEPENDENCYPART_ARC
(14,21),0.790168 # DEPENDENCYPART_ARC
(14,22),0.765498 # DEPENDENCYPART_ARC
(14,24),-1.25944 # DEPENDENCYPART_ARC
(14,26),-0.82558 # DEPENDENCYPART_ARC
(14,27),-0.550803 # DEPENDENCYPART_ARC
(14,28),0.424029 # DEPENDENCYPART_ARC
(14,29),-0.710578 # DEPENDENCYPART_ARC
(14,30),0.562551 # DEPENDENCYPART_ARC
(14,31),-0.526608 # DEPENDENCYPART_ARC
(14,32),1.64502 # DEPENDENCYPART_ARC
(15,2),-2.79449 # DEPENDENCYPART_ARC
(15,3),0.0183783 # DEPENDENCYPART_ARC
(15,4),-0.210525 # DEPENDENCYPART_ARC
(15,5),-0.0516575 # DEPENDENCYPART_ARC
(15,6),-1.7873 # DEPENDENCYPART_ARC
(15,7),0.167098 # DEPENDENCYPART_ARC
(15,8),-1.11899 # DEPENDENCYPART_ARC
(15,9),0.239231 # DEPENDENCYPART_ARC
(15,10),-0.129692 # DEPENDENCYPART_ARC
(15,11),-0.210291 # DEPENDENCYPART_ARC
(15,12),0.339563 # DEPENDENCYPART_ARC
(15,13),1.54459 # DEPENDENCYPART_ARC
(15,14),3.135 # DEPENDENCYPART_ARC
(15,16),-0.872894 # DEPENDENCYPART_ARC
(15,17),-0.214892 # DEPENDENCYPART_ARC
(15,18),0.314609 # DEPENDENCYPART_ARC
(15,19),-0.766 # DEPENDENCYPART_ARC
(15,20),1.58119 # DEPENDENCYPART_ARC
(15,21),1.12601 # DEPENDENCYPART_ARC
(15,22),1.61734 # DEPENDENCYPART_ARC
(15,24),-0.417346 # DEPENDENCYPART_ARC
(15,26),-1.82777 # DEPENDENCYPART_ARC
