# _root_ Rendes körülmények között , a rosszak , akiket támadnak a mieink .
#goldHeads=2,3,0,3,6,3,3,9,3,11,9,3,
#predictedHeads=2,3,9,9,6,9,9,9,0,11,9,9,
(0,1),-1.965 # DEPENDENCYPART_ARC
(0,2),-2.64169 # DEPENDENCYPART_ARC
(0,3),-2.98579 # DEPENDENCYPART_ARC
(0,6),-3.8695 # DEPENDENCYPART_ARC
(0,9),-2.03703 # DEPENDENCYPART_ARC
(0,11),-4.6433 # DEPENDENCYPART_ARC
(1,3),-0.690686 # DEPENDENCYPART_ARC
(1,4),-0.676079 # DEPENDENCYPART_ARC
(1,6),-1.78472 # DEPENDENCYPART_ARC
(1,7),-0.630308 # DEPENDENCYPART_ARC
(1,9),-1.24465 # DEPENDENCYPART_ARC
(1,11),-2.45547 # DEPENDENCYPART_ARC
(1,12),-0.319721 # DEPENDENCYPART_ARC
(2,1),3.44355 # DEPENDENCYPART_ARC
(2,3),-0.335538 # DEPENDENCYPART_ARC
(2,4),-0.650598 # DEPENDENCYPART_ARC
(2,6),-1.2564 # DEPENDENCYPART_ARC
(2,7),-0.601398 # DEPENDENCYPART_ARC
(2,9),-1.06973 # DEPENDENCYPART_ARC
(2,11),-2.26519 # DEPENDENCYPART_ARC
(2,12),0.0183466 # DEPENDENCYPART_ARC
(3,1),0.759471 # DEPENDENCYPART_ARC
(3,2),3.93139 # DEPENDENCYPART_ARC
(3,4),-0.184713 # DEPENDENCYPART_ARC
(3,6),-0.735135 # DEPENDENCYPART_ARC
(3,7),-0.242084 # DEPENDENCYPART_ARC
(3,9),-0.36185 # DEPENDENCYPART_ARC
(3,11),-1.28505 # DEPENDENCYPART_ARC
(3,12),-0.325671 # DEPENDENCYPART_ARC
(5,4),-0.535711 # DEPENDENCYPART_ARC
(5,7),-0.346278 # DEPENDENCYPART_ARC
(6,1),-1.02741 # DEPENDENCYPART_ARC
(6,2),-1.99756 # DEPENDENCYPART_ARC
(6,3),-1.00556 # DEPENDENCYPART_ARC
(6,4),-0.866657 # DEPENDENCYPART_ARC
(6,5),2.88214 # DEPENDENCYPART_ARC
(6,7),0.0383837 # DEPENDENCYPART_ARC
(6,8),-0.80383 # DEPENDENCYPART_ARC
(6,9),-0.203912 # DEPENDENCYPART_ARC
(6,11),-1.58193 # DEPENDENCYPART_ARC
(6,12),0.380337 # DEPENDENCYPART_ARC
(8,11),-0.549701 # DEPENDENCYPART_ARC
(9,1),-1.64697 # DEPENDENCYPART_ARC
(9,2),-0.570661 # DEPENDENCYPART_ARC
(9,3),-0.492139 # DEPENDENCYPART_ARC
(9,4),0.0566924 # DEPENDENCYPART_ARC
(9,5),-1.5594 # DEPENDENCYPART_ARC
(9,6),0.112556 # DEPENDENCYPART_ARC
(9,7),0.303868 # DEPENDENCYPART_ARC
(9,8),2.77253 # DEPENDENCYPART_ARC
(9,10),-0.758337 # DEPENDENCYPART_ARC
(9,11),2.21636 # DEPENDENCYPART_ARC
(9,12),1.40374 # DEPENDENCYPART_ARC
(11,3),-1.77974 # DEPENDENCYPART_ARC
(11,4),-2.2776 # DEPENDENCYPART_ARC
(11,5),-1.08752 # DEPENDENCYPART_ARC
(11,6),-3.34063 # DEPENDENCYPART_ARC
(11,7),-1.94943 # DEPENDENCYPART_ARC
(11,8),-3.39347 # DEPENDENCYPART_ARC
(11,9),-1.66233 # DEPENDENCYPART_ARC
(11,10),2.78589 # DEPENDENCYPART_ARC
(11,12),-0.83745 # DEPENDENCYPART_ARC
