# _root_ Amiből még olyan következtetést is le lehet vonni , hogy nem is maga a szabadság olyan fontos és nélkülözhetetlen az emberfajtának , hanem a szabadság utáni vágy : a szabadság szivárványos képe .
#goldHeads=8,8,4,8,8,7,0,7,7,7,12,3,12,15,13,17,19,19,12,21,12,3,3,25,26,27,3,27,30,32,32,27,7,
#predictedHeads=8,8,4,8,7,7,13,7,7,7,23,23,15,15,32,17,19,27,23,21,26,23,0,25,26,27,32,27,30,32,32,23,7,
(0,2),-2.67064 # DEPENDENCYPART_ARC
(0,3),-3.20297 # DEPENDENCYPART_ARC
(0,4),-3.86212 # DEPENDENCYPART_ARC
(0,5),-2.85482 # DEPENDENCYPART_ARC
(0,6),-2.91575 # DEPENDENCYPART_ARC
(0,7),-1.83051 # DEPENDENCYPART_ARC
(0,8),-2.45874 # DEPENDENCYPART_ARC
(0,10),-2.48335 # DEPENDENCYPART_ARC
(0,13),-3.01539 # DEPENDENCYPART_ARC
(0,18),-2.72347 # DEPENDENCYPART_ARC
(0,19),-2.58422 # DEPENDENCYPART_ARC
(0,23),-1.20332 # DEPENDENCYPART_ARC
(1,4),-1.10253 # DEPENDENCYPART_ARC
(1,5),-0.421143 # DEPENDENCYPART_ARC
(2,1),-0.606166 # DEPENDENCYPART_ARC
(2,4),-0.369496 # DEPENDENCYPART_ARC
(2,5),-0.57441 # DEPENDENCYPART_ARC
(2,7),-0.700341 # DEPENDENCYPART_ARC
(2,33),-1.64776 # DEPENDENCYPART_ARC
(3,1),-1.51541 # DEPENDENCYPART_ARC
(3,2),-0.457223 # DEPENDENCYPART_ARC
(3,4),-0.522859 # DEPENDENCYPART_ARC
(3,5),-0.840313 # DEPENDENCYPART_ARC
(3,6),-0.402091 # DEPENDENCYPART_ARC
(3,7),0.474491 # DEPENDENCYPART_ARC
(3,8),0.0316468 # DEPENDENCYPART_ARC
(3,9),0.892198 # DEPENDENCYPART_ARC
(3,10),0.72683 # DEPENDENCYPART_ARC
(3,11),0.281138 # DEPENDENCYPART_ARC
(3,12),-0.087831 # DEPENDENCYPART_ARC
(3,13),-0.369024 # DEPENDENCYPART_ARC
(3,15),-0.761766 # DEPENDENCYPART_ARC
(3,16),-0.178884 # DEPENDENCYPART_ARC
(3,17),-1.31102 # DEPENDENCYPART_ARC
(3,18),0.516542 # DEPENDENCYPART_ARC
(3,19),-1.05353 # DEPENDENCYPART_ARC
(3,21),-1.17579 # DEPENDENCYPART_ARC
(3,22),0.943375 # DEPENDENCYPART_ARC
(3,23),0.964674 # DEPENDENCYPART_ARC
(3,25),-0.884112 # DEPENDENCYPART_ARC
(3,26),-1.14101 # DEPENDENCYPART_ARC
(3,27),-1.0402 # DEPENDENCYPART_ARC
(3,28),0.263326 # DEPENDENCYPART_ARC
(3,30),-1.17228 # DEPENDENCYPART_ARC
(3,31),-1.1443 # DEPENDENCYPART_ARC
(3,32),-1.0337 # DEPENDENCYPART_ARC
(4,1),-0.752403 # DEPENDENCYPART_ARC
(4,2),0.424582 # DEPENDENCYPART_ARC
(4,3),2.89204 # DEPENDENCYPART_ARC
(5,1),-1.11215 # DEPENDENCYPART_ARC
(5,2),0.345027 # DEPENDENCYPART_ARC
(5,3),-0.838135 # DEPENDENCYPART_ARC
(5,4),-0.674151 # DEPENDENCYPART_ARC
(5,7),-0.218232 # DEPENDENCYPART_ARC
(5,8),-1.13987 # DEPENDENCYPART_ARC
(5,9),-0.393447 # DEPENDENCYPART_ARC
(6,2),0.354354 # DEPENDENCYPART_ARC
(6,4),0.184712 # DEPENDENCYPART_ARC
(6,5),0.444848 # DEPENDENCYPART_ARC
(6,9),-0.114033 # DEPENDENCYPART_ARC
(6,33),0.386531 # DEPENDENCYPART_ARC
(7,1),-0.353799 # DEPENDENCYPART_ARC
(7,2),0.551104 # DEPENDENCYPART_ARC
(7,3),-0.817116 # DEPENDENCYPART_ARC
(7,4),-0.329851 # DEPENDENCYPART_ARC
(7,5),2.24169 # DEPENDENCYPART_ARC
(7,6),2.28944 # DEPENDENCYPART_ARC
(7,8),3.9574 # DEPENDENCYPART_ARC
(7,9),2.05741 # DEPENDENCYPART_ARC
(7,10),2.50133 # DEPENDENCYPART_ARC
(7,11),-0.302763 # DEPENDENCYPART_ARC
(7,12),-0.256921 # DEPENDENCYPART_ARC
(7,13),-1.57684 # DEPENDENCYPART_ARC
(7,14),-1.38946 # DEPENDENCYPART_ARC
(7,16),-0.68713 # DEPENDENCYPART_ARC
(7,17),-1.04832 # DEPENDENCYPART_ARC
(7,18),0.0936276 # DEPENDENCYPART_ARC
(7,19),-1.04522 # DEPENDENCYPART_ARC
(7,22),0.0887414 # DEPENDENCYPART_ARC
(7,23),0.435649 # DEPENDENCYPART_ARC
(7,27),-2.34144 # DEPENDENCYPART_ARC
(7,28),-0.23646 # DEPENDENCYPART_ARC
(7,32),-2.46972 # DEPENDENCYPART_ARC
(7,33),2.12945 # DEPENDENCYPART_ARC
(8,1),0.63077 # DEPENDENCYPART_ARC
(8,2),0.751794 # DEPENDENCYPART_ARC
(8,3),-0.950938 # DEPENDENCYPART_ARC
(8,4),2.62243 # DEPENDENCYPART_ARC
(8,5),1.21406 # DEPENDENCYPART_ARC
(8,6),1.49917 # DEPENDENCYPART_ARC
(8,7),1.35739 # DEPENDENCYPART_ARC
(8,9),1.01214 # DEPENDENCYPART_ARC
(8,10),1.22385 # DEPENDENCYPART_ARC
(8,11),-0.416972 # DEPENDENCYPART_ARC
(8,12),-0.575346 # DEPENDENCYPART_ARC
(8,13),-1.23173 # DEPENDENCYPART_ARC
(8,16),-1.01497 # DEPENDENCYPART_ARC
(8,17),-0.127882 # DEPENDENCYPART_ARC
(8,18),-0.855536 # DEPENDENCYPART_ARC
(8,19),0.0703343 # DEPENDENCYPART_ARC
(8,22),-0.405584 # DEPENDENCYPART_ARC
(8,23),-0.602815 # DEPENDENCYPART_ARC
(8,27),-2.93945 # DEPENDENCYPART_ARC
(8,28),-0.0721962 # DEPENDENCYPART_ARC
(8,32),-2.44142 # DEPENDENCYPART_ARC
(8,33),1.76418 # DEPENDENCYPART_ARC
(10,1),-1.40824 # DEPENDENCYPART_ARC
(10,2),0.00849642 # DEPENDENCYPART_ARC
(10,3),-0.83086 # DEPENDENCYPART_ARC
(10,4),-1.06489 # DEPENDENCYPART_ARC
(10,5),-0.291728 # DEPENDENCYPART_ARC
(10,7),-0.292623 # DEPENDENCYPART_ARC
(10,8),0.185423 # DEPENDENCYPART_ARC
(10,9),1.34559 # DEPENDENCYPART_ARC
(10,11),-0.390611 # DEPENDENCYPART_ARC
(10,12),-0.366528 # DEPENDENCYPART_ARC
(10,13),-0.757155 # DEPENDENCYPART_ARC
(10,18),-0.157874 # DEPENDENCYPART_ARC
(10,23),-0.174867 # DEPENDENCYPART_ARC
(10,28),0.104873 # DEPENDENCYPART_ARC
(10,33),1.84852 # DEPENDENCYPART_ARC
(11,10),-0.873796 # DEPENDENCYPART_ARC
(11,33),1.14922 # DEPENDENCYPART_ARC
(12,8),-0.982794 # DEPENDENCYPART_ARC
(12,9),-0.56385 # DEPENDENCYPART_ARC
(12,10),-0.790964 # DEPENDENCYPART_ARC
(12,11),-0.128437 # DEPENDENCYPART_ARC
(12,15),-0.739987 # DEPENDENCYPART_ARC
(12,16),-0.581707 # DEPENDENCYPART_ARC
(12,32),-2.11191 # DEPENDENCYPART_ARC
(13,7),0.397741 # DEPENDENCYPART_ARC
(13,8),-0.0446146 # DEPENDENCYPART_ARC
(13,10),0.624577 # DEPENDENCYPART_ARC
(13,15),0.315603 # DEPENDENCYPART_ARC
(13,17),-0.53087 # DEPENDENCYPART_ARC
(13,21),-0.247437 # DEPENDENCYPART_ARC
(13,25),-0.144002 # DEPENDENCYPART_ARC
(13,27),-0.544838 # DEPENDENCYPART_ARC
(13,30),-0.354297 # DEPENDENCYPART_ARC
(13,32),-0.450901 # DEPENDENCYPART_ARC
(13,33),1.42042 # DEPENDENCYPART_ARC
(15,3),-1.96332 # DEPENDENCYPART_ARC
(15,12),-0.946416 # DEPENDENCYPART_ARC
(15,13),1.51711 # DEPENDENCYPART_ARC
(15,14),2.85232 # DEPENDENCYPART_ARC
(16,7),-0.820259 # DEPENDENCYPART_ARC
(16,8),-0.763767 # DEPENDENCYPART_ARC
(16,10),-0.863221 # DEPENDENCYPART_ARC
(16,11),-0.443496 # DEPENDENCYPART_ARC
(16,12),-0.449815 # DEPENDENCYPART_ARC
