# _root_ Be kell vallanom , csak pár nap alatt sikerült kiderítenem , hogy retrofit magyarul azt jelenti : korszerűsítés .
#goldHeads=2,0,2,2,9,7,8,9,3,9,9,9,16,16,16,10,16,15,2,
#predictedHeads=2,16,2,2,10,7,8,10,2,9,2,9,16,16,16,0,16,16,2,
(0,1),-1.81536 # DEPENDENCYPART_ARC
(0,2),-0.56499 # DEPENDENCYPART_ARC
(0,3),-1.18658 # DEPENDENCYPART_ARC
(0,8),-3.41181 # DEPENDENCYPART_ARC
(0,9),-1.19193 # DEPENDENCYPART_ARC
(0,10),-1.68814 # DEPENDENCYPART_ARC
(0,12),-3.22159 # DEPENDENCYPART_ARC
(0,15),-4.07999 # DEPENDENCYPART_ARC
(0,16),-0.543667 # DEPENDENCYPART_ARC
(1,4),-0.16658 # DEPENDENCYPART_ARC
(1,8),-0.542087 # DEPENDENCYPART_ARC
(2,1),2.75036 # DEPENDENCYPART_ARC
(2,3),5.18138 # DEPENDENCYPART_ARC
(2,4),2.00008 # DEPENDENCYPART_ARC
(2,5),-0.170325 # DEPENDENCYPART_ARC
(2,6),-0.390752 # DEPENDENCYPART_ARC
(2,7),-0.562016 # DEPENDENCYPART_ARC
(2,8),0.0520618 # DEPENDENCYPART_ARC
(2,9),0.778635 # DEPENDENCYPART_ARC
(2,10),3.08366 # DEPENDENCYPART_ARC
(2,11),1.73327 # DEPENDENCYPART_ARC
(2,12),1.9933 # DEPENDENCYPART_ARC
(2,13),-2.50309 # DEPENDENCYPART_ARC
(2,14),-0.570446 # DEPENDENCYPART_ARC
(2,15),-2.01396 # DEPENDENCYPART_ARC
(2,16),-1.02883 # DEPENDENCYPART_ARC
(2,17),1.28776 # DEPENDENCYPART_ARC
(2,18),-2.23248 # DEPENDENCYPART_ARC
(2,19),2.72939 # DEPENDENCYPART_ARC
(3,1),1.47629 # DEPENDENCYPART_ARC
(3,2),1.08845 # DEPENDENCYPART_ARC
(3,4),0.952437 # DEPENDENCYPART_ARC
(3,5),-0.0186495 # DEPENDENCYPART_ARC
(3,6),-1.00209 # DEPENDENCYPART_ARC
(3,7),-1.53823 # DEPENDENCYPART_ARC
(3,8),0.0530854 # DEPENDENCYPART_ARC
(3,9),-0.245727 # DEPENDENCYPART_ARC
(3,10),2.12326 # DEPENDENCYPART_ARC
(3,11),0.449844 # DEPENDENCYPART_ARC
(3,12),0.375371 # DEPENDENCYPART_ARC
(3,14),-0.507473 # DEPENDENCYPART_ARC
(3,15),-1.90592 # DEPENDENCYPART_ARC
(3,16),-1.4688 # DEPENDENCYPART_ARC
(3,17),0.338901 # DEPENDENCYPART_ARC
(3,19),1.70323 # DEPENDENCYPART_ARC
(5,2),-0.475536 # DEPENDENCYPART_ARC
(5,3),-0.410147 # DEPENDENCYPART_ARC
(5,4),-0.132841 # DEPENDENCYPART_ARC
(5,6),0.113778 # DEPENDENCYPART_ARC
(5,7),0.347977 # DEPENDENCYPART_ARC
(5,8),0.369836 # DEPENDENCYPART_ARC
(5,9),0.223262 # DEPENDENCYPART_ARC
(5,10),-0.0705135 # DEPENDENCYPART_ARC
(5,11),0.166912 # DEPENDENCYPART_ARC
(5,12),-0.152491 # DEPENDENCYPART_ARC
(5,13),-0.887503 # DEPENDENCYPART_ARC
(5,16),-0.298051 # DEPENDENCYPART_ARC
(5,17),-0.0615799 # DEPENDENCYPART_ARC
(5,18),-1.47331 # DEPENDENCYPART_ARC
(5,19),0.506696 # DEPENDENCYPART_ARC
(6,3),-1.0382 # DEPENDENCYPART_ARC
(6,5),0.127401 # DEPENDENCYPART_ARC
(6,16),-0.808924 # DEPENDENCYPART_ARC
(6,19),0.107711 # DEPENDENCYPART_ARC
(7,2),-1.50298 # DEPENDENCYPART_ARC
(7,3),-0.0993961 # DEPENDENCYPART_ARC
(7,4),0.233515 # DEPENDENCYPART_ARC
(7,5),1.07742 # DEPENDENCYPART_ARC
(7,6),2.9939 # DEPENDENCYPART_ARC
(8,4),-0.107911 # DEPENDENCYPART_ARC
(8,5),0.0756049 # DEPENDENCYPART_ARC
(8,6),0.670128 # DEPENDENCYPART_ARC
(8,7),3.81827 # DEPENDENCYPART_ARC
(8,9),-0.103715 # DEPENDENCYPART_ARC
(8,10),-0.385222 # DEPENDENCYPART_ARC
(8,13),-0.87067 # DEPENDENCYPART_ARC
(8,14),-0.691124 # DEPENDENCYPART_ARC
(8,16),-0.414456 # DEPENDENCYPART_ARC
(8,18),-1.27649 # DEPENDENCYPART_ARC
(9,1),-0.046844 # DEPENDENCYPART_ARC
(9,2),-0.0102557 # DEPENDENCYPART_ARC
(9,3),1.8106 # DEPENDENCYPART_ARC
(9,4),0.643459 # DEPENDENCYPART_ARC
(9,5),1.37318 # DEPENDENCYPART_ARC
(9,6),-0.170545 # DEPENDENCYPART_ARC
(9,7),0.75259 # DEPENDENCYPART_ARC
(9,8),1.77823 # DEPENDENCYPART_ARC
(9,10),4.79954 # DEPENDENCYPART_ARC
(9,11),1.59378 # DEPENDENCYPART_ARC
(9,12),2.49518 # DEPENDENCYPART_ARC
(9,13),-0.972525 # DEPENDENCYPART_ARC
(9,14),0.166964 # DEPENDENCYPART_ARC
(9,15),-1.04409 # DEPENDENCYPART_ARC
(9,16),0.357972 # DEPENDENCYPART_ARC
(9,17),0.962546 # DEPENDENCYPART_ARC
(9,18),-1.09374 # DEPENDENCYPART_ARC
(9,19),1.8298 # DEPENDENCYPART_ARC
(10,2),-0.212158 # DEPENDENCYPART_ARC
(10,3),0.414212 # DEPENDENCYPART_ARC
(10,4),0.290397 # DEPENDENCYPART_ARC
(10,5),1.47232 # DEPENDENCYPART_ARC
(10,6),-0.647763 # DEPENDENCYPART_ARC
(10,7),-0.553323 # DEPENDENCYPART_ARC
(10,8),2.32272 # DEPENDENCYPART_ARC
(10,9),0.905545 # DEPENDENCYPART_ARC
(10,11),0.807479 # DEPENDENCYPART_ARC
(10,12),1.46299 # DEPENDENCYPART_ARC
