# _root_ Sarkad önkormányzata 6,6_millió forintos támogatást kapott , amelyből 50 közhasznú munkás foglalkoztatását tudja megoldani .
#goldHeads=2,6,4,5,6,0,6,14,11,11,12,14,6,13,6,
#predictedHeads=2,6,4,5,6,0,6,14,11,11,12,14,6,13,13,
(0,1),-2.00288 # DEPENDENCYPART_ARC
(0,2),-2.43435 # DEPENDENCYPART_ARC
(0,3),-2.43877 # DEPENDENCYPART_ARC
(0,4),-2.73068 # DEPENDENCYPART_ARC
(0,5),-3.79353 # DEPENDENCYPART_ARC
(0,6),-1.00108 # DEPENDENCYPART_ARC
(0,9),-3.29023 # DEPENDENCYPART_ARC
(0,13),-2.51505 # DEPENDENCYPART_ARC
(0,14),-2.83492 # DEPENDENCYPART_ARC
(1,2),-0.4611 # DEPENDENCYPART_ARC
(1,5),-1.20487 # DEPENDENCYPART_ARC
(1,6),-1.2065 # DEPENDENCYPART_ARC
(1,11),-1.29291 # DEPENDENCYPART_ARC
(1,13),-0.962724 # DEPENDENCYPART_ARC
(1,14),-0.679399 # DEPENDENCYPART_ARC
(1,15),0.251642 # DEPENDENCYPART_ARC
(2,1),3.82287 # DEPENDENCYPART_ARC
(2,3),-0.552504 # DEPENDENCYPART_ARC
(2,4),-0.389414 # DEPENDENCYPART_ARC
(2,5),-0.927729 # DEPENDENCYPART_ARC
(2,6),-0.604584 # DEPENDENCYPART_ARC
(2,7),0.190474 # DEPENDENCYPART_ARC
(2,9),-0.881964 # DEPENDENCYPART_ARC
(2,11),-0.922784 # DEPENDENCYPART_ARC
(2,12),-1.93445 # DEPENDENCYPART_ARC
(2,13),-1.17282 # DEPENDENCYPART_ARC
(2,14),-0.278914 # DEPENDENCYPART_ARC
(2,15),0.764301 # DEPENDENCYPART_ARC
(3,1),-0.0315852 # DEPENDENCYPART_ARC
(3,2),0.109798 # DEPENDENCYPART_ARC
(3,4),-0.392471 # DEPENDENCYPART_ARC
(3,6),-0.564944 # DEPENDENCYPART_ARC
(3,7),-0.424113 # DEPENDENCYPART_ARC
(3,9),-1.16175 # DEPENDENCYPART_ARC
(3,11),-1.28947 # DEPENDENCYPART_ARC
(3,12),-2.13292 # DEPENDENCYPART_ARC
(3,13),-0.449008 # DEPENDENCYPART_ARC
(3,14),-0.953539 # DEPENDENCYPART_ARC
(3,15),0.492433 # DEPENDENCYPART_ARC
(4,1),-0.240251 # DEPENDENCYPART_ARC
(4,2),-0.177358 # DEPENDENCYPART_ARC
(4,3),2.52194 # DEPENDENCYPART_ARC
(4,13),-1.43379 # DEPENDENCYPART_ARC
(4,14),-1.54893 # DEPENDENCYPART_ARC
(4,15),-0.288687 # DEPENDENCYPART_ARC
(5,1),0.703477 # DEPENDENCYPART_ARC
(5,2),-0.366485 # DEPENDENCYPART_ARC
(5,3),1.69382 # DEPENDENCYPART_ARC
(5,4),3.58745 # DEPENDENCYPART_ARC
(5,7),-0.724917 # DEPENDENCYPART_ARC
(5,9),-1.71426 # DEPENDENCYPART_ARC
(5,11),-2.11113 # DEPENDENCYPART_ARC
(5,12),-2.24098 # DEPENDENCYPART_ARC
(5,13),-1.33035 # DEPENDENCYPART_ARC
(5,14),-0.985984 # DEPENDENCYPART_ARC
(5,15),0.0546551 # DEPENDENCYPART_ARC
(6,1),1.99049 # DEPENDENCYPART_ARC
(6,2),2.51712 # DEPENDENCYPART_ARC
(6,3),0.621639 # DEPENDENCYPART_ARC
(6,4),0.894735 # DEPENDENCYPART_ARC
(6,5),3.275 # DEPENDENCYPART_ARC
(6,7),1.53206 # DEPENDENCYPART_ARC
(6,8),-0.610174 # DEPENDENCYPART_ARC
(6,9),-0.521435 # DEPENDENCYPART_ARC
(6,10),-0.479049 # DEPENDENCYPART_ARC
(6,11),-0.385976 # DEPENDENCYPART_ARC
(6,12),-0.813296 # DEPENDENCYPART_ARC
(6,13),1.14549 # DEPENDENCYPART_ARC
