# _root_ Legalábbis ez volt az az elképzelés , amelyet a Királyi_városok programban tavaly meghirdettek , s amelyből a visegrádi palota 400_millió forinttal részesült volna .
#goldHeads=3,3,0,6,6,3,3,13,11,11,13,13,2,2,2,22,19,19,22,21,22,2,22,3,
#predictedHeads=3,3,0,6,6,3,3,13,11,11,13,13,2,15,3,22,19,19,22,21,22,4,22,15,
(0,1),-2.01329 # DEPENDENCYPART_ARC
(0,2),-2.79537 # DEPENDENCYPART_ARC
(0,3),-0.496727 # DEPENDENCYPART_ARC
(0,4),-2.61976 # DEPENDENCYPART_ARC
(0,6),-3.76383 # DEPENDENCYPART_ARC
(0,13),-1.91419 # DEPENDENCYPART_ARC
(0,15),-0.151204 # DEPENDENCYPART_ARC
(0,22),-2.13284 # DEPENDENCYPART_ARC
(0,23),-1.74466 # DEPENDENCYPART_ARC
(1,3),0.267516 # DEPENDENCYPART_ARC
(1,6),-0.798989 # DEPENDENCYPART_ARC
(1,7),0.259835 # DEPENDENCYPART_ARC
(1,13),-0.523883 # DEPENDENCYPART_ARC
(1,14),-0.286036 # DEPENDENCYPART_ARC
(1,15),-0.397589 # DEPENDENCYPART_ARC
(1,22),-1.04528 # DEPENDENCYPART_ARC
(1,24),0.973814 # DEPENDENCYPART_ARC
(2,1),0.485129 # DEPENDENCYPART_ARC
(2,3),0.0818772 # DEPENDENCYPART_ARC
(2,4),-0.854013 # DEPENDENCYPART_ARC
(2,6),-0.387688 # DEPENDENCYPART_ARC
(2,7),-0.17969 # DEPENDENCYPART_ARC
(2,8),-1.41309 # DEPENDENCYPART_ARC
(2,10),-0.651778 # DEPENDENCYPART_ARC
(2,11),-0.673592 # DEPENDENCYPART_ARC
(2,12),-0.245488 # DEPENDENCYPART_ARC
(2,13),2.03022 # DEPENDENCYPART_ARC
(2,14),0.632076 # DEPENDENCYPART_ARC
(2,15),0.586787 # DEPENDENCYPART_ARC
(2,16),-0.712758 # DEPENDENCYPART_ARC
(2,18),-0.720041 # DEPENDENCYPART_ARC
(2,19),-0.571349 # DEPENDENCYPART_ARC
(2,20),-0.540474 # DEPENDENCYPART_ARC
(2,21),-1.29636 # DEPENDENCYPART_ARC
(2,22),2.07334 # DEPENDENCYPART_ARC
(2,24),0.680712 # DEPENDENCYPART_ARC
(3,1),2.18037 # DEPENDENCYPART_ARC
(3,2),1.79173 # DEPENDENCYPART_ARC
(3,4),0.735853 # DEPENDENCYPART_ARC
(3,5),-0.085093 # DEPENDENCYPART_ARC
(3,6),2.20046 # DEPENDENCYPART_ARC
(3,7),1.76874 # DEPENDENCYPART_ARC
(3,8),-0.699075 # DEPENDENCYPART_ARC
(3,9),-0.399093 # DEPENDENCYPART_ARC
(3,10),-0.461501 # DEPENDENCYPART_ARC
(3,11),-0.18554 # DEPENDENCYPART_ARC
(3,12),0.11966 # DEPENDENCYPART_ARC
(3,13),0.79003 # DEPENDENCYPART_ARC
(3,14),1.70529 # DEPENDENCYPART_ARC
(3,15),1.29353 # DEPENDENCYPART_ARC
(3,16),-1.94611 # DEPENDENCYPART_ARC
(3,20),-0.720821 # DEPENDENCYPART_ARC
(3,21),-2.96412 # DEPENDENCYPART_ARC
(3,22),0.235423 # DEPENDENCYPART_ARC
(3,23),0.847702 # DEPENDENCYPART_ARC
(3,24),3.53672 # DEPENDENCYPART_ARC
(4,1),-0.254958 # DEPENDENCYPART_ARC
(4,2),-1.00901 # DEPENDENCYPART_ARC
(4,3),0.638364 # DEPENDENCYPART_ARC
(4,6),0.247407 # DEPENDENCYPART_ARC
(4,7),0.00199355 # DEPENDENCYPART_ARC
(4,8),-1.54263 # DEPENDENCYPART_ARC
(4,10),-0.426949 # DEPENDENCYPART_ARC
(4,11),-0.484441 # DEPENDENCYPART_ARC
(4,12),0.0711039 # DEPENDENCYPART_ARC
(4,13),1.87299 # DEPENDENCYPART_ARC
(4,14),0.630992 # DEPENDENCYPART_ARC
(4,15),0.78845 # DEPENDENCYPART_ARC
(4,16),-0.512233 # DEPENDENCYPART_ARC
(4,18),-0.61319 # DEPENDENCYPART_ARC
(4,19),-0.664869 # DEPENDENCYPART_ARC
(4,20),-0.317993 # DEPENDENCYPART_ARC
(4,21),-1.21589 # DEPENDENCYPART_ARC
(4,22),2.30591 # DEPENDENCYPART_ARC
(4,23),1.20674 # DEPENDENCYPART_ARC
(4,24),0.539907 # DEPENDENCYPART_ARC
(6,1),-1.32342 # DEPENDENCYPART_ARC
(6,2),-0.936556 # DEPENDENCYPART_ARC
(6,3),-0.816959 # DEPENDENCYPART_ARC
(6,4),2.09339 # DEPENDENCYPART_ARC
(6,5),3.10728 # DEPENDENCYPART_ARC
(6,7),0.0181796 # DEPENDENCYPART_ARC
(6,8),-1.27558 # DEPENDENCYPART_ARC
(6,10),-0.944831 # DEPENDENCYPART_ARC
(6,11),-0.912617 # DEPENDENCYPART_ARC
(6,13),-0.379295 # DEPENDENCYPART_ARC
(6,22),-0.773769 # DEPENDENCYPART_ARC
(6,24),1.02146 # DEPENDENCYPART_ARC
(8,11),-0.59661 # DEPENDENCYPART_ARC
(8,19),-0.666212 # DEPENDENCYPART_ARC
(8,21),-1.60483 # DEPENDENCYPART_ARC
(10,4),-1.8852 # DEPENDENCYPART_ARC
(10,5),-0.773969 # DEPENDENCYPART_ARC
(10,8),-2.65624 # DEPENDENCYPART_ARC
(10,9),2.05288 # DEPENDENCYPART_ARC
(11,1),-1.26268 # DEPENDENCYPART_ARC
(11,2),-2.14264 # DEPENDENCYPART_ARC
(11,3),-2.1997 # DEPENDENCYPART_ARC
(11,4),-0.847757 # DEPENDENCYPART_ARC
(11,5),0.0649439 # DEPENDENCYPART_ARC
(11,6),-2.21736 # DEPENDENCYPART_ARC
(11,7),-0.315489 # DEPENDENCYPART_ARC
(11,8),-0.851274 # DEPENDENCYPART_ARC
(11,9),2.23436 # DEPENDENCYPART_ARC
(11,10),2.63273 # DEPENDENCYPART_ARC
(11,12),-0.681244 # DEPENDENCYPART_ARC
(12,3),-0.958796 # DEPENDENCYPART_ARC
(12,6),-1.44093 # DEPENDENCYPART_ARC
(12,10),-0.389076 # DEPENDENCYPART_ARC
(12,11),0.151479 # DEPENDENCYPART_ARC
(12,20),-1.07351 # DEPENDENCYPART_ARC
(12,22),-1.16448 # DEPENDENCYPART_ARC
(13,1),0.223525 # DEPENDENCYPART_ARC
(13,2),-1.57683 # DEPENDENCYPART_ARC
(13,3),0.16109 # DEPENDENCYPART_ARC
(13,4),-1.17741 # DEPENDENCYPART_ARC
(13,5),-0.609451 # DEPENDENCYPART_ARC
(13,6),-0.237201 # DEPENDENCYPART_ARC
(13,7),0.651926 # DEPENDENCYPART_ARC
(13,8),1.45427 # DEPENDENCYPART_ARC
(13,9),-0.628409 # DEPENDENCYPART_ARC
(13,10),1.28475 # DEPENDENCYPART_ARC
(13,11),2.80977 # DEPENDENCYPART_ARC
(13,12),3.17498 # DEPENDENCYPART_ARC
(13,14),1.98541 # DEPENDENCYPART_ARC
(13,15),1.08293 # DEPENDENCYPART_ARC
(13,16),-1.43648 # DEPENDENCYPART_ARC
(13,17),-0.584198 # DEPENDENCYPART_ARC
(13,18),-0.999431 # DEPENDENCYPART_ARC
(13,19),-1.73925 # DEPENDENCYPART_ARC
(13,20),-1.02545 # DEPENDENCYPART_ARC
(13,21),-1.90776 # DEPENDENCYPART_ARC
(13,22),1.07871 # DEPENDENCYPART_ARC
(13,23),1.48338 # DEPENDENCYPART_ARC
(13,24),2.40919 # DEPENDENCYPART_ARC
(15,1),0.0496012 # DEPENDENCYPART_ARC
(15,2),-1.75949 # DEPENDENCYPART_ARC
(15,3),0.879636 # DEPENDENCYPART_ARC
(15,4),-1.00198 # DEPENDENCYPART_ARC
(15,6),-1.28159 # DEPENDENCYPART_ARC
(15,7),0.248727 # DEPENDENCYPART_ARC
(15,10),-0.776394 # DEPENDENCYPART_ARC
(15,11),-0.531133 # DEPENDENCYPART_ARC
(15,12),0.267812 # DEPENDENCYPART_ARC
(15,13),1.90994 # DEPENDENCYPART_ARC
(15,14),2.18888 # DEPENDENCYPART_ARC
(15,18),-0.0898855 # DEPENDENCYPART_ARC
(15,19),-0.579336 # DEPENDENCYPART_ARC
(15,20),-0.294023 # DEPENDENCYPART_ARC
(15,21),-0.882185 # DEPENDENCYPART_ARC
(15,22),2.05043 # DEPENDENCYPART_ARC
(15,23),1.24772 # DEPENDENCYPART_ARC
(15,24),3.65988 # DEPENDENCYPART_ARC
(16,18),-0.250899 # DEPENDENCYPART_ARC
(16,19),-0.188443 # DEPENDENCYPART_ARC
(16,21),-0.94376 # DEPENDENCYPART_ARC
(17,18),-0.169002 # DEPENDENCYPART_ARC
(18,8),-2.68598 # DEPENDENCYPART_ARC
(18,16),-1.01259 # DEPENDENCYPART_ARC
(18,17),0.353276 # DEPENDENCYPART_ARC
(19,2),-2.72274 # DEPENDENCYPART_ARC
(19,4),-2.19319 # DEPENDENCYPART_ARC
(19,9),-0.841284 # DEPENDENCYPART_ARC
(19,10),-1.32596 # DEPENDENCYPART_ARC
(19,13),-1.08073 # DEPENDENCYPART_ARC
(19,14),-0.75362 # DEPENDENCYPART_ARC
(19,15),-0.0412688 # DEPENDENCYPART_ARC
(19,16),-0.65876 # DEPENDENCYPART_ARC
(19,17),2.80321 # DEPENDENCYPART_ARC
(19,18),3.54393 # DEPENDENCYPART_ARC
(19,20),-0.578944 # DEPENDENCYPART_ARC
(19,21),-0.502991 # DEPENDENCYPART_ARC
(20,16),-1.02933 # DEPENDENCYPART_ARC
(20,17),-0.338282 # DEPENDENCYPART_ARC
(20,19),-0.402796 # DEPENDENCYPART_ARC
(20,23),-1.01401 # DEPENDENCYPART_ARC
(20,24),-0.53801 # DEPENDENCYPART_ARC
(21,12),-0.596076 # DEPENDENCYPART_ARC
(21,14),-0.668031 # DEPENDENCYPART_ARC
(21,15),-0.0743889 # DEPENDENCYPART_ARC
(21,16),-0.0994523 # DEPENDENCYPART_ARC
(21,17),0.863515 # DEPENDENCYPART_ARC
(21,18),1.38928 # DEPENDENCYPART_ARC
(21,19),0.513921 # DEPENDENCYPART_ARC
(21,20),2.91833 # DEPENDENCYPART_ARC
(22,1),-0.796068 # DEPENDENCYPART_ARC
(22,2),-2.55647 # DEPENDENCYPART_ARC
(22,3),-0.685254 # DEPENDENCYPART_ARC
(22,4),-1.936 # DEPENDENCYPART_ARC
(22,6),-1.67201 # DEPENDENCYPART_ARC
(22,7),-0.184317 # DEPENDENCYPART_ARC
(22,8),-0.0544073 # DEPENDENCYPART_ARC
(22,9),-1.68105 # DEPENDENCYPART_ARC
(22,10),-0.597952 # DEPENDENCYPART_ARC
(22,11),-0.277287 # DEPENDENCYPART_ARC
(22,12),0.533966 # DEPENDENCYPART_ARC
(22,13),-1.07159 # DEPENDENCYPART_ARC
(22,14),0.315274 # DEPENDENCYPART_ARC
(22,15),0.76859 # DEPENDENCYPART_ARC
(22,16),0.210309 # DEPENDENCYPART_ARC
(22,17),-1.10228 # DEPENDENCYPART_ARC
(22,18),-0.308536 # DEPENDENCYPART_ARC
(22,19),1.68508 # DEPENDENCYPART_ARC
(22,20),0.364278 # DEPENDENCYPART_ARC
(22,21),1.63831 # DEPENDENCYPART_ARC
(22,23),4.27818 # DEPENDENCYPART_ARC
(22,24),1.84023 # DEPENDENCYPART_ARC
(23,7),-0.62647 # DEPENDENCYPART_ARC
(23,11),-1.53791 # DEPENDENCYPART_ARC
(23,12),-0.454959 # DEPENDENCYPART_ARC
(23,13),-0.852599 # DEPENDENCYPART_ARC
(23,14),-0.350226 # DEPENDENCYPART_ARC
(23,15),0.258011 # DEPENDENCYPART_ARC
(23,16),-0.675907 # DEPENDENCYPART_ARC
(23,18),-1.17918 # DEPENDENCYPART_ARC
(23,19),0.50771 # DEPENDENCYPART_ARC
(23,21),0.653045 # DEPENDENCYPART_ARC
(23,22),0.360057 # DEPENDENCYPART_ARC
(23,24),-0.274349 # DEPENDENCYPART_ARC
