# _root_ Az ÁPTF 1997 szeptemberében nem járult hozzá , hogy Happy_Bank néven egy vállalkozás alakuljon , mivel semmilyen banki tevékenységet nem végzett volna .
#goldHeads=2,6,4,6,6,0,6,6,6,11,14,13,14,6,6,6,19,19,21,21,6,21,6,
#predictedHeads=2,6,4,6,6,0,6,6,6,11,14,13,14,6,14,14,19,19,21,21,16,21,6,
(0,2),-1.71042 # DEPENDENCYPART_ARC
(0,3),-2.30931 # DEPENDENCYPART_ARC
(0,5),-2.3123 # DEPENDENCYPART_ARC
(0,6),-1.00659 # DEPENDENCYPART_ARC
(0,7),-2.4988 # DEPENDENCYPART_ARC
(0,9),-1.15027 # DEPENDENCYPART_ARC
(0,14),-1.79607 # DEPENDENCYPART_ARC
(0,16),-1.51731 # DEPENDENCYPART_ARC
(0,21),-1.72639 # DEPENDENCYPART_ARC
(0,22),-1.52198 # DEPENDENCYPART_ARC
(2,1),2.42091 # DEPENDENCYPART_ARC
(2,3),-0.0732415 # DEPENDENCYPART_ARC
(2,4),-0.226957 # DEPENDENCYPART_ARC
(2,6),-0.418437 # DEPENDENCYPART_ARC
(2,21),-1.00592 # DEPENDENCYPART_ARC
(2,23),0.828803 # DEPENDENCYPART_ARC
(3,1),-0.199969 # DEPENDENCYPART_ARC
(3,2),0.0564319 # DEPENDENCYPART_ARC
(3,6),-0.953448 # DEPENDENCYPART_ARC
(3,10),-2.12252 # DEPENDENCYPART_ARC
(3,21),-1.97257 # DEPENDENCYPART_ARC
(3,23),0.153293 # DEPENDENCYPART_ARC
(4,1),0.127527 # DEPENDENCYPART_ARC
(4,2),1.82583 # DEPENDENCYPART_ARC
(4,3),2.34003 # DEPENDENCYPART_ARC
(5,4),0.415948 # DEPENDENCYPART_ARC
(5,8),-0.601272 # DEPENDENCYPART_ARC
(5,9),-0.673652 # DEPENDENCYPART_ARC
(5,14),-1.10795 # DEPENDENCYPART_ARC
(5,16),-0.883227 # DEPENDENCYPART_ARC
(5,21),-1.65248 # DEPENDENCYPART_ARC
(6,1),0.0384365 # DEPENDENCYPART_ARC
(6,2),2.86598 # DEPENDENCYPART_ARC
(6,3),1.13258 # DEPENDENCYPART_ARC
(6,4),3.67887 # DEPENDENCYPART_ARC
(6,5),3.91143 # DEPENDENCYPART_ARC
(6,7),3.11081 # DEPENDENCYPART_ARC
(6,8),2.24057 # DEPENDENCYPART_ARC
(6,9),2.85865 # DEPENDENCYPART_ARC
(6,10),0.158626 # DEPENDENCYPART_ARC
(6,11),1.15895 # DEPENDENCYPART_ARC
(6,13),-0.420587 # DEPENDENCYPART_ARC
(6,14),1.61901 # DEPENDENCYPART_ARC
(6,15),1.28791 # DEPENDENCYPART_ARC
(6,16),1.74128 # DEPENDENCYPART_ARC
(6,18),-0.939198 # DEPENDENCYPART_ARC
(6,19),-2.08127 # DEPENDENCYPART_ARC
(6,20),0.299928 # DEPENDENCYPART_ARC
(6,21),0.487698 # DEPENDENCYPART_ARC
(6,22),0.996708 # DEPENDENCYPART_ARC
(6,23),2.46924 # DEPENDENCYPART_ARC
(7,4),-0.268591 # DEPENDENCYPART_ARC
(7,5),0.111604 # DEPENDENCYPART_ARC
(7,6),0.0387343 # DEPENDENCYPART_ARC
(7,8),-0.345562 # DEPENDENCYPART_ARC
(7,9),-0.325675 # DEPENDENCYPART_ARC
(7,11),-0.875617 # DEPENDENCYPART_ARC
(7,19),-2.12205 # DEPENDENCYPART_ARC
(7,23),0.37371 # DEPENDENCYPART_ARC
(9,2),-0.0481899 # DEPENDENCYPART_ARC
(9,4),0.420805 # DEPENDENCYPART_ARC
(9,5),0.567001 # DEPENDENCYPART_ARC
(9,6),0.135383 # DEPENDENCYPART_ARC
(9,7),1.04484 # DEPENDENCYPART_ARC
(9,8),1.24508 # DEPENDENCYPART_ARC
(9,10),-0.249347 # DEPENDENCYPART_ARC
(9,11),-0.885741 # DEPENDENCYPART_ARC
(9,13),-1.44623 # DEPENDENCYPART_ARC
(9,14),0.53343 # DEPENDENCYPART_ARC
(9,15),0.0351983 # DEPENDENCYPART_ARC
(9,16),0.199437 # DEPENDENCYPART_ARC
(9,19),-2.33774 # DEPENDENCYPART_ARC
(9,21),0.1716 # DEPENDENCYPART_ARC
(9,22),-0.0543028 # DEPENDENCYPART_ARC
(9,23),2.10758 # DEPENDENCYPART_ARC
(10,9),-0.973325 # DEPENDENCYPART_ARC
(10,11),-0.921024 # DEPENDENCYPART_ARC
(10,13),-0.480223 # DEPENDENCYPART_ARC
(11,1),-0.295516 # DEPENDENCYPART_ARC
(11,2),-1.6289 # DEPENDENCYPART_ARC
(11,3),0.134147 # DEPENDENCYPART_ARC
(11,4),-3.78621 # DEPENDENCYPART_ARC
(11,5),-0.416237 # DEPENDENCYPART_ARC
(11,6),-1.41735 # DEPENDENCYPART_ARC
(11,8),0.533178 # DEPENDENCYPART_ARC
(11,9),-0.0737069 # DEPENDENCYPART_ARC
(11,10),2.87625 # DEPENDENCYPART_ARC
(11,13),-0.331252 # DEPENDENCYPART_ARC
(11,14),-0.168897 # DEPENDENCYPART_ARC
(11,15),0.0746398 # DEPENDENCYPART_ARC
(11,19),-1.56929 # DEPENDENCYPART_ARC
(11,21),-0.384634 # DEPENDENCYPART_ARC
(11,23),0.892482 # DEPENDENCYPART_ARC
(13,3),-1.40878 # DEPENDENCYPART_ARC
(13,8),-0.482403 # DEPENDENCYPART_ARC
(13,10),0.134425 # DEPENDENCYPART_ARC
