# _root_ Ugyanaz év júniusában a felügyelet felszólította a Bank_Austria_Creditanstalt_Hungary_Rt.-t , hogy tudatosítsa hirdetményeiben : a Nonstopbank nem különálló vállalkozása , hanem csak egy szolgáltatása .
#goldHeads=2,3,6,5,6,0,8,6,6,6,6,11,11,15,11,18,18,15,11,11,11,23,21,6,
#predictedHeads=2,3,6,5,6,0,8,6,6,6,6,11,11,15,18,17,18,11,20,11,20,23,21,6,
(0,1),-2.8262 # DEPENDENCYPART_ARC
(0,2),-2.30195 # DEPENDENCYPART_ARC
(0,3),-2.80573 # DEPENDENCYPART_ARC
(0,6),-0.752125 # DEPENDENCYPART_ARC
(0,10),-1.61279 # DEPENDENCYPART_ARC
(0,11),-1.49102 # DEPENDENCYPART_ARC
(0,16),-2.56295 # DEPENDENCYPART_ARC
(0,20),-1.39875 # DEPENDENCYPART_ARC
(0,21),-3.01686 # DEPENDENCYPART_ARC
(1,2),-0.0433699 # DEPENDENCYPART_ARC
(1,3),-0.166074 # DEPENDENCYPART_ARC
(1,5),-0.619213 # DEPENDENCYPART_ARC
(1,6),0.236689 # DEPENDENCYPART_ARC
(1,8),-1.25773 # DEPENDENCYPART_ARC
(1,9),0.346225 # DEPENDENCYPART_ARC
(1,10),-0.0590978 # DEPENDENCYPART_ARC
(1,11),1.35475 # DEPENDENCYPART_ARC
(1,12),-0.734284 # DEPENDENCYPART_ARC
(1,13),0.191027 # DEPENDENCYPART_ARC
(1,15),-1.2372 # DEPENDENCYPART_ARC
(1,16),-0.384188 # DEPENDENCYPART_ARC
(1,17),-1.17283 # DEPENDENCYPART_ARC
(1,18),-0.818698 # DEPENDENCYPART_ARC
(1,19),0.37785 # DEPENDENCYPART_ARC
(1,20),0.280637 # DEPENDENCYPART_ARC
(1,21),-0.413304 # DEPENDENCYPART_ARC
(1,23),-0.932368 # DEPENDENCYPART_ARC
(1,24),0.000284646 # DEPENDENCYPART_ARC
(2,1),2.2115 # DEPENDENCYPART_ARC
(2,3),-0.680839 # DEPENDENCYPART_ARC
(2,5),-0.474561 # DEPENDENCYPART_ARC
(3,1),0.258823 # DEPENDENCYPART_ARC
(3,2),3.023 # DEPENDENCYPART_ARC
(3,4),-1.32793 # DEPENDENCYPART_ARC
(3,5),-0.582077 # DEPENDENCYPART_ARC
(3,6),-1.07791 # DEPENDENCYPART_ARC
(3,8),-0.832656 # DEPENDENCYPART_ARC
(3,9),-0.188379 # DEPENDENCYPART_ARC
(3,11),-2.65557 # DEPENDENCYPART_ARC
(3,18),-1.86406 # DEPENDENCYPART_ARC
