# _root_ Egyértelmű sikernek könyvelheti el , hogy a sokáig kizárólag klasszikusokhoz szoktatott , jómódú salzburgi publikum idővel hajlandónak mutatkozott befogadni a kortárs zenét is .
#goldHeads=2,3,0,3,3,3,15,11,11,11,15,15,15,15,18,18,18,3,18,22,22,19,18,3,
#predictedHeads=2,3,0,3,3,3,15,11,11,11,15,15,15,15,18,18,18,6,18,22,22,19,18,3,
(0,1),-1.8766 # DEPENDENCYPART_ARC
(0,2),-2.77353 # DEPENDENCYPART_ARC
(0,3),-0.851111 # DEPENDENCYPART_ARC
(0,4),-2.43968 # DEPENDENCYPART_ARC
(0,6),-0.551386 # DEPENDENCYPART_ARC
(0,8),-2.48426 # DEPENDENCYPART_ARC
(0,18),-1.45841 # DEPENDENCYPART_ARC
(0,19),-3.00463 # DEPENDENCYPART_ARC
(0,23),-3.6171 # DEPENDENCYPART_ARC
(1,18),-1.47747 # DEPENDENCYPART_ARC
(1,19),-1.83611 # DEPENDENCYPART_ARC
(1,24),-0.262638 # DEPENDENCYPART_ARC
(2,1),3.09338 # DEPENDENCYPART_ARC
(3,1),0.729006 # DEPENDENCYPART_ARC
(3,2),3.23437 # DEPENDENCYPART_ARC
(3,4),3.36221 # DEPENDENCYPART_ARC
(3,5),1.7644 # DEPENDENCYPART_ARC
(3,6),2.27602 # DEPENDENCYPART_ARC
(3,7),-1.03269 # DEPENDENCYPART_ARC
(3,8),0.0381287 # DEPENDENCYPART_ARC
(3,9),0.541884 # DEPENDENCYPART_ARC
(3,10),-1.96618 # DEPENDENCYPART_ARC
(3,11),-0.54658 # DEPENDENCYPART_ARC
(3,12),0.267225 # DEPENDENCYPART_ARC
(3,13),-1.13303 # DEPENDENCYPART_ARC
(3,14),-1.23991 # DEPENDENCYPART_ARC
(3,15),-1.4582 # DEPENDENCYPART_ARC
(3,16),0.151479 # DEPENDENCYPART_ARC
(3,17),0.109228 # DEPENDENCYPART_ARC
(3,18),0.18924 # DEPENDENCYPART_ARC
(3,19),0.52962 # DEPENDENCYPART_ARC
(3,21),-1.54653 # DEPENDENCYPART_ARC
(3,22),-0.727113 # DEPENDENCYPART_ARC
(3,23),0.032842 # DEPENDENCYPART_ARC
(3,24),2.23207 # DEPENDENCYPART_ARC
(4,1),-0.238189 # DEPENDENCYPART_ARC
(4,2),0.00027722 # DEPENDENCYPART_ARC
(4,5),-0.720855 # DEPENDENCYPART_ARC
(4,6),-0.606766 # DEPENDENCYPART_ARC
(4,24),-1.05138 # DEPENDENCYPART_ARC
(6,1),0.402836 # DEPENDENCYPART_ARC
(6,2),0.215746 # DEPENDENCYPART_ARC
(6,3),-0.339821 # DEPENDENCYPART_ARC
(6,4),0.917697 # DEPENDENCYPART_ARC
(6,5),1.16259 # DEPENDENCYPART_ARC
(6,11),-0.454408 # DEPENDENCYPART_ARC
(6,12),-0.0734915 # DEPENDENCYPART_ARC
(6,13),-0.598008 # DEPENDENCYPART_ARC
(6,14),-0.817992 # DEPENDENCYPART_ARC
(6,15),-1.76501 # DEPENDENCYPART_ARC
(6,16),-0.212639 # DEPENDENCYPART_ARC
(6,17),-0.781213 # DEPENDENCYPART_ARC
(6,18),0.663305 # DEPENDENCYPART_ARC
(6,19),-0.210472 # DEPENDENCYPART_ARC
(6,23),-0.479383 # DEPENDENCYPART_ARC
(6,24),1.85468 # DEPENDENCYPART_ARC
(8,10),-0.638524 # DEPENDENCYPART_ARC
(8,16),-0.59288 # DEPENDENCYPART_ARC
(9,3),-0.493938 # DEPENDENCYPART_ARC
(9,5),-0.162316 # DEPENDENCYPART_ARC
(9,6),-0.273353 # DEPENDENCYPART_ARC
(9,8),0.194723 # DEPENDENCYPART_ARC
(9,10),-0.295086 # DEPENDENCYPART_ARC
(9,11),0.0365209 # DEPENDENCYPART_ARC
(9,13),-0.333887 # DEPENDENCYPART_ARC
(9,15),-0.929803 # DEPENDENCYPART_ARC
(9,16),-0.242327 # DEPENDENCYPART_ARC
(9,18),-0.766707 # DEPENDENCYPART_ARC
(10,7),0.119469 # DEPENDENCYPART_ARC
(10,8),0.280339 # DEPENDENCYPART_ARC
(10,9),0.352094 # DEPENDENCYPART_ARC
(10,12),-0.0249184 # DEPENDENCYPART_ARC
(10,15),-1.01932 # DEPENDENCYPART_ARC
(10,22),-1.99266 # DEPENDENCYPART_ARC
(11,1),-1.40235 # DEPENDENCYPART_ARC
(11,2),-0.525662 # DEPENDENCYPART_ARC
(11,3),-0.637028 # DEPENDENCYPART_ARC
(11,5),0.13034 # DEPENDENCYPART_ARC
(11,6),-0.219381 # DEPENDENCYPART_ARC
(11,7),-0.429785 # DEPENDENCYPART_ARC
(11,8),1.42805 # DEPENDENCYPART_ARC
(11,9),1.04569 # DEPENDENCYPART_ARC
(11,10),2.36992 # DEPENDENCYPART_ARC
(11,12),0.165208 # DEPENDENCYPART_ARC
(11,13),-0.783516 # DEPENDENCYPART_ARC
(11,14),-0.89713 # DEPENDENCYPART_ARC
(11,17),-1.00014 # DEPENDENCYPART_ARC
(11,18),-0.275472 # DEPENDENCYPART_ARC
(11,19),-0.672431 # DEPENDENCYPART_ARC
(11,21),-1.39621 # DEPENDENCYPART_ARC
(11,22),-1.90876 # DEPENDENCYPART_ARC
(11,23),-1.38901 # DEPENDENCYPART_ARC
(11,24),0.388724 # DEPENDENCYPART_ARC
(13,3),-0.64228 # DEPENDENCYPART_ARC
(13,5),-0.196501 # DEPENDENCYPART_ARC
(13,6),-0.319754 # DEPENDENCYPART_ARC
(13,7),-0.772038 # DEPENDENCYPART_ARC
(13,9),0.288674 # DEPENDENCYPART_ARC
(13,10),0.462907 # DEPENDENCYPART_ARC
(13,11),0.00301594 # DEPENDENCYPART_ARC
(13,12),0.706479 # DEPENDENCYPART_ARC
(13,14),-0.497712 # DEPENDENCYPART_ARC
(13,17),-0.901843 # DEPENDENCYPART_ARC
(13,21),-1.23989 # DEPENDENCYPART_ARC
(13,22),-1.67575 # DEPENDENCYPART_ARC
(13,23),-1.32851 # DEPENDENCYPART_ARC
(13,24),0.0236018 # DEPENDENCYPART_ARC
(14,7),-0.995716 # DEPENDENCYPART_ARC
(14,9),0.0267637 # DEPENDENCYPART_ARC
(14,10),0.22482 # DEPENDENCYPART_ARC
(14,11),-0.629075 # DEPENDENCYPART_ARC
(14,12),0.0910567 # DEPENDENCYPART_ARC
(14,13),1.29529 # DEPENDENCYPART_ARC
(14,16),-1.0873 # DEPENDENCYPART_ARC
(15,1),-0.250064 # DEPENDENCYPART_ARC
(15,3),-0.477259 # DEPENDENCYPART_ARC
(15,5),-0.10561 # DEPENDENCYPART_ARC
(15,7),1.69468 # DEPENDENCYPART_ARC
(15,9),-0.183312 # DEPENDENCYPART_ARC
