# _root_ A kormány ülésén elhangzottakkal kapcsolatban az egyik alapvető probléma , hogy azok közérdekű adatnak tekinthetőek -e , vagy sem .
#goldHeads=2,3,4,5,18,9,9,9,18,18,18,16,14,16,16,18,18,0,18,18,
#predictedHeads=2,3,4,5,11,9,9,9,11,11,0,14,14,15,18,12,18,11,18,11,
(0,5),-4.05307 # DEPENDENCYPART_ARC
(0,7),-4.23 # DEPENDENCYPART_ARC
(0,11),-3.95298 # DEPENDENCYPART_ARC
(0,12),-4.51069 # DEPENDENCYPART_ARC
(0,13),-4.13028 # DEPENDENCYPART_ARC
(0,14),-5.42069 # DEPENDENCYPART_ARC
(0,15),-3.98733 # DEPENDENCYPART_ARC
(0,16),-4.45236 # DEPENDENCYPART_ARC
(0,18),-4.00415 # DEPENDENCYPART_ARC
(0,19),-4.7847 # DEPENDENCYPART_ARC
(2,1),1.76908 # DEPENDENCYPART_ARC
(3,1),-0.059358 # DEPENDENCYPART_ARC
(3,2),2.50824 # DEPENDENCYPART_ARC
(3,9),-1.42282 # DEPENDENCYPART_ARC
(3,20),-1.74525 # DEPENDENCYPART_ARC
(4,1),0.544571 # DEPENDENCYPART_ARC
(4,2),-0.133682 # DEPENDENCYPART_ARC
(4,3),1.69282 # DEPENDENCYPART_ARC
(4,9),-1.6328 # DEPENDENCYPART_ARC
(4,11),-1.42479 # DEPENDENCYPART_ARC
(5,1),-0.0662684 # DEPENDENCYPART_ARC
(5,2),-0.806738 # DEPENDENCYPART_ARC
(5,3),-1.15055 # DEPENDENCYPART_ARC
(5,4),0.132007 # DEPENDENCYPART_ARC
(5,6),-1.41176 # DEPENDENCYPART_ARC
(5,8),-1.45308 # DEPENDENCYPART_ARC
(5,9),-1.29602 # DEPENDENCYPART_ARC
(5,10),-0.976031 # DEPENDENCYPART_ARC
(5,13),-1.78782 # DEPENDENCYPART_ARC
(5,14),-2.12372 # DEPENDENCYPART_ARC
(5,15),-1.67468 # DEPENDENCYPART_ARC
(5,17),-1.2933 # DEPENDENCYPART_ARC
(5,18),-1.33709 # DEPENDENCYPART_ARC
(5,20),-1.71279 # DEPENDENCYPART_ARC
(6,4),-1.29964 # DEPENDENCYPART_ARC
(6,8),-0.6823 # DEPENDENCYPART_ARC
(6,13),-0.994806 # DEPENDENCYPART_ARC
(7,6),-0.294064 # DEPENDENCYPART_ARC
(7,8),-0.921335 # DEPENDENCYPART_ARC
(7,10),-0.792599 # DEPENDENCYPART_ARC
(7,14),-1.36947 # DEPENDENCYPART_ARC
(7,17),-0.768935 # DEPENDENCYPART_ARC
(7,18),-0.657668 # DEPENDENCYPART_ARC
(7,20),-1.44141 # DEPENDENCYPART_ARC
(8,1),-1.72718 # DEPENDENCYPART_ARC
(8,2),-1.89764 # DEPENDENCYPART_ARC
(8,3),-0.869881 # DEPENDENCYPART_ARC
(8,4),-1.2984 # DEPENDENCYPART_ARC
(8,5),-0.789643 # DEPENDENCYPART_ARC
(8,6),-1.00957 # DEPENDENCYPART_ARC
(8,7),0.271887 # DEPENDENCYPART_ARC
(8,11),-1.58909 # DEPENDENCYPART_ARC
(9,1),-1.02065 # DEPENDENCYPART_ARC
(9,2),-1.56774 # DEPENDENCYPART_ARC
(9,3),-3.10407 # DEPENDENCYPART_ARC
(9,4),-3.05067 # DEPENDENCYPART_ARC
(9,5),-2.39965 # DEPENDENCYPART_ARC
(9,6),0.701171 # DEPENDENCYPART_ARC
(9,7),1.08799 # DEPENDENCYPART_ARC
(9,8),2.48207 # DEPENDENCYPART_ARC
(9,10),-0.654302 # DEPENDENCYPART_ARC
(9,13),-1.9231 # DEPENDENCYPART_ARC
(9,14),-1.98378 # DEPENDENCYPART_ARC
(9,15),-1.95782 # DEPENDENCYPART_ARC
(9,17),-1.34735 # DEPENDENCYPART_ARC
(9,18),-1.51488 # DEPENDENCYPART_ARC
(9,20),-2.05012 # DEPENDENCYPART_ARC
(11,2),-1.15958 # DEPENDENCYPART_ARC
(11,3),-0.855785 # DEPENDENCYPART_ARC
(11,4),-1.12495 # DEPENDENCYPART_ARC
(11,5),-0.921697 # DEPENDENCYPART_ARC
(11,7),-0.205957 # DEPENDENCYPART_ARC
(11,8),-0.12121 # DEPENDENCYPART_ARC
(11,9),-0.278334 # DEPENDENCYPART_ARC
(11,10),0.197782 # DEPENDENCYPART_ARC
(11,13),-1.15448 # DEPENDENCYPART_ARC
(11,14),-1.48538 # DEPENDENCYPART_ARC
(11,15),-1.33919 # DEPENDENCYPART_ARC
(11,17),-0.736953 # DEPENDENCYPART_ARC
(11,18),-0.687384 # DEPENDENCYPART_ARC
(11,20),-0.257556 # DEPENDENCYPART_ARC
(12,5),-1.91599 # DEPENDENCYPART_ARC
(12,9),-1.402 # DEPENDENCYPART_ARC
(12,11),-0.791975 # DEPENDENCYPART_ARC
(12,13),-0.667135 # DEPENDENCYPART_ARC
(12,14),-0.703277 # DEPENDENCYPART_ARC
(12,15),-0.56821 # DEPENDENCYPART_ARC
(12,16),-0.998535 # DEPENDENCYPART_ARC
(12,17),-0.636442 # DEPENDENCYPART_ARC
(12,18),-0.181834 # DEPENDENCYPART_ARC
(12,19),-0.824129 # DEPENDENCYPART_ARC
(12,20),-1.00061 # DEPENDENCYPART_ARC
(13,3),-1.53418 # DEPENDENCYPART_ARC
(13,5),-1.76566 # DEPENDENCYPART_ARC
(13,6),-1.85173 # DEPENDENCYPART_ARC
(13,8),-1.52791 # DEPENDENCYPART_ARC
(13,9),-1.89495 # DEPENDENCYPART_ARC
(13,10),-0.789048 # DEPENDENCYPART_ARC
(13,11),-0.653583 # DEPENDENCYPART_ARC
(13,12),-0.128913 # DEPENDENCYPART_ARC
(13,15),-1.56014 # DEPENDENCYPART_ARC
(13,18),-1.85815 # DEPENDENCYPART_ARC
(13,19),-1.81493 # DEPENDENCYPART_ARC
(14,1),-1.82134 # DEPENDENCYPART_ARC
(14,2),-2.68019 # DEPENDENCYPART_ARC
(14,3),-4.1441 # DEPENDENCYPART_ARC
(14,4),-3.68833 # DEPENDENCYPART_ARC
(14,5),-3.60079 # DEPENDENCYPART_ARC
(14,6),-0.498736 # DEPENDENCYPART_ARC
(14,7),-1.09951 # DEPENDENCYPART_ARC
(14,8),-0.456465 # DEPENDENCYPART_ARC
(14,9),-1.52299 # DEPENDENCYPART_ARC
(14,10),-0.999086 # DEPENDENCYPART_ARC
(14,11),-0.66948 # DEPENDENCYPART_ARC
(14,12),0.00797831 # DEPENDENCYPART_ARC
(14,13),2.34469 # DEPENDENCYPART_ARC
(14,15),-1.30421 # DEPENDENCYPART_ARC
(14,17),-0.993587 # DEPENDENCYPART_ARC
(14,18),-1.39855 # DEPENDENCYPART_ARC
(15,2),-2.32582 # DEPENDENCYPART_ARC
(15,3),-1.46484 # DEPENDENCYPART_ARC
(15,5),-1.60498 # DEPENDENCYPART_ARC
(15,8),-1.50964 # DEPENDENCYPART_ARC
(15,9),-1.979 # DEPENDENCYPART_ARC
(15,10),-1.03558 # DEPENDENCYPART_ARC
(15,11),-0.869294 # DEPENDENCYPART_ARC
(15,12),-0.841919 # DEPENDENCYPART_ARC
(15,13),-0.266319 # DEPENDENCYPART_ARC
(15,14),1.13151 # DEPENDENCYPART_ARC
(15,17),-0.838081 # DEPENDENCYPART_ARC
(15,18),-1.31296 # DEPENDENCYPART_ARC
(15,19),-1.48951 # DEPENDENCYPART_ARC
(15,20),-1.34276 # DEPENDENCYPART_ARC
(16,10),-0.713436 # DEPENDENCYPART_ARC
(16,11),-0.604665 # DEPENDENCYPART_ARC
(16,14),-0.109112 # DEPENDENCYPART_ARC
(16,15),0.27609 # DEPENDENCYPART_ARC
(16,17),-0.612516 # DEPENDENCYPART_ARC
(16,20),-1.16078 # DEPENDENCYPART_ARC
(18,2),-2.15388 # DEPENDENCYPART_ARC
(18,3),-2.04794 # DEPENDENCYPART_ARC
(18,4),-2.03061 # DEPENDENCYPART_ARC
(18,5),-2.12603 # DEPENDENCYPART_ARC
(18,7),-1.96071 # DEPENDENCYPART_ARC
(18,8),-2.06059 # DEPENDENCYPART_ARC
(18,9),-2.33198 # DEPENDENCYPART_ARC
(18,10),-1.44554 # DEPENDENCYPART_ARC
(18,11),-0.70795 # DEPENDENCYPART_ARC
(18,12),-1.64597 # DEPENDENCYPART_ARC
