# _root_ A szakértők azonban arra figyelmeztetnek , hogy az illegális hanghordozók piacán az idén ismét boom várható , s az összforgalmon belül akár meg is duplázódhat a tavalyi becsült 15-20 százalékos arány .
#goldHeads=2,5,5,5,0,5,5,10,10,11,16,13,16,16,16,4,4,4,20,21,25,25,25,25,4,31,31,31,30,31,25,5,
#predictedHeads=2,5,5,5,0,5,5,10,10,11,25,13,25,16,16,4,18,5,20,21,25,25,25,25,4,31,31,31,30,31,25,5,
(0,3),-3.17862 # DEPENDENCYPART_ARC
(0,4),-4.01024 # DEPENDENCYPART_ARC
(0,5),-1.7642 # DEPENDENCYPART_ARC
(0,7),-3.43928 # DEPENDENCYPART_ARC
(0,18),-2.50055 # DEPENDENCYPART_ARC
(0,25),-3.74877 # DEPENDENCYPART_ARC
(1,3),-0.969744 # DEPENDENCYPART_ARC
(2,1),1.76252 # DEPENDENCYPART_ARC
(3,1),-1.36803 # DEPENDENCYPART_ARC
(3,2),-0.540197 # DEPENDENCYPART_ARC
(3,4),-1.70406 # DEPENDENCYPART_ARC
(3,5),-0.533159 # DEPENDENCYPART_ARC
(3,6),-0.883958 # DEPENDENCYPART_ARC
(3,7),-1.16138 # DEPENDENCYPART_ARC
(3,18),-1.45113 # DEPENDENCYPART_ARC
(3,25),-2.42202 # DEPENDENCYPART_ARC
(3,32),-1.00503 # DEPENDENCYPART_ARC
(4,2),-1.42494 # DEPENDENCYPART_ARC
(4,3),-0.535813 # DEPENDENCYPART_ARC
(4,5),0.852611 # DEPENDENCYPART_ARC
(4,6),-0.245749 # DEPENDENCYPART_ARC
(4,7),-0.167399 # DEPENDENCYPART_ARC
(4,9),-0.572947 # DEPENDENCYPART_ARC
(4,10),-0.521596 # DEPENDENCYPART_ARC
(4,11),-1.03656 # DEPENDENCYPART_ARC
(4,13),-0.440515 # DEPENDENCYPART_ARC
(4,14),-0.452022 # DEPENDENCYPART_ARC
(4,15),-0.70229 # DEPENDENCYPART_ARC
(4,16),-0.496037 # DEPENDENCYPART_ARC
(4,17),-0.0922385 # DEPENDENCYPART_ARC
(4,18),0.340918 # DEPENDENCYPART_ARC
(4,20),-1.32723 # DEPENDENCYPART_ARC
(4,21),-0.297212 # DEPENDENCYPART_ARC
(4,22),-0.485753 # DEPENDENCYPART_ARC
(4,23),-0.5863 # DEPENDENCYPART_ARC
(4,24),-0.831388 # DEPENDENCYPART_ARC
(4,25),0.357643 # DEPENDENCYPART_ARC
(4,27),-0.645251 # DEPENDENCYPART_ARC
(4,28),-0.543989 # DEPENDENCYPART_ARC
(4,29),-0.635471 # DEPENDENCYPART_ARC
(4,30),-0.54741 # DEPENDENCYPART_ARC
(4,31),-1.15307 # DEPENDENCYPART_ARC
(4,32),-1.772 # DEPENDENCYPART_ARC
(5,1),-1.05162 # DEPENDENCYPART_ARC
(5,2),1.38522 # DEPENDENCYPART_ARC
(5,3),1.34513 # DEPENDENCYPART_ARC
(5,4),2.23402 # DEPENDENCYPART_ARC
(5,6),1.09822 # DEPENDENCYPART_ARC
(5,7),2.36715 # DEPENDENCYPART_ARC
(5,8),-1.83263 # DEPENDENCYPART_ARC
(5,9),-1.10459 # DEPENDENCYPART_ARC
(5,10),-0.582566 # DEPENDENCYPART_ARC
(5,11),-0.804661 # DEPENDENCYPART_ARC
(5,12),-2.2563 # DEPENDENCYPART_ARC
(5,13),-1.09305 # DEPENDENCYPART_ARC
(5,14),-1.05078 # DEPENDENCYPART_ARC
(5,15),-1.84853 # DEPENDENCYPART_ARC
(5,16),-1.74836 # DEPENDENCYPART_ARC
(5,17),-0.749016 # DEPENDENCYPART_ARC
(5,18),-0.388623 # DEPENDENCYPART_ARC
(5,20),-2.19968 # DEPENDENCYPART_ARC
(5,21),-1.32166 # DEPENDENCYPART_ARC
(5,22),-1.49513 # DEPENDENCYPART_ARC
(5,23),-1.75206 # DEPENDENCYPART_ARC
(5,24),-1.66244 # DEPENDENCYPART_ARC
(5,25),-0.930315 # DEPENDENCYPART_ARC
(5,27),-2.60809 # DEPENDENCYPART_ARC
(5,28),-2.65245 # DEPENDENCYPART_ARC
(5,29),-1.7536 # DEPENDENCYPART_ARC
(5,31),-2.77819 # DEPENDENCYPART_ARC
(5,32),-0.264335 # DEPENDENCYPART_ARC
(7,2),-1.27534 # DEPENDENCYPART_ARC
(7,3),-0.742881 # DEPENDENCYPART_ARC
(7,4),-0.791211 # DEPENDENCYPART_ARC
(7,5),-1.83489 # DEPENDENCYPART_ARC
(7,6),0.129218 # DEPENDENCYPART_ARC
(7,9),-1.2362 # DEPENDENCYPART_ARC
(7,10),-1.24184 # DEPENDENCYPART_ARC
(7,11),-1.59709 # DEPENDENCYPART_ARC
(7,13),-1.31608 # DEPENDENCYPART_ARC
(7,14),-1.33433 # DEPENDENCYPART_ARC
(7,16),-1.8237 # DEPENDENCYPART_ARC
(7,17),-1.07564 # DEPENDENCYPART_ARC
(7,18),-1.1764 # DEPENDENCYPART_ARC
(7,22),-1.25966 # DEPENDENCYPART_ARC
(7,24),-1.45976 # DEPENDENCYPART_ARC
(7,25),-1.30639 # DEPENDENCYPART_ARC
(7,32),-0.479014 # DEPENDENCYPART_ARC
(8,9),-0.461019 # DEPENDENCYPART_ARC
(9,4),-1.96486 # DEPENDENCYPART_ARC
(9,7),-1.01394 # DEPENDENCYPART_ARC
(9,8),-0.452217 # DEPENDENCYPART_ARC
(10,1),-1.69922 # DEPENDENCYPART_ARC
(10,2),-2.73096 # DEPENDENCYPART_ARC
(10,4),-2.24618 # DEPENDENCYPART_ARC
(10,5),-1.82551 # DEPENDENCYPART_ARC
(10,6),-0.889877 # DEPENDENCYPART_ARC
(10,7),-0.807868 # DEPENDENCYPART_ARC
(10,8),1.50957 # DEPENDENCYPART_ARC
(10,9),2.37222 # DEPENDENCYPART_ARC
