# _root_ " Előzőleg minden békés , tárgyalásos lehetőséggel megpróbálkoztunk , ám ezek kudarcot vallottak " — emlékeztetett .
#goldHeads=16,8,7,7,7,7,8,16,8,8,13,13,8,16,16,0,16,
#predictedHeads=16,8,7,7,7,7,8,10,10,16,13,13,16,16,16,0,16,
(0,2),-3.16773 # DEPENDENCYPART_ARC
(0,3),-3.53528 # DEPENDENCYPART_ARC
(0,4),-3.6401 # DEPENDENCYPART_ARC
(0,8),-2.40423 # DEPENDENCYPART_ARC
(0,10),-1.77453 # DEPENDENCYPART_ARC
(0,11),-4.1832 # DEPENDENCYPART_ARC
(0,13),-3.05043 # DEPENDENCYPART_ARC
(0,16),-2.77567 # DEPENDENCYPART_ARC
(2,1),-0.46202 # DEPENDENCYPART_ARC
(2,4),-0.972844 # DEPENDENCYPART_ARC
(2,5),-0.718521 # DEPENDENCYPART_ARC
(2,6),-1.1491 # DEPENDENCYPART_ARC
(2,7),-1.39223 # DEPENDENCYPART_ARC
(2,8),-1.01264 # DEPENDENCYPART_ARC
(2,9),-1.07849 # DEPENDENCYPART_ARC
(2,10),-0.930818 # DEPENDENCYPART_ARC
(2,12),-1.93177 # DEPENDENCYPART_ARC
(2,13),-1.30922 # DEPENDENCYPART_ARC
(2,14),-1.07313 # DEPENDENCYPART_ARC
(2,15),-1.23772 # DEPENDENCYPART_ARC
(2,16),-1.40352 # DEPENDENCYPART_ARC
(2,17),-1.63093 # DEPENDENCYPART_ARC
(3,1),-1.18217 # DEPENDENCYPART_ARC
(3,2),-0.313241 # DEPENDENCYPART_ARC
(4,1),-0.718119 # DEPENDENCYPART_ARC
(4,2),-0.267081 # DEPENDENCYPART_ARC
(4,3),0.0886819 # DEPENDENCYPART_ARC
(4,5),-0.645339 # DEPENDENCYPART_ARC
(4,6),-1.68822 # DEPENDENCYPART_ARC
(4,7),-1.67247 # DEPENDENCYPART_ARC
(4,8),-1.26354 # DEPENDENCYPART_ARC
(4,9),-1.41687 # DEPENDENCYPART_ARC
(4,10),-1.68537 # DEPENDENCYPART_ARC
(4,13),-1.63294 # DEPENDENCYPART_ARC
(4,14),-1.2918 # DEPENDENCYPART_ARC
(4,15),-1.32331 # DEPENDENCYPART_ARC
(4,16),-1.70505 # DEPENDENCYPART_ARC
(4,17),-1.48648 # DEPENDENCYPART_ARC
(6,1),-1.11136 # DEPENDENCYPART_ARC
(6,2),-0.799273 # DEPENDENCYPART_ARC
(6,3),-1.1512 # DEPENDENCYPART_ARC
(6,4),-0.575179 # DEPENDENCYPART_ARC
(6,5),-0.21139 # DEPENDENCYPART_ARC
(6,8),-0.921449 # DEPENDENCYPART_ARC
(6,9),-0.944551 # DEPENDENCYPART_ARC
(6,10),-1.64614 # DEPENDENCYPART_ARC
(6,13),-1.43404 # DEPENDENCYPART_ARC
(6,14),-1.04495 # DEPENDENCYPART_ARC
(6,15),-1.08717 # DEPENDENCYPART_ARC
(6,16),-1.43956 # DEPENDENCYPART_ARC
(6,17),-1.33863 # DEPENDENCYPART_ARC
(7,1),-0.77195 # DEPENDENCYPART_ARC
(7,2),-0.958532 # DEPENDENCYPART_ARC
(7,3),-0.190463 # DEPENDENCYPART_ARC
(7,4),0.794613 # DEPENDENCYPART_ARC
(7,5),0.579354 # DEPENDENCYPART_ARC
(7,6),2.49182 # DEPENDENCYPART_ARC
(7,8),-1.47282 # DEPENDENCYPART_ARC
(7,9),-1.14942 # DEPENDENCYPART_ARC
(7,10),-1.37873 # DEPENDENCYPART_ARC
(7,13),-1.89661 # DEPENDENCYPART_ARC
(7,14),-1.16244 # DEPENDENCYPART_ARC
(7,15),-1.33957 # DEPENDENCYPART_ARC
(7,16),-1.79404 # DEPENDENCYPART_ARC
(7,17),-1.53442 # DEPENDENCYPART_ARC
(8,1),-0.343752 # DEPENDENCYPART_ARC
(8,2),0.377866 # DEPENDENCYPART_ARC
(8,3),-0.770321 # DEPENDENCYPART_ARC
(8,4),-1.12515 # DEPENDENCYPART_ARC
(8,5),0.193522 # DEPENDENCYPART_ARC
(8,6),-0.224444 # DEPENDENCYPART_ARC
(8,7),2.5449 # DEPENDENCYPART_ARC
(8,9),0.329167 # DEPENDENCYPART_ARC
(8,10),-0.126067 # DEPENDENCYPART_ARC
(8,11),-1.42512 # DEPENDENCYPART_ARC
(8,12),-1.09385 # DEPENDENCYPART_ARC
(8,13),0.307208 # DEPENDENCYPART_ARC
(8,14),-0.595454 # DEPENDENCYPART_ARC
(8,15),-0.889824 # DEPENDENCYPART_ARC
(8,16),-0.893528 # DEPENDENCYPART_ARC
(8,17),-1.0855 # DEPENDENCYPART_ARC
(10,1),-1.47073 # DEPENDENCYPART_ARC
(10,2),-1.24815 # DEPENDENCYPART_ARC
(10,4),-1.90512 # DEPENDENCYPART_ARC
(10,5),-1.10729 # DEPENDENCYPART_ARC
(10,6),-1.61801 # DEPENDENCYPART_ARC
(10,7),-1.59657 # DEPENDENCYPART_ARC
(10,8),0.712719 # DEPENDENCYPART_ARC
(10,9),0.327241 # DEPENDENCYPART_ARC
(10,11),-1.47312 # DEPENDENCYPART_ARC
(10,12),-1.23028 # DEPENDENCYPART_ARC
(10,13),0.0375233 # DEPENDENCYPART_ARC
(10,14),-0.778336 # DEPENDENCYPART_ARC
(10,15),-0.89713 # DEPENDENCYPART_ARC
(10,16),-0.647166 # DEPENDENCYPART_ARC
(10,17),-0.143407 # DEPENDENCYPART_ARC
(11,1),-1.59078 # DEPENDENCYPART_ARC
(11,2),-1.67463 # DEPENDENCYPART_ARC
(11,3),-1.4291 # DEPENDENCYPART_ARC
(11,4),-2.10696 # DEPENDENCYPART_ARC
(11,5),-1.33147 # DEPENDENCYPART_ARC
(11,8),-0.806376 # DEPENDENCYPART_ARC
(11,9),-1.34507 # DEPENDENCYPART_ARC
(11,10),-0.564995 # DEPENDENCYPART_ARC
(11,12),-1.05689 # DEPENDENCYPART_ARC
(11,13),-0.199029 # DEPENDENCYPART_ARC
(11,14),-0.871036 # DEPENDENCYPART_ARC
(11,15),-1.03735 # DEPENDENCYPART_ARC
(11,16),-0.34829 # DEPENDENCYPART_ARC
(11,17),-1.21468 # DEPENDENCYPART_ARC
(12,3),-1.40414 # DEPENDENCYPART_ARC
(12,4),-1.66502 # DEPENDENCYPART_ARC
(12,5),-0.979471 # DEPENDENCYPART_ARC
(12,6),-1.37467 # DEPENDENCYPART_ARC
(12,7),-3.03746 # DEPENDENCYPART_ARC
