# _root_ Az új idők igényeihez igazodva ez a cég is szeretne a nagyok beszállítójává válni , hiszen a multiknak és a bankoknak is kellenek a jól zárható , biztonságos iratszekrények .
#goldHeads=3,3,4,5,10,8,8,10,10,16,12,13,14,10,16,0,18,23,23,21,23,23,16,29,26,29,29,29,23,16,
#predictedHeads=3,3,4,5,10,8,8,10,10,16,12,13,14,10,16,0,18,23,23,21,23,23,16,29,26,29,29,29,23,16,
(0,4),-4.34855 # DEPENDENCYPART_ARC
(0,5),-3.80441 # DEPENDENCYPART_ARC
(0,6),-3.98549 # DEPENDENCYPART_ARC
(0,8),-4.50972 # DEPENDENCYPART_ARC
(0,9),-3.99013 # DEPENDENCYPART_ARC
(0,10),-2.47703 # DEPENDENCYPART_ARC
(0,14),-4.29394 # DEPENDENCYPART_ARC
(0,16),-1.66543 # DEPENDENCYPART_ARC
(0,19),-3.93187 # DEPENDENCYPART_ARC
(0,23),-3.62315 # DEPENDENCYPART_ARC
(1,2),-0.519291 # DEPENDENCYPART_ARC
(2,1),-0.543009 # DEPENDENCYPART_ARC
(3,1),1.41389 # DEPENDENCYPART_ARC
(3,2),2.44955 # DEPENDENCYPART_ARC
(4,1),-0.659622 # DEPENDENCYPART_ARC
(4,2),0.429584 # DEPENDENCYPART_ARC
(4,3),3.13614 # DEPENDENCYPART_ARC
(4,5),-1.36911 # DEPENDENCYPART_ARC
(4,8),-2.08407 # DEPENDENCYPART_ARC
(5,2),-0.211044 # DEPENDENCYPART_ARC
(5,3),-0.0519827 # DEPENDENCYPART_ARC
(5,4),0.593052 # DEPENDENCYPART_ARC
(5,6),-0.0823234 # DEPENDENCYPART_ARC
(5,8),-0.662726 # DEPENDENCYPART_ARC
(5,9),-0.515036 # DEPENDENCYPART_ARC
(5,10),-0.662203 # DEPENDENCYPART_ARC
(5,12),-1.24068 # DEPENDENCYPART_ARC
(5,13),-1.30185 # DEPENDENCYPART_ARC
(5,14),-0.775449 # DEPENDENCYPART_ARC
(5,15),-0.703526 # DEPENDENCYPART_ARC
(5,16),-0.457731 # DEPENDENCYPART_ARC
(5,19),-0.574401 # DEPENDENCYPART_ARC
(5,21),-1.78713 # DEPENDENCYPART_ARC
(5,22),-1.03094 # DEPENDENCYPART_ARC
(5,23),-0.975903 # DEPENDENCYPART_ARC
(5,27),-1.23203 # DEPENDENCYPART_ARC
(5,29),-1.87131 # DEPENDENCYPART_ARC
(5,30),-1.2617 # DEPENDENCYPART_ARC
(6,2),-1.95607 # DEPENDENCYPART_ARC
(6,3),-1.1968 # DEPENDENCYPART_ARC
(6,4),-1.33792 # DEPENDENCYPART_ARC
(6,5),-0.542886 # DEPENDENCYPART_ARC
(6,8),-0.829736 # DEPENDENCYPART_ARC
(6,9),-0.878702 # DEPENDENCYPART_ARC
(6,10),0.138523 # DEPENDENCYPART_ARC
(6,12),-0.996647 # DEPENDENCYPART_ARC
(6,13),-1.18168 # DEPENDENCYPART_ARC
(6,14),-0.399666 # DEPENDENCYPART_ARC
(6,15),-0.169507 # DEPENDENCYPART_ARC
(6,16),-0.458219 # DEPENDENCYPART_ARC
(6,18),-1.58849 # DEPENDENCYPART_ARC
(6,19),-0.500542 # DEPENDENCYPART_ARC
(6,21),-1.60855 # DEPENDENCYPART_ARC
(6,22),-0.965315 # DEPENDENCYPART_ARC
(6,23),0.405449 # DEPENDENCYPART_ARC
(6,25),-0.795153 # DEPENDENCYPART_ARC
(6,26),-1.30577 # DEPENDENCYPART_ARC
(6,27),-0.387741 # DEPENDENCYPART_ARC
(6,28),-1.2667 # DEPENDENCYPART_ARC
(6,29),-1.60784 # DEPENDENCYPART_ARC
(6,30),-2.2875 # DEPENDENCYPART_ARC
(7,9),-0.948645 # DEPENDENCYPART_ARC
(8,1),-1.17122 # DEPENDENCYPART_ARC
(8,3),-2.07202 # DEPENDENCYPART_ARC
(8,4),-3.43494 # DEPENDENCYPART_ARC
(8,5),-1.0759 # DEPENDENCYPART_ARC
(8,6),0.76728 # DEPENDENCYPART_ARC
(8,7),2.18542 # DEPENDENCYPART_ARC
(9,2),-1.74024 # DEPENDENCYPART_ARC
(9,3),-1.82773 # DEPENDENCYPART_ARC
(9,4),-1.53967 # DEPENDENCYPART_ARC
(9,5),-0.968232 # DEPENDENCYPART_ARC
(9,6),-1.45376 # DEPENDENCYPART_ARC
(9,7),-1.51491 # DEPENDENCYPART_ARC
(9,8),-0.762374 # DEPENDENCYPART_ARC
(9,10),-0.267998 # DEPENDENCYPART_ARC
(9,12),-1.26629 # DEPENDENCYPART_ARC
(9,13),-1.58428 # DEPENDENCYPART_ARC
(9,14),-1.79836 # DEPENDENCYPART_ARC
(9,15),-1.06732 # DEPENDENCYPART_ARC
(9,16),-1.63001 # DEPENDENCYPART_ARC
(9,23),-2.29135 # DEPENDENCYPART_ARC
(9,30),-2.04362 # DEPENDENCYPART_ARC
(10,1),-1.30303 # DEPENDENCYPART_ARC
(10,2),-1.31445 # DEPENDENCYPART_ARC
(10,3),-0.318691 # DEPENDENCYPART_ARC
(10,4),-0.321637 # DEPENDENCYPART_ARC
