# _root_ A megyei munkaügyi központokat és a társminisztériumokat is arra ösztönzi a gazdasági tárca , hogy segítsenek megoldani a bányászok elhelyezkedését , illetve átképzését megfelelő munkákra .
#goldHeads=4,4,4,10,10,7,10,10,10,0,13,13,10,10,10,9,16,19,20,17,17,17,17,25,17,10,
#predictedHeads=4,4,4,10,10,7,10,10,10,0,13,13,10,10,10,9,16,19,20,17,16,16,24,25,16,10,
(0,4),-4.23626 # DEPENDENCYPART_ARC
(0,5),-3.68893 # DEPENDENCYPART_ARC
(0,8),-3.70417 # DEPENDENCYPART_ARC
(0,9),-4.41765 # DEPENDENCYPART_ARC
(0,10),-1.86174 # DEPENDENCYPART_ARC
(0,15),-4.09151 # DEPENDENCYPART_ARC
(0,16),-3.67033 # DEPENDENCYPART_ARC
(0,17),-4.56422 # DEPENDENCYPART_ARC
(0,22),-4.39618 # DEPENDENCYPART_ARC
(1,2),-0.518684 # DEPENDENCYPART_ARC
(1,3),-0.821988 # DEPENDENCYPART_ARC
(2,1),-0.385911 # DEPENDENCYPART_ARC
(2,10),-1.52861 # DEPENDENCYPART_ARC
(2,26),-1.44206 # DEPENDENCYPART_ARC
(3,1),-0.890442 # DEPENDENCYPART_ARC
(3,2),0.616343 # DEPENDENCYPART_ARC
(3,10),-1.70596 # DEPENDENCYPART_ARC
(4,1),0.699507 # DEPENDENCYPART_ARC
(4,2),1.71308 # DEPENDENCYPART_ARC
(4,3),2.63829 # DEPENDENCYPART_ARC
(5,1),-1.75102 # DEPENDENCYPART_ARC
(5,2),-1.22986 # DEPENDENCYPART_ARC
(5,3),-1.13435 # DEPENDENCYPART_ARC
(5,4),-0.556128 # DEPENDENCYPART_ARC
(5,6),-1.10018 # DEPENDENCYPART_ARC
(5,7),-0.811629 # DEPENDENCYPART_ARC
(5,8),-1.10062 # DEPENDENCYPART_ARC
(5,9),-1.95523 # DEPENDENCYPART_ARC
(5,10),-0.764617 # DEPENDENCYPART_ARC
(5,13),-1.24559 # DEPENDENCYPART_ARC
(5,14),-1.11718 # DEPENDENCYPART_ARC
(5,15),-1.29119 # DEPENDENCYPART_ARC
(5,16),-2.16566 # DEPENDENCYPART_ARC
(5,17),-2.63342 # DEPENDENCYPART_ARC
(5,20),-1.6549 # DEPENDENCYPART_ARC
(5,22),-1.7646 # DEPENDENCYPART_ARC
