# _root_ A francia hadseregben ma már mindenütt szolgálnak nők , még a haditengerészetnél és a légierőnél is , csak az idegenlégióban nem .
#goldHeads=3,3,7,7,7,7,0,7,7,16,12,13,16,15,13,7,7,21,20,21,7,7,
#predictedHeads=3,3,7,7,7,7,0,7,7,7,12,13,7,15,13,7,7,21,20,21,7,7,
(0,3),-3.73291 # DEPENDENCYPART_ARC
(0,4),-3.61554 # DEPENDENCYPART_ARC
(0,5),-3.45445 # DEPENDENCYPART_ARC
(0,7),-2.35508 # DEPENDENCYPART_ARC
(0,8),-4.35328 # DEPENDENCYPART_ARC
(0,10),-4.09823 # DEPENDENCYPART_ARC
(0,13),-3.40158 # DEPENDENCYPART_ARC
(0,16),-4.20811 # DEPENDENCYPART_ARC
(0,18),-4.23387 # DEPENDENCYPART_ARC
(0,21),-3.86203 # DEPENDENCYPART_ARC
(1,2),-0.577724 # DEPENDENCYPART_ARC
(2,1),-0.554444 # DEPENDENCYPART_ARC
(2,4),-1.60119 # DEPENDENCYPART_ARC
(3,1),1.21713 # DEPENDENCYPART_ARC
(3,2),2.41765 # DEPENDENCYPART_ARC
(3,4),-1.34694 # DEPENDENCYPART_ARC
(3,5),-1.58731 # DEPENDENCYPART_ARC
(3,7),-1.7898 # DEPENDENCYPART_ARC
(3,18),-1.99933 # DEPENDENCYPART_ARC
(3,22),-2.38538 # DEPENDENCYPART_ARC
(4,2),-1.20365 # DEPENDENCYPART_ARC
(4,3),-0.573799 # DEPENDENCYPART_ARC
(4,5),-0.938112 # DEPENDENCYPART_ARC
(4,7),-1.06422 # DEPENDENCYPART_ARC
(4,8),-1.43959 # DEPENDENCYPART_ARC
(4,9),-1.06547 # DEPENDENCYPART_ARC
(4,10),-1.38937 # DEPENDENCYPART_ARC
(4,13),-1.17952 # DEPENDENCYPART_ARC
(4,16),-1.58692 # DEPENDENCYPART_ARC
(4,17),-1.58315 # DEPENDENCYPART_ARC
(4,20),-2.60079 # DEPENDENCYPART_ARC
(4,22),-2.36626 # DEPENDENCYPART_ARC
(5,2),-1.69706 # DEPENDENCYPART_ARC
(5,3),-1.57404 # DEPENDENCYPART_ARC
(5,4),-0.747712 # DEPENDENCYPART_ARC
(5,7),-1.12057 # DEPENDENCYPART_ARC
(5,8),-1.3442 # DEPENDENCYPART_ARC
(5,9),-1.07702 # DEPENDENCYPART_ARC
(5,10),-1.56896 # DEPENDENCYPART_ARC
(5,12),-2.0301 # DEPENDENCYPART_ARC
(5,13),-1.21095 # DEPENDENCYPART_ARC
(5,16),-1.57998 # DEPENDENCYPART_ARC
(5,17),-1.69508 # DEPENDENCYPART_ARC
(5,20),-2.50214 # DEPENDENCYPART_ARC
(5,22),-1.45355 # DEPENDENCYPART_ARC
(6,3),-1.00669 # DEPENDENCYPART_ARC
(6,5),-0.0803409 # DEPENDENCYPART_ARC
(6,8),-0.900851 # DEPENDENCYPART_ARC
(7,1),-1.64953 # DEPENDENCYPART_ARC
(7,2),-1.36482 # DEPENDENCYPART_ARC
(7,3),0.836848 # DEPENDENCYPART_ARC
(7,4),0.892957 # DEPENDENCYPART_ARC
(7,5),1.20628 # DEPENDENCYPART_ARC
(7,6),2.02825 # DEPENDENCYPART_ARC
(7,8),2.39655 # DEPENDENCYPART_ARC
(7,9),0.424382 # DEPENDENCYPART_ARC
(7,10),-0.534395 # DEPENDENCYPART_ARC
(7,11),-1.86876 # DEPENDENCYPART_ARC
(7,12),-0.798095 # DEPENDENCYPART_ARC
(7,13),-0.266898 # DEPENDENCYPART_ARC
(7,14),-2.16283 # DEPENDENCYPART_ARC
(7,15),-1.41586 # DEPENDENCYPART_ARC
(7,16),-0.247584 # DEPENDENCYPART_ARC
(7,17),-0.605044 # DEPENDENCYPART_ARC
(7,18),-1.52191 # DEPENDENCYPART_ARC
(7,20),-1.91587 # DEPENDENCYPART_ARC
(7,21),-1.18336 # DEPENDENCYPART_ARC
(7,22),-0.70244 # DEPENDENCYPART_ARC
(8,1),-1.14702 # DEPENDENCYPART_ARC
(8,2),-1.17449 # DEPENDENCYPART_ARC
(8,3),-2.80776 # DEPENDENCYPART_ARC
(8,4),-1.39803 # DEPENDENCYPART_ARC
(8,5),-1.25454 # DEPENDENCYPART_ARC
(8,6),-0.736167 # DEPENDENCYPART_ARC
(8,7),-0.538161 # DEPENDENCYPART_ARC
(8,9),-0.541733 # DEPENDENCYPART_ARC
(8,10),-1.52549 # DEPENDENCYPART_ARC
(8,12),-2.25716 # DEPENDENCYPART_ARC
(8,15),-2.64424 # DEPENDENCYPART_ARC
(8,16),-1.5942 # DEPENDENCYPART_ARC
(8,18),-1.81307 # DEPENDENCYPART_ARC
(8,20),-3.03646 # DEPENDENCYPART_ARC
(8,22),-2.05589 # DEPENDENCYPART_ARC
(10,3),-2.02371 # DEPENDENCYPART_ARC
(10,4),-1.45976 # DEPENDENCYPART_ARC
(10,5),-1.50359 # DEPENDENCYPART_ARC
(10,7),-1.12506 # DEPENDENCYPART_ARC
(10,8),-1.27602 # DEPENDENCYPART_ARC
(10,9),-0.753378 # DEPENDENCYPART_ARC
(10,12),-0.943581 # DEPENDENCYPART_ARC
(10,13),-0.709211 # DEPENDENCYPART_ARC
(10,15),-1.39328 # DEPENDENCYPART_ARC
(10,16),-1.0818 # DEPENDENCYPART_ARC
