# _root_ A kárpótlási jegyek árfolyama 9,12 százalékkal lett több múlt heti értékénél , így 622 forinton végzett .
#goldHeads=3,3,4,7,6,7,13,7,10,11,7,13,0,15,16,13,13,
#predictedHeads=3,3,4,7,6,7,13,11,11,11,7,13,0,15,16,13,13,
(0,4),-3.97767 # DEPENDENCYPART_ARC
(0,5),-3.66116 # DEPENDENCYPART_ARC
(0,7),-1.74177 # DEPENDENCYPART_ARC
(0,8),-3.94533 # DEPENDENCYPART_ARC
(0,9),-4.03377 # DEPENDENCYPART_ARC
(0,13),-1.84785 # DEPENDENCYPART_ARC
(0,16),-2.74465 # DEPENDENCYPART_ARC
(1,2),-0.578662 # DEPENDENCYPART_ARC
(1,6),-1.562 # DEPENDENCYPART_ARC
(1,9),-1.38891 # DEPENDENCYPART_ARC
(2,1),-0.446329 # DEPENDENCYPART_ARC
(3,1),1.32574 # DEPENDENCYPART_ARC
(3,2),2.30823 # DEPENDENCYPART_ARC
(3,5),-1.68975 # DEPENDENCYPART_ARC
(3,11),-2.92197 # DEPENDENCYPART_ARC
(4,1),-0.530155 # DEPENDENCYPART_ARC
(4,2),0.547286 # DEPENDENCYPART_ARC
(4,3),3.02801 # DEPENDENCYPART_ARC
(4,5),-1.03338 # DEPENDENCYPART_ARC
(4,6),-1.44058 # DEPENDENCYPART_ARC
(4,7),-0.918409 # DEPENDENCYPART_ARC
(4,8),-1.44188 # DEPENDENCYPART_ARC
(4,9),-1.75165 # DEPENDENCYPART_ARC
(4,11),-2.18738 # DEPENDENCYPART_ARC
(4,12),-0.731209 # DEPENDENCYPART_ARC
(4,13),-1.28827 # DEPENDENCYPART_ARC
(4,16),-1.58511 # DEPENDENCYPART_ARC
(4,17),-1.45149 # DEPENDENCYPART_ARC
(5,3),-0.517908 # DEPENDENCYPART_ARC
(5,4),-0.171488 # DEPENDENCYPART_ARC
(5,7),-0.880157 # DEPENDENCYPART_ARC
(5,13),-1.34549 # DEPENDENCYPART_ARC
(5,17),-1.39938 # DEPENDENCYPART_ARC
(6,1),-0.981088 # DEPENDENCYPART_ARC
(6,2),-0.286097 # DEPENDENCYPART_ARC
(6,3),-1.26516 # DEPENDENCYPART_ARC
(6,4),-0.600346 # DEPENDENCYPART_ARC
(6,5),1.80675 # DEPENDENCYPART_ARC
(6,11),-2.33249 # DEPENDENCYPART_ARC
(6,12),-1.08473 # DEPENDENCYPART_ARC
(6,16),-2.05903 # DEPENDENCYPART_ARC
(6,17),-1.82522 # DEPENDENCYPART_ARC
(7,1),-1.62924 # DEPENDENCYPART_ARC
(7,2),-1.06839 # DEPENDENCYPART_ARC
(7,3),0.334001 # DEPENDENCYPART_ARC
(7,4),1.18413 # DEPENDENCYPART_ARC
(7,5),-0.090279 # DEPENDENCYPART_ARC
(7,6),1.65135 # DEPENDENCYPART_ARC
(7,8),0.369267 # DEPENDENCYPART_ARC
(7,9),0.33698 # DEPENDENCYPART_ARC
(7,10),-0.18557 # DEPENDENCYPART_ARC
(7,11),1.49895 # DEPENDENCYPART_ARC
