# _root_ És van egy elvem , ami lehet , hogy sokak szemében nem lesz szimpatikus : nem szeretnék semminek a mártírja lenni .
#goldHeads=0,1,4,2,2,7,2,7,7,11,13,13,7,13,1,17,1,17,20,21,17,1,
#predictedHeads=2,0,4,2,2,7,2,7,7,11,13,13,9,13,13,17,13,21,20,21,17,2,
(0,1),-2.99193 # DEPENDENCYPART_ARC
(0,2),-1.62338 # DEPENDENCYPART_ARC
(0,4),-4.25323 # DEPENDENCYPART_ARC
(0,7),-2.68442 # DEPENDENCYPART_ARC
(0,9),-3.94774 # DEPENDENCYPART_ARC
(0,13),-3.44999 # DEPENDENCYPART_ARC
(0,14),-4.25048 # DEPENDENCYPART_ARC
(0,17),-3.8487 # DEPENDENCYPART_ARC
(0,21),-5.5052 # DEPENDENCYPART_ARC
(1,2),0.141273 # DEPENDENCYPART_ARC
(1,4),-1.13872 # DEPENDENCYPART_ARC
(1,5),-0.637586 # DEPENDENCYPART_ARC
(1,7),-0.886508 # DEPENDENCYPART_ARC
(1,8),-0.75474 # DEPENDENCYPART_ARC
(1,9),-1.39157 # DEPENDENCYPART_ARC
(1,10),-1.51408 # DEPENDENCYPART_ARC
(1,11),-1.79275 # DEPENDENCYPART_ARC
(1,12),-1.85042 # DEPENDENCYPART_ARC
(1,13),-1.30242 # DEPENDENCYPART_ARC
(1,14),-1.85762 # DEPENDENCYPART_ARC
(1,15),-0.701785 # DEPENDENCYPART_ARC
(1,16),-1.92205 # DEPENDENCYPART_ARC
(1,17),-1.55115 # DEPENDENCYPART_ARC
(1,21),-1.97185 # DEPENDENCYPART_ARC
(1,22),-1.05993 # DEPENDENCYPART_ARC
(2,1),0.879428 # DEPENDENCYPART_ARC
(2,4),2.2173 # DEPENDENCYPART_ARC
(2,5),0.844195 # DEPENDENCYPART_ARC
(2,6),-0.838778 # DEPENDENCYPART_ARC
(2,7),0.539618 # DEPENDENCYPART_ARC
(2,8),-0.239576 # DEPENDENCYPART_ARC
(2,9),0.409374 # DEPENDENCYPART_ARC
(2,10),-1.05235 # DEPENDENCYPART_ARC
(2,11),-1.41355 # DEPENDENCYPART_ARC
(2,12),-1.01739 # DEPENDENCYPART_ARC
(2,13),-0.560347 # DEPENDENCYPART_ARC
(2,14),-1.41968 # DEPENDENCYPART_ARC
(2,15),-0.992813 # DEPENDENCYPART_ARC
(2,16),-1.57319 # DEPENDENCYPART_ARC
(2,17),-0.226653 # DEPENDENCYPART_ARC
(2,21),0.57113 # DEPENDENCYPART_ARC
(2,22),-1.05085 # DEPENDENCYPART_ARC
(4,1),-1.00095 # DEPENDENCYPART_ARC
(4,2),-1.83092 # DEPENDENCYPART_ARC
(4,3),1.48732 # DEPENDENCYPART_ARC
(4,5),-0.651829 # DEPENDENCYPART_ARC
(4,6),-1.88345 # DEPENDENCYPART_ARC
(4,7),-1.50155 # DEPENDENCYPART_ARC
(4,10),-1.65567 # DEPENDENCYPART_ARC
(4,13),-1.93334 # DEPENDENCYPART_ARC
(4,17),-2.79918 # DEPENDENCYPART_ARC
(4,22),-1.68885 # DEPENDENCYPART_ARC
(6,11),-0.727318 # DEPENDENCYPART_ARC
(6,20),-1.09646 # DEPENDENCYPART_ARC
(7,1),-0.410078 # DEPENDENCYPART_ARC
(7,2),-0.853741 # DEPENDENCYPART_ARC
(7,3),-1.73044 # DEPENDENCYPART_ARC
(7,4),-0.270497 # DEPENDENCYPART_ARC
(7,5),-0.695668 # DEPENDENCYPART_ARC
(7,6),2.13855 # DEPENDENCYPART_ARC
(7,8),0.848982 # DEPENDENCYPART_ARC
(7,9),1.84936 # DEPENDENCYPART_ARC
(7,10),-1.16009 # DEPENDENCYPART_ARC
(7,11),-0.879365 # DEPENDENCYPART_ARC
(7,12),-1.06934 # DEPENDENCYPART_ARC
(7,13),-0.530372 # DEPENDENCYPART_ARC
(7,14),-1.66642 # DEPENDENCYPART_ARC
(7,15),-0.972242 # DEPENDENCYPART_ARC
(7,16),-1.94148 # DEPENDENCYPART_ARC
(7,17),-0.512776 # DEPENDENCYPART_ARC
(7,21),-0.0552975 # DEPENDENCYPART_ARC
(7,22),-1.6685 # DEPENDENCYPART_ARC
(9,1),-0.640239 # DEPENDENCYPART_ARC
(9,2),-2.91988 # DEPENDENCYPART_ARC
(9,4),-0.989339 # DEPENDENCYPART_ARC
(9,5),-1.5138 # DEPENDENCYPART_ARC
(9,6),-0.486519 # DEPENDENCYPART_ARC
(9,7),-1.92507 # DEPENDENCYPART_ARC
(9,8),0.215159 # DEPENDENCYPART_ARC
(9,10),-0.653801 # DEPENDENCYPART_ARC
(9,11),-1.28723 # DEPENDENCYPART_ARC
(9,13),-0.458501 # DEPENDENCYPART_ARC
(9,14),-1.67871 # DEPENDENCYPART_ARC
(9,15),-0.572602 # DEPENDENCYPART_ARC
(9,17),-1.28669 # DEPENDENCYPART_ARC
(9,21),-1.4444 # DEPENDENCYPART_ARC
(9,22),-0.672351 # DEPENDENCYPART_ARC
(10,6),-1.89755 # DEPENDENCYPART_ARC
(10,9),-0.533098 # DEPENDENCYPART_ARC
(10,22),-1.4705 # DEPENDENCYPART_ARC
(11,1),-1.28619 # DEPENDENCYPART_ARC
(11,2),-3.66255 # DEPENDENCYPART_ARC
(11,3),-1.59574 # DEPENDENCYPART_ARC
(11,4),-1.84242 # DEPENDENCYPART_ARC
(11,5),-1.64355 # DEPENDENCYPART_ARC
(11,6),-1.67795 # DEPENDENCYPART_ARC
(11,7),-3.02611 # DEPENDENCYPART_ARC
(11,8),-0.6771 # DEPENDENCYPART_ARC
(11,9),-0.586562 # DEPENDENCYPART_ARC
(11,10),2.13973 # DEPENDENCYPART_ARC
(12,7),-1.16341 # DEPENDENCYPART_ARC
(12,8),-1.11412 # DEPENDENCYPART_ARC
(12,9),-0.72789 # DEPENDENCYPART_ARC
(12,11),-0.0333066 # DEPENDENCYPART_ARC
(12,14),-1.0965 # DEPENDENCYPART_ARC
(12,15),-0.707346 # DEPENDENCYPART_ARC
(12,17),-1.37947 # DEPENDENCYPART_ARC
(12,21),-1.43948 # DEPENDENCYPART_ARC
(13,1),-0.438531 # DEPENDENCYPART_ARC
(13,2),-0.871678 # DEPENDENCYPART_ARC
(13,3),-1.65401 # DEPENDENCYPART_ARC
(13,4),-0.980211 # DEPENDENCYPART_ARC
(13,5),-0.753497 # DEPENDENCYPART_ARC
(13,6),-0.553098 # DEPENDENCYPART_ARC
(13,7),-0.567542 # DEPENDENCYPART_ARC
(13,8),-0.346665 # DEPENDENCYPART_ARC
