# _root_ `` I find myself in an adversary relationship with Laurel Bank , and I am not inclined to extend myself as far as any favors are concerned , '' the judge wrote back in a letter attached to the grand jury 's report .
#goldHeads=32,3,13,3,3,8,8,5,8,11,9,13,32,15,13,15,15,19,17,19,19,21,26,25,26,21,26,32,32,31,32,0,32,32,36,34,36,37,41,41,43,41,38,32,
#predictedHeads=32,3,13,3,3,8,8,5,8,11,9,13,32,15,13,15,15,19,17,19,19,21,26,25,26,21,26,32,32,31,32,0,32,32,36,34,36,37,41,41,43,41,38,32,
(0,3),-2.06483 # DEPENDENCYPART_ARC
(0,13),-2.21206 # DEPENDENCYPART_ARC
(0,15),-2.92005 # DEPENDENCYPART_ARC
(0,26),-3.07527 # DEPENDENCYPART_ARC
(0,27),-3.81727 # DEPENDENCYPART_ARC
(0,32),-2.27913 # DEPENDENCYPART_ARC
(0,37),-2.7915 # DEPENDENCYPART_ARC
(2,3),-0.170686 # DEPENDENCYPART_ARC
(2,5),-1.26674 # DEPENDENCYPART_ARC
(3,1),-0.397998 # DEPENDENCYPART_ARC
(3,2),0.939478 # DEPENDENCYPART_ARC
(3,4),0.672383 # DEPENDENCYPART_ARC
(3,5),-0.0311351 # DEPENDENCYPART_ARC
(3,6),-0.658147 # DEPENDENCYPART_ARC
(3,7),-0.690786 # DEPENDENCYPART_ARC
(3,8),-0.483949 # DEPENDENCYPART_ARC
(3,9),-0.558168 # DEPENDENCYPART_ARC
(3,12),-0.937855 # DEPENDENCYPART_ARC
(3,13),-0.700384 # DEPENDENCYPART_ARC
(3,15),-1.39977 # DEPENDENCYPART_ARC
(3,16),-2.0432 # DEPENDENCYPART_ARC
(3,19),-1.72854 # DEPENDENCYPART_ARC
(3,26),-1.56271 # DEPENDENCYPART_ARC
(3,28),-2.02688 # DEPENDENCYPART_ARC
(3,29),0.0471723 # DEPENDENCYPART_ARC
(3,44),-1.10689 # DEPENDENCYPART_ARC
(4,5),-0.00438332 # DEPENDENCYPART_ARC
(4,9),-1.10215 # DEPENDENCYPART_ARC
(5,6),0.137685 # DEPENDENCYPART_ARC
(5,7),-0.123303 # DEPENDENCYPART_ARC
(5,8),-0.812402 # DEPENDENCYPART_ARC
(5,9),-1.15482 # DEPENDENCYPART_ARC
(5,10),-1.65851 # DEPENDENCYPART_ARC
(5,11),-1.88742 # DEPENDENCYPART_ARC
(5,12),-0.986535 # DEPENDENCYPART_ARC
(5,13),-1.58051 # DEPENDENCYPART_ARC
(5,16),-1.14518 # DEPENDENCYPART_ARC
(6,7),-0.272245 # DEPENDENCYPART_ARC
(7,3),-2.10391 # DEPENDENCYPART_ARC
(7,4),-2.16159 # DEPENDENCYPART_ARC
(7,6),-0.100562 # DEPENDENCYPART_ARC
(7,8),-0.538805 # DEPENDENCYPART_ARC
(7,9),-0.976048 # DEPENDENCYPART_ARC
(7,11),-2.04802 # DEPENDENCYPART_ARC
(8,1),-1.58421 # DEPENDENCYPART_ARC
(8,3),-1.24378 # DEPENDENCYPART_ARC
(8,4),-1.22501 # DEPENDENCYPART_ARC
(8,5),-1.08007 # DEPENDENCYPART_ARC
(8,6),0.191057 # DEPENDENCYPART_ARC
(8,7),1.52545 # DEPENDENCYPART_ARC
(8,9),0.238182 # DEPENDENCYPART_ARC
(8,10),-1.06613 # DEPENDENCYPART_ARC
(8,11),-1.52233 # DEPENDENCYPART_ARC
(8,12),-1.45181 # DEPENDENCYPART_ARC
(8,15),-2.01675 # DEPENDENCYPART_ARC
(8,17),-1.92693 # DEPENDENCYPART_ARC
(9,5),-1.35538 # DEPENDENCYPART_ARC
(9,8),-0.550977 # DEPENDENCYPART_ARC
(9,10),0.113071 # DEPENDENCYPART_ARC
(9,11),-0.356186 # DEPENDENCYPART_ARC
(9,12),-1.26896 # DEPENDENCYPART_ARC
(9,13),-1.64179 # DEPENDENCYPART_ARC
(9,15),-1.84301 # DEPENDENCYPART_ARC
(10,11),-0.605205 # DEPENDENCYPART_ARC
(11,6),-1.53636 # DEPENDENCYPART_ARC
(11,7),-0.679031 # DEPENDENCYPART_ARC
(11,8),-1.33438 # DEPENDENCYPART_ARC
(11,9),-1.28924 # DEPENDENCYPART_ARC
(11,10),1.50055 # DEPENDENCYPART_ARC
(11,12),0.0678888 # DEPENDENCYPART_ARC
(11,13),-1.75705 # DEPENDENCYPART_ARC
(11,14),-1.8228 # DEPENDENCYPART_ARC
(11,15),-2.08431 # DEPENDENCYPART_ARC
(11,16),-2.05669 # DEPENDENCYPART_ARC
(11,29),-1.40897 # DEPENDENCYPART_ARC
(13,1),-0.747163 # DEPENDENCYPART_ARC
(13,2),-1.72559 # DEPENDENCYPART_ARC
(13,3),-1.23945 # DEPENDENCYPART_ARC
(13,4),-1.63123 # DEPENDENCYPART_ARC
(13,5),-1.28957 # DEPENDENCYPART_ARC
(13,6),-1.80731 # DEPENDENCYPART_ARC
(13,7),-1.44684 # DEPENDENCYPART_ARC
(13,8),-1.28443 # DEPENDENCYPART_ARC
(13,9),-1.31639 # DEPENDENCYPART_ARC
(13,10),-1.05042 # DEPENDENCYPART_ARC
(13,11),-0.956371 # DEPENDENCYPART_ARC
(13,12),1.35781 # DEPENDENCYPART_ARC
(13,14),0.439768 # DEPENDENCYPART_ARC
(13,15),0.311993 # DEPENDENCYPART_ARC
(13,16),-1.04299 # DEPENDENCYPART_ARC
(13,17),-1.08317 # DEPENDENCYPART_ARC
(13,18),-1.19972 # DEPENDENCYPART_ARC
(13,19),-1.42473 # DEPENDENCYPART_ARC
(13,21),-1.29973 # DEPENDENCYPART_ARC
(13,22),-1.21978 # DEPENDENCYPART_ARC
(13,26),-1.51117 # DEPENDENCYPART_ARC
(13,27),-1.86748 # DEPENDENCYPART_ARC
(13,28),-1.13337 # DEPENDENCYPART_ARC
(13,29),-1.04406 # DEPENDENCYPART_ARC
(13,32),-2.6241 # DEPENDENCYPART_ARC
(13,44),0.612155 # DEPENDENCYPART_ARC
(15,1),-1.51319 # DEPENDENCYPART_ARC
(15,3),-1.64252 # DEPENDENCYPART_ARC
(15,5),-1.15823 # DEPENDENCYPART_ARC
(15,6),-1.87522 # DEPENDENCYPART_ARC
(15,8),-2.09667 # DEPENDENCYPART_ARC
(15,9),-1.22061 # DEPENDENCYPART_ARC
(15,11),-2.0834 # DEPENDENCYPART_ARC
(15,12),-1.13819 # DEPENDENCYPART_ARC
(15,13),-0.485008 # DEPENDENCYPART_ARC
(15,14),0.991235 # DEPENDENCYPART_ARC
(15,16),0.70224 # DEPENDENCYPART_ARC
(15,17),0.288216 # DEPENDENCYPART_ARC
(15,18),-0.57451 # DEPENDENCYPART_ARC
(15,19),-0.201476 # DEPENDENCYPART_ARC
(15,21),-0.878716 # DEPENDENCYPART_ARC
(15,22),-0.924085 # DEPENDENCYPART_ARC
(15,23),-1.16117 # DEPENDENCYPART_ARC
(15,25),-1.28236 # DEPENDENCYPART_ARC
(15,26),-0.721125 # DEPENDENCYPART_ARC
(15,27),-0.671645 # DEPENDENCYPART_ARC
(15,28),-0.959651 # DEPENDENCYPART_ARC
(15,29),-0.244171 # DEPENDENCYPART_ARC
(15,32),-1.65775 # DEPENDENCYPART_ARC
(15,34),-2.14543 # DEPENDENCYPART_ARC
(15,44),-0.938022 # DEPENDENCYPART_ARC
(16,14),-1.33794 # DEPENDENCYPART_ARC
(16,15),-0.183648 # DEPENDENCYPART_ARC
(16,17),-0.161481 # DEPENDENCYPART_ARC
(16,18),-0.698626 # DEPENDENCYPART_ARC
