# _root_ And Fairfax County , Va. , Water Authority 's 7 1\/4 % issue of 2027 was down 3\/4 at 99 7\/8 bid .
#goldHeads=16,5,5,5,8,5,8,13,8,11,13,11,16,13,14,0,16,17,16,21,22,19,16,
#predictedHeads=16,3,16,3,3,5,8,13,8,11,13,11,16,13,14,0,16,17,16,21,19,21,16,
(0,1),-2.90452 # DEPENDENCYPART_ARC
(0,2),-3.62746 # DEPENDENCYPART_ARC
(0,3),-3.89445 # DEPENDENCYPART_ARC
(0,13),-5.21482 # DEPENDENCYPART_ARC
(0,16),-1.9303 # DEPENDENCYPART_ARC
(1,2),-1.6197 # DEPENDENCYPART_ARC
(1,3),-1.82369 # DEPENDENCYPART_ARC
(1,4),-2.15769 # DEPENDENCYPART_ARC
(1,5),-3.25889 # DEPENDENCYPART_ARC
(1,8),-3.98247 # DEPENDENCYPART_ARC
(1,13),-3.3312 # DEPENDENCYPART_ARC
(1,16),-3.31938 # DEPENDENCYPART_ARC
(2,1),-2.42686 # DEPENDENCYPART_ARC
(2,3),-0.756508 # DEPENDENCYPART_ARC
(2,4),-1.21388 # DEPENDENCYPART_ARC
(2,5),-1.79795 # DEPENDENCYPART_ARC
(2,6),-1.33178 # DEPENDENCYPART_ARC
(2,8),-4.0088 # DEPENDENCYPART_ARC
(2,13),-3.92765 # DEPENDENCYPART_ARC
(2,16),-3.15529 # DEPENDENCYPART_ARC
(2,23),-2.37468 # DEPENDENCYPART_ARC
(3,1),-1.79754 # DEPENDENCYPART_ARC
(3,2),1.03194 # DEPENDENCYPART_ARC
(3,4),0.215692 # DEPENDENCYPART_ARC
(3,5),-0.404153 # DEPENDENCYPART_ARC
(3,6),-0.801234 # DEPENDENCYPART_ARC
(3,7),-2.44192 # DEPENDENCYPART_ARC
(3,8),-2.87211 # DEPENDENCYPART_ARC
(3,9),-2.69986 # DEPENDENCYPART_ARC
(3,10),-3.44322 # DEPENDENCYPART_ARC
(3,11),-3.78963 # DEPENDENCYPART_ARC
(3,12),-2.89417 # DEPENDENCYPART_ARC
(3,13),-2.59998 # DEPENDENCYPART_ARC
(3,14),-3.07325 # DEPENDENCYPART_ARC
(3,16),-2.48809 # DEPENDENCYPART_ARC
(3,19),-3.06871 # DEPENDENCYPART_ARC
(3,23),-1.92896 # DEPENDENCYPART_ARC
(5,1),-3.25493 # DEPENDENCYPART_ARC
(5,2),-2.01445 # DEPENDENCYPART_ARC
(5,3),-1.71646 # DEPENDENCYPART_ARC
(5,4),-0.819937 # DEPENDENCYPART_ARC
(5,6),0.870009 # DEPENDENCYPART_ARC
(5,7),-1.04163 # DEPENDENCYPART_ARC
(5,8),-2.06461 # DEPENDENCYPART_ARC
(5,9),-1.81404 # DEPENDENCYPART_ARC
(5,10),-2.43453 # DEPENDENCYPART_ARC
(5,11),-3.25315 # DEPENDENCYPART_ARC
(5,12),-2.77139 # DEPENDENCYPART_ARC
(5,13),-2.8736 # DEPENDENCYPART_ARC
(5,14),-2.3594 # DEPENDENCYPART_ARC
(5,15),-3.76373 # DEPENDENCYPART_ARC
(5,16),-2.40627 # DEPENDENCYPART_ARC
(5,19),-2.72014 # DEPENDENCYPART_ARC
(5,21),-5.17265 # DEPENDENCYPART_ARC
(5,23),-2.14664 # DEPENDENCYPART_ARC
(7,2),-3.95334 # DEPENDENCYPART_ARC
(7,3),-3.98477 # DEPENDENCYPART_ARC
(7,4),-3.19 # DEPENDENCYPART_ARC
(7,5),-2.2586 # DEPENDENCYPART_ARC
(7,6),-1.77827 # DEPENDENCYPART_ARC
(7,9),-1.87892 # DEPENDENCYPART_ARC
(7,23),-3.50586 # DEPENDENCYPART_ARC
(8,2),-2.0369 # DEPENDENCYPART_ARC
(8,3),-2.66609 # DEPENDENCYPART_ARC
(8,4),-2.43455 # DEPENDENCYPART_ARC
(8,5),-1.19456 # DEPENDENCYPART_ARC
(8,6),-1.53722 # DEPENDENCYPART_ARC
(8,7),2.40854 # DEPENDENCYPART_ARC
(8,9),2.18341 # DEPENDENCYPART_ARC
(8,10),-0.956504 # DEPENDENCYPART_ARC
(8,11),-1.64121 # DEPENDENCYPART_ARC
(8,12),-1.89126 # DEPENDENCYPART_ARC
(8,13),-1.97036 # DEPENDENCYPART_ARC
(8,14),-1.55265 # DEPENDENCYPART_ARC
(8,15),-2.87627 # DEPENDENCYPART_ARC
(8,16),-1.85786 # DEPENDENCYPART_ARC
(8,17),-2.15184 # DEPENDENCYPART_ARC
(8,18),-3.30506 # DEPENDENCYPART_ARC
(8,23),-1.56474 # DEPENDENCYPART_ARC
(9,1),-2.66241 # DEPENDENCYPART_ARC
(9,3),-2.24763 # DEPENDENCYPART_ARC
(9,5),-2.10793 # DEPENDENCYPART_ARC
(9,6),-1.84326 # DEPENDENCYPART_ARC
(9,10),-1.54563 # DEPENDENCYPART_ARC
(9,11),-2.21893 # DEPENDENCYPART_ARC
(10,1),-3.07263 # DEPENDENCYPART_ARC
(10,8),-2.05598 # DEPENDENCYPART_ARC
(10,9),-1.37508 # DEPENDENCYPART_ARC
(10,11),-1.40737 # DEPENDENCYPART_ARC
(10,12),-1.70455 # DEPENDENCYPART_ARC
(10,15),-2.81954 # DEPENDENCYPART_ARC
(11,1),-2.74581 # DEPENDENCYPART_ARC
(11,8),-2.11485 # DEPENDENCYPART_ARC
(11,9),-1.70641 # DEPENDENCYPART_ARC
(11,10),0.654023 # DEPENDENCYPART_ARC
(11,12),0.208011 # DEPENDENCYPART_ARC
(12,2),-4.09477 # DEPENDENCYPART_ARC
(12,5),-3.83444 # DEPENDENCYPART_ARC
(12,8),-2.0698 # DEPENDENCYPART_ARC
(12,10),-0.749305 # DEPENDENCYPART_ARC
(12,11),0.109138 # DEPENDENCYPART_ARC
(12,13),-1.107 # DEPENDENCYPART_ARC
(12,14),-0.912959 # DEPENDENCYPART_ARC
(12,16),-1.69291 # DEPENDENCYPART_ARC
(12,17),-2.26771 # DEPENDENCYPART_ARC
(12,22),-3.22147 # DEPENDENCYPART_ARC
(13,1),-2.93199 # DEPENDENCYPART_ARC
(13,2),-2.38276 # DEPENDENCYPART_ARC
(13,3),-2.78271 # DEPENDENCYPART_ARC
(13,4),-2.6352 # DEPENDENCYPART_ARC
(13,5),-2.00239 # DEPENDENCYPART_ARC
(13,6),-2.63833 # DEPENDENCYPART_ARC
(13,7),-0.727325 # DEPENDENCYPART_ARC
(13,8),-0.0415836 # DEPENDENCYPART_ARC
(13,9),-1.51887 # DEPENDENCYPART_ARC
(13,10),-1.09337 # DEPENDENCYPART_ARC
(13,11),-0.0118256 # DEPENDENCYPART_ARC
(13,12),1.45245 # DEPENDENCYPART_ARC
(13,14),0.419111 # DEPENDENCYPART_ARC
(13,15),-0.857869 # DEPENDENCYPART_ARC
(13,16),-0.780012 # DEPENDENCYPART_ARC
(13,17),-1.34593 # DEPENDENCYPART_ARC
(13,18),-1.62346 # DEPENDENCYPART_ARC
(13,19),-1.17254 # DEPENDENCYPART_ARC
(13,20),-2.1836 # DEPENDENCYPART_ARC
(13,21),-2.32029 # DEPENDENCYPART_ARC
(13,22),-1.81855 # DEPENDENCYPART_ARC
(13,23),-1.77745 # DEPENDENCYPART_ARC
(14,15),0.553991 # DEPENDENCYPART_ARC
(14,16),-0.384565 # DEPENDENCYPART_ARC
(14,17),-1.74128 # DEPENDENCYPART_ARC
(14,18),-1.62563 # DEPENDENCYPART_ARC
(14,19),-1.91148 # DEPENDENCYPART_ARC
(14,20),-2.72599 # DEPENDENCYPART_ARC
(14,21),-2.97408 # DEPENDENCYPART_ARC
(14,22),-1.10813 # DEPENDENCYPART_ARC
(15,10),-2.22181 # DEPENDENCYPART_ARC
(15,11),-2.30205 # DEPENDENCYPART_ARC
(15,13),-2.13652 # DEPENDENCYPART_ARC
(15,14),-1.03195 # DEPENDENCYPART_ARC
(15,16),-0.943552 # DEPENDENCYPART_ARC
(15,17),-1.86392 # DEPENDENCYPART_ARC
(15,18),-2.75685 # DEPENDENCYPART_ARC
(16,1),-1.58308 # DEPENDENCYPART_ARC
(16,2),-2.07164 # DEPENDENCYPART_ARC
(16,3),-1.85212 # DEPENDENCYPART_ARC
(16,4),-1.25334 # DEPENDENCYPART_ARC
(16,5),-1.88587 # DEPENDENCYPART_ARC
(16,6),-0.957123 # DEPENDENCYPART_ARC
(16,7),-1.80118 # DEPENDENCYPART_ARC
(16,8),-1.65845 # DEPENDENCYPART_ARC
(16,10),-2.04051 # DEPENDENCYPART_ARC
(16,11),-1.96412 # DEPENDENCYPART_ARC
(16,12),-0.920857 # DEPENDENCYPART_ARC
(16,13),-0.133563 # DEPENDENCYPART_ARC
(16,14),-1.22412 # DEPENDENCYPART_ARC
(16,15),-0.673049 # DEPENDENCYPART_ARC
(16,17),0.988864 # DEPENDENCYPART_ARC
(16,18),-0.810291 # DEPENDENCYPART_ARC
(16,19),0.270513 # DEPENDENCYPART_ARC
(16,20),-1.8686 # DEPENDENCYPART_ARC
(16,21),-1.96236 # DEPENDENCYPART_ARC
(16,22),-1.30747 # DEPENDENCYPART_ARC
(16,23),0.407288 # DEPENDENCYPART_ARC
(17,15),-2.37408 # DEPENDENCYPART_ARC
(17,18),0.111963 # DEPENDENCYPART_ARC
(17,19),-0.507942 # DEPENDENCYPART_ARC
(17,20),-1.20552 # DEPENDENCYPART_ARC
(17,21),-1.31744 # DEPENDENCYPART_ARC
(17,22),-1.01337 # DEPENDENCYPART_ARC
(17,23),-2.11877 # DEPENDENCYPART_ARC
(18,1),-3.30321 # DEPENDENCYPART_ARC
(18,10),-2.80145 # DEPENDENCYPART_ARC
(18,11),-2.97883 # DEPENDENCYPART_ARC
(18,13),-2.80899 # DEPENDENCYPART_ARC
(18,14),-2.02438 # DEPENDENCYPART_ARC
(18,15),-1.60802 # DEPENDENCYPART_ARC
(18,17),-0.859144 # DEPENDENCYPART_ARC
(18,19),-0.598773 # DEPENDENCYPART_ARC
(18,20),-1.63976 # DEPENDENCYPART_ARC
(18,21),-2.20858 # DEPENDENCYPART_ARC
(18,22),-1.92078 # DEPENDENCYPART_ARC
(19,17),-1.92441 # DEPENDENCYPART_ARC
(19,18),-1.96367 # DEPENDENCYPART_ARC
(19,20),-0.355328 # DEPENDENCYPART_ARC
