# _root_ Those withdrawals , most of which were transferred to other T. Rowe Price funds , followed little change in the fund 's sales picture this year through August .
#goldHeads=2,16,2,5,7,5,2,7,8,14,14,14,14,9,2,0,18,16,18,21,24,21,24,19,26,16,26,27,16,
#predictedHeads=2,16,2,5,7,5,2,7,8,14,14,14,14,9,2,0,18,16,18,21,24,21,24,19,26,16,16,27,16,
(0,1),-1.46476 # DEPENDENCYPART_ARC
(0,2),-2.22146 # DEPENDENCYPART_ARC
(0,7),-2.53559 # DEPENDENCYPART_ARC
(0,8),-2.83897 # DEPENDENCYPART_ARC
(0,9),-2.93923 # DEPENDENCYPART_ARC
(0,16),-2.12623 # DEPENDENCYPART_ARC
(1,2),-0.321309 # DEPENDENCYPART_ARC
(1,3),-1.20745 # DEPENDENCYPART_ARC
(1,5),-1.86447 # DEPENDENCYPART_ARC
(2,1),0.955133 # DEPENDENCYPART_ARC
(2,3),-0.123909 # DEPENDENCYPART_ARC
(2,4),-1.50796 # DEPENDENCYPART_ARC
(2,5),-1.69865 # DEPENDENCYPART_ARC
(2,7),-1.23074 # DEPENDENCYPART_ARC
(2,8),-1.88322 # DEPENDENCYPART_ARC
(2,9),-2.00586 # DEPENDENCYPART_ARC
(2,14),-2.03522 # DEPENDENCYPART_ARC
(2,15),-1.38868 # DEPENDENCYPART_ARC
(2,16),-1.95078 # DEPENDENCYPART_ARC
(2,18),-1.94187 # DEPENDENCYPART_ARC
(2,19),-2.15094 # DEPENDENCYPART_ARC
(2,29),-2.15858 # DEPENDENCYPART_ARC
(3,5),-1.51952 # DEPENDENCYPART_ARC
(4,5),0.575897 # DEPENDENCYPART_ARC
(4,7),-0.395275 # DEPENDENCYPART_ARC
(5,2),-1.59361 # DEPENDENCYPART_ARC
(5,3),-1.17649 # DEPENDENCYPART_ARC
(5,4),0.0604018 # DEPENDENCYPART_ARC
(5,6),0.728128 # DEPENDENCYPART_ARC
(5,7),-0.583146 # DEPENDENCYPART_ARC
(5,8),-1.1459 # DEPENDENCYPART_ARC
(5,9),-1.38365 # DEPENDENCYPART_ARC
(5,10),-1.41748 # DEPENDENCYPART_ARC
(5,11),-2.08937 # DEPENDENCYPART_ARC
(5,12),-2.32427 # DEPENDENCYPART_ARC
(5,14),-2.3836 # DEPENDENCYPART_ARC
(6,7),-0.0678084 # DEPENDENCYPART_ARC
(7,1),-2.23904 # DEPENDENCYPART_ARC
(7,2),-2.43628 # DEPENDENCYPART_ARC
(7,3),-1.51472 # DEPENDENCYPART_ARC
(7,4),-1.33654 # DEPENDENCYPART_ARC
(7,5),-0.532646 # DEPENDENCYPART_ARC
(7,6),0.337099 # DEPENDENCYPART_ARC
(7,8),1.24071 # DEPENDENCYPART_ARC
(7,9),-0.887566 # DEPENDENCYPART_ARC
(7,10),-1.33654 # DEPENDENCYPART_ARC
(7,11),-1.20597 # DEPENDENCYPART_ARC
(7,12),-1.30937 # DEPENDENCYPART_ARC
(7,14),-1.44359 # DEPENDENCYPART_ARC
(7,15),-1.82214 # DEPENDENCYPART_ARC
(7,16),-2.17186 # DEPENDENCYPART_ARC
(7,19),-2.35662 # DEPENDENCYPART_ARC
(7,27),-2.82921 # DEPENDENCYPART_ARC
(7,29),-0.426393 # DEPENDENCYPART_ARC
(8,2),-2.95273 # DEPENDENCYPART_ARC
(8,3),-2.28799 # DEPENDENCYPART_ARC
(8,5),-1.1482 # DEPENDENCYPART_ARC
(8,6),-1.47448 # DEPENDENCYPART_ARC
(8,7),-1.02849 # DEPENDENCYPART_ARC
(8,9),0.3518 # DEPENDENCYPART_ARC
(8,10),-0.872406 # DEPENDENCYPART_ARC
(8,11),-0.805789 # DEPENDENCYPART_ARC
(8,12),-0.887821 # DEPENDENCYPART_ARC
(8,13),-1.02794 # DEPENDENCYPART_ARC
(8,14),-1.12452 # DEPENDENCYPART_ARC
(8,15),-1.23373 # DEPENDENCYPART_ARC
(8,16),-1.45529 # DEPENDENCYPART_ARC
(8,18),-2.2999 # DEPENDENCYPART_ARC
(8,19),-2.09365 # DEPENDENCYPART_ARC
(8,26),-2.64456 # DEPENDENCYPART_ARC
(8,27),-2.32234 # DEPENDENCYPART_ARC
(8,29),-1.56462 # DEPENDENCYPART_ARC
(9,5),-0.854117 # DEPENDENCYPART_ARC
