# _root_ By October , when the committee rejected a much more modest covert proposal , even the administration was agreeing little should be done .
#goldHeads=18,1,2,7,6,7,2,13,11,11,13,13,7,2,17,17,18,0,18,21,19,21,22,18,
#predictedHeads=18,1,2,7,6,7,2,13,13,9,13,13,7,18,17,17,18,0,18,21,19,21,22,18,
(0,1),-1.87079 # DEPENDENCYPART_ARC
(0,2),-2.53468 # DEPENDENCYPART_ARC
(0,7),-2.1654 # DEPENDENCYPART_ARC
(0,18),-2.86979 # DEPENDENCYPART_ARC
(0,19),-3.02939 # DEPENDENCYPART_ARC
(0,21),-2.50165 # DEPENDENCYPART_ARC
(0,23),-3.55787 # DEPENDENCYPART_ARC
(1,2),1.01749 # DEPENDENCYPART_ARC
(1,3),-0.809571 # DEPENDENCYPART_ARC
(1,6),-1.99519 # DEPENDENCYPART_ARC
(1,7),-1.82377 # DEPENDENCYPART_ARC
(1,10),-1.85157 # DEPENDENCYPART_ARC
(2,1),-0.875653 # DEPENDENCYPART_ARC
(2,3),0.115293 # DEPENDENCYPART_ARC
(2,6),-1.83511 # DEPENDENCYPART_ARC
(2,7),-2.0872 # DEPENDENCYPART_ARC
(2,9),-1.95773 # DEPENDENCYPART_ARC
(2,13),-1.8432 # DEPENDENCYPART_ARC
(2,14),-1.90362 # DEPENDENCYPART_ARC
(2,18),-2.33644 # DEPENDENCYPART_ARC
(2,24),-2.79914 # DEPENDENCYPART_ARC
(3,1),-1.20574 # DEPENDENCYPART_ARC
(4,3),0.199209 # DEPENDENCYPART_ARC
(4,6),-0.782464 # DEPENDENCYPART_ARC
(5,7),-1.12445 # DEPENDENCYPART_ARC
(6,1),-1.92214 # DEPENDENCYPART_ARC
(6,2),-1.7815 # DEPENDENCYPART_ARC
(6,3),-1.56423 # DEPENDENCYPART_ARC
(6,4),-1.01646 # DEPENDENCYPART_ARC
(6,5),1.50779 # DEPENDENCYPART_ARC
(6,7),-0.301335 # DEPENDENCYPART_ARC
(6,8),-1.59084 # DEPENDENCYPART_ARC
(6,9),-1.38506 # DEPENDENCYPART_ARC
(6,10),-1.41735 # DEPENDENCYPART_ARC
(6,13),-1.6743 # DEPENDENCYPART_ARC
(7,1),-0.684473 # DEPENDENCYPART_ARC
(7,2),-1.802 # DEPENDENCYPART_ARC
(7,3),-0.959965 # DEPENDENCYPART_ARC
(7,4),0.329634 # DEPENDENCYPART_ARC
(7,5),-0.468492 # DEPENDENCYPART_ARC
(7,6),0.87797 # DEPENDENCYPART_ARC
(7,8),0.174598 # DEPENDENCYPART_ARC
(7,9),-0.234857 # DEPENDENCYPART_ARC
(7,10),-0.682968 # DEPENDENCYPART_ARC
(7,11),-0.71429 # DEPENDENCYPART_ARC
(7,12),-0.993915 # DEPENDENCYPART_ARC
(7,13),-0.272371 # DEPENDENCYPART_ARC
(7,14),-0.756496 # DEPENDENCYPART_ARC
(7,15),-1.42388 # DEPENDENCYPART_ARC
(7,17),-1.44151 # DEPENDENCYPART_ARC
(7,18),-1.80782 # DEPENDENCYPART_ARC
(7,19),-1.95204 # DEPENDENCYPART_ARC
(7,20),-1.79028 # DEPENDENCYPART_ARC
(7,21),-2.0553 # DEPENDENCYPART_ARC
(7,23),-1.86001 # DEPENDENCYPART_ARC
(7,24),-1.16422 # DEPENDENCYPART_ARC
(8,9),-0.280493 # DEPENDENCYPART_ARC
(8,11),-1.28996 # DEPENDENCYPART_ARC
(9,1),-2.34737 # DEPENDENCYPART_ARC
(9,2),-2.34161 # DEPENDENCYPART_ARC
(9,3),-2.14599 # DEPENDENCYPART_ARC
(9,4),-1.8136 # DEPENDENCYPART_ARC
(9,6),-1.68411 # DEPENDENCYPART_ARC
(9,8),-0.336357 # DEPENDENCYPART_ARC
(9,10),0.343132 # DEPENDENCYPART_ARC
(9,11),-0.606535 # DEPENDENCYPART_ARC
(9,12),-0.712156 # DEPENDENCYPART_ARC
(9,13),-1.13691 # DEPENDENCYPART_ARC
(9,14),-1.16386 # DEPENDENCYPART_ARC
(9,15),-1.57352 # DEPENDENCYPART_ARC
(9,18),-1.4484 # DEPENDENCYPART_ARC
(9,24),-1.28449 # DEPENDENCYPART_ARC
(10,9),-0.0125107 # DEPENDENCYPART_ARC
(10,11),-0.0537297 # DEPENDENCYPART_ARC
(10,12),-0.961884 # DEPENDENCYPART_ARC
(11,6),-1.49404 # DEPENDENCYPART_ARC
(11,8),-1.46292 # DEPENDENCYPART_ARC
(11,9),-0.877776 # DEPENDENCYPART_ARC
(11,10),0.364274 # DEPENDENCYPART_ARC
