# _root_ London-based LIT Holdings , the largest financer of traders in the Chicago options and futures markets , said yesterday it will incur a second-half loss as a result of the market plunge .
#goldHeads=3,3,18,3,7,7,3,7,8,7,16,16,14,16,14,10,3,0,18,21,18,21,25,25,22,22,28,26,28,32,32,29,18,
#predictedHeads=3,3,18,3,7,7,3,7,8,9,16,16,14,16,14,10,3,0,18,21,18,21,25,25,22,22,28,26,28,32,32,29,18,
(0,3),-2.64882 # DEPENDENCYPART_ARC
(0,18),0.587307 # DEPENDENCYPART_ARC
(0,21),-2.10387 # DEPENDENCYPART_ARC
(1,2),-0.457775 # DEPENDENCYPART_ARC
(1,4),-1.22598 # DEPENDENCYPART_ARC
(1,7),-2.20671 # DEPENDENCYPART_ARC
(1,21),-1.81446 # DEPENDENCYPART_ARC
(2,1),-0.271529 # DEPENDENCYPART_ARC
(2,3),-0.706709 # DEPENDENCYPART_ARC
(2,4),-1.45819 # DEPENDENCYPART_ARC
(2,7),-2.24339 # DEPENDENCYPART_ARC
(2,8),-2.27222 # DEPENDENCYPART_ARC
(2,17),-2.02076 # DEPENDENCYPART_ARC
(3,1),0.313266 # DEPENDENCYPART_ARC
(3,2),1.78908 # DEPENDENCYPART_ARC
(3,4),0.510553 # DEPENDENCYPART_ARC
(3,7),-1.5384 # DEPENDENCYPART_ARC
(3,17),-1.01353 # DEPENDENCYPART_ARC
(3,19),-2.25704 # DEPENDENCYPART_ARC
(3,25),-2.06652 # DEPENDENCYPART_ARC
(3,28),-2.06779 # DEPENDENCYPART_ARC
(3,33),-2.37326 # DEPENDENCYPART_ARC
(5,4),0.113419 # DEPENDENCYPART_ARC
(5,8),-1.16895 # DEPENDENCYPART_ARC
(5,10),-1.35038 # DEPENDENCYPART_ARC
(5,14),-0.852073 # DEPENDENCYPART_ARC
(6,5),0.0353837 # DEPENDENCYPART_ARC
(6,8),-0.920271 # DEPENDENCYPART_ARC
(6,10),-1.19772 # DEPENDENCYPART_ARC
(7,1),-1.85695 # DEPENDENCYPART_ARC
(7,2),-1.74606 # DEPENDENCYPART_ARC
(7,3),-2.02811 # DEPENDENCYPART_ARC
(7,4),-1.69126 # DEPENDENCYPART_ARC
(7,5),0.104584 # DEPENDENCYPART_ARC
(7,6),1.32331 # DEPENDENCYPART_ARC
(7,8),0.772455 # DEPENDENCYPART_ARC
(7,9),-0.659737 # DEPENDENCYPART_ARC
(7,10),-0.459119 # DEPENDENCYPART_ARC
(7,11),-1.21314 # DEPENDENCYPART_ARC
(7,12),-1.12475 # DEPENDENCYPART_ARC
(7,13),-1.32442 # DEPENDENCYPART_ARC
(7,14),-0.338221 # DEPENDENCYPART_ARC
(7,15),-1.30076 # DEPENDENCYPART_ARC
(7,16),-1.42953 # DEPENDENCYPART_ARC
(7,17),-1.09856 # DEPENDENCYPART_ARC
(7,18),-1.24339 # DEPENDENCYPART_ARC
(7,19),-1.91312 # DEPENDENCYPART_ARC
(7,21),-1.66406 # DEPENDENCYPART_ARC
(7,22),-1.81437 # DEPENDENCYPART_ARC
(7,25),-1.67196 # DEPENDENCYPART_ARC
(7,26),-1.16887 # DEPENDENCYPART_ARC
(8,9),0.704855 # DEPENDENCYPART_ARC
(8,10),-1.03623 # DEPENDENCYPART_ARC
(8,12),-1.82511 # DEPENDENCYPART_ARC
(8,13),-1.41321 # DEPENDENCYPART_ARC
(8,14),-1.04193 # DEPENDENCYPART_ARC
(8,16),-2.19587 # DEPENDENCYPART_ARC
(9,4),-2.13954 # DEPENDENCYPART_ARC
