# _root_ Terms for the venture , which would be jointly owned by both companies , were n't disclosed .
#goldHeads=15,1,4,2,4,7,4,7,10,8,10,13,11,4,0,15,15,15,
#predictedHeads=15,1,4,2,4,7,4,7,10,8,10,13,11,4,0,15,15,15,
(0,1),-1.96138 # DEPENDENCYPART_ARC
(0,2),-2.89686 # DEPENDENCYPART_ARC
(0,4),-2.91287 # DEPENDENCYPART_ARC
(0,7),-2.78067 # DEPENDENCYPART_ARC
(0,8),-3.0244 # DEPENDENCYPART_ARC
(0,10),-3.31745 # DEPENDENCYPART_ARC
(0,15),-2.83524 # DEPENDENCYPART_ARC
(0,17),-3.34872 # DEPENDENCYPART_ARC
(1,2),0.516592 # DEPENDENCYPART_ARC
(1,3),-1.47322 # DEPENDENCYPART_ARC
(1,4),-1.35406 # DEPENDENCYPART_ARC
(1,5),-1.5214 # DEPENDENCYPART_ARC
(1,7),-1.58465 # DEPENDENCYPART_ARC
(1,8),-1.89256 # DEPENDENCYPART_ARC
(1,9),-1.99032 # DEPENDENCYPART_ARC
(1,10),-2.12897 # DEPENDENCYPART_ARC
(1,11),-2.13263 # DEPENDENCYPART_ARC
(1,13),-1.85251 # DEPENDENCYPART_ARC
(1,14),-1.85745 # DEPENDENCYPART_ARC
(1,15),-2.10056 # DEPENDENCYPART_ARC
(1,17),-2.23646 # DEPENDENCYPART_ARC
(1,18),-2.72155 # DEPENDENCYPART_ARC
(2,1),-0.816731 # DEPENDENCYPART_ARC
(2,3),-0.109454 # DEPENDENCYPART_ARC
(2,4),0.0558964 # DEPENDENCYPART_ARC
(2,5),-1.27614 # DEPENDENCYPART_ARC
(2,7),-1.96674 # DEPENDENCYPART_ARC
(2,8),-2.09017 # DEPENDENCYPART_ARC
(2,9),-2.07116 # DEPENDENCYPART_ARC
(2,18),-1.41372 # DEPENDENCYPART_ARC
(3,5),-1.36936 # DEPENDENCYPART_ARC
(4,1),-1.25473 # DEPENDENCYPART_ARC
(4,2),-0.964753 # DEPENDENCYPART_ARC
(4,3),1.2491 # DEPENDENCYPART_ARC
(4,5),0.299303 # DEPENDENCYPART_ARC
(4,7),-1.2459 # DEPENDENCYPART_ARC
(4,8),-1.58189 # DEPENDENCYPART_ARC
(4,9),-1.82169 # DEPENDENCYPART_ARC
(4,10),-1.98544 # DEPENDENCYPART_ARC
(4,11),-1.93731 # DEPENDENCYPART_ARC
(4,13),-1.53308 # DEPENDENCYPART_ARC
(4,14),-1.00587 # DEPENDENCYPART_ARC
(4,15),-2.04846 # DEPENDENCYPART_ARC
(4,16),-1.53606 # DEPENDENCYPART_ARC
(4,17),-2.10488 # DEPENDENCYPART_ARC
(4,18),-2.18201 # DEPENDENCYPART_ARC
(7,1),-1.94891 # DEPENDENCYPART_ARC
(7,2),-1.81138 # DEPENDENCYPART_ARC
(7,4),-1.7111 # DEPENDENCYPART_ARC
(7,5),-0.751519 # DEPENDENCYPART_ARC
(7,6),0.524713 # DEPENDENCYPART_ARC
(7,8),1.37486 # DEPENDENCYPART_ARC
(7,9),-0.937506 # DEPENDENCYPART_ARC
(7,10),-0.868173 # DEPENDENCYPART_ARC
(7,11),-1.45136 # DEPENDENCYPART_ARC
(7,14),-1.63019 # DEPENDENCYPART_ARC
(7,15),-2.29036 # DEPENDENCYPART_ARC
(7,16),-1.97815 # DEPENDENCYPART_ARC
(7,18),-1.0452 # DEPENDENCYPART_ARC
(8,1),-2.50101 # DEPENDENCYPART_ARC
(8,2),-1.92516 # DEPENDENCYPART_ARC
(8,5),-1.85866 # DEPENDENCYPART_ARC
(8,6),-1.14281 # DEPENDENCYPART_ARC
(8,7),-0.541307 # DEPENDENCYPART_ARC
(8,9),0.317632 # DEPENDENCYPART_ARC
(8,10),-0.0267733 # DEPENDENCYPART_ARC
(8,11),-1.0376 # DEPENDENCYPART_ARC
(8,12),-1.67026 # DEPENDENCYPART_ARC
(8,13),-1.43674 # DEPENDENCYPART_ARC
(8,14),-1.41625 # DEPENDENCYPART_ARC
(8,15),-2.03688 # DEPENDENCYPART_ARC
(8,16),-2.31109 # DEPENDENCYPART_ARC
(8,17),-1.90235 # DEPENDENCYPART_ARC
(8,18),-2.12919 # DEPENDENCYPART_ARC
(9,1),-2.50116 # DEPENDENCYPART_ARC
(9,5),-2.07877 # DEPENDENCYPART_ARC
(9,8),-0.494732 # DEPENDENCYPART_ARC
(9,10),-0.124902 # DEPENDENCYPART_ARC
(9,11),-1.1022 # DEPENDENCYPART_ARC
(9,13),-1.4358 # DEPENDENCYPART_ARC
(9,14),-1.63402 # DEPENDENCYPART_ARC
(9,15),-1.90476 # DEPENDENCYPART_ARC
(10,1),-2.85728 # DEPENDENCYPART_ARC
(10,2),-2.35284 # DEPENDENCYPART_ARC
