# _root_ UNC also is selling new parts , if needed , directly to the military instead of through a prime contractor .
#goldHeads=3,3,0,3,6,4,4,9,4,4,4,4,14,12,16,4,16,20,20,17,3,
#predictedHeads=3,3,0,3,6,4,4,9,4,9,9,11,14,12,16,14,16,20,20,17,3,
(0,1),-1.78083 # DEPENDENCYPART_ARC
(0,2),-2.55099 # DEPENDENCYPART_ARC
(0,3),-1.85448 # DEPENDENCYPART_ARC
(0,4),-2.85379 # DEPENDENCYPART_ARC
(0,9),-3.67465 # DEPENDENCYPART_ARC
(1,2),-0.268444 # DEPENDENCYPART_ARC
(1,3),-0.885135 # DEPENDENCYPART_ARC
(1,4),-1.38241 # DEPENDENCYPART_ARC
(1,5),-1.41702 # DEPENDENCYPART_ARC
(1,6),-1.56963 # DEPENDENCYPART_ARC
(1,7),-1.99544 # DEPENDENCYPART_ARC
(1,8),-2.10194 # DEPENDENCYPART_ARC
(1,9),-2.37543 # DEPENDENCYPART_ARC
(1,10),-2.01581 # DEPENDENCYPART_ARC
(1,11),-1.62815 # DEPENDENCYPART_ARC
(1,20),-1.72836 # DEPENDENCYPART_ARC
(1,21),-2.20561 # DEPENDENCYPART_ARC
(2,1),-0.433885 # DEPENDENCYPART_ARC
(2,3),-0.544398 # DEPENDENCYPART_ARC
(2,4),-1.40365 # DEPENDENCYPART_ARC
(2,6),-1.76446 # DEPENDENCYPART_ARC
(2,7),-1.94815 # DEPENDENCYPART_ARC
(2,11),-2.1179 # DEPENDENCYPART_ARC
(3,1),0.00932445 # DEPENDENCYPART_ARC
(3,2),0.761433 # DEPENDENCYPART_ARC
(3,4),1.21775 # DEPENDENCYPART_ARC
(3,5),-0.968607 # DEPENDENCYPART_ARC
(3,6),-0.912086 # DEPENDENCYPART_ARC
(3,7),-1.37538 # DEPENDENCYPART_ARC
(3,8),-2.29917 # DEPENDENCYPART_ARC
(3,9),-1.99856 # DEPENDENCYPART_ARC
(3,10),-1.84526 # DEPENDENCYPART_ARC
(3,11),-1.85497 # DEPENDENCYPART_ARC
(3,12),-1.97053 # DEPENDENCYPART_ARC
(3,14),-1.97589 # DEPENDENCYPART_ARC
(3,15),-2.08705 # DEPENDENCYPART_ARC
(3,21),-0.742484 # DEPENDENCYPART_ARC
(4,2),-1.67334 # DEPENDENCYPART_ARC
(4,3),-1.09546 # DEPENDENCYPART_ARC
(4,5),0.105676 # DEPENDENCYPART_ARC
(4,6),0.0835207 # DEPENDENCYPART_ARC
(4,7),-0.916115 # DEPENDENCYPART_ARC
(4,8),-1.69952 # DEPENDENCYPART_ARC
(4,9),-1.77205 # DEPENDENCYPART_ARC
(4,10),-1.82908 # DEPENDENCYPART_ARC
(4,11),-1.9094 # DEPENDENCYPART_ARC
(4,12),-1.95257 # DEPENDENCYPART_ARC
(4,14),-1.97712 # DEPENDENCYPART_ARC
(4,15),-2.20341 # DEPENDENCYPART_ARC
(4,16),-2.09143 # DEPENDENCYPART_ARC
(4,17),-2.12112 # DEPENDENCYPART_ARC
(4,21),-1.17637 # DEPENDENCYPART_ARC
(5,1),-1.36426 # DEPENDENCYPART_ARC
(5,2),-1.40047 # DEPENDENCYPART_ARC
(5,4),-0.0383626 # DEPENDENCYPART_ARC
(5,6),-0.651441 # DEPENDENCYPART_ARC
(5,7),-1.57627 # DEPENDENCYPART_ARC
(5,8),-2.08184 # DEPENDENCYPART_ARC
(5,9),-1.94656 # DEPENDENCYPART_ARC
(6,1),-1.27262 # DEPENDENCYPART_ARC
(6,2),-1.18931 # DEPENDENCYPART_ARC
(6,3),-1.21954 # DEPENDENCYPART_ARC
(6,4),-0.684424 # DEPENDENCYPART_ARC
(6,5),1.49911 # DEPENDENCYPART_ARC
(6,7),-0.208846 # DEPENDENCYPART_ARC
(6,8),-1.99043 # DEPENDENCYPART_ARC
(6,9),-1.94614 # DEPENDENCYPART_ARC
(6,10),-1.93473 # DEPENDENCYPART_ARC
(6,11),-2.01325 # DEPENDENCYPART_ARC
(6,12),-2.21458 # DEPENDENCYPART_ARC
(6,13),-2.07389 # DEPENDENCYPART_ARC
(6,14),-2.07741 # DEPENDENCYPART_ARC
(6,15),-2.06032 # DEPENDENCYPART_ARC
(6,16),-2.48864 # DEPENDENCYPART_ARC
(6,20),-2.19812 # DEPENDENCYPART_ARC
(7,8),-1.00506 # DEPENDENCYPART_ARC
(8,6),-1.84609 # DEPENDENCYPART_ARC
(8,7),-0.135739 # DEPENDENCYPART_ARC
(8,9),-0.118041 # DEPENDENCYPART_ARC
