# _root_ James Alexander , a Burmah spokesman , said SHV had previously owned `` a little under 5 % '' of Burmah for about two years .
#goldHeads=2,8,2,6,6,2,2,0,10,8,10,10,15,15,18,15,15,12,18,18,20,12,25,23,22,8,
#predictedHeads=2,8,2,6,6,2,2,0,10,8,10,10,18,15,18,15,18,12,18,18,20,12,25,23,22,8,
(0,2),-3.93625 # DEPENDENCYPART_ARC
(0,8),1.83494 # DEPENDENCYPART_ARC
(0,10),-1.01052 # DEPENDENCYPART_ARC
(1,2),-0.862879 # DEPENDENCYPART_ARC
(1,3),-1.14927 # DEPENDENCYPART_ARC
(1,5),-2.97659 # DEPENDENCYPART_ARC
(1,6),-2.12097 # DEPENDENCYPART_ARC
(1,7),-1.42759 # DEPENDENCYPART_ARC
(1,9),-3.76415 # DEPENDENCYPART_ARC
(1,10),-2.8957 # DEPENDENCYPART_ARC
(1,12),-3.26066 # DEPENDENCYPART_ARC
(1,19),-2.12657 # DEPENDENCYPART_ARC
(2,1),1.38279 # DEPENDENCYPART_ARC
(2,3),0.300517 # DEPENDENCYPART_ARC
(2,4),-1.65471 # DEPENDENCYPART_ARC
(2,5),-2.22587 # DEPENDENCYPART_ARC
(2,6),-0.955302 # DEPENDENCYPART_ARC
(2,7),0.251284 # DEPENDENCYPART_ARC
(2,8),-1.98058 # DEPENDENCYPART_ARC
(2,9),-3.40082 # DEPENDENCYPART_ARC
(2,10),-2.00376 # DEPENDENCYPART_ARC
(2,11),-2.3394 # DEPENDENCYPART_ARC
(2,12),-2.41202 # DEPENDENCYPART_ARC
(2,13),-2.30512 # DEPENDENCYPART_ARC
(2,14),-2.73076 # DEPENDENCYPART_ARC
(2,15),-2.80989 # DEPENDENCYPART_ARC
(2,18),-3.84712 # DEPENDENCYPART_ARC
(2,19),-1.50131 # DEPENDENCYPART_ARC
(3,2),-2.6274 # DEPENDENCYPART_ARC
(4,3),-1.80032 # DEPENDENCYPART_ARC
(4,5),-1.51931 # DEPENDENCYPART_ARC
(4,7),-1.53557 # DEPENDENCYPART_ARC
(4,10),-1.61685 # DEPENDENCYPART_ARC
(5,2),-2.86299 # DEPENDENCYPART_ARC
(5,3),-2.16077 # DEPENDENCYPART_ARC
(5,4),-0.950578 # DEPENDENCYPART_ARC
(5,6),-1.32678 # DEPENDENCYPART_ARC
(5,7),-1.65754 # DEPENDENCYPART_ARC
(5,9),-2.94362 # DEPENDENCYPART_ARC
(5,10),-2.4372 # DEPENDENCYPART_ARC
(6,1),-1.48306 # DEPENDENCYPART_ARC
(6,2),-1.76836 # DEPENDENCYPART_ARC
(6,3),-1.45176 # DEPENDENCYPART_ARC
(6,4),1.49358 # DEPENDENCYPART_ARC
(6,5),1.29666 # DEPENDENCYPART_ARC
(6,7),-1.0124 # DEPENDENCYPART_ARC
(6,8),-1.73466 # DEPENDENCYPART_ARC
(6,9),-2.52355 # DEPENDENCYPART_ARC
(6,10),-2.29996 # DEPENDENCYPART_ARC
(6,11),-2.64632 # DEPENDENCYPART_ARC
(6,12),-2.82979 # DEPENDENCYPART_ARC
(6,13),-2.55984 # DEPENDENCYPART_ARC
(6,18),-3.61085 # DEPENDENCYPART_ARC
(6,19),-2.18205 # DEPENDENCYPART_ARC
(7,6),-1.95705 # DEPENDENCYPART_ARC
(8,1),-1.23453 # DEPENDENCYPART_ARC
(8,2),-1.11568 # DEPENDENCYPART_ARC
(8,3),-0.717664 # DEPENDENCYPART_ARC
(8,4),-1.83919 # DEPENDENCYPART_ARC
(8,5),-1.1129 # DEPENDENCYPART_ARC
(8,6),-0.922069 # DEPENDENCYPART_ARC
(8,7),0.00292882 # DEPENDENCYPART_ARC
(8,9),-0.121856 # DEPENDENCYPART_ARC
(8,10),1.11482 # DEPENDENCYPART_ARC
