# _root_ Burmah , which owns the Castrol brand of lubricant oils , reported a 17 % rise in net income to # 43.5 million ( $ 68.3 million ) in the first half .
#goldHeads=12,1,4,1,7,7,4,7,10,8,1,0,16,15,16,12,16,19,17,16,20,21,21,25,21,25,25,25,16,32,32,29,12,
#predictedHeads=12,1,4,1,7,7,4,7,10,8,1,0,16,15,16,12,16,19,17,16,20,21,21,25,21,25,25,25,16,32,32,29,12,
(0,1),-3.69774 # DEPENDENCYPART_ARC
(0,4),-1.61765 # DEPENDENCYPART_ARC
(0,12),0.281729 # DEPENDENCYPART_ARC
(1,2),0.436401 # DEPENDENCYPART_ARC
(1,3),-1.70762 # DEPENDENCYPART_ARC
(1,4),-0.417161 # DEPENDENCYPART_ARC
(1,6),-2.40486 # DEPENDENCYPART_ARC
(1,7),-2.03913 # DEPENDENCYPART_ARC
(1,8),-1.9378 # DEPENDENCYPART_ARC
(1,9),-2.19465 # DEPENDENCYPART_ARC
(1,10),-2.33544 # DEPENDENCYPART_ARC
(1,11),0.275472 # DEPENDENCYPART_ARC
(1,12),-2.26892 # DEPENDENCYPART_ARC
(1,14),-3.75377 # DEPENDENCYPART_ARC
(1,16),-3.83107 # DEPENDENCYPART_ARC
(1,21),-2.82276 # DEPENDENCYPART_ARC
(1,33),-2.25963 # DEPENDENCYPART_ARC
(2,1),-2.38662 # DEPENDENCYPART_ARC
(2,4),-2.15755 # DEPENDENCYPART_ARC
(3,1),-2.16409 # DEPENDENCYPART_ARC
(3,2),-1.53117 # DEPENDENCYPART_ARC
(3,4),-0.873666 # DEPENDENCYPART_ARC
(3,7),-2.46676 # DEPENDENCYPART_ARC
(4,1),-1.5023 # DEPENDENCYPART_ARC
(4,2),-1.10651 # DEPENDENCYPART_ARC
(4,3),2.28809 # DEPENDENCYPART_ARC
(4,5),-0.998373 # DEPENDENCYPART_ARC
(4,6),-0.915891 # DEPENDENCYPART_ARC
(4,7),-0.0916246 # DEPENDENCYPART_ARC
(4,8),-1.14791 # DEPENDENCYPART_ARC
(4,9),-1.69693 # DEPENDENCYPART_ARC
(4,10),-1.48736 # DEPENDENCYPART_ARC
(4,11),-1.16608 # DEPENDENCYPART_ARC
(4,12),-1.46541 # DEPENDENCYPART_ARC
(4,16),-1.942 # DEPENDENCYPART_ARC
(4,17),-2.22699 # DEPENDENCYPART_ARC
(4,19),-2.40813 # DEPENDENCYPART_ARC
(4,20),-2.08191 # DEPENDENCYPART_ARC
(4,21),-2.57529 # DEPENDENCYPART_ARC
(4,28),-1.76327 # DEPENDENCYPART_ARC
(4,29),-2.95922 # DEPENDENCYPART_ARC
(4,33),-0.650396 # DEPENDENCYPART_ARC
(5,3),-2.23857 # DEPENDENCYPART_ARC
(5,4),-2.07237 # DEPENDENCYPART_ARC
(5,6),-2.05577 # DEPENDENCYPART_ARC
(5,8),-1.75961 # DEPENDENCYPART_ARC
(6,1),-3.25582 # DEPENDENCYPART_ARC
(6,3),-2.8522 # DEPENDENCYPART_ARC
(6,4),-2.10275 # DEPENDENCYPART_ARC
(6,5),-0.274406 # DEPENDENCYPART_ARC
(6,7),-1.39838 # DEPENDENCYPART_ARC
(6,8),-1.28815 # DEPENDENCYPART_ARC
(6,11),-1.67941 # DEPENDENCYPART_ARC
(7,1),-3.15143 # DEPENDENCYPART_ARC
(7,2),-2.20439 # DEPENDENCYPART_ARC
(7,3),-1.42915 # DEPENDENCYPART_ARC
(7,4),-1.48522 # DEPENDENCYPART_ARC
(7,5),1.04414 # DEPENDENCYPART_ARC
(7,6),1.04399 # DEPENDENCYPART_ARC
(7,8),0.410564 # DEPENDENCYPART_ARC
(7,9),-1.12681 # DEPENDENCYPART_ARC
(7,10),-1.01657 # DEPENDENCYPART_ARC
(7,11),-0.94013 # DEPENDENCYPART_ARC
(7,12),-1.18655 # DEPENDENCYPART_ARC
(7,14),-2.21628 # DEPENDENCYPART_ARC
(7,15),-2.1131 # DEPENDENCYPART_ARC
(7,16),-2.00408 # DEPENDENCYPART_ARC
(7,17),-2.08707 # DEPENDENCYPART_ARC
(7,19),-2.72525 # DEPENDENCYPART_ARC
(7,20),-1.93016 # DEPENDENCYPART_ARC
(7,21),-2.3892 # DEPENDENCYPART_ARC
(7,29),-3.06206 # DEPENDENCYPART_ARC
(7,33),-2.84897 # DEPENDENCYPART_ARC
(8,3),-1.99767 # DEPENDENCYPART_ARC
(8,7),-1.10192 # DEPENDENCYPART_ARC
(8,9),-0.280091 # DEPENDENCYPART_ARC
(8,10),1.76276 # DEPENDENCYPART_ARC
(8,11),-1.40815 # DEPENDENCYPART_ARC
(8,12),-1.10907 # DEPENDENCYPART_ARC
(8,16),-2.25318 # DEPENDENCYPART_ARC
(9,11),-1.59226 # DEPENDENCYPART_ARC
(10,1),-2.5634 # DEPENDENCYPART_ARC
(10,3),-2.57207 # DEPENDENCYPART_ARC
(10,5),-1.30945 # DEPENDENCYPART_ARC
(10,6),-0.80176 # DEPENDENCYPART_ARC
(10,7),-1.00627 # DEPENDENCYPART_ARC
(10,8),-1.43092 # DEPENDENCYPART_ARC
(10,9),1.34771 # DEPENDENCYPART_ARC
(10,11),-0.867611 # DEPENDENCYPART_ARC
(10,12),-1.27702 # DEPENDENCYPART_ARC
(10,14),-2.37162 # DEPENDENCYPART_ARC
(10,15),-2.1059 # DEPENDENCYPART_ARC
(10,16),-2.47589 # DEPENDENCYPART_ARC
(10,17),-1.85526 # DEPENDENCYPART_ARC
(10,19),-2.74976 # DEPENDENCYPART_ARC
(10,20),-1.95922 # DEPENDENCYPART_ARC
(10,33),-2.74374 # DEPENDENCYPART_ARC
(12,1),-1.24432 # DEPENDENCYPART_ARC
(12,2),-1.88389 # DEPENDENCYPART_ARC
(12,3),-1.33233 # DEPENDENCYPART_ARC
(12,4),-1.49949 # DEPENDENCYPART_ARC
(12,6),-1.26159 # DEPENDENCYPART_ARC
(12,7),-1.02673 # DEPENDENCYPART_ARC
(12,8),-1.87026 # DEPENDENCYPART_ARC
(12,9),-1.24221 # DEPENDENCYPART_ARC
(12,10),-0.517938 # DEPENDENCYPART_ARC
(12,11),-0.574847 # DEPENDENCYPART_ARC
(12,13),-0.548433 # DEPENDENCYPART_ARC
(12,14),-0.927369 # DEPENDENCYPART_ARC
(12,15),-0.326748 # DEPENDENCYPART_ARC
(12,16),-0.0283809 # DEPENDENCYPART_ARC
(12,17),-0.174371 # DEPENDENCYPART_ARC
