# _root_ It starts with conception , taking the sperm 's point of view , then progresses to the baby 's point of view .
#goldHeads=2,0,2,3,2,2,8,10,8,6,10,11,2,15,2,15,18,20,18,16,20,21,2,
#predictedHeads=2,0,2,3,2,2,8,10,8,6,10,11,6,15,6,15,18,20,18,16,20,21,2,
(0,2),-1.72801 # DEPENDENCYPART_ARC
(0,4),-2.88636 # DEPENDENCYPART_ARC
(0,6),-2.89251 # DEPENDENCYPART_ARC
(0,15),-2.71141 # DEPENDENCYPART_ARC
(1,3),-1.35977 # DEPENDENCYPART_ARC
(1,5),-1.47192 # DEPENDENCYPART_ARC
(2,1),0.712623 # DEPENDENCYPART_ARC
(2,3),1.01974 # DEPENDENCYPART_ARC
(2,4),-0.425509 # DEPENDENCYPART_ARC
(2,5),-0.757051 # DEPENDENCYPART_ARC
(2,6),-1.26466 # DEPENDENCYPART_ARC
(2,10),-2.29019 # DEPENDENCYPART_ARC
(2,13),-1.7449 # DEPENDENCYPART_ARC
(2,14),-1.39262 # DEPENDENCYPART_ARC
(2,15),-1.31881 # DEPENDENCYPART_ARC
(2,23),-0.81606 # DEPENDENCYPART_ARC
(3,4),0.516657 # DEPENDENCYPART_ARC
(3,5),-0.994518 # DEPENDENCYPART_ARC
(3,6),-1.67501 # DEPENDENCYPART_ARC
(3,10),-2.88253 # DEPENDENCYPART_ARC
(3,15),-1.42927 # DEPENDENCYPART_ARC
(3,16),-2.25844 # DEPENDENCYPART_ARC
(4,1),-1.55925 # DEPENDENCYPART_ARC
(4,2),-0.82007 # DEPENDENCYPART_ARC
(4,3),-0.118656 # DEPENDENCYPART_ARC
(4,5),-0.0279171 # DEPENDENCYPART_ARC
(4,6),-1.61236 # DEPENDENCYPART_ARC
(4,8),-1.72036 # DEPENDENCYPART_ARC
(4,10),-1.84419 # DEPENDENCYPART_ARC
(4,11),-2.16482 # DEPENDENCYPART_ARC
(4,12),-1.92967 # DEPENDENCYPART_ARC
(4,13),-1.43204 # DEPENDENCYPART_ARC
(4,15),-2.14793 # DEPENDENCYPART_ARC
(4,16),-1.61558 # DEPENDENCYPART_ARC
(4,20),-2.04652 # DEPENDENCYPART_ARC
(5,6),-0.369773 # DEPENDENCYPART_ARC
