# _root_ `` With the decline in stock prices and continued low or stable interest rates , stocks are representing a better value all the time , '' Renaissance President Frank W. Terrizzi said yesterday .
#goldHeads=32,17,4,8,4,7,5,2,14,11,14,11,14,8,17,17,32,17,21,21,18,24,24,18,32,32,31,31,31,31,32,0,32,32,
#predictedHeads=32,8,4,2,4,7,5,17,8,11,14,11,14,9,17,17,32,17,21,21,18,24,24,21,32,32,31,31,31,31,32,0,32,32,
(0,17),-2.28297 # DEPENDENCYPART_ARC
(0,32),1.77333 # DEPENDENCYPART_ARC
(2,1),-0.243351 # DEPENDENCYPART_ARC
(2,3),0.0702264 # DEPENDENCYPART_ARC
(2,4),-0.0652605 # DEPENDENCYPART_ARC
(2,5),-1.16135 # DEPENDENCYPART_ARC
(2,6),-1.24909 # DEPENDENCYPART_ARC
(2,7),-1.25979 # DEPENDENCYPART_ARC
(2,8),-0.775522 # DEPENDENCYPART_ARC
(2,9),-0.731691 # DEPENDENCYPART_ARC
(2,11),-1.33055 # DEPENDENCYPART_ARC
(2,14),-2.06413 # DEPENDENCYPART_ARC
(2,18),-1.00531 # DEPENDENCYPART_ARC
(2,32),0.122836 # DEPENDENCYPART_ARC
(3,2),-0.371306 # DEPENDENCYPART_ARC
(3,5),-1.19675 # DEPENDENCYPART_ARC
(4,1),-1.19024 # DEPENDENCYPART_ARC
(4,2),-0.935631 # DEPENDENCYPART_ARC
(4,3),1.17684 # DEPENDENCYPART_ARC
(4,5),0.42315 # DEPENDENCYPART_ARC
(4,6),-0.967147 # DEPENDENCYPART_ARC
(4,7),-1.38618 # DEPENDENCYPART_ARC
(4,8),-0.834873 # DEPENDENCYPART_ARC
(4,9),-1.02702 # DEPENDENCYPART_ARC
(4,10),-1.36871 # DEPENDENCYPART_ARC
(4,15),-1.82123 # DEPENDENCYPART_ARC
(4,17),-2.09502 # DEPENDENCYPART_ARC
(4,25),-2.08053 # DEPENDENCYPART_ARC
(4,34),-1.85827 # DEPENDENCYPART_ARC
(5,2),-1.31347 # DEPENDENCYPART_ARC
(5,4),-0.574041 # DEPENDENCYPART_ARC
(5,6),0.325753 # DEPENDENCYPART_ARC
(5,7),-0.159178 # DEPENDENCYPART_ARC
(5,8),-1.25234 # DEPENDENCYPART_ARC
(5,9),-1.35962 # DEPENDENCYPART_ARC
(5,10),-1.36272 # DEPENDENCYPART_ARC
(5,11),-1.62911 # DEPENDENCYPART_ARC
(5,13),-2.55726 # DEPENDENCYPART_ARC
(5,14),-2.26455 # DEPENDENCYPART_ARC
(6,4),-1.76097 # DEPENDENCYPART_ARC
(7,1),-0.988388 # DEPENDENCYPART_ARC
(7,2),-1.02701 # DEPENDENCYPART_ARC
(7,3),-0.671519 # DEPENDENCYPART_ARC
(7,4),-0.632388 # DEPENDENCYPART_ARC
(7,5),-0.569516 # DEPENDENCYPART_ARC
(7,6),2.27646 # DEPENDENCYPART_ARC
(7,8),-0.558236 # DEPENDENCYPART_ARC
(7,9),-1.24543 # DEPENDENCYPART_ARC
(8,1),-0.179663 # DEPENDENCYPART_ARC
(8,2),-0.525633 # DEPENDENCYPART_ARC
(8,3),-0.944788 # DEPENDENCYPART_ARC
(8,4),-0.28852 # DEPENDENCYPART_ARC
(8,5),-0.0750759 # DEPENDENCYPART_ARC
(8,6),0.0422519 # DEPENDENCYPART_ARC
(8,7),0.586792 # DEPENDENCYPART_ARC
(8,9),1.3251 # DEPENDENCYPART_ARC
(8,10),-0.720802 # DEPENDENCYPART_ARC
(8,11),-0.863462 # DEPENDENCYPART_ARC
(8,12),-1.32518 # DEPENDENCYPART_ARC
(8,13),-0.758682 # DEPENDENCYPART_ARC
(8,14),-1.18928 # DEPENDENCYPART_ARC
(8,15),-1.41549 # DEPENDENCYPART_ARC
(8,16),-1.87186 # DEPENDENCYPART_ARC
(8,17),-2.19692 # DEPENDENCYPART_ARC
(8,18),-2.46242 # DEPENDENCYPART_ARC
(8,21),-2.08886 # DEPENDENCYPART_ARC
(8,25),-1.85391 # DEPENDENCYPART_ARC
(8,26),-0.112615 # DEPENDENCYPART_ARC
(8,32),-4.00817 # DEPENDENCYPART_ARC
(8,34),-1.4373 # DEPENDENCYPART_ARC
(9,1),-1.62892 # DEPENDENCYPART_ARC
