# _root_ Also , a cockpit warning system failed to alert the pilots the flaps and slats were not set for takeoff , the NTSB said .
#goldHeads=24,24,6,6,6,7,24,9,7,11,9,14,14,16,14,9,16,16,18,19,24,23,24,0,24,
#predictedHeads=24,7,6,6,6,7,24,9,7,11,9,14,14,16,14,24,16,16,18,19,24,23,24,0,24,
(0,1),-1.37436 # DEPENDENCYPART_ARC
(0,5),-2.14608 # DEPENDENCYPART_ARC
(0,7),-2.63065 # DEPENDENCYPART_ARC
(0,16),-2.53154 # DEPENDENCYPART_ARC
(0,24),0.189124 # DEPENDENCYPART_ARC
(1,2),-0.268611 # DEPENDENCYPART_ARC
(1,3),-1.46515 # DEPENDENCYPART_ARC
(1,4),-1.75979 # DEPENDENCYPART_ARC
(1,6),-2.01101 # DEPENDENCYPART_ARC
(1,7),-1.933 # DEPENDENCYPART_ARC
(2,1),-0.268042 # DEPENDENCYPART_ARC
(3,2),0.0215836 # DEPENDENCYPART_ARC
(3,4),-0.317169 # DEPENDENCYPART_ARC
(3,5),-1.0862 # DEPENDENCYPART_ARC
(4,1),-1.97627 # DEPENDENCYPART_ARC
(4,3),1.02139 # DEPENDENCYPART_ARC
(4,5),0.10511 # DEPENDENCYPART_ARC
(4,6),-0.953029 # DEPENDENCYPART_ARC
(4,7),-1.16638 # DEPENDENCYPART_ARC
(4,8),-1.15019 # DEPENDENCYPART_ARC
(4,9),-1.18819 # DEPENDENCYPART_ARC
(4,12),-1.32862 # DEPENDENCYPART_ARC
(4,14),-0.652946 # DEPENDENCYPART_ARC
(5,2),-1.26721 # DEPENDENCYPART_ARC
(5,4),-0.341511 # DEPENDENCYPART_ARC
(5,6),0.231866 # DEPENDENCYPART_ARC
(5,7),-0.583663 # DEPENDENCYPART_ARC
(5,8),-1.45242 # DEPENDENCYPART_ARC
(5,9),-1.3028 # DEPENDENCYPART_ARC
(5,14),-0.928541 # DEPENDENCYPART_ARC
(5,16),-1.6531 # DEPENDENCYPART_ARC
(5,17),-2.26005 # DEPENDENCYPART_ARC
(5,18),-1.63751 # DEPENDENCYPART_ARC
(5,21),-2.24795 # DEPENDENCYPART_ARC
(5,25),-2.01022 # DEPENDENCYPART_ARC
(6,1),-1.72616 # DEPENDENCYPART_ARC
(6,2),-1.30225 # DEPENDENCYPART_ARC
(6,3),-0.542816 # DEPENDENCYPART_ARC
(6,4),-0.120161 # DEPENDENCYPART_ARC
(6,5),0.947793 # DEPENDENCYPART_ARC
(6,7),-0.0308279 # DEPENDENCYPART_ARC
(6,8),-1.21215 # DEPENDENCYPART_ARC
(6,9),-1.3056 # DEPENDENCYPART_ARC
(7,1),-1.71756 # DEPENDENCYPART_ARC
(7,2),-0.796998 # DEPENDENCYPART_ARC
(7,3),-1.14105 # DEPENDENCYPART_ARC
(7,4),-0.509067 # DEPENDENCYPART_ARC
(7,5),-1.02288 # DEPENDENCYPART_ARC
(7,6),0.569427 # DEPENDENCYPART_ARC
(7,8),0.465552 # DEPENDENCYPART_ARC
(7,9),0.155425 # DEPENDENCYPART_ARC
(7,11),-0.858558 # DEPENDENCYPART_ARC
(7,13),-1.14073 # DEPENDENCYPART_ARC
(7,14),-0.42873 # DEPENDENCYPART_ARC
(7,16),-1.07513 # DEPENDENCYPART_ARC
(7,17),-1.56508 # DEPENDENCYPART_ARC
(7,18),-1.05351 # DEPENDENCYPART_ARC
(7,19),-1.37165 # DEPENDENCYPART_ARC
(7,21),-1.31893 # DEPENDENCYPART_ARC
(7,24),-2.62266 # DEPENDENCYPART_ARC
(7,25),-1.47241 # DEPENDENCYPART_ARC
(8,9),-0.267896 # DEPENDENCYPART_ARC
(8,11),-1.66972 # DEPENDENCYPART_ARC
(8,13),-2.03164 # DEPENDENCYPART_ARC
(8,14),-1.43943 # DEPENDENCYPART_ARC
(9,1),-2.13055 # DEPENDENCYPART_ARC
(9,2),-1.53378 # DEPENDENCYPART_ARC
(9,4),-1.39978 # DEPENDENCYPART_ARC
(9,6),-1.10361 # DEPENDENCYPART_ARC
(9,8),1.20353 # DEPENDENCYPART_ARC
(9,10),0.163938 # DEPENDENCYPART_ARC
(9,11),0.283978 # DEPENDENCYPART_ARC
(9,12),-0.92656 # DEPENDENCYPART_ARC
(9,13),-0.239113 # DEPENDENCYPART_ARC
(9,14),-0.615878 # DEPENDENCYPART_ARC
(9,15),-0.820327 # DEPENDENCYPART_ARC
(9,16),-0.973564 # DEPENDENCYPART_ARC
(9,17),-1.44894 # DEPENDENCYPART_ARC
(9,18),-1.422 # DEPENDENCYPART_ARC
(9,19),-1.55245 # DEPENDENCYPART_ARC
(9,20),-1.42259 # DEPENDENCYPART_ARC
(9,21),-1.79078 # DEPENDENCYPART_ARC
(9,24),-2.78368 # DEPENDENCYPART_ARC
(9,25),-1.8435 # DEPENDENCYPART_ARC
(10,9),-0.0765474 # DEPENDENCYPART_ARC
(10,11),-0.344458 # DEPENDENCYPART_ARC
(11,3),-2.3899 # DEPENDENCYPART_ARC
(11,5),-1.65342 # DEPENDENCYPART_ARC
(11,6),-1.79357 # DEPENDENCYPART_ARC
(11,7),-1.58269 # DEPENDENCYPART_ARC
(11,8),-1.74645 # DEPENDENCYPART_ARC
(11,9),-0.886004 # DEPENDENCYPART_ARC
(11,10),1.1026 # DEPENDENCYPART_ARC
(11,12),-0.408711 # DEPENDENCYPART_ARC
(11,13),-0.962282 # DEPENDENCYPART_ARC
(11,14),-0.723894 # DEPENDENCYPART_ARC
(11,15),-1.25926 # DEPENDENCYPART_ARC
(11,16),-0.893396 # DEPENDENCYPART_ARC
(11,17),-1.23265 # DEPENDENCYPART_ARC
(11,18),-1.22371 # DEPENDENCYPART_ARC
(11,19),-1.05906 # DEPENDENCYPART_ARC
(11,20),-1.32983 # DEPENDENCYPART_ARC
(11,21),-1.65106 # DEPENDENCYPART_ARC
(12,13),-0.442746 # DEPENDENCYPART_ARC
(13,10),-1.50456 # DEPENDENCYPART_ARC
(13,11),-1.19552 # DEPENDENCYPART_ARC
(13,12),0.449262 # DEPENDENCYPART_ARC
(13,15),-1.31453 # DEPENDENCYPART_ARC
(13,16),-1.30372 # DEPENDENCYPART_ARC
(14,1),-1.23029 # DEPENDENCYPART_ARC
(14,2),-1.23115 # DEPENDENCYPART_ARC
(14,3),-1.44269 # DEPENDENCYPART_ARC
(14,4),-0.692471 # DEPENDENCYPART_ARC
(14,5),-1.45854 # DEPENDENCYPART_ARC
(14,6),-0.570305 # DEPENDENCYPART_ARC
(14,7),-0.975048 # DEPENDENCYPART_ARC
(14,8),-1.02415 # DEPENDENCYPART_ARC
(14,9),-0.830821 # DEPENDENCYPART_ARC
(14,10),-0.495158 # DEPENDENCYPART_ARC
(14,11),-0.0488498 # DEPENDENCYPART_ARC
(14,12),0.119893 # DEPENDENCYPART_ARC
(14,13),2.2371 # DEPENDENCYPART_ARC
(14,15),2.09493 # DEPENDENCYPART_ARC
(14,16),-0.0813151 # DEPENDENCYPART_ARC
(14,17),-1.02358 # DEPENDENCYPART_ARC
(14,18),-1.34611 # DEPENDENCYPART_ARC
(14,19),-0.802346 # DEPENDENCYPART_ARC
(14,20),-1.39221 # DEPENDENCYPART_ARC
(14,21),-1.2084 # DEPENDENCYPART_ARC
(14,23),-2.09608 # DEPENDENCYPART_ARC
(14,24),-2.97049 # DEPENDENCYPART_ARC
(14,25),-0.936045 # DEPENDENCYPART_ARC
(15,10),-1.83677 # DEPENDENCYPART_ARC
(15,11),-1.87442 # DEPENDENCYPART_ARC
(15,12),-1.34234 # DEPENDENCYPART_ARC
(15,13),-1.11286 # DEPENDENCYPART_ARC
(15,14),-0.354544 # DEPENDENCYPART_ARC
(15,16),-0.43675 # DEPENDENCYPART_ARC
(15,19),-1.27497 # DEPENDENCYPART_ARC
(16,1),-1.89978 # DEPENDENCYPART_ARC
(16,2),-1.4075 # DEPENDENCYPART_ARC
(16,3),-1.56739 # DEPENDENCYPART_ARC
(16,4),-1.08315 # DEPENDENCYPART_ARC
(16,5),-1.70843 # DEPENDENCYPART_ARC
(16,6),-0.720853 # DEPENDENCYPART_ARC
(16,7),-1.61596 # DEPENDENCYPART_ARC
(16,8),-1.81883 # DEPENDENCYPART_ARC
(16,9),-1.52178 # DEPENDENCYPART_ARC
(16,10),-1.18397 # DEPENDENCYPART_ARC
(16,11),-0.556335 # DEPENDENCYPART_ARC
(16,12),-0.938023 # DEPENDENCYPART_ARC
(16,13),-0.449793 # DEPENDENCYPART_ARC
(16,14),-0.0716136 # DEPENDENCYPART_ARC
(16,15),0.67621 # DEPENDENCYPART_ARC
(16,17),0.764764 # DEPENDENCYPART_ARC
(16,18),0.52349 # DEPENDENCYPART_ARC
(16,19),-0.597533 # DEPENDENCYPART_ARC
(16,20),-1.01546 # DEPENDENCYPART_ARC
(16,21),-1.20367 # DEPENDENCYPART_ARC
(16,24),-2.03107 # DEPENDENCYPART_ARC
(16,25),-0.487063 # DEPENDENCYPART_ARC
(17,15),-1.51151 # DEPENDENCYPART_ARC
(17,18),-0.0201263 # DEPENDENCYPART_ARC
(17,19),-0.820107 # DEPENDENCYPART_ARC
(17,20),-1.07602 # DEPENDENCYPART_ARC
(17,24),-1.73925 # DEPENDENCYPART_ARC
(18,2),-2.52496 # DEPENDENCYPART_ARC
(18,4),-2.00214 # DEPENDENCYPART_ARC
(18,6),-1.93746 # DEPENDENCYPART_ARC
(18,7),-2.16102 # DEPENDENCYPART_ARC
(18,11),-1.44536 # DEPENDENCYPART_ARC
(18,12),-1.85663 # DEPENDENCYPART_ARC
(18,13),-1.46116 # DEPENDENCYPART_ARC
(18,14),-1.29657 # DEPENDENCYPART_ARC
(18,15),-1.31318 # DEPENDENCYPART_ARC
(18,16),-1.60484 # DEPENDENCYPART_ARC
(18,17),0.141978 # DEPENDENCYPART_ARC
(18,19),0.640651 # DEPENDENCYPART_ARC
(18,20),-0.753282 # DEPENDENCYPART_ARC
(18,21),-1.22224 # DEPENDENCYPART_ARC
(18,23),-2.09575 # DEPENDENCYPART_ARC
(18,24),-2.00054 # DEPENDENCYPART_ARC
(18,25),-1.64103 # DEPENDENCYPART_ARC
(19,17),-0.906121 # DEPENDENCYPART_ARC
(19,18),-0.167013 # DEPENDENCYPART_ARC
(19,20),0.665718 # DEPENDENCYPART_ARC
(19,21),-0.8352 # DEPENDENCYPART_ARC
(19,23),-2.04232 # DEPENDENCYPART_ARC
(19,24),-2.10715 # DEPENDENCYPART_ARC
(20,12),-2.7015 # DEPENDENCYPART_ARC
(20,17),-1.46202 # DEPENDENCYPART_ARC
(20,18),-0.816089 # DEPENDENCYPART_ARC
(20,19),-0.131425 # DEPENDENCYPART_ARC
(20,21),0.110598 # DEPENDENCYPART_ARC
(20,22),-1.67156 # DEPENDENCYPART_ARC
(20,23),-1.51658 # DEPENDENCYPART_ARC
(20,24),-1.67151 # DEPENDENCYPART_ARC
(23,20),-2.32947 # DEPENDENCYPART_ARC
(23,22),0.707017 # DEPENDENCYPART_ARC
(23,24),-0.126967 # DEPENDENCYPART_ARC
(24,1),-1.67403 # DEPENDENCYPART_ARC
(24,2),-2.09444 # DEPENDENCYPART_ARC
(24,4),-2.50909 # DEPENDENCYPART_ARC
(24,5),-1.86825 # DEPENDENCYPART_ARC
(24,6),-2.28349 # DEPENDENCYPART_ARC
(24,7),-1.56696 # DEPENDENCYPART_ARC
(24,9),-1.5617 # DEPENDENCYPART_ARC
(24,11),-2.097 # DEPENDENCYPART_ARC
(24,12),-1.88605 # DEPENDENCYPART_ARC
(24,13),-2.1267 # DEPENDENCYPART_ARC
(24,14),-0.714742 # DEPENDENCYPART_ARC
(24,15),-1.8157 # DEPENDENCYPART_ARC
(24,16),-1.10991 # DEPENDENCYPART_ARC
(24,17),-1.54597 # DEPENDENCYPART_ARC
(24,18),-0.986536 # DEPENDENCYPART_ARC
(24,19),-1.01706 # DEPENDENCYPART_ARC
(24,20),-1.46951 # DEPENDENCYPART_ARC
(24,21),-0.174207 # DEPENDENCYPART_ARC
(24,22),-0.332171 # DEPENDENCYPART_ARC
(24,23),1.14593 # DEPENDENCYPART_ARC
(24,25),0.953016 # DEPENDENCYPART_ARC
(0,1),(0,5),-0.0954227 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.0954447 # DEPENDENCYPART_SIBL
(0,1),(0,16),-0.0989956 # DEPENDENCYPART_SIBL
(0,1),(0,24),-0.102398 # DEPENDENCYPART_SIBL
(0,5),(0,7),-0.16188 # DEPENDENCYPART_SIBL
(0,5),(0,16),-0.16303 # DEPENDENCYPART_SIBL
(0,5),(0,24),-0.189168 # DEPENDENCYPART_SIBL
(0,7),(0,16),-0.160795 # DEPENDENCYPART_SIBL
(0,7),(0,24),-0.186823 # DEPENDENCYPART_SIBL
(0,16),(0,24),-0.194324 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.0121489 # DEPENDENCYPART_SIBL
(1,2),(1,4),0.00188951 # DEPENDENCYPART_SIBL
(1,2),(1,6),0.00227353 # DEPENDENCYPART_SIBL
(1,2),(1,7),0.0439048 # DEPENDENCYPART_SIBL
(1,3),(1,4),0.00167521 # DEPENDENCYPART_SIBL
(1,3),(1,6),0.00166101 # DEPENDENCYPART_SIBL
(1,3),(1,7),0.0158564 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.0219952 # DEPENDENCYPART_SIBL
(1,4),(1,7),0.0170011 # DEPENDENCYPART_SIBL
(1,6),(1,7),0.0137307 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.051838 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.0817796 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.00483161 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.0133972 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.0283742 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.0151541 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.0195934 # DEPENDENCYPART_SIBL
(4,1),(4,8),0.0073453 # DEPENDENCYPART_SIBL
(4,1),(4,9),-0.0191054 # DEPENDENCYPART_SIBL
(4,1),(4,12),-0.0922498 # DEPENDENCYPART_SIBL
(4,1),(4,14),0.00633401 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.262468 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0308213 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.270715 # DEPENDENCYPART_SIBL
(4,3),(4,8),0.169485 # DEPENDENCYPART_SIBL
(4,3),(4,9),0.265503 # DEPENDENCYPART_SIBL
(4,3),(4,12),-0.0778449 # DEPENDENCYPART_SIBL
(4,3),(4,14),0.0756899 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.0144837 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.00438514 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.0097737 # DEPENDENCYPART_SIBL
(4,5),(4,9),0.00214791 # DEPENDENCYPART_SIBL
(4,5),(4,12),-0.0180395 # DEPENDENCYPART_SIBL
(4,5),(4,14),-0.0272695 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.0183387 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.00524186 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.0140778 # DEPENDENCYPART_SIBL
(4,6),(4,12),-0.0161431 # DEPENDENCYPART_SIBL
(4,6),(4,14),-0.033802 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.00964233 # DEPENDENCYPART_SIBL
(4,7),(4,9),0.00444068 # DEPENDENCYPART_SIBL
