# _root_ The `` anti-hooligan '' law , which would deprive troublemakers of cards , must be ratified by the House of Lords and is expected to become effective early next year .
#goldHeads=5,5,5,5,22,5,8,5,8,9,9,11,5,22,14,15,16,19,17,19,20,0,22,23,26,24,26,30,30,26,22,
#predictedHeads=5,5,5,5,14,5,8,5,8,9,10,11,5,0,14,15,16,19,22,19,20,17,22,23,26,24,26,30,30,26,14,
(0,3),-2.37389 # DEPENDENCYPART_ARC
(0,5),-2.7027 # DEPENDENCYPART_ARC
(0,8),-2.24513 # DEPENDENCYPART_ARC
(0,9),-2.42789 # DEPENDENCYPART_ARC
(0,14),-2.30062 # DEPENDENCYPART_ARC
(0,15),-2.70456 # DEPENDENCYPART_ARC
(0,16),-2.57625 # DEPENDENCYPART_ARC
(0,22),-2.35461 # DEPENDENCYPART_ARC
(0,23),-2.58537 # DEPENDENCYPART_ARC
(0,24),-2.95248 # DEPENDENCYPART_ARC
(0,26),-3.38154 # DEPENDENCYPART_ARC
(1,6),-1.2619 # DEPENDENCYPART_ARC
(3,1),-0.579234 # DEPENDENCYPART_ARC
(3,2),0.366426 # DEPENDENCYPART_ARC
(3,4),0.316576 # DEPENDENCYPART_ARC
(3,5),-0.840015 # DEPENDENCYPART_ARC
(3,6),-0.804525 # DEPENDENCYPART_ARC
(3,8),-1.3586 # DEPENDENCYPART_ARC
(3,9),-1.43077 # DEPENDENCYPART_ARC
(3,11),-1.66214 # DEPENDENCYPART_ARC
(3,14),-1.24527 # DEPENDENCYPART_ARC
(3,15),-1.4344 # DEPENDENCYPART_ARC
(5,1),-0.0235153 # DEPENDENCYPART_ARC
(5,2),-0.0826021 # DEPENDENCYPART_ARC
(5,3),0.515331 # DEPENDENCYPART_ARC
(5,4),1.08928 # DEPENDENCYPART_ARC
(5,6),0.484743 # DEPENDENCYPART_ARC
(5,8),-1.24763 # DEPENDENCYPART_ARC
(5,9),-1.46044 # DEPENDENCYPART_ARC
(5,10),-1.57159 # DEPENDENCYPART_ARC
(5,11),-1.70528 # DEPENDENCYPART_ARC
(5,12),-1.68187 # DEPENDENCYPART_ARC
(5,13),-0.971455 # DEPENDENCYPART_ARC
(5,14),-1.44659 # DEPENDENCYPART_ARC
(5,15),-1.69497 # DEPENDENCYPART_ARC
(5,16),-1.65867 # DEPENDENCYPART_ARC
(5,17),-1.48932 # DEPENDENCYPART_ARC
(5,19),-1.63325 # DEPENDENCYPART_ARC
(5,22),-0.818914 # DEPENDENCYPART_ARC
(5,23),-1.43578 # DEPENDENCYPART_ARC
(5,24),-1.68236 # DEPENDENCYPART_ARC
(5,31),-2.10795 # DEPENDENCYPART_ARC
(8,1),-2.1034 # DEPENDENCYPART_ARC
(8,2),-1.60565 # DEPENDENCYPART_ARC
(8,3),-1.99143 # DEPENDENCYPART_ARC
(8,4),-1.87431 # DEPENDENCYPART_ARC
(8,5),-1.65021 # DEPENDENCYPART_ARC
(8,6),-0.761649 # DEPENDENCYPART_ARC
(8,7),0.34861 # DEPENDENCYPART_ARC
(8,9),1.37823 # DEPENDENCYPART_ARC
(8,10),-0.655418 # DEPENDENCYPART_ARC
(8,11),-1.054 # DEPENDENCYPART_ARC
(8,13),-1.27175 # DEPENDENCYPART_ARC
(8,14),-1.58029 # DEPENDENCYPART_ARC
(8,15),-1.48746 # DEPENDENCYPART_ARC
(8,16),-1.99636 # DEPENDENCYPART_ARC
(8,22),-1.15462 # DEPENDENCYPART_ARC
(8,31),-0.375354 # DEPENDENCYPART_ARC
(9,2),-2.02103 # DEPENDENCYPART_ARC
(9,3),-2.29059 # DEPENDENCYPART_ARC
(9,5),-2.577 # DEPENDENCYPART_ARC
(9,6),-1.5153 # DEPENDENCYPART_ARC
(9,7),-1.13215 # DEPENDENCYPART_ARC
(9,8),-0.601363 # DEPENDENCYPART_ARC
(9,10),0.751812 # DEPENDENCYPART_ARC
(9,11),-0.637362 # DEPENDENCYPART_ARC
(9,12),-0.93182 # DEPENDENCYPART_ARC
(9,13),-1.29603 # DEPENDENCYPART_ARC
(9,14),-1.90138 # DEPENDENCYPART_ARC
(9,15),-1.87061 # DEPENDENCYPART_ARC
(9,16),-1.92867 # DEPENDENCYPART_ARC
(9,17),-2.13488 # DEPENDENCYPART_ARC
(9,22),-1.39948 # DEPENDENCYPART_ARC
(9,26),-2.19221 # DEPENDENCYPART_ARC
(9,31),-1.94014 # DEPENDENCYPART_ARC
(10,1),-2.19891 # DEPENDENCYPART_ARC
(10,3),-2.3078 # DEPENDENCYPART_ARC
(10,5),-2.22873 # DEPENDENCYPART_ARC
(10,6),-1.93314 # DEPENDENCYPART_ARC
(10,9),0.443221 # DEPENDENCYPART_ARC
(10,11),0.87039 # DEPENDENCYPART_ARC
(10,12),-0.782024 # DEPENDENCYPART_ARC
(10,13),-1.07718 # DEPENDENCYPART_ARC
(10,14),-1.18354 # DEPENDENCYPART_ARC
(10,15),-1.50104 # DEPENDENCYPART_ARC
(10,16),-1.74079 # DEPENDENCYPART_ARC
(10,17),-1.3848 # DEPENDENCYPART_ARC
(10,20),-1.80095 # DEPENDENCYPART_ARC
(10,24),-1.92828 # DEPENDENCYPART_ARC
(11,10),-0.31787 # DEPENDENCYPART_ARC
(11,12),0.725698 # DEPENDENCYPART_ARC
(11,13),-0.921996 # DEPENDENCYPART_ARC
(11,14),-1.79543 # DEPENDENCYPART_ARC
(11,15),-1.9559 # DEPENDENCYPART_ARC
(12,9),-1.19928 # DEPENDENCYPART_ARC
(12,10),-0.679198 # DEPENDENCYPART_ARC
(12,11),-0.0340931 # DEPENDENCYPART_ARC
(12,13),0.0504076 # DEPENDENCYPART_ARC
(12,14),-1.5367 # DEPENDENCYPART_ARC
(12,15),-1.6117 # DEPENDENCYPART_ARC
(12,16),-2.03394 # DEPENDENCYPART_ARC
(12,19),-1.62355 # DEPENDENCYPART_ARC
(14,1),-1.45292 # DEPENDENCYPART_ARC
(14,2),-0.649664 # DEPENDENCYPART_ARC
(14,3),-1.15091 # DEPENDENCYPART_ARC
(14,4),-0.960123 # DEPENDENCYPART_ARC
(14,5),-0.82831 # DEPENDENCYPART_ARC
(14,6),-1.84087 # DEPENDENCYPART_ARC
(14,7),-1.33421 # DEPENDENCYPART_ARC
(14,8),-1.32768 # DEPENDENCYPART_ARC
(14,9),-1.29048 # DEPENDENCYPART_ARC
(14,10),-1.18086 # DEPENDENCYPART_ARC
(14,11),-0.97111 # DEPENDENCYPART_ARC
(14,12),-0.827018 # DEPENDENCYPART_ARC
(14,13),0.7649 # DEPENDENCYPART_ARC
(14,15),1.4182 # DEPENDENCYPART_ARC
(14,16),-0.322096 # DEPENDENCYPART_ARC
(14,17),-0.929143 # DEPENDENCYPART_ARC
(14,20),-1.16687 # DEPENDENCYPART_ARC
(14,22),-0.922733 # DEPENDENCYPART_ARC
(14,23),-1.31212 # DEPENDENCYPART_ARC
(14,26),-1.60165 # DEPENDENCYPART_ARC
(14,31),-0.145092 # DEPENDENCYPART_ARC
(15,5),-1.55727 # DEPENDENCYPART_ARC
(15,6),-2.99933 # DEPENDENCYPART_ARC
(15,7),-2.76646 # DEPENDENCYPART_ARC
(15,8),-2.31619 # DEPENDENCYPART_ARC
(15,9),-1.94117 # DEPENDENCYPART_ARC
(15,10),-2.3572 # DEPENDENCYPART_ARC
(15,11),-2.03278 # DEPENDENCYPART_ARC
(15,12),-2.15791 # DEPENDENCYPART_ARC
(15,13),-1.16493 # DEPENDENCYPART_ARC
(15,14),-0.626958 # DEPENDENCYPART_ARC
(15,16),1.02901 # DEPENDENCYPART_ARC
(15,17),-0.787977 # DEPENDENCYPART_ARC
(15,19),-1.27377 # DEPENDENCYPART_ARC
(15,22),-0.781016 # DEPENDENCYPART_ARC
(15,23),-1.42614 # DEPENDENCYPART_ARC
(15,24),-1.18827 # DEPENDENCYPART_ARC
(15,26),-1.2986 # DEPENDENCYPART_ARC
(15,27),-1.55382 # DEPENDENCYPART_ARC
(15,31),-1.51039 # DEPENDENCYPART_ARC
(16,5),-2.1101 # DEPENDENCYPART_ARC
(16,6),-3.04954 # DEPENDENCYPART_ARC
(16,7),-2.79283 # DEPENDENCYPART_ARC
(16,10),-2.79883 # DEPENDENCYPART_ARC
(16,11),-2.1502 # DEPENDENCYPART_ARC
(16,12),-2.71109 # DEPENDENCYPART_ARC
(16,13),-1.94748 # DEPENDENCYPART_ARC
(16,17),0.794963 # DEPENDENCYPART_ARC
(16,18),-0.929452 # DEPENDENCYPART_ARC
(16,19),-0.896482 # DEPENDENCYPART_ARC
(16,20),-1.03288 # DEPENDENCYPART_ARC
(16,22),-0.747484 # DEPENDENCYPART_ARC
(16,23),-1.17345 # DEPENDENCYPART_ARC
(16,24),-1.42984 # DEPENDENCYPART_ARC
(16,25),-1.37821 # DEPENDENCYPART_ARC
(16,26),-1.35081 # DEPENDENCYPART_ARC
(16,30),-1.69589 # DEPENDENCYPART_ARC
(16,31),-0.821445 # DEPENDENCYPART_ARC
(17,16),-0.183096 # DEPENDENCYPART_ARC
(17,18),0.0403127 # DEPENDENCYPART_ARC
(17,19),-0.0479563 # DEPENDENCYPART_ARC
(17,20),-1.17053 # DEPENDENCYPART_ARC
(17,21),-1.02354 # DEPENDENCYPART_ARC
(17,22),-0.950507 # DEPENDENCYPART_ARC
(17,23),-1.34099 # DEPENDENCYPART_ARC
(17,25),-1.69566 # DEPENDENCYPART_ARC
(17,30),-2.19473 # DEPENDENCYPART_ARC
(18,20),-1.17235 # DEPENDENCYPART_ARC
(18,24),-1.64368 # DEPENDENCYPART_ARC
(19,18),0.464479 # DEPENDENCYPART_ARC
(19,20),0.605679 # DEPENDENCYPART_ARC
(19,22),-0.582656 # DEPENDENCYPART_ARC
(19,23),-0.582895 # DEPENDENCYPART_ARC
(19,24),-1.12062 # DEPENDENCYPART_ARC
(20,18),-1.20123 # DEPENDENCYPART_ARC
(20,21),0.891858 # DEPENDENCYPART_ARC
(20,22),-1.22265 # DEPENDENCYPART_ARC
(20,23),-1.26158 # DEPENDENCYPART_ARC
(20,25),-1.61254 # DEPENDENCYPART_ARC
(20,27),-1.37639 # DEPENDENCYPART_ARC
(20,30),-2.20166 # DEPENDENCYPART_ARC
(21,18),-1.39312 # DEPENDENCYPART_ARC
(21,19),-0.934828 # DEPENDENCYPART_ARC
(21,23),-0.935822 # DEPENDENCYPART_ARC
(22,1),-2.82021 # DEPENDENCYPART_ARC
(22,2),-0.0292954 # DEPENDENCYPART_ARC
(22,3),-1.85698 # DEPENDENCYPART_ARC
(22,5),-1.38329 # DEPENDENCYPART_ARC
(22,6),-2.02946 # DEPENDENCYPART_ARC
(22,7),-1.65907 # DEPENDENCYPART_ARC
(22,8),-1.03665 # DEPENDENCYPART_ARC
(22,9),-0.927414 # DEPENDENCYPART_ARC
(22,10),-1.45341 # DEPENDENCYPART_ARC
(22,11),-0.898423 # DEPENDENCYPART_ARC
(22,12),-1.00254 # DEPENDENCYPART_ARC
(22,13),-0.903501 # DEPENDENCYPART_ARC
(22,14),-0.286182 # DEPENDENCYPART_ARC
(22,15),-0.317028 # DEPENDENCYPART_ARC
(22,16),0.154256 # DEPENDENCYPART_ARC
(22,17),-0.61083 # DEPENDENCYPART_ARC
(22,18),-0.730075 # DEPENDENCYPART_ARC
(22,19),-0.14446 # DEPENDENCYPART_ARC
(22,20),-0.0719721 # DEPENDENCYPART_ARC
(22,21),0.633926 # DEPENDENCYPART_ARC
(22,23),1.23946 # DEPENDENCYPART_ARC
(22,24),-0.577682 # DEPENDENCYPART_ARC
(22,25),-1.25034 # DEPENDENCYPART_ARC
(22,26),-1.31345 # DEPENDENCYPART_ARC
(22,27),-1.47353 # DEPENDENCYPART_ARC
(22,28),-1.4867 # DEPENDENCYPART_ARC
(22,29),-1.48595 # DEPENDENCYPART_ARC
(22,30),-1.10732 # DEPENDENCYPART_ARC
(22,31),-0.946242 # DEPENDENCYPART_ARC
(23,2),-1.89173 # DEPENDENCYPART_ARC
(23,5),-2.0216 # DEPENDENCYPART_ARC
(23,8),-2.56246 # DEPENDENCYPART_ARC
(23,9),-2.34618 # DEPENDENCYPART_ARC
(23,17),-1.52462 # DEPENDENCYPART_ARC
(23,19),-1.24634 # DEPENDENCYPART_ARC
(23,20),-1.42151 # DEPENDENCYPART_ARC
(23,21),-1.09236 # DEPENDENCYPART_ARC
(23,24),1.06387 # DEPENDENCYPART_ARC
(23,25),-0.905154 # DEPENDENCYPART_ARC
(23,26),-0.839331 # DEPENDENCYPART_ARC
(23,27),-1.23631 # DEPENDENCYPART_ARC
(23,28),-1.42106 # DEPENDENCYPART_ARC
(23,30),-1.23466 # DEPENDENCYPART_ARC
(23,31),-0.831371 # DEPENDENCYPART_ARC
(24,17),-1.47169 # DEPENDENCYPART_ARC
(24,19),-1.48273 # DEPENDENCYPART_ARC
(24,20),-1.29434 # DEPENDENCYPART_ARC
(24,25),-0.0652513 # DEPENDENCYPART_ARC
(24,26),-0.258247 # DEPENDENCYPART_ARC
(24,27),-1.44261 # DEPENDENCYPART_ARC
(24,28),-1.6688 # DEPENDENCYPART_ARC
(24,30),-1.32847 # DEPENDENCYPART_ARC
(24,31),-1.04148 # DEPENDENCYPART_ARC
(25,26),-0.36875 # DEPENDENCYPART_ARC
(25,27),-1.26781 # DEPENDENCYPART_ARC
(25,30),-1.88961 # DEPENDENCYPART_ARC
(26,10),-2.56941 # DEPENDENCYPART_ARC
(26,17),-1.16502 # DEPENDENCYPART_ARC
(26,19),-1.06244 # DEPENDENCYPART_ARC
(26,20),-1.20422 # DEPENDENCYPART_ARC
(26,25),1.23019 # DEPENDENCYPART_ARC
(26,27),0.3594 # DEPENDENCYPART_ARC
(26,28),-0.589346 # DEPENDENCYPART_ARC
(26,29),-1.02582 # DEPENDENCYPART_ARC
(26,30),0.0315932 # DEPENDENCYPART_ARC
(26,31),-0.80299 # DEPENDENCYPART_ARC
(27,25),-1.23916 # DEPENDENCYPART_ARC
(27,28),-0.0642487 # DEPENDENCYPART_ARC
(27,29),-0.871029 # DEPENDENCYPART_ARC
(27,30),-1.14427 # DEPENDENCYPART_ARC
(28,25),-1.41355 # DEPENDENCYPART_ARC
(28,27),-0.103204 # DEPENDENCYPART_ARC
(28,29),-0.246065 # DEPENDENCYPART_ARC
(29,25),-1.59819 # DEPENDENCYPART_ARC
(29,27),-1.14063 # DEPENDENCYPART_ARC
(29,28),-0.105821 # DEPENDENCYPART_ARC
(30,18),-2.84424 # DEPENDENCYPART_ARC
(30,24),-1.37709 # DEPENDENCYPART_ARC
(30,26),-1.01435 # DEPENDENCYPART_ARC
(30,27),-0.300311 # DEPENDENCYPART_ARC
(30,28),0.389771 # DEPENDENCYPART_ARC
(30,29),1.55701 # DEPENDENCYPART_ARC
(31,30),-0.25154 # DEPENDENCYPART_ARC
(0,3),(0,5),-0.00900873 # DEPENDENCYPART_SIBL
(0,3),(0,8),-0.0257671 # DEPENDENCYPART_SIBL
(0,3),(0,9),-0.0660424 # DEPENDENCYPART_SIBL
(0,3),(0,14),-0.0168614 # DEPENDENCYPART_SIBL
(0,3),(0,15),-0.0633125 # DEPENDENCYPART_SIBL
(0,3),(0,16),-0.0660424 # DEPENDENCYPART_SIBL
(0,3),(0,22),-0.0491409 # DEPENDENCYPART_SIBL
(0,3),(0,23),-0.0717766 # DEPENDENCYPART_SIBL
(0,3),(0,24),-0.0664801 # DEPENDENCYPART_SIBL
(0,3),(0,26),-0.0627982 # DEPENDENCYPART_SIBL
