# _root_ John Fitzsimmons , chief executive officer of Data Systems , said the company was profitable and expected sales of nearly $ 100 million this year .
#goldHeads=2,11,2,6,6,2,6,9,7,2,0,13,16,16,14,11,16,17,18,21,19,21,21,25,17,11,
#predictedHeads=2,11,2,6,6,2,6,9,7,2,0,13,16,16,14,11,16,17,18,21,19,21,21,25,21,11,
(0,2),-2.52431 # DEPENDENCYPART_ARC
(0,11),-0.319853 # DEPENDENCYPART_ARC
(0,14),-2.60736 # DEPENDENCYPART_ARC
(0,16),-1.9301 # DEPENDENCYPART_ARC
(0,17),-2.70605 # DEPENDENCYPART_ARC
(1,2),-0.735891 # DEPENDENCYPART_ARC
(1,3),-1.36939 # DEPENDENCYPART_ARC
(1,4),-1.83095 # DEPENDENCYPART_ARC
(1,6),-2.28725 # DEPENDENCYPART_ARC
(1,7),-2.17544 # DEPENDENCYPART_ARC
(1,10),-1.89348 # DEPENDENCYPART_ARC
(1,11),-1.68261 # DEPENDENCYPART_ARC
(1,14),-2.02263 # DEPENDENCYPART_ARC
(2,1),1.54802 # DEPENDENCYPART_ARC
(2,3),0.379751 # DEPENDENCYPART_ARC
(2,4),-1.44622 # DEPENDENCYPART_ARC
(2,5),-1.47685 # DEPENDENCYPART_ARC
(2,6),-1.54198 # DEPENDENCYPART_ARC
(2,7),-1.97449 # DEPENDENCYPART_ARC
(2,10),-0.967025 # DEPENDENCYPART_ARC
(2,11),-1.5798 # DEPENDENCYPART_ARC
(2,13),-2.26317 # DEPENDENCYPART_ARC
(2,14),-2.0683 # DEPENDENCYPART_ARC
(2,16),-0.938927 # DEPENDENCYPART_ARC
(2,17),-2.1786 # DEPENDENCYPART_ARC
(2,26),-1.9809 # DEPENDENCYPART_ARC
(4,1),-1.16728 # DEPENDENCYPART_ARC
(4,2),-1.10064 # DEPENDENCYPART_ARC
(4,3),0.250464 # DEPENDENCYPART_ARC
(4,5),-0.423822 # DEPENDENCYPART_ARC
(4,7),-1.24542 # DEPENDENCYPART_ARC
(5,1),-2.22615 # DEPENDENCYPART_ARC
(5,2),-2.2978 # DEPENDENCYPART_ARC
(5,3),-1.5647 # DEPENDENCYPART_ARC
(5,4),0.302496 # DEPENDENCYPART_ARC
(5,6),-0.73592 # DEPENDENCYPART_ARC
(5,7),-1.2804 # DEPENDENCYPART_ARC
(5,9),-2.26941 # DEPENDENCYPART_ARC
(5,10),-1.96666 # DEPENDENCYPART_ARC
(6,1),-0.730014 # DEPENDENCYPART_ARC
(6,2),-1.40761 # DEPENDENCYPART_ARC
(6,3),-1.32367 # DEPENDENCYPART_ARC
(6,4),0.455426 # DEPENDENCYPART_ARC
(6,5),1.80425 # DEPENDENCYPART_ARC
(6,7),0.424852 # DEPENDENCYPART_ARC
(6,8),-0.812778 # DEPENDENCYPART_ARC
(6,9),-1.27227 # DEPENDENCYPART_ARC
(6,10),-1.07346 # DEPENDENCYPART_ARC
(6,11),-1.5507 # DEPENDENCYPART_ARC
(6,13),-1.74955 # DEPENDENCYPART_ARC
(6,14),-2.0663 # DEPENDENCYPART_ARC
(6,15),-1.68461 # DEPENDENCYPART_ARC
(6,16),-1.11529 # DEPENDENCYPART_ARC
(6,17),-2.19987 # DEPENDENCYPART_ARC
(6,18),-1.40555 # DEPENDENCYPART_ARC
(6,20),-1.58373 # DEPENDENCYPART_ARC
(6,26),-1.96715 # DEPENDENCYPART_ARC
(7,6),-0.357783 # DEPENDENCYPART_ARC
(7,8),0.261746 # DEPENDENCYPART_ARC
(7,9),-0.201671 # DEPENDENCYPART_ARC
(7,10),-1.06821 # DEPENDENCYPART_ARC
(7,11),-1.92063 # DEPENDENCYPART_ARC
(7,13),-2.75088 # DEPENDENCYPART_ARC
(7,16),-1.9047 # DEPENDENCYPART_ARC
(7,18),-3.42335 # DEPENDENCYPART_ARC
(9,6),-0.91804 # DEPENDENCYPART_ARC
(9,8),1.92913 # DEPENDENCYPART_ARC
(9,10),0.324695 # DEPENDENCYPART_ARC
(9,11),-1.68238 # DEPENDENCYPART_ARC
(9,13),-1.73974 # DEPENDENCYPART_ARC
(9,16),-1.36077 # DEPENDENCYPART_ARC
(11,1),-0.933759 # DEPENDENCYPART_ARC
(11,2),-0.742878 # DEPENDENCYPART_ARC
(11,3),-1.51114 # DEPENDENCYPART_ARC
(11,4),-1.55918 # DEPENDENCYPART_ARC
(11,5),-1.87163 # DEPENDENCYPART_ARC
(11,6),-1.76627 # DEPENDENCYPART_ARC
(11,7),-1.20553 # DEPENDENCYPART_ARC
(11,8),-1.6079 # DEPENDENCYPART_ARC
(11,9),-1.23086 # DEPENDENCYPART_ARC
(11,10),0.684586 # DEPENDENCYPART_ARC
(11,12),0.366205 # DEPENDENCYPART_ARC
(11,13),-0.079485 # DEPENDENCYPART_ARC
(11,14),-0.0468329 # DEPENDENCYPART_ARC
(11,15),-0.926108 # DEPENDENCYPART_ARC
(11,16),-0.354601 # DEPENDENCYPART_ARC
(11,17),-1.17909 # DEPENDENCYPART_ARC
(11,18),-1.03326 # DEPENDENCYPART_ARC
(11,19),-1.42024 # DEPENDENCYPART_ARC
(11,20),-1.3236 # DEPENDENCYPART_ARC
(11,25),-1.43068 # DEPENDENCYPART_ARC
(11,26),0.588905 # DEPENDENCYPART_ARC
(12,14),-1.12276 # DEPENDENCYPART_ARC
(13,3),-2.18867 # DEPENDENCYPART_ARC
(13,11),-0.570755 # DEPENDENCYPART_ARC
(13,12),1.65218 # DEPENDENCYPART_ARC
(13,14),-0.390729 # DEPENDENCYPART_ARC
(13,15),-1.42007 # DEPENDENCYPART_ARC
(13,16),-1.2548 # DEPENDENCYPART_ARC
(13,17),-1.56 # DEPENDENCYPART_ARC
(13,18),-1.50132 # DEPENDENCYPART_ARC
(13,19),-1.40329 # DEPENDENCYPART_ARC
(14,1),-0.84348 # DEPENDENCYPART_ARC
(14,2),-0.996874 # DEPENDENCYPART_ARC
(14,3),-2.23817 # DEPENDENCYPART_ARC
(14,4),-1.34712 # DEPENDENCYPART_ARC
(14,6),-1.63881 # DEPENDENCYPART_ARC
(14,7),-1.42305 # DEPENDENCYPART_ARC
(14,9),-1.89267 # DEPENDENCYPART_ARC
(14,10),-1.11908 # DEPENDENCYPART_ARC
(14,11),-1.08135 # DEPENDENCYPART_ARC
(14,12),-0.370908 # DEPENDENCYPART_ARC
(14,13),0.881296 # DEPENDENCYPART_ARC
(14,15),0.720726 # DEPENDENCYPART_ARC
(14,16),-0.468547 # DEPENDENCYPART_ARC
(14,17),-0.972913 # DEPENDENCYPART_ARC
(14,18),-0.772965 # DEPENDENCYPART_ARC
(14,19),-1.14224 # DEPENDENCYPART_ARC
(14,20),-1.29034 # DEPENDENCYPART_ARC
(14,21),-1.08853 # DEPENDENCYPART_ARC
(14,25),-1.47844 # DEPENDENCYPART_ARC
(14,26),-0.0646797 # DEPENDENCYPART_ARC
(15,6),-1.71888 # DEPENDENCYPART_ARC
(15,12),-1.2382 # DEPENDENCYPART_ARC
(15,13),-1.07464 # DEPENDENCYPART_ARC
(15,16),-0.3712 # DEPENDENCYPART_ARC
(15,17),-0.823885 # DEPENDENCYPART_ARC
(15,18),-1.40527 # DEPENDENCYPART_ARC
(15,19),-1.32565 # DEPENDENCYPART_ARC
(15,20),-1.43351 # DEPENDENCYPART_ARC
(16,1),-1.21749 # DEPENDENCYPART_ARC
(16,2),-1.15748 # DEPENDENCYPART_ARC
(16,3),-1.56425 # DEPENDENCYPART_ARC
(16,4),-2.37556 # DEPENDENCYPART_ARC
(16,5),-1.71323 # DEPENDENCYPART_ARC
(16,6),-1.37728 # DEPENDENCYPART_ARC
(16,7),-0.910902 # DEPENDENCYPART_ARC
(16,8),-1.25651 # DEPENDENCYPART_ARC
(16,9),-1.29811 # DEPENDENCYPART_ARC
(16,10),-0.933794 # DEPENDENCYPART_ARC
(16,11),-0.194121 # DEPENDENCYPART_ARC
(16,12),-1.04149 # DEPENDENCYPART_ARC
(16,13),0.0156569 # DEPENDENCYPART_ARC
(16,14),0.822171 # DEPENDENCYPART_ARC
(16,15),0.917621 # DEPENDENCYPART_ARC
(16,17),1.392 # DEPENDENCYPART_ARC
(16,18),-0.257574 # DEPENDENCYPART_ARC
(16,19),-0.858425 # DEPENDENCYPART_ARC
(16,20),-1.13226 # DEPENDENCYPART_ARC
(16,21),-0.963985 # DEPENDENCYPART_ARC
(16,22),-1.29756 # DEPENDENCYPART_ARC
(16,23),-1.39842 # DEPENDENCYPART_ARC
(16,25),-1.87857 # DEPENDENCYPART_ARC
(16,26),0.55731 # DEPENDENCYPART_ARC
(17,2),-1.88496 # DEPENDENCYPART_ARC
(17,3),-2.79774 # DEPENDENCYPART_ARC
(17,6),-2.83523 # DEPENDENCYPART_ARC
(17,10),-2.1023 # DEPENDENCYPART_ARC
(17,11),-2.12233 # DEPENDENCYPART_ARC
(17,13),-1.56992 # DEPENDENCYPART_ARC
(17,14),-1.83152 # DEPENDENCYPART_ARC
(17,15),-1.40013 # DEPENDENCYPART_ARC
(17,18),0.716653 # DEPENDENCYPART_ARC
(17,19),-0.598044 # DEPENDENCYPART_ARC
(17,20),-0.847857 # DEPENDENCYPART_ARC
(17,21),-1.07059 # DEPENDENCYPART_ARC
(17,22),-1.28018 # DEPENDENCYPART_ARC
(17,25),-1.29029 # DEPENDENCYPART_ARC
(17,26),-0.476672 # DEPENDENCYPART_ARC
(18,12),-1.99573 # DEPENDENCYPART_ARC
(18,13),-1.58987 # DEPENDENCYPART_ARC
(18,14),-1.498 # DEPENDENCYPART_ARC
(18,15),-1.32712 # DEPENDENCYPART_ARC
(18,16),-0.666102 # DEPENDENCYPART_ARC
(18,17),0.462664 # DEPENDENCYPART_ARC
(18,19),0.6965 # DEPENDENCYPART_ARC
(18,20),-0.783983 # DEPENDENCYPART_ARC
(18,21),-1.02399 # DEPENDENCYPART_ARC
(18,22),-1.24187 # DEPENDENCYPART_ARC
(18,23),-1.37426 # DEPENDENCYPART_ARC
(18,24),-1.2138 # DEPENDENCYPART_ARC
(18,25),-1.31293 # DEPENDENCYPART_ARC
(18,26),-1.07012 # DEPENDENCYPART_ARC
(19,18),-0.28605 # DEPENDENCYPART_ARC
(19,20),-0.29495 # DEPENDENCYPART_ARC
(19,21),-0.808303 # DEPENDENCYPART_ARC
(19,22),-1.48349 # DEPENDENCYPART_ARC
(19,23),-1.52853 # DEPENDENCYPART_ARC
(19,25),-1.33705 # DEPENDENCYPART_ARC
(20,15),-2.12972 # DEPENDENCYPART_ARC
(20,18),-1.57905 # DEPENDENCYPART_ARC
(20,19),-0.496104 # DEPENDENCYPART_ARC
(20,21),-0.0563374 # DEPENDENCYPART_ARC
(20,22),-0.562493 # DEPENDENCYPART_ARC
(20,23),-0.809782 # DEPENDENCYPART_ARC
(20,25),-1.18091 # DEPENDENCYPART_ARC
(21,19),-0.31535 # DEPENDENCYPART_ARC
(21,20),0.901007 # DEPENDENCYPART_ARC
(21,22),0.81921 # DEPENDENCYPART_ARC
(21,23),0.249106 # DEPENDENCYPART_ARC
(21,24),-0.742407 # DEPENDENCYPART_ARC
(21,25),-0.903623 # DEPENDENCYPART_ARC
(21,26),-0.944723 # DEPENDENCYPART_ARC
(22,21),-0.339772 # DEPENDENCYPART_ARC
(22,23),-0.542193 # DEPENDENCYPART_ARC
(22,24),-0.824749 # DEPENDENCYPART_ARC
(22,25),-1.09754 # DEPENDENCYPART_ARC
(23,21),-0.90961 # DEPENDENCYPART_ARC
(23,22),-0.0265956 # DEPENDENCYPART_ARC
(23,24),0.0459033 # DEPENDENCYPART_ARC
(23,25),-0.586511 # DEPENDENCYPART_ARC
(25,15),-2.30136 # DEPENDENCYPART_ARC
(25,17),-1.40677 # DEPENDENCYPART_ARC
(25,19),-1.08754 # DEPENDENCYPART_ARC
(25,20),-0.985637 # DEPENDENCYPART_ARC
(25,21),-1.34658 # DEPENDENCYPART_ARC
(25,22),-1.36763 # DEPENDENCYPART_ARC
(25,23),-0.740696 # DEPENDENCYPART_ARC
(25,24),1.20407 # DEPENDENCYPART_ARC
(0,2),(0,11),-0.118403 # DEPENDENCYPART_SIBL
(0,2),(0,14),-0.10972 # DEPENDENCYPART_SIBL
(0,2),(0,16),-0.0912498 # DEPENDENCYPART_SIBL
(0,2),(0,17),-0.106844 # DEPENDENCYPART_SIBL
(0,11),(0,14),-0.168393 # DEPENDENCYPART_SIBL
(0,11),(0,16),-0.14477 # DEPENDENCYPART_SIBL
(0,11),(0,17),-0.172079 # DEPENDENCYPART_SIBL
(0,14),(0,16),-0.143725 # DEPENDENCYPART_SIBL
(0,14),(0,17),-0.168695 # DEPENDENCYPART_SIBL
(0,16),(0,17),-0.133283 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.0120873 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.000727732 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.0158194 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.0109545 # DEPENDENCYPART_SIBL
(1,2),(1,10),0.0120873 # DEPENDENCYPART_SIBL
(1,2),(1,11),-0.0160997 # DEPENDENCYPART_SIBL
(1,2),(1,14),-0.00832911 # DEPENDENCYPART_SIBL
(1,3),(1,4),0.0259629 # DEPENDENCYPART_SIBL
(1,3),(1,6),0.0615362 # DEPENDENCYPART_SIBL
(1,3),(1,7),0.0336348 # DEPENDENCYPART_SIBL
(1,3),(1,10),0.0357535 # DEPENDENCYPART_SIBL
(1,3),(1,11),0.00455973 # DEPENDENCYPART_SIBL
(1,3),(1,14),0.0708931 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.0133985 # DEPENDENCYPART_SIBL
(1,4),(1,7),0.0111318 # DEPENDENCYPART_SIBL
(1,4),(1,10),0.0101898 # DEPENDENCYPART_SIBL
(1,4),(1,11),0.0110598 # DEPENDENCYPART_SIBL
(1,4),(1,14),-0.00205626 # DEPENDENCYPART_SIBL
(1,6),(1,7),0.0258937 # DEPENDENCYPART_SIBL
(1,6),(1,10),0.0204348 # DEPENDENCYPART_SIBL
(1,6),(1,11),-0.0106171 # DEPENDENCYPART_SIBL
(1,6),(1,14),-0.00281987 # DEPENDENCYPART_SIBL
(1,7),(1,10),0.0216253 # DEPENDENCYPART_SIBL
(1,7),(1,11),-0.0321495 # DEPENDENCYPART_SIBL
(1,7),(1,14),-0.0483067 # DEPENDENCYPART_SIBL
(1,10),(1,11),0.00455973 # DEPENDENCYPART_SIBL
(1,10),(1,14),0.0708931 # DEPENDENCYPART_SIBL
(1,11),(1,14),0.00377963 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.0825578 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.00265989 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0507532 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.0801421 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.082763 # DEPENDENCYPART_SIBL
(2,1),(2,10),0.0825578 # DEPENDENCYPART_SIBL
(2,1),(2,11),-0.00536521 # DEPENDENCYPART_SIBL
(2,1),(2,13),0.0784203 # DEPENDENCYPART_SIBL
(2,1),(2,14),0.0430234 # DEPENDENCYPART_SIBL
(2,1),(2,16),0.0700455 # DEPENDENCYPART_SIBL
(2,1),(2,17),0.0354059 # DEPENDENCYPART_SIBL
(2,1),(2,26),0.0720128 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.0263253 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.0539237 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.062195 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.0346147 # DEPENDENCYPART_SIBL
(2,3),(2,10),0.036982 # DEPENDENCYPART_SIBL
(2,3),(2,11),0.00492229 # DEPENDENCYPART_SIBL
(2,3),(2,13),0.0321443 # DEPENDENCYPART_SIBL
