# _root_ With no petroleum-related news or changes in the fundamentals to dictate price moves , `` technicians are wanting to sell this stuff , '' said Eric Bolling of Edge Trading Corp .
#goldHeads=17,4,4,5,1,5,6,9,7,11,5,13,11,17,17,17,25,17,20,18,22,20,25,25,0,27,25,27,31,31,28,25,
#predictedHeads=17,5,5,5,1,5,6,9,7,11,9,13,11,17,17,17,25,17,20,18,22,20,25,25,0,27,25,27,31,31,28,25,
(0,5),-3.30421 # DEPENDENCYPART_ARC
(0,17),-2.07164 # DEPENDENCYPART_ARC
(0,25),0.7363 # DEPENDENCYPART_ARC
(1,2),-0.0749502 # DEPENDENCYPART_ARC
(1,3),-0.893778 # DEPENDENCYPART_ARC
(1,4),-0.696839 # DEPENDENCYPART_ARC
(1,5),-1.16008 # DEPENDENCYPART_ARC
(1,6),-1.33645 # DEPENDENCYPART_ARC
(1,7),-1.48125 # DEPENDENCYPART_ARC
(1,9),-2.12878 # DEPENDENCYPART_ARC
(1,10),-1.87603 # DEPENDENCYPART_ARC
(1,13),-2.80755 # DEPENDENCYPART_ARC
(1,17),-1.49467 # DEPENDENCYPART_ARC
(1,18),-1.41509 # DEPENDENCYPART_ARC
(1,25),-1.35375 # DEPENDENCYPART_ARC
(2,1),-0.330209 # DEPENDENCYPART_ARC
(2,3),-0.371041 # DEPENDENCYPART_ARC
(2,4),-1.08886 # DEPENDENCYPART_ARC
(3,1),-1.32337 # DEPENDENCYPART_ARC
(3,2),-0.0409111 # DEPENDENCYPART_ARC
(3,4),-0.306005 # DEPENDENCYPART_ARC
(3,6),-1.29879 # DEPENDENCYPART_ARC
(3,7),-1.28425 # DEPENDENCYPART_ARC
(4,1),-1.78239 # DEPENDENCYPART_ARC
(4,2),-0.476116 # DEPENDENCYPART_ARC
(4,3),0.726855 # DEPENDENCYPART_ARC
(4,5),-0.539148 # DEPENDENCYPART_ARC
(4,6),-1.25702 # DEPENDENCYPART_ARC
(4,7),-1.12858 # DEPENDENCYPART_ARC
(4,9),-1.74009 # DEPENDENCYPART_ARC
(4,10),-1.52987 # DEPENDENCYPART_ARC
(4,11),-1.31434 # DEPENDENCYPART_ARC
(5,1),-0.912172 # DEPENDENCYPART_ARC
(5,2),-0.115931 # DEPENDENCYPART_ARC
(5,3),0.131077 # DEPENDENCYPART_ARC
(5,4),2.70917 # DEPENDENCYPART_ARC
(5,6),2.01678 # DEPENDENCYPART_ARC
(5,7),-0.482635 # DEPENDENCYPART_ARC
(5,8),-1.2982 # DEPENDENCYPART_ARC
(5,9),-0.937499 # DEPENDENCYPART_ARC
(5,10),-1.63644 # DEPENDENCYPART_ARC
(5,11),-1.55048 # DEPENDENCYPART_ARC
(5,13),-1.83092 # DEPENDENCYPART_ARC
(5,14),-1.64543 # DEPENDENCYPART_ARC
(5,15),-2.36111 # DEPENDENCYPART_ARC
(5,16),-2.66401 # DEPENDENCYPART_ARC
(5,17),-2.95649 # DEPENDENCYPART_ARC
(5,18),-3.02193 # DEPENDENCYPART_ARC
(5,20),-2.98277 # DEPENDENCYPART_ARC
(5,23),-2.31762 # DEPENDENCYPART_ARC
(5,24),-0.527592 # DEPENDENCYPART_ARC
(5,25),-3.10023 # DEPENDENCYPART_ARC
(6,1),-1.91939 # DEPENDENCYPART_ARC
(6,2),-1.48037 # DEPENDENCYPART_ARC
(6,3),-1.30272 # DEPENDENCYPART_ARC
(6,4),-0.908027 # DEPENDENCYPART_ARC
(6,5),-0.157371 # DEPENDENCYPART_ARC
(6,7),0.0187657 # DEPENDENCYPART_ARC
(6,9),-1.54344 # DEPENDENCYPART_ARC
(6,10),-1.56777 # DEPENDENCYPART_ARC
(6,11),-1.43374 # DEPENDENCYPART_ARC
(6,14),-2.12777 # DEPENDENCYPART_ARC
(6,23),-2.18389 # DEPENDENCYPART_ARC
(7,1),-1.57822 # DEPENDENCYPART_ARC
(7,5),-1.3757 # DEPENDENCYPART_ARC
(7,6),-0.762395 # DEPENDENCYPART_ARC
(7,8),-0.0229376 # DEPENDENCYPART_ARC
(7,9),-0.0111042 # DEPENDENCYPART_ARC
(7,10),-1.35739 # DEPENDENCYPART_ARC
(7,11),-1.37411 # DEPENDENCYPART_ARC
(7,12),-1.87143 # DEPENDENCYPART_ARC
(7,13),-2.01586 # DEPENDENCYPART_ARC
(7,15),-1.94509 # DEPENDENCYPART_ARC
(7,16),-3.19278 # DEPENDENCYPART_ARC
(9,2),-2.45395 # DEPENDENCYPART_ARC
(9,3),-2.26067 # DEPENDENCYPART_ARC
(9,5),-1.23484 # DEPENDENCYPART_ARC
(9,6),-1.538 # DEPENDENCYPART_ARC
(9,8),1.27718 # DEPENDENCYPART_ARC
(9,10),-0.184694 # DEPENDENCYPART_ARC
(9,11),-0.81989 # DEPENDENCYPART_ARC
(9,13),-1.56069 # DEPENDENCYPART_ARC
(9,14),-2.15768 # DEPENDENCYPART_ARC
(9,15),-2.00699 # DEPENDENCYPART_ARC
(9,16),-1.9468 # DEPENDENCYPART_ARC
(9,17),-2.43144 # DEPENDENCYPART_ARC
(9,18),-2.25934 # DEPENDENCYPART_ARC
(9,20),-2.23051 # DEPENDENCYPART_ARC
(9,23),-2.18157 # DEPENDENCYPART_ARC
(9,24),-1.32867 # DEPENDENCYPART_ARC
(10,7),-0.98576 # DEPENDENCYPART_ARC
(10,9),-0.284591 # DEPENDENCYPART_ARC
(10,12),-1.6689 # DEPENDENCYPART_ARC
(10,13),-2.08627 # DEPENDENCYPART_ARC
(11,1),-0.794177 # DEPENDENCYPART_ARC
(11,2),-1.52224 # DEPENDENCYPART_ARC
(11,3),-1.58112 # DEPENDENCYPART_ARC
(11,4),-1.25108 # DEPENDENCYPART_ARC
(11,5),-1.42815 # DEPENDENCYPART_ARC
(11,6),-1.24051 # DEPENDENCYPART_ARC
