# _root_ Spiegel also opposes the beeper bill , saying the noise it requires would interfere with customer orders , causing irritation and even errors .
#goldHeads=3,3,0,6,6,3,3,3,10,13,12,10,8,13,14,17,15,14,14,21,19,21,21,3,
#predictedHeads=3,3,0,6,6,3,3,3,10,8,12,10,12,13,14,17,21,21,20,21,15,23,21,3,
(0,1),-1.73263 # DEPENDENCYPART_ARC
(0,2),-2.40596 # DEPENDENCYPART_ARC
(0,3),-2.2095 # DEPENDENCYPART_ARC
(0,8),-3.00679 # DEPENDENCYPART_ARC
(0,12),-3.04182 # DEPENDENCYPART_ARC
(0,13),-2.90789 # DEPENDENCYPART_ARC
(0,14),-3.21597 # DEPENDENCYPART_ARC
(0,19),-2.67328 # DEPENDENCYPART_ARC
(1,2),-0.239883 # DEPENDENCYPART_ARC
(1,3),-0.862266 # DEPENDENCYPART_ARC
(1,6),-1.4893 # DEPENDENCYPART_ARC
(1,7),-1.45786 # DEPENDENCYPART_ARC
(1,10),-1.68165 # DEPENDENCYPART_ARC
(1,12),-2.37298 # DEPENDENCYPART_ARC
(1,13),-2.07998 # DEPENDENCYPART_ARC
(1,18),-1.72975 # DEPENDENCYPART_ARC
(1,24),-2.4593 # DEPENDENCYPART_ARC
(2,1),-0.246038 # DEPENDENCYPART_ARC
(2,3),-0.426004 # DEPENDENCYPART_ARC
(2,6),-1.50859 # DEPENDENCYPART_ARC
(2,7),-1.60621 # DEPENDENCYPART_ARC
(3,1),-0.0432898 # DEPENDENCYPART_ARC
(3,2),1.0249 # DEPENDENCYPART_ARC
(3,4),0.218621 # DEPENDENCYPART_ARC
(3,5),-0.485069 # DEPENDENCYPART_ARC
(3,6),0.0241692 # DEPENDENCYPART_ARC
(3,7),-0.754225 # DEPENDENCYPART_ARC
(3,8),-1.34057 # DEPENDENCYPART_ARC
(3,10),-1.72572 # DEPENDENCYPART_ARC
(3,12),-1.80127 # DEPENDENCYPART_ARC
(3,13),-1.80417 # DEPENDENCYPART_ARC
(3,14),-1.85753 # DEPENDENCYPART_ARC
(3,15),-1.98119 # DEPENDENCYPART_ARC
(3,18),-1.52414 # DEPENDENCYPART_ARC
(3,19),-1.47093 # DEPENDENCYPART_ARC
(3,21),-0.677535 # DEPENDENCYPART_ARC
(3,24),-1.50525 # DEPENDENCYPART_ARC
(4,5),-0.497484 # DEPENDENCYPART_ARC
(4,7),-1.16822 # DEPENDENCYPART_ARC
(4,8),-1.87805 # DEPENDENCYPART_ARC
(5,2),-1.30247 # DEPENDENCYPART_ARC
(5,4),0.0669844 # DEPENDENCYPART_ARC
(5,10),-2.10118 # DEPENDENCYPART_ARC
(6,1),-1.34296 # DEPENDENCYPART_ARC
(6,2),-1.0605 # DEPENDENCYPART_ARC
(6,4),0.212778 # DEPENDENCYPART_ARC
(6,5),1.48694 # DEPENDENCYPART_ARC
(6,7),0.438378 # DEPENDENCYPART_ARC
(6,8),-1.39219 # DEPENDENCYPART_ARC
(6,10),-1.6105 # DEPENDENCYPART_ARC
(6,12),-2.05208 # DEPENDENCYPART_ARC
(6,13),-1.87756 # DEPENDENCYPART_ARC
(6,14),-2.14673 # DEPENDENCYPART_ARC
(6,15),-1.43865 # DEPENDENCYPART_ARC
(6,17),-1.48045 # DEPENDENCYPART_ARC
(6,18),-0.654983 # DEPENDENCYPART_ARC
(6,21),-0.709759 # DEPENDENCYPART_ARC
(6,22),-1.63928 # DEPENDENCYPART_ARC
(6,23),-1.75361 # DEPENDENCYPART_ARC
(6,24),-1.93125 # DEPENDENCYPART_ARC
(7,8),-0.313238 # DEPENDENCYPART_ARC
(8,6),-2.17312 # DEPENDENCYPART_ARC
(8,7),-0.274706 # DEPENDENCYPART_ARC
(8,9),0.119178 # DEPENDENCYPART_ARC
(8,10),0.0241464 # DEPENDENCYPART_ARC
(8,11),-0.808828 # DEPENDENCYPART_ARC
(8,12),-0.699125 # DEPENDENCYPART_ARC
(8,13),-0.968747 # DEPENDENCYPART_ARC
(8,14),-1.10361 # DEPENDENCYPART_ARC
(8,15),-1.27311 # DEPENDENCYPART_ARC
(8,17),-1.21162 # DEPENDENCYPART_ARC
(8,18),-1.33237 # DEPENDENCYPART_ARC
